step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,663.720,1124.762,325.200,808386560,1.70,239.341,99.179
2,256,488.762,1134.187,132.240,823279616,2.81,256.983,99.539
3,256,290.318,514.991,119.571,388624384,7.89,128.544,42.203
4,256,425.234,931.279,132.603,670969856,9.66,210.925,81.705
5,256,323.613,608.142,126.625,435462144,13.06,146.844,50.144
6,256,317.071,554.993,134.446,389406720,16.33,131.851,50.774
7,256,371.512,723.468,133.039,522174464,18.23,176.490,61.983
8,256,349.974,680.429,129.521,473145344,20.23,164.860,55.593
9,256,308.615,569.701,124.911,394645504,22.51,136.119,47.586
10,256,246.310,367.854,119.427,267153408,25.23,96.715,30.168
11,256,307.695,555.393,126.954,392122368,26.97,135.361,45.379
12,256,239.391,268.950,129.521,190087168,29.63,86.262,23.608
13,256,235.343,300.198,120.445,212336640,31.90,89.628,25.269
14,256,268.327,359.467,134.469,257970176,33.77,102.028,31.830
15,256,277.334,384.168,138.624,275251200,35.40,106.551,32.159
16,256,236.131,296.217,126.367,207953920,37.16,85.358,24.407
17,256,319.478,569.491,134.311,402399232,37.99,136.188,48.979
18,256,258.956,373.006,125.504,245690368,39.39,104.892,28.559
19,256,301.134,513.283,129.769,374775808,40.17,128.005,43.360
20,256,307.316,511.960,132.301,359780352,40.96,132.107,42.908
21,256,331.326,639.969,126.537,453722112,41.36,150.853,53.936
22,256,265.943,420.011,125.241,288927744,42.30,106.410,34.292
23,256,250.532,301.051,133.270,218136576,43.42,90.829,26.433
24,256,282.273,449.326,130.611,310603776,44.17,115.001,36.661
25,256,316.408,610.613,124.273,436133888,44.46,141.958,50.176
26,256,276.145,455.262,123.410,321314816,45.09,115.324,37.411
27,256,228.512,280.149,122.822,206716928,46.05,81.957,23.733
28,256,192.641,150.252,124.041,116367360,47.21,54.406,14.195
29,256,386.045,800.517,132.148,587661312,46.93,185.834,68.063
30,256,228.572,231.030,136.586,156057600,47.90,72.676,19.310
31,256,302.999,519.694,132.174,373350400,48.22,126.452,44.373
32,256,258.082,369.440,126.386,263188480,48.85,100.251,31.445
33,256,327.378,499.495,160.059,346644480,49.20,127.046,40.274
34,256,436.070,948.625,136.202,670920704,48.72,218.969,80.899
35,256,356.561,635.621,156.401,460283904,48.80,146.792,53.369
36,256,335.771,662.652,130.600,469278720,48.83,150.167,55.005
37,256,262.982,384.156,127.534,270921728,49.33,104.142,31.306
38,256,413.917,850.416,149.437,601751552,49.07,192.079,72.401
39,256,445.306,924.930,160.670,653529088,48.68,205.377,79.260
40,256,353.856,727.357,127.916,494891008,48.67,168.686,57.254
41,256,392.184,839.486,129.871,588898304,48.47,192.469,69.844
42,256,281.866,434.837,129.526,321568768,48.84,114.447,37.893
43,256,280.923,467.406,124.661,348119040,49.12,114.545,41.717
44,256,363.784,756.995,127.467,552411136,48.97,170.610,65.707
45,256,381.782,834.633,124.806,585859072,48.78,188.993,67.983
46,256,235.882,301.379,122.991,226828288,49.28,86.414,26.477
47,256,365.847,686.362,146.889,469581824,49.31,161.122,57.836
48,256,386.018,796.207,131.163,578699264,49.14,185.914,68.941
49,256,344.490,648.390,133.398,471072768,49.17,153.449,57.642
50,256,356.858,717.214,130.372,519942144,49.10,164.471,62.015
51,256,296.619,481.735,132.020,343887872,49.35,122.207,42.392
52,256,291.125,449.233,145.354,309284864,49.66,107.732,38.040
53,256,280.430,442.652,127.117,315740160,49.95,114.848,38.464
54,256,312.760,520.713,136.060,375525376,50.11,131.809,44.891
55,256,332.505,619.316,130.086,439242752,50.18,150.957,51.463
56,256,249.724,306.933,131.987,225337344,50.59,90.413,27.323
57,256,315.352,468.543,150.684,315703296,50.84,126.261,38.408
58,256,231.252,295.844,122.177,211095552,51.25,83.619,25.457
59,256,263.202,326.405,143.641,219664384,51.64,91.543,28.018
60,256,435.432,958.404,132.974,683720704,51.28,220.814,81.644
61,256,357.218,748.066,123.669,534462464,51.17,171.381,62.169
62,256,371.072,751.594,129.932,545435648,51.05,177.935,63.205
63,256,370.024,769.763,127.486,550240256,50.92,178.954,63.584
64,256,219.984,261.810,119.133,193667072,51.32,77.707,23.144
65,256,256.691,336.704,130.336,232562688,51.65,98.223,28.132
