step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,719.411,1704.851,322.225,1211772928,2.16,184.654,212.532
2,256,448.015,985.986,133.874,724938752,4.21,229.680,84.462
3,256,284.034,450.422,128.798,329281536,9.70,117.417,37.819
4,256,441.716,927.183,160.242,681779200,11.21,198.947,82.527
5,256,339.959,621.566,136.408,435462144,14.49,152.390,51.160
6,256,313.876,547.180,134.136,389406720,17.66,132.721,47.020
7,256,386.619,739.066,141.929,522174464,19.48,179.402,65.288
8,256,346.788,668.654,130.723,473145344,21.40,161.024,55.041
9,256,320.919,562.943,134.407,394645504,23.61,138.867,47.645
10,256,264.752,379.240,132.497,267153408,26.27,99.607,32.649
11,256,305.235,557.654,123.670,392122368,27.95,136.463,45.103
12,256,241.230,269.648,129.824,190087168,30.56,87.653,23.753
13,256,285.227,312.672,152.924,212336640,32.79,105.408,26.895
14,256,257.948,353.443,128.062,257970176,34.62,98.970,30.916
15,256,264.484,375.139,133.005,275251200,36.21,97.873,33.605
16,256,252.411,307.840,136.425,207953920,37.94,91.044,24.943
17,256,314.722,570.917,130.145,402399232,38.74,135.277,49.300
18,256,249.716,356.692,129.686,245690368,40.11,90.302,29.727
19,256,300.834,520.384,129.647,374775808,40.86,127.393,43.794
20,256,317.045,520.019,142.463,359780352,41.63,129.698,44.884
21,256,346.799,657.321,132.460,453722112,42.01,159.041,55.298
22,256,279.586,420.121,132.034,288927744,42.92,112.672,34.881
23,256,247.642,298.755,130.146,218136576,44.02,91.590,25.907
24,256,303.443,459.716,140.874,310603776,44.75,124.738,37.831
25,256,327.880,608.947,130.310,436133888,45.03,144.936,52.635
26,256,280.211,446.516,126.212,321314816,45.64,116.552,37.446
27,256,244.540,297.343,131.880,206716928,46.58,87.444,25.216
28,256,218.514,152.469,141.455,116367360,47.73,61.963,15.097
29,256,400.769,801.136,140.849,587661312,47.44,188.305,71.614
30,256,225.728,237.698,133.250,156057600,48.39,73.293,19.186
31,256,300.180,531.752,128.579,373350400,48.70,126.422,45.179
32,256,270.725,370.028,134.347,263188480,49.31,102.976,33.401
33,256,294.852,495.337,132.171,346644480,49.66,121.658,41.023
34,256,433.530,919.630,138.668,670920704,49.17,212.867,81.995
35,256,343.830,660.181,131.786,460283904,49.24,157.343,54.700
36,256,341.220,665.600,132.664,469278720,49.25,151.834,56.722
37,256,278.137,378.230,140.029,270921728,49.75,104.752,33.356
38,256,399.741,851.827,133.488,601751552,49.48,193.798,72.456
39,256,423.108,918.438,133.958,653529088,49.08,208.801,80.349
40,256,365.457,708.928,138.976,494891008,49.06,166.906,59.575
41,256,418.747,866.345,142.261,588898304,48.85,205.216,71.271
42,256,289.359,447.522,135.297,321568768,49.21,114.544,39.518
43,256,297.004,484.908,132.760,348119040,49.49,120.943,43.300
44,256,371.308,764.491,131.841,552411136,49.33,171.005,68.462
45,256,404.357,842.729,139.093,585859072,49.13,194.792,70.472
46,256,251.267,314.438,133.460,226828288,49.63,89.564,28.242
47,256,359.047,690.017,139.684,469581824,49.65,161.640,57.723
48,256,390.546,818.354,133.101,578699264,49.47,186.884,70.561
49,256,348.704,665.311,134.346,471072768,49.50,155.969,58.390
50,256,374.621,733.141,138.139,519942144,49.42,172.597,63.886
51,256,309.835,488.938,138.744,343887872,49.67,128.636,42.455
52,256,283.229,465.592,129.553,309284864,49.97,116.440,37.235
53,256,297.068,445.186,136.897,315740160,50.25,120.619,39.551
54,256,299.667,507.422,131.437,375525376,50.42,122.218,46.012
55,256,344.819,614.487,138.931,439242752,50.48,152.465,53.423
56,256,239.532,305.910,126.583,225337344,50.88,85.533,27.417
57,256,305.405,464.791,141.903,315703296,51.13,123.863,39.639
58,256,247.080,306.034,132.253,211095552,51.54,88.978,25.848
59,256,268.051,330.080,137.072,219664384,51.92,103.707,27.272
60,256,442.017,957.026,138.187,683720704,51.55,222.489,81.341
61,256,377.226,752.743,134.865,534462464,51.44,178.388,63.972
62,256,377.475,765.727,132.212,545435648,51.32,178.983,66.280
63,256,409.250,768.242,155.107,550240256,51.18,184.507,69.636
64,256,238.423,271.350,131.103,193667072,51.58,83.582,23.737
65,256,247.051,324.806,125.821,232562688,51.91,93.247,27.984
66,256,378.464,754.874,136.652,559820800,51.77,174.261,67.551
67,256,332.695,582.575,137.863,416956416,51.83,143.948,50.884
68,256,317.760,550.587,133.294,401047552,51.92,135.338,49.129
69,256,325.669,565.144,137.412,399413248,51.99,138.631,49.626
70,256,317.823,576.115,129.164,414060544,52.06,139.445,49.214
71,256,268.938,342.010,137.492,246337536,52.34,100.803,30.643
72,256,333.687,650.916,127.505,465080320,52.32,151.897,54.286
73,256,243.883,320.395,131.136,216641536,52.63,85.791,26.955
74,256,350.025,658.569,137.915,467992576,52.60,154.944,57.167
75,256,334.759,607.077,135.825,431988736,52.62,146.068,52.866
76,256,445.257,979.565,135.961,699211776,52.31,224.293,85.002
77,256,341.503,545.209,153.093,382976000,52.41,136.571,51.839
78,256,253.775,341.079,131.184,239140864,52.67,92.900,29.691
79,256,270.944,419.869,127.488,309202944,52.84,106.925,36.530
80,256,296.376,482.634,135.413,350400512,52.96,118.214,42.750
81,256,264.376,386.492,130.700,270794752,53.17,100.262,33.414
82,256,265.226,346.248,141.073,237768704,53.41,93.695,30.457
83,256,303.681,475.032,145.201,329863168,53.54,116.655,41.826
84,256,338.645,617.890,135.638,447983616,53.53,148.202,54.805
85,256,322.311,584.085,130.330,418312192,53.56,142.302,49.679
86,256,298.270,481.996,135.316,346800128,53.67,120.370,42.583
87,256,312.949,523.937,136.110,370573312,53.75,130.283,46.557
88,256,289.300,479.420,131.945,338907136,53.87,116.481,40.874
89,256,328.932,571.957,138.593,408985600,53.91,139.304,51.036
90,256,303.493,530.339,132.412,368381952,53.98,125.943,45.138
91,256,276.984,421.109,135.978,296132608,54.13,103.978,37.028
92,256,269.841,351.155,139.721,237035520,54.34,100.808,29.312
93,256,358.243,713.815,135.181,498810880,54.27,161.838,61.224
94,256,296.949,468.547,137.795,338825216,54.37,117.677,41.476
95,256,336.217,598.548,138.085,434196480,54.37,143.688,54.444
96,256,290.327,396.051,139.229,291885056,54.52,114.881,36.217
97,256,369.736,752.280,130.270,534642688,54.42,176.131,63.335
98,256,336.434,606.621,144.537,412545024,54.44,140.810,51.087
99,256,286.762,450.880,133.930,314994688,54.56,114.369,38.463
