step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,974.362,1499.446,574.377,1090154496,4.22,148.840,251.145
2,256,689.387,1450.273,228.954,1042993152,5.58,227.281,233.152
3,256,553.691,873.421,277.471,632086528,10.60,109.728,166.492
4,256,696.230,1334.871,297.494,965832704,12.45,177.546,221.190
5,256,527.223,950.407,195.963,668696576,15.57,138.445,192.815
6,256,741.087,922.281,511.816,632115200,19.32,86.533,142.738
7,256,791.725,1133.565,493.549,785174528,21.80,119.891,178.285
8,256,558.834,965.400,243.992,683433984,23.94,130.519,184.323
9,256,614.429,1218.725,206.544,866861056,24.49,191.869,216.017
10,256,639.017,755.041,411.098,518565888,27.12,86.264,141.654
11,256,508.688,869.731,202.954,611041280,28.78,125.875,179.859
12,256,665.637,979.404,373.309,675352576,30.29,113.954,178.374
13,256,788.356,1274.660,481.172,844537856,31.42,132.893,174.291
14,256,761.015,831.934,517.387,577785856,33.15,93.778,149.850
15,256,811.296,1162.445,516.664,812519424,34.12,114.736,179.895
16,256,790.291,1142.875,503.070,791060480,35.09,115.132,172.088
17,256,583.511,913.626,317.766,637169664,36.21,102.832,162.913
18,256,519.213,900.481,226.392,619053056,37.09,120.140,172.681
19,256,690.086,1199.005,370.403,847273984,37.48,134.680,185.003
20,256,522.327,820.753,240.401,577921024,38.37,116.552,165.375
21,256,524.912,934.179,198.245,661712896,38.91,136.327,190.340
22,256,693.149,764.879,492.425,512937984,40.22,68.202,132.522
23,256,633.572,568.556,450.121,378429440,41.62,65.978,117.473
24,256,496.177,752.357,234.042,514338816,42.45,100.422,161.713
25,256,509.761,914.497,211.578,639754240,42.93,115.709,182.474
26,256,478.163,743.426,198.434,518492160,43.61,105.369,174.360
27,256,402.367,515.172,213.517,363540480,44.64,66.561,122.288
28,256,552.000,341.653,432.842,249352192,45.97,32.341,86.816
29,256,845.495,1082.371,536.299,776146944,46.18,125.850,183.346
30,256,510.530,426.963,337.491,294723584,47.18,69.082,103.957
31,256,656.807,872.916,374.338,599470080,47.53,119.895,162.573
32,256,699.822,619.930,508.249,430067712,48.31,77.176,114.397
33,256,596.389,829.672,340.803,561778688,48.76,97.109,158.476
34,256,616.248,1283.760,200.954,902832128,48.31,201.616,213.678
35,256,527.239,968.363,203.498,682196992,48.42,137.176,186.565
36,256,526.281,1004.267,207.422,708378624,48.49,135.316,183.542
37,256,448.253,681.423,191.096,460861440,49.01,94.686,162.470
38,256,648.534,1215.581,293.297,861843456,48.87,152.709,202.529
39,256,672.835,1270.023,291.994,892657664,48.60,171.267,209.574
