step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,825.620,1735.650,413.109,1247977472,3.35,181.248,231.263
2,256,704.709,1399.934,230.330,1004503040,5.00,234.403,239.976
3,256,485.903,796.675,186.945,561188864,10.34,117.761,181.198
4,256,677.427,1329.479,266.575,943259648,12.00,198.213,212.639
5,256,561.528,1007.493,242.831,713641984,15.29,123.885,194.812
6,256,763.757,975.958,536.867,664514560,19.02,83.642,143.248
7,256,789.211,1133.010,471.753,785178624,21.24,126.424,191.034
8,256,533.367,972.849,195.511,683446272,23.16,143.907,193.949
9,256,609.906,1215.250,215.488,861761536,23.85,180.795,213.624
10,256,515.702,737.399,237.402,517808128,26.31,105.003,173.296
11,256,499.058,861.977,191.628,611041280,27.99,124.692,182.739
12,256,563.902,957.272,252.945,670269440,29.36,127.783,183.174
13,256,820.248,1245.444,497.200,847544320,30.38,139.797,183.251
14,256,525.845,820.066,248.524,580157440,31.94,108.657,168.665
15,256,809.027,1194.957,538.557,829030400,33.03,101.852,168.617
16,256,760.871,1111.976,460.776,762245120,33.88,117.365,182.730
17,256,528.899,916.702,226.242,630734848,34.93,118.641,184.016
18,256,747.390,949.448,502.678,652214272,36.20,90.683,154.029
19,256,800.210,1197.374,467.971,845148160,36.58,131.486,200.753
20,256,586.795,800.538,329.359,551976960,37.67,108.989,148.447
21,256,670.525,1168.904,313.982,834568192,37.92,153.271,203.271
22,256,738.864,786.107,549.572,546824192,39.16,58.681,130.611
23,256,587.747,570.683,418.452,400887808,40.54,59.021,110.274
24,256,610.640,735.340,394.215,499838976,41.56,81.974,134.451
25,256,528.110,965.198,192.024,683081728,41.84,147.893,188.193
26,256,517.439,792.292,259.371,548294656,42.62,92.632,165.435
27,256,387.834,468.680,192.822,335970304,43.68,71.879,123.133
28,256,429.918,380.704,274.281,273936384,44.93,47.269,108.367
29,256,577.533,1126.518,192.814,798490624,44.73,172.565,212.154
30,256,428.982,444.000,270.737,304910336,45.78,55.382,102.863
31,256,601.834,858.620,317.723,585809920,46.23,111.321,172.790
32,256,440.944,659.599,208.184,459730944,46.92,89.805,142.956
33,256,734.199,785.931,519.909,547385344,47.63,72.006,142.284
34,256,618.598,1269.708,203.114,900595712,47.20,192.418,223.066
35,256,573.419,963.236,238.534,679964672,47.32,137.414,197.470
36,256,564.651,1006.164,264.718,709992448,47.45,117.952,181.981
37,256,609.727,682.880,406.164,460845056,48.11,67.485,136.079
38,256,749.354,1189.838,464.494,827977728,48.24,110.208,174.652
39,256,705.143,1288.454,323.294,906461184,48.00,171.474,210.374
40,256,805.999,1126.252,542.316,722333696,48.32,111.489,152.194
41,256,834.993,1217.930,526.453,817979392,48.46,140.363,168.177
42,256,556.136,777.567,280.865,550510592,48.82,106.820,168.451
43,256,755.815,1118.378,455.180,775839744,48.96,122.439,178.196
44,256,688.357,1289.389,296.620,918306816,48.68,179.901,211.837
45,256,705.128,1173.080,363.205,806187008,48.63,140.408,201.515
46,256,582.107,675.087,372.237,455176192,49.19,70.369,139.501
47,256,528.997,981.240,196.069,676777984,49.24,136.675,196.253
48,256,825.710,1097.842,521.248,771526656,49.32,123.734,180.727
49,256,599.459,995.765,296.215,693714944,49.45,123.073,180.171
50,256,551.301,1044.779,208.625,743895040,49.42,148.676,194.000
51,256,619.555,794.895,352.825,547495936,49.73,101.456,165.274
52,256,510.657,740.200,260.931,506433536,50.08,92.110,157.615
53,256,512.045,798.013,270.747,544841728,50.42,83.017,158.281
54,256,680.081,828.525,427.871,574746624,50.70,92.561,159.649
55,256,558.597,1014.471,244.045,720216064,50.75,130.463,184.090
56,256,513.842,655.684,312.714,446341120,51.15,73.338,127.789
57,256,515.299,859.410,205.990,583634944,51.31,124.805,184.504
58,256,705.389,880.244,438.819,585338880,51.58,104.305,162.264
59,256,574.260,924.027,274.738,638570496,51.67,111.987,187.535
60,256,928.385,1492.227,553.993,1068236800,51.43,159.092,215.300
61,256,740.654,1064.672,462.524,745279488,51.53,97.476,180.654
62,256,743.204,1078.308,449.951,777383936,51.56,114.985,178.268
63,256,583.204,1068.802,240.347,748765184,51.51,146.787,196.070
64,256,455.231,614.371,213.757,437735424,51.85,84.121,157.353
65,256,670.888,568.014,491.585,385794048,52.26,61.355,117.947
66,256,564.460,1088.627,213.641,783671296,52.15,148.861,201.958
67,256,572.213,959.925,269.176,658976768,52.25,122.013,181.024
68,256,598.885,961.215,324.091,677683200,52.38,102.541,172.253
69,256,588.260,1001.132,276.287,715771904,52.40,120.976,190.997
70,256,608.482,1070.288,269.953,762208256,52.37,138.783,199.745
71,256,644.286,734.388,430.182,516575232,52.67,70.304,143.800
72,256,716.415,951.764,439.566,652066816,52.75,114.486,162.363
73,256,600.585,876.339,324.720,597282816,52.91,101.650,174.215
74,256,645.824,1217.056,296.403,869859328,52.76,157.653,191.767
75,256,537.389,950.153,242.565,653729792,52.83,118.433,176.391
76,256,743.160,1272.452,387.757,902860800,52.73,148.972,206.432
77,256,611.049,837.177,350.643,595394560,52.89,101.450,158.956
78,256,725.241,894.311,482.304,631373824,53.05,89.359,153.578
79,256,678.672,1151.501,365.439,826662912,53.00,126.278,186.956
80,256,571.622,855.914,309.009,607645696,53.15,101.338,161.275
81,256,467.278,694.473,210.236,477384704,53.34,88.976,168.067
82,256,684.113,642.330,489.661,427749376,53.64,68.664,125.788
83,256,527.783,843.744,258.941,573186048,53.76,104.080,164.762
84,256,588.329,973.665,279.147,704495616,53.77,127.382,181.801
85,256,516.516,885.995,204.567,632893440,53.82,118.791,193.158
