step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,1656.379,770.038,1407.141,555589632,5.75,139.552,109.687
2,256,274.078,433.160,103.926,368074752,12.06,115.793,54.359
3,256,274.378,506.587,107.459,442675200,16.55,107.021,59.898
4,256,193.076,290.518,100.932,230522880,21.94,61.666,30.478
5,256,206.276,318.297,105.158,258170880,26.30,63.817,37.301
6,256,196.998,304.498,101.674,246521856,30.08,63.012,32.312
7,256,160.234,183.675,101.326,148156416,33.94,36.085,22.823
8,256,180.772,257.238,99.935,210468864,36.95,49.753,31.084
9,256,204.644,328.109,102.445,257826816,39.33,68.011,34.188
10,256,212.259,365.015,103.037,298229760,41.22,68.319,40.903
11,256,201.895,332.770,101.768,266231808,43.07,65.374,34.753
12,256,172.374,221.276,105.567,169488384,45.18,44.929,21.878
13,256,248.046,466.269,103.793,382561792,46.19,93.950,50.303
14,256,191.573,288.212,103.604,220495872,47.76,59.640,28.329
15,256,264.657,541.208,101.122,447025152,48.26,103.129,60.407
16,256,183.798,251.357,104.740,197713920,49.71,48.894,30.164
17,256,179.334,203.823,107.717,141606912,51.23,52.070,19.548
18,256,182.655,237.181,104.756,171343872,52.52,55.203,22.696
19,256,203.702,328.906,102.910,235278336,53.50,70.604,30.188
20,256,148.592,137.774,103.699,97554432,54.86,31.446,13.446
21,256,156.069,159.998,102.407,113147904,56.08,38.125,15.537
22,256,140.777,119.902,98.431,83816448,57.30,31.041,11.305
23,256,140.962,112.754,101.824,75239424,58.47,27.863,11.275
24,256,143.673,133.233,100.207,92454912,59.51,31.587,11.879
25,256,135.487,91.428,101.693,61673472,60.58,24.557,9.237
26,256,144.395,123.906,103.975,87932928,61.51,28.376,12.044
27,256,140.161,120.545,100.414,87527424,62.39,27.736,12.011
28,256,134.153,102.341,97.363,75411456,63.25,26.724,10.066
29,256,140.827,102.927,102.889,72744960,64.08,27.834,10.105
30,256,118.929,51.209,100.958,37908480,64.94,11.957,6.015
31,256,144.174,103.696,107.939,73555968,65.68,25.893,10.341
32,256,140.125,103.635,103.687,74194944,66.38,25.583,10.855
33,256,131.157,56.364,109.787,35241984,67.13,15.529,5.841
34,256,239.870,430.041,106.449,329932800,67.20,88.688,44.733
35,256,241.300,450.710,102.766,344309760,67.24,93.657,44.877
36,256,250.275,452.350,115.969,341643264,67.28,89.120,45.185
37,256,361.368,256.056,286.397,157777920,67.70,51.673,23.298
38,256,151.191,131.583,105.103,93437952,68.22,32.463,13.625
39,256,164.986,188.241,103.636,146534400,68.62,41.871,19.478
40,256,141.782,117.793,101.929,89149440,69.11,26.706,13.146
41,256,192.727,283.715,102.275,214757376,69.35,61.518,28.934
42,256,160.338,175.989,103.295,124391424,69.74,39.309,17.734
43,256,117.926,43.764,102.226,28692480,70.28,10.711,4.989
44,256,174.903,215.128,105.037,156155904,70.59,47.640,22.226
45,256,165.085,189.114,104.076,143228928,70.90,41.781,19.227
46,256,126.101,69.758,100.992,49385472,71.36,18.020,7.088
47,256,159.512,114.079,120.146,83410944,71.75,27.271,12.096
48,256,302.433,162.167,247.062,119697408,72.06,36.487,18.884
49,256,173.317,159.657,122.629,114769920,72.37,29.639,21.049
50,256,144.997,111.732,105.972,80977920,72.72,27.091,11.935
51,256,151.082,162.445,99.510,116625408,73.00,34.765,16.807
52,256,210.120,96.101,175.878,70483968,73.35,23.304,10.939
53,256,363.542,108.941,330.938,65384448,73.69,24.107,8.496
54,256,125.886,78.938,99.396,58601472,74.03,19.575,6.916
55,256,123.008,59.800,102.167,40574976,74.39,15.604,5.237
56,256,132.621,91.352,100.588,62312448,74.70,23.707,8.327
57,256,224.948,398.373,102.003,313589760,74.65,79.558,43.387
58,256,149.717,153.438,101.492,112508928,74.88,31.402,16.823
59,256,115.069,39.509,99.740,29097984,75.22,10.387,4.942
60,256,155.271,169.425,99.282,125435904,75.41,38.107,17.883
61,256,216.323,327.647,116.600,255565824,75.44,64.479,35.244
62,256,190.193,208.408,122.355,158244864,75.58,45.679,22.159
63,256,142.969,105.155,106.722,76455936,75.82,25.588,10.659
64,256,143.010,127.530,98.595,95526912,76.04,30.928,13.487
65,256,171.869,233.716,99.591,182181888,76.14,48.247,24.031
66,256,197.969,326.229,100.708,263737344,76.14,63.124,34.137
67,256,133.922,101.701,99.773,74600448,76.37,23.722,10.427
68,256,159.798,174.841,106.417,137723904,76.52,34.648,18.732
69,256,179.924,249.994,104.184,195514368,76.60,49.904,25.836
70,256,137.220,114.908,98.450,83005440,76.80,26.655,12.116
71,256,135.678,114.761,98.948,79933440,77.00,24.999,11.730
72,256,158.335,189.579,99.689,146128896,77.12,38.817,19.830
73,256,172.848,239.226,99.663,187920384,77.20,48.168,25.017
74,256,119.356,56.371,98.953,37502976,77.44,14.350,6.053
75,256,122.306,63.222,100.214,40574976,77.66,15.650,6.443
76,256,178.623,258.892,102.393,204152832,77.71,49.557,26.673
77,256,160.985,189.169,101.132,148967424,77.81,39.569,20.284
78,256,149.292,155.010,100.887,112508928,77.95,32.235,16.170
79,256,161.616,196.119,98.974,151056384,78.05,42.804,19.837
80,256,275.954,568.264,102.031,461451264,77.83,114.881,59.042
81,256,158.912,182.626,101.868,138534912,77.94,38.719,18.324
82,256,193.106,314.572,99.929,250404864,77.94,60.868,32.309
83,256,150.999,132.382,106.895,102481920,78.08,29.709,14.395
84,256,145.485,128.063,104.019,96337920,78.22,28.386,13.081
85,256,126.503,83.467,98.308,60862464,78.39,19.078,9.116
86,256,133.239,101.263,99.204,69267456,78.56,23.672,10.363
87,256,229.746,425.714,102.956,345870336,78.46,83.223,43.567
88,256,222.093,395.373,102.508,324194304,78.38,77.156,42.429
89,256,197.521,316.151,102.323,244666368,78.38,63.582,31.616
90,256,188.903,199.106,125.750,152850432,78.46,40.012,23.140
91,256,162.924,180.201,105.495,140156928,78.55,37.539,19.890
92,256,203.849,193.116,141.886,142417920,78.64,42.263,19.700
93,256,148.443,146.084,100.480,107175936,78.76,33.251,14.711
94,256,146.437,135.307,101.780,98770944,78.88,29.834,14.824
95,256,147.820,132.416,104.555,95932416,79.00,28.946,14.319
96,256,206.555,348.368,100.487,278925312,78.96,69.958,36.110
97,256,145.000,135.668,102.519,102248448,79.07,27.824,14.657
98,256,199.507,328.435,102.522,258232320,79.05,63.806,33.179
99,256,191.400,291.984,102.765,237477888,79.05,58.024,30.610
100,256,144.026,130.040,102.986,99987456,79.16,26.619,14.420
101,256,164.827,207.978,102.108,161255424,79.22,42.087,20.631
102,256,183.819,262.149,101.762,209424384,79.24,54.730,27.328
103,256,160.408,189.000,101.739,147750912,79.30,38.841,19.829
104,256,163.104,202.638,100.340,157605888,79.36,41.633,21.131
105,256,177.055,240.719,102.966,186470400,79.40,49.560,24.530
106,256,171.971,219.832,104.012,172732416,79.44,45.061,22.898
107,256,148.082,127.326,104.724,92221440,79.55,30.166,13.192
108,256,131.213,79.099,104.657,52862976,79.69,18.348,8.208
109,256,120.859,58.560,99.664,37097472,79.83,15.272,5.923
110,256,262.369,550.819,101.563,439775232,79.67,105.722,55.085
111,256,215.250,368.734,104.175,292257792,79.61,73.880,37.196
112,256,262.498,535.923,103.303,437108736,79.45,103.128,56.066
113,256,148.661,146.637,101.892,107581440,79.55,32.078,14.691
114,256,178.212,236.311,104.314,189947904,79.57,48.364,25.534
115,256,216.548,371.850,103.378,298340352,79.52,74.680,38.490
116,256,193.478,312.989,101.896,250232832,79.51,59.293,32.289
117,256,155.801,163.441,103.883,127463424,79.58,34.612,17.306
118,256,156.152,168.089,101.657,129957888,79.65,36.661,17.834
119,256,201.469,312.495,106.553,238522368,79.64,63.498,31.418
120,256,135.902,97.300,101.624,73789440,79.74,23.622,10.656
121,256,200.335,330.967,101.291,268025856,79.72,64.975,34.069
122,256,184.770,256.647,105.621,202641408,79.73,52.105,27.044
