step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,561.373,824.093,276.815,665260032,5.75,113.827,170.732
2,256,280.062,426.594,130.887,359669760,12.14,86.939,62.236
3,256,308.654,516.063,131.442,442675200,16.62,97.445,79.767
4,256,218.859,289.515,124.040,230522880,22.01,55.341,39.479
5,256,231.584,328.018,125.834,255098880,26.38,57.052,48.698
6,256,225.532,305.154,125.110,246521856,30.15,58.171,42.251
7,256,197.115,197.262,131.156,148156416,34.01,36.840,29.119
8,256,212.276,259.618,126.815,210468864,37.02,47.608,37.853
9,256,229.143,315.512,124.136,257826816,39.39,58.845,46.162
10,256,247.089,362.561,135.296,298229760,41.27,60.875,50.918
11,256,229.462,341.289,123.017,266231808,43.12,65.175,41.270
12,256,189.703,220.958,125.063,169488384,45.24,37.441,27.198
13,256,265.278,455.341,126.142,382561792,46.24,76.572,62.564
14,256,204.828,276.043,123.592,220495872,47.81,46.528,34.708
15,256,288.389,538.780,125.069,447025152,48.30,86.326,76.994
16,256,204.541,253.687,125.664,197713920,49.75,43.210,35.667
17,256,182.088,181.696,123.153,141606912,51.27,35.428,23.507
18,256,194.051,218.976,125.911,171343872,52.56,38.959,29.181
19,256,210.192,300.932,123.449,235278336,53.54,48.909,37.833
20,256,171.572,130.624,130.292,97554432,54.90,24.560,16.720
21,256,167.934,151.401,121.074,113147904,56.11,27.737,19.123
22,256,165.216,119.250,123.967,83816448,57.34,25.845,15.403
23,256,155.388,105.694,122.089,75239424,58.50,19.765,13.533
24,256,160.612,129.391,120.180,92454912,59.54,24.555,15.877
25,256,155.173,88.681,124.337,61673472,60.61,18.999,11.837
26,256,161.404,124.342,121.821,87932928,61.54,24.511,15.071
27,256,161.886,119.763,122.459,87527424,62.42,23.685,15.743
28,256,156.709,100.827,122.622,75411456,63.28,21.182,12.905
29,256,161.246,103.420,124.688,72744960,64.11,23.965,12.593
30,256,140.375,53.456,121.995,37908480,64.97,10.980,7.401
31,256,157.396,102.329,124.396,73555968,65.71,19.878,13.121
32,256,155.264,103.993,121.885,74194944,66.40,19.983,13.396
33,256,141.395,55.086,121.046,35241984,67.15,13.288,7.062
34,256,238.258,402.947,122.274,329932800,67.23,63.472,52.512
35,256,249.289,417.799,122.612,344309760,67.26,71.242,55.435
36,256,243.396,416.056,121.960,341643264,67.30,66.656,54.780
37,256,184.595,203.255,121.747,157777920,67.72,36.962,25.886
38,256,164.322,129.965,120.783,93437952,68.24,26.966,16.573
39,256,185.079,189.459,126.274,146534400,68.64,34.245,24.559
40,256,164.077,116.390,125.204,89149440,69.13,23.006,15.867
41,256,203.348,269.020,123.117,214757376,69.37,45.743,34.488
42,256,174.830,167.679,124.712,124391424,69.76,28.770,21.349
43,256,139.547,44.393,122.691,28692480,70.30,10.272,6.584
44,256,184.058,206.579,124.682,156155904,70.61,33.883,25.493
45,256,180.201,181.880,122.382,143228928,70.92,33.605,24.213
46,256,144.318,70.347,120.925,49385472,71.38,14.461,8.932
47,256,213.313,118.029,175.399,83410944,71.77,22.582,15.332
48,256,191.051,173.825,138.732,119697408,72.08,31.278,21.041
49,256,171.413,149.611,125.620,114769920,72.39,25.823,19.970
50,256,169.306,117.077,131.749,80977920,72.74,22.966,14.592
51,256,172.399,155.638,123.936,116625408,73.02,28.187,20.277
52,256,154.292,99.815,121.581,70483968,73.37,19.568,13.143
53,256,151.274,90.851,122.646,65384448,73.71,16.606,12.023
54,256,149.660,74.989,123.438,58601472,74.05,14.934,11.288
55,256,142.964,58.837,122.545,40574976,74.40,11.950,8.469
56,256,157.996,94.610,125.652,62312448,74.72,19.754,12.590
57,256,240.476,385.748,122.232,313589760,74.66,67.807,50.437
58,256,171.443,150.227,125.751,112508928,74.90,25.824,19.869
59,256,141.899,41.761,125.662,29097984,75.23,9.546,6.692
60,256,177.176,164.125,126.366,125435904,75.43,29.478,21.332
61,256,216.452,312.250,126.350,255565824,75.45,48.224,41.878
62,256,182.981,201.023,122.621,158244864,75.59,34.112,26.247
63,256,174.746,108.042,136.756,76455936,75.84,23.706,14.284
64,256,166.064,129.416,124.124,95526912,76.05,24.763,17.177
65,256,194.945,229.464,127.846,182181888,76.16,36.419,30.679
66,256,220.413,328.426,125.144,263737344,76.16,51.980,43.289
67,256,166.897,102.735,129.941,74600448,76.39,23.660,13.295
68,256,177.975,177.562,123.783,137723904,76.53,30.758,23.435
69,256,198.137,248.955,124.052,195514368,76.61,42.042,32.043
70,256,167.648,118.107,126.672,83005440,76.81,26.028,14.947
71,256,163.875,114.827,126.046,79933440,77.02,22.985,14.844
72,256,180.146,188.889,123.077,146128896,77.14,32.725,24.344
73,256,193.997,236.613,124.588,187920384,77.21,38.914,30.494
74,256,140.870,56.757,121.235,37502976,77.45,11.843,7.792
75,256,147.294,61.410,125.841,40574976,77.68,13.093,8.360
