step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,421.655,837.487,225.823,670187520,4.51,119.912,75.920
2,256,283.268,584.002,159.367,442269696,10.25,76.102,47.799
3,256,326.664,694.673,181.047,524869632,14.20,88.611,57.006
4,256,226.502,398.052,115.206,289763328,19.33,80.044,31.253
5,256,217.896,374.307,116.113,283385856,23.71,70.218,31.564
6,256,244.086,374.633,135.588,289763328,27.39,78.146,30.351
7,256,164.140,226.629,94.024,173371392,31.28,51.956,18.160
8,256,205.649,346.008,111.153,267042816,34.12,64.759,29.736
9,256,233.010,436.031,112.820,335671296,36.26,87.649,32.540
10,256,225.318,415.045,98.900,328138752,38.18,91.358,35.060
11,256,227.883,363.574,127.395,272375808,40.16,72.060,28.428
12,256,163.463,223.924,93.750,172560384,42.41,53.674,16.039
13,256,244.890,495.896,104.342,391372288,43.51,98.504,42.044
14,256,196.913,297.632,103.149,231972864,45.16,70.039,23.725
15,256,322.254,642.449,146.120,498266112,45.57,121.664,54.469
16,256,190.852,286.457,101.640,224956416,47.03,63.586,25.627
17,256,157.869,186.344,93.603,141606912,48.66,47.371,16.895
18,256,181.184,248.032,100.115,192847872,49.98,58.666,22.403
19,256,234.650,467.282,104.944,364363776,50.63,88.475,41.231
20,256,186.822,266.999,101.783,207802368,51.74,62.018,23.021
21,256,174.804,253.165,95.238,198180864,52.79,56.728,22.838
22,256,139.267,150.277,89.168,116797440,54.04,38.363,11.736
23,256,131.538,125.422,88.788,95121408,55.25,32.860,9.890
24,256,204.034,330.856,102.340,251682816,55.94,73.935,27.759
25,256,151.211,174.493,95.098,131751936,56.93,42.293,13.820
26,256,144.891,138.578,94.368,105148416,57.92,38.666,11.857
27,256,146.333,175.198,92.732,137318400,58.77,38.691,14.910
28,256,150.533,173.930,90.873,132157440,59.60,45.711,13.949
29,256,142.681,155.338,90.990,122535936,60.40,39.362,12.329
30,256,114.546,79.563,85.920,55123968,61.33,22.444,6.182
31,256,144.769,138.054,97.349,102653952,62.09,35.754,11.666
32,256,139.784,148.472,89.764,113553408,62.78,36.956,13.064
33,256,110.582,67.487,86.073,50196480,63.59,19.434,5.074
34,256,267.456,586.717,107.468,462557184,63.46,109.043,50.946
35,256,277.008,598.508,108.214,474034176,63.31,115.422,53.373
36,256,263.045,570.094,112.871,446152704,63.22,101.725,48.450
37,256,202.200,311.602,112.445,236261376,63.57,63.024,26.732
38,256,177.427,188.066,113.401,142012416,64.09,48.300,15.726
39,256,188.003,298.603,99.335,233422848,64.41,62.211,26.457
40,256,156.475,177.464,94.039,134651904,64.90,47.319,15.118
41,256,213.137,391.440,97.304,309817344,65.05,81.538,34.294
42,256,276.390,582.018,124.884,464584704,64.91,99.531,51.976
43,256,279.884,620.640,105.036,487305216,64.74,119.376,55.472
44,256,175.060,242.133,99.628,184848384,65.10,53.884,21.547
45,256,176.818,269.517,97.437,212496384,65.40,54.595,24.785
46,256,155.135,187.230,95.206,139984896,65.81,43.425,16.504
47,256,134.593,145.413,87.512,112914432,66.25,34.728,12.352
48,256,161.651,216.844,92.984,167866368,66.58,49.465,19.202
49,256,185.541,303.367,95.108,237305856,66.79,64.161,26.271
50,256,198.403,347.437,95.159,270925824,66.95,72.917,30.327
51,256,196.823,339.678,97.357,259104768,67.10,69.947,29.518
52,256,174.295,250.963,95.217,191569920,67.37,58.205,20.873
53,256,176.775,272.615,99.143,211107840,67.59,54.406,23.226
54,256,125.167,113.834,86.986,88510464,67.99,28.989,9.191
55,256,120.366,99.826,86.131,72744960,68.39,26.634,7.602
56,256,137.256,139.646,91.493,103292928,68.74,34.523,11.240
57,256,233.313,454.994,125.422,345759744,68.74,70.360,37.532
58,256,144.695,159.184,94.525,117841920,69.05,38.158,12.012
59,256,117.402,71.633,91.781,52457472,69.45,19.939,5.682
60,256,162.651,192.246,96.388,148795392,69.70,49.178,17.084
61,256,238.227,476.808,98.083,377057280,69.65,97.170,42.974
62,256,194.433,322.642,94.640,252493824,69.75,70.672,29.121
63,256,152.545,160.901,94.337,123174912,70.02,43.985,14.223
64,256,146.489,152.971,91.258,116219904,70.29,41.310,13.921
65,256,183.987,261.526,104.235,202469376,70.45,57.847,21.904
66,256,377.536,926.977,121.952,741888000,69.94,170.902,84.682
67,256,213.738,381.643,101.048,297762816,69.98,78.616,34.074
68,256,182.245,273.933,100.766,214179840,70.12,56.137,25.341
69,256,199.850,347.620,100.074,268259328,70.20,71.362,28.414
70,256,217.579,371.642,122.518,281358336,70.25,63.999,31.062
71,256,147.004,168.255,93.180,129724416,70.48,39.929,13.896
72,256,168.637,246.245,94.603,189370368,70.64,54.773,19.260
73,256,198.143,342.674,92.567,268431360,70.70,76.653,28.922
74,256,195.852,278.889,102.164,213946368,70.83,68.543,25.145
75,256,207.306,348.677,103.408,260898816,70.89,75.844,28.053
76,256,256.676,534.075,110.324,405405696,70.80,103.444,42.908
77,256,196.069,292.961,103.465,227856384,70.90,68.249,24.355
78,256,162.454,186.925,99.062,144273408,71.09,47.610,15.782
79,256,200.416,340.713,97.813,263737344,71.15,73.116,29.487
80,256,283.996,614.882,108.042,488288256,70.99,121.040,54.914
81,256,152.882,189.205,93.027,141201408,71.17,44.639,15.215
82,256,362.502,881.463,140.761,697368576,70.79,145.557,76.184
83,256,229.986,450.728,107.080,346570752,70.76,85.883,37.024
84,256,261.780,563.832,112.783,441458688,70.65,99.711,49.287
85,256,182.027,291.058,92.724,226639872,70.74,65.206,24.097
86,256,212.441,404.781,97.375,317239296,70.75,79.563,35.502
87,256,264.423,563.720,103.530,441569280,70.64,112.332,48.561
88,256,258.430,521.590,110.267,406388736,70.57,102.958,45.206
89,256,236.988,453.348,109.925,353931264,70.54,87.270,39.793
90,256,185.626,307.920,93.280,238288896,70.63,66.366,25.980
91,256,165.125,210.224,98.177,164732928,70.78,48.810,18.139
92,256,162.961,217.717,92.021,167632896,70.92,51.533,19.407
93,256,138.851,146.586,90.367,112508928,71.11,36.515,11.968
94,256,131.911,134.166,86.926,98770944,71.30,34.123,10.863
