step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,666.063,1474.261,412.620,1096192000,5.87,90.884,162.558
2,256,172.908,271.419,93.192,217018368,13.60,56.203,23.514
3,256,305.177,639.613,155.779,493916160,17.50,97.703,51.696
4,256,199.763,355.751,98.907,273764352,22.48,72.787,28.069
5,256,206.985,355.122,101.528,274169856,26.67,76.711,28.747
6,256,208.184,376.448,106.381,289763328,30.14,71.888,29.915
7,256,166.016,221.153,100.761,170704896,33.85,46.987,18.268
8,256,211.163,350.777,113.540,267042816,36.53,68.190,29.433
9,256,235.311,425.680,124.052,333004800,38.55,72.957,38.302
10,256,220.705,425.961,99.451,328138752,40.33,84.652,36.603
11,256,203.169,354.951,96.104,272375808,42.20,76.050,31.015
12,256,167.287,228.174,97.633,172560384,44.35,51.455,18.199
13,256,249.657,501.992,111.759,391372288,45.35,94.762,43.136
14,256,202.450,300.404,105.991,231972864,46.92,72.035,24.424
15,256,339.765,682.785,169.942,498266112,47.25,116.678,53.145
16,256,183.313,290.508,95.515,224956416,48.64,62.835,24.963
17,256,166.032,183.061,105.640,141606912,50.21,44.825,15.567
18,256,177.713,247.757,102.583,192847872,51.47,53.807,21.323
19,256,237.710,467.980,115.615,364363776,52.06,82.339,39.756
20,256,177.636,267.963,97.439,207802368,53.11,57.390,22.807
21,256,173.621,251.805,96.714,198180864,54.12,53.453,23.454
22,256,157.949,151.529,105.214,116797440,55.32,40.059,12.676
23,256,134.403,127.520,92.541,95121408,56.49,32.276,9.586
24,256,197.925,329.757,97.960,251682816,57.14,72.455,27.510
25,256,149.362,170.279,93.752,131751936,58.09,41.634,13.976
26,256,143.380,140.135,93.937,105148416,59.05,37.752,11.691
27,256,159.004,180.331,99.234,137318400,59.87,45.608,14.162
28,256,159.223,169.711,105.927,132157440,60.67,40.663,12.633
29,256,143.327,155.589,89.500,122535936,61.44,40.629,13.198
30,256,130.719,80.248,104.706,55123968,62.33,20.436,5.578
31,256,142.874,131.199,99.474,102653952,63.07,31.429,11.971
32,256,138.867,149.329,89.274,113553408,63.74,37.728,11.865
33,256,121.506,77.379,92.181,50196480,64.53,23.047,6.278
34,256,269.310,589.418,112.935,462557184,64.37,104.563,51.813
35,256,278.189,602.069,119.798,474034176,64.20,106.290,52.101
36,256,290.551,627.002,115.683,446152704,64.09,126.942,47.926
37,256,191.404,307.836,95.627,236261376,64.43,70.515,25.263
38,256,156.616,186.812,94.410,142012416,64.92,46.883,15.324
39,256,185.310,303.006,96.817,233422848,65.22,63.571,24.922
40,256,171.373,175.354,110.876,134651904,65.70,45.630,14.867
41,256,253.016,403.806,138.358,309817344,65.84,80.223,34.434
42,256,271.480,577.408,112.597,464584704,65.68,107.245,51.637
43,256,286.074,612.362,118.551,487305216,65.49,113.733,53.790
44,256,180.932,242.800,104.883,184848384,65.84,55.743,20.305
45,256,182.036,276.878,101.511,212496384,66.13,58.387,22.138
46,256,153.754,184.746,97.402,139984896,66.52,41.378,14.974
47,256,135.943,144.227,90.327,112914432,66.95,33.954,11.661
48,256,163.841,222.343,94.224,167866368,67.26,50.798,18.820
49,256,190.803,298.675,100.456,237305856,67.46,65.381,24.967
50,256,237.649,352.361,136.752,270925824,67.60,70.238,30.659
51,256,206.234,347.700,111.743,259104768,67.75,66.020,28.471
52,256,175.972,246.748,100.793,191569920,68.01,54.556,20.623
53,256,175.606,270.963,95.656,211107840,68.22,56.180,23.770
54,256,128.502,113.510,90.458,88510464,68.60,29.191,8.854
55,256,123.592,100.624,88.175,72744960,69.00,27.786,7.630
56,256,140.279,138.665,91.179,103292928,69.34,37.084,12.016
57,256,239.333,451.731,115.412,345759744,69.33,86.463,37.457
58,256,138.930,155.003,90.748,117841920,69.63,35.154,13.028
59,256,116.690,70.875,91.484,52457472,70.02,19.786,5.420
60,256,178.683,193.676,106.909,148795392,70.26,53.488,18.286
61,256,251.201,498.654,114.038,377057280,70.20,94.074,43.088
62,256,209.240,332.741,106.150,252493824,70.30,75.803,27.287
63,256,152.228,162.844,95.280,123174912,70.56,42.641,14.307
64,256,155.382,155.202,98.947,116219904,70.82,43.435,12.999
65,256,179.057,258.394,99.701,202469376,70.97,57.936,21.420
66,256,377.392,928.385,109.829,741888000,70.46,185.724,81.840
67,256,215.803,379.308,102.316,297762816,70.49,80.946,32.541
68,256,190.723,277.616,106.585,214179840,70.62,61.129,23.009
69,256,204.625,346.357,104.871,268259328,70.69,70.472,29.282
70,256,211.247,365.090,104.286,281358336,70.74,76.146,30.816
71,256,148.655,170.234,93.120,129724416,70.97,41.991,13.544
72,256,173.139,243.537,100.845,189370368,71.12,51.145,21.148
73,256,202.543,344.492,104.167,268431360,71.18,68.938,29.438
74,256,188.478,274.692,98.173,213946368,71.29,66.242,24.063
75,256,201.906,342.043,99.542,260898816,71.35,72.801,29.563
76,256,258.599,519.651,113.706,405405696,71.25,100.723,44.169
77,256,192.543,290.872,101.500,227856384,71.35,66.552,24.490
78,256,155.984,182.853,95.344,144273408,71.54,43.944,16.697
79,256,206.096,344.180,102.172,263737344,71.59,75.349,28.575
80,256,312.417,616.378,148.939,488288256,71.42,110.569,52.909
81,256,152.953,186.565,95.064,141201408,71.60,43.341,14.547
82,256,369.797,876.626,131.606,697368576,71.21,160.765,77.426
83,256,230.501,452.960,107.266,346570752,71.18,84.664,38.571
84,256,278.038,567.111,117.328,441458688,71.06,110.661,50.049
85,256,182.141,283.512,98.623,226639872,71.15,58.639,24.879
86,256,220.636,404.813,102.309,317239296,71.16,81.523,36.803
87,256,278.759,561.760,115.964,441569280,71.05,114.264,48.531
88,256,250.149,507.315,108.266,406388736,70.96,96.746,45.137
89,256,243.957,450.549,109.478,353931264,70.93,95.818,38.662
