step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,829.575,1316.830,601.469,944668672,19.80,61.523,166.583
2,256,344.342,789.995,169.420,593809408,25.01,67.584,107.338
3,256,596.158,1020.657,418.963,734760960,29.97,42.688,134.507
4,256,298.730,626.752,171.116,487366656,34.64,23.468,104.146
5,256,315.764,596.613,196.648,467095552,38.88,19.457,99.659
6,256,365.352,612.687,260.420,445997056,42.61,16.698,88.233
7,256,283.473,438.418,192.395,309067776,45.94,12.509,78.568
8,256,467.235,621.686,349.542,467251200,48.73,11.126,106.567
9,256,3289.540,706.574,3178.261,469356544,51.34,6.404,104.875
10,256,1001.208,693.184,880.985,467234816,53.75,5.470,114.754
11,256,432.065,518.362,348.136,384151552,56.01,2.392,81.537
12,256,412.602,360.956,337.608,266231808,58.00,1.963,73.030
13,256,569.985,773.986,454.053,550272000,59.58,6.563,109.370
14,256,473.128,582.422,370.486,408338432,61.18,3.548,99.094
15,256,494.111,907.228,344.991,667348992,62.11,18.841,130.280
16,256,599.500,441.079,515.318,318627840,63.47,5.439,78.742
17,256,423.083,307.479,354.025,234389504,64.77,7.126,61.932
18,256,418.715,395.502,345.880,282963968,65.98,6.155,66.681
19,256,590.328,1042.042,435.252,752648192,66.68,23.906,131.170
20,256,337.672,549.285,243.350,411643904,67.66,12.193,82.129
21,256,315.685,450.787,231.514,344387584,68.63,4.472,79.698
22,256,250.165,291.454,192.080,232783872,69.54,4.642,53.443
23,256,240.469,238.036,194.657,187904000,70.45,4.390,41.422
24,256,332.385,559.792,236.036,422543360,71.22,5.084,91.266
25,256,265.680,319.576,206.771,254693376,71.96,6.104,52.806
26,256,253.577,298.605,194.590,240283648,72.69,2.107,56.879
27,256,529.663,341.217,458.157,258637824,73.36,7.176,64.329
28,256,503.430,295.773,446.000,207413248,74.03,7.773,49.658
29,256,283.241,290.112,229.989,222117888,74.64,4.283,48.969
30,256,329.581,420.127,256.163,330899456,75.20,1.688,71.731
31,256,333.252,282.252,274.575,214274048,75.71,9.309,49.368
32,256,236.267,258.841,189.970,198008832,76.25,3.490,42.808
33,256,193.151,127.947,160.470,103464960,76.76,7.996,24.686
34,256,432.621,906.440,281.821,659849216,76.94,22.401,128.399
35,256,441.667,961.088,265.968,703885312,76.85,45.198,130.501
36,256,428.156,882.961,280.337,652972032,77.02,25.903,121.916
37,256,385.754,512.425,298.968,389828608,77.41,6.779,80.007
38,256,280.948,331.485,211.328,262676480,77.79,7.828,61.792
39,256,341.571,473.950,260.273,345432064,78.17,2.749,78.549
40,256,282.140,392.303,212.921,309645312,78.55,3.656,65.564
41,256,361.011,630.284,256.593,465801216,78.84,10.798,93.621
42,256,513.172,850.779,397.918,632451072,79.04,12.333,102.921
43,256,494.100,845.021,383.209,641589248,79.26,4.076,106.815
44,256,328.580,379.354,260.514,292585472,79.56,5.994,62.072
45,256,745.152,566.212,645.817,359763968,79.84,11.375,87.961
46,256,315.079,340.460,255.546,259760128,80.12,4.645,54.888
47,256,320.834,316.907,265.293,209424384,80.42,6.657,48.884
48,256,532.765,466.808,457.881,301223936,80.68,3.192,71.692
49,256,433.337,606.574,337.071,462962688,80.89,3.436,92.830
50,256,357.491,622.458,258.339,466268160,81.07,10.321,88.830
51,256,302.336,551.644,198.191,426237952,81.21,16.354,87.790
52,256,279.896,425.445,190.365,340287488,81.44,6.604,82.926
53,256,297.562,523.306,205.589,403378176,81.64,6.835,85.138
54,256,262.225,303.748,196.229,238678016,81.89,6.667,59.329
55,256,191.567,155.382,152.871,130129920,82.14,3.220,35.475
56,256,241.782,216.619,195.569,174338048,82.40,2.727,43.486
57,256,348.590,667.532,218.687,500293632,82.43,31.940,97.963
58,256,240.207,300.783,173.573,242716672,82.64,5.467,61.166
59,256,208.174,127.625,182.972,95698944,82.87,3.475,21.727
60,256,316.350,361.816,242.396,266964992,83.07,4.640,69.314
61,256,385.345,749.626,257.530,574427136,83.17,19.818,107.997
