step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,1223.271,1483.141,999.338,1236488192,17.63,30.553,193.381
2,256,626.644,633.452,504.165,404611072,24.98,19.023,103.457
3,256,865.460,1253.867,701.985,712695808,30.70,2.214,161.260
4,256,391.572,597.052,276.286,470323200,35.82,7.200,108.086
5,256,617.630,624.879,516.736,431775744,40.38,1.368,99.526
6,256,377.813,609.900,256.157,461590528,43.85,14.510,107.146
7,256,278.134,381.648,206.170,311328768,47.20,3.637,68.327
8,256,360.247,589.049,244.144,467734528,49.99,5.165,110.938
9,256,453.166,602.490,322.121,493355008,51.87,36.861,94.185
10,256,270.931,587.696,132.367,523886592,53.41,29.452,109.113
11,256,276.391,543.434,154.735,453980160,55.14,19.325,102.331
12,256,242.132,384.744,150.174,336465920,57.02,7.362,84.597
13,256,330.207,695.771,188.351,608623616,58.09,19.820,122.036
14,256,275.360,518.630,156.953,448663552,59.52,7.532,110.876
15,256,372.653,826.985,208.317,728039424,60.24,27.645,136.691
16,256,278.951,473.042,165.451,401805312,61.44,14.610,98.890
17,256,237.250,286.990,164.854,250716160,62.83,3.861,68.536
18,256,378.919,407.539,294.268,343171072,64.04,5.414,79.237
19,256,401.514,755.705,246.330,668254208,64.62,19.412,135.773
20,256,274.726,488.109,164.422,433381376,65.54,11.527,98.777
21,256,265.153,421.710,165.763,367902720,66.53,5.293,94.097
22,256,280.949,312.114,197.985,251371520,67.52,4.002,78.962
23,256,219.196,252.913,154.624,213602304,68.47,2.927,61.645
24,256,331.060,491.676,227.159,430215168,69.22,4.096,99.805
25,256,252.550,300.141,177.884,264065024,70.06,1.427,73.238
26,256,241.544,319.057,165.628,272936960,70.80,1.624,74.292
27,256,238.253,329.147,164.104,280780800,71.50,4.082,70.067
28,256,235.602,295.415,164.741,259948544,72.18,5.968,64.893
29,256,262.444,299.073,191.867,252510208,72.82,3.964,66.612
30,256,260.898,366.800,164.308,336154624,73.39,2.631,93.959
31,256,220.201,256.372,155.055,222195712,73.93,4.230,60.916
32,256,211.802,247.196,147.769,210857984,74.51,1.941,62.092
33,256,188.350,129.460,151.928,104353792,75.06,4.761,31.661
34,256,356.188,716.718,215.146,661782528,75.12,17.395,123.647
35,256,338.624,748.605,177.003,721506304,75.02,31.490,130.131
36,256,395.373,758.247,253.658,670920704,75.25,16.630,125.085
37,256,298.805,487.644,184.493,426442752,75.62,3.762,110.550
38,256,256.337,321.205,169.973,279330816,76.03,2.895,83.470
39,256,311.519,468.313,196.217,402583552,76.39,2.293,113.009
40,256,281.004,381.684,181.134,330493952,76.78,2.576,97.294
41,256,311.789,580.193,189.019,518103040,77.00,5.850,116.919
42,256,337.865,723.830,184.029,686764032,76.94,17.313,136.522
43,256,362.961,766.220,216.277,712073216,76.98,13.063,133.621
44,256,283.043,387.294,178.656,323133440,77.31,5.470,98.918
45,256,292.398,445.422,183.759,395161600,77.59,1.708,106.931
46,256,272.819,318.617,193.863,275759104,77.91,1.792,77.164
47,256,246.621,269.262,178.436,228417536,78.24,2.032,66.153
48,256,312.369,399.478,230.252,336310272,78.56,1.646,80.471
49,256,309.146,476.330,192.859,407760896,78.80,4.045,112.243
50,256,675.430,543.084,546.251,449708032,79.03,3.027,126.152
51,256,295.493,493.367,188.249,445792256,79.19,2.985,104.259
52,256,307.748,397.865,231.444,330182656,79.47,2.745,73.558
53,256,498.902,482.424,389.865,401678336,79.69,4.428,104.610
54,256,278.041,271.556,209.142,228089856,79.98,1.459,67.439
55,256,363.932,177.821,313.933,131424256,80.27,2.226,47.772
56,256,429.323,224.432,364.642,168677376,80.56,2.426,62.255
57,256,318.600,547.553,201.628,497299456,80.59,11.778,105.194
58,256,244.836,270.069,170.867,224284672,80.83,2.044,71.925
59,256,218.482,124.395,184.862,97071104,81.09,2.113,31.507
60,256,285.234,318.475,188.507,271486976,81.33,1.190,95.537
61,256,369.951,688.383,229.525,609263616,81.41,8.763,131.662
62,256,315.957,495.082,211.216,432881664,81.58,3.267,101.474
63,256,254.951,296.231,173.157,254988288,81.79,2.027,79.767
64,256,264.974,301.351,175.868,257576960,82.00,2.837,86.269
65,256,290.863,418.351,186.432,369041408,82.15,1.470,102.962
66,256,477.437,1040.077,251.203,1041412096,81.78,40.883,185.350
67,256,335.859,582.763,216.427,502398976,81.87,5.934,113.498
68,256,358.909,431.255,260.343,370896896,82.00,2.456,96.111
69,256,301.958,515.398,182.288,460779520,82.11,2.679,116.991
70,256,303.818,533.604,186.965,473956352,82.21,4.905,111.948
71,256,253.433,263.003,185.705,219918336,82.38,3.622,64.107
72,256,279.048,391.997,198.046,330727424,82.54,1.569,79.433
73,256,319.685,494.767,192.973,436547584,82.65,6.217,120.495
74,256,308.790,436.815,198.282,376885248,82.77,4.018,106.490
75,256,301.619,515.034,190.238,452935680,82.87,3.707,107.674
76,256,327.586,669.345,197.658,607936512,82.85,6.654,123.273
77,256,296.973,458.722,192.195,402350080,82.97,2.345,102.433
78,256,268.666,339.069,178.113,285802496,83.11,1.421,89.132
79,256,305.538,485.535,191.241,437264384,83.19,9.514,104.784
80,256,392.253,749.280,235.744,705462272,83.15,15.965,140.544
81,256,328.090,297.934,255.592,256937984,83.29,1.978,70.520
82,256,453.122,1012.249,234.174,926330880,82.98,38.006,180.942
83,256,340.547,622.010,203.595,565600256,83.00,11.111,125.841
84,256,402.957,767.821,241.551,716984320,82.91,16.643,144.763
85,256,336.430,573.249,216.860,490921984,82.99,4.311,115.260
86,256,321.952,599.823,195.189,535379968,83.03,3.551,123.213
87,256,340.731,678.521,191.115,646049792,82.96,15.482,134.134
