step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,824.282,507.827,316.456,815583232,1.61,0.000
2,256,782.265,508.258,274.007,816078848,2.81,0.000
3,256,481.981,259.352,222.629,388624384,7.89,0.000
4,256,675.568,426.513,249.055,667369472,9.69,0.000
5,256,529.157,291.723,237.434,435462144,13.09,0.000
6,256,481.020,256.407,224.613,389406720,16.36,0.000
7,256,555.511,330.525,224.987,522174464,18.26,0.000
8,256,544.907,316.715,228.192,473145344,20.26,0.000
9,256,501.735,280.826,220.910,415629312,22.41,0.000
10,256,384.088,187.437,196.651,267153408,25.14,0.000
11,256,469.039,260.052,208.988,392122368,26.88,0.000
12,256,340.594,144.682,195.912,190087168,29.54,0.000
13,256,353.289,161.453,191.836,216686592,31.80,0.000
14,256,378.317,183.234,195.083,257970176,33.68,0.000
15,256,380.487,189.763,190.724,275251200,35.31,0.000
16,256,338.789,148.760,190.029,207953920,37.08,0.000
17,256,506.419,266.594,239.825,405999616,37.89,0.000
18,256,374.413,177.663,196.750,250036224,39.28,0.000
19,256,466.776,254.141,212.634,374775808,40.06,0.000
20,256,457.228,247.297,209.931,364126208,40.85,0.000
21,256,524.931,298.539,226.392,453722112,41.25,0.000
22,256,407.392,204.246,203.146,288927744,42.19,0.000
23,256,482.054,162.997,319.057,218136576,43.31,0.000
24,256,422.970,213.565,209.405,310603776,44.06,0.000
25,256,515.137,293.020,222.117,436133888,44.36,0.000
26,256,420.960,220.519,200.441,321314816,44.99,0.000
27,256,332.323,148.312,184.012,206716928,45.95,0.000
28,256,268.294,93.656,174.637,116367360,47.11,0.000
29,256,615.066,367.039,248.026,587661312,46.84,0.000
30,256,572.540,121.257,451.283,156057600,47.81,0.000
31,256,462.097,246.563,215.533,373350400,48.13,0.000
32,256,383.416,188.638,194.778,263188480,48.76,0.000
33,256,456.249,245.828,210.421,350240768,49.11,0.000
34,256,683.406,427.039,256.368,670920704,48.63,0.000
35,256,537.290,303.747,233.544,460283904,48.71,0.000
36,256,526.628,303.713,222.915,461332480,48.76,0.000
37,256,386.570,190.015,196.555,270921728,49.27,0.000
38,256,631.778,376.309,255.470,601751552,49.01,0.000
39,256,678.245,421.485,256.760,653529088,48.62,0.000
40,256,552.558,328.909,223.649,494891008,48.61,0.000
41,256,605.570,365.849,239.721,584548352,48.42,0.000
42,256,426.627,220.878,205.749,321568768,48.79,0.000
43,256,566.833,234.808,332.026,348119040,49.07,0.000
44,256,819.527,368.106,451.422,556756992,48.91,0.000
45,256,610.110,371.004,239.106,585859072,48.72,0.000
46,256,344.330,163.186,181.144,226828288,49.23,0.000
47,256,538.899,312.091,226.807,469581824,49.26,0.000
48,256,606.714,366.036,240.678,578699264,49.09,0.000
49,256,559.179,313.898,245.281,475418624,49.11,0.000
50,256,577.350,340.126,237.224,519942144,49.04,0.000
51,256,431.643,231.548,200.094,343146496,49.29,0.000
52,256,422.138,217.081,205.057,309284864,49.60,0.000
53,256,448.033,217.992,230.041,315740160,49.89,0.000
54,256,477.920,254.348,223.572,375525376,50.06,0.000
55,256,517.125,291.686,225.440,438493184,50.13,0.000
56,256,366.782,164.561,202.220,225337344,50.53,0.000
57,256,430.998,221.822,209.176,315703296,50.79,0.000
58,256,340.986,152.191,188.795,211095552,51.20,0.000
59,256,354.295,161.982,192.312,219664384,51.59,0.000
60,256,684.959,433.856,251.102,683720704,51.23,0.000
61,256,575.303,348.082,227.222,534462464,51.12,0.000
62,256,591.027,347.125,243.902,545435648,51.00,0.000
63,256,585.210,350.487,234.724,541560832,50.89,0.000
64,256,331.893,140.190,191.703,189321216,51.29,0.000
65,256,362.412,170.082,192.329,232562688,51.62,0.000
66,256,610.274,354.091,256.183,559820800,51.48,0.000
67,256,495.652,278.664,216.987,416956416,51.55,0.000
68,256,480.428,263.665,216.763,401047552,51.64,0.000
69,256,461.899,255.781,206.118,399413248,51.72,0.000
70,256,491.051,273.014,218.037,414060544,51.79,0.000
71,256,369.374,177.712,191.662,246337536,52.08,0.000
72,256,533.359,305.175,228.184,465080320,52.06,0.000
73,256,351.743,155.445,196.297,216641536,52.37,0.000
74,256,537.833,308.621,229.212,467992576,52.35,0.000
75,256,515.292,288.387,226.905,431988736,52.37,0.000
76,256,704.286,443.862,260.425,699211776,52.07,0.000
77,256,487.363,258.403,228.960,382976000,52.16,0.000
78,256,354.510,163.849,190.661,239140864,52.43,0.000
79,256,415.667,210.082,205.585,309202944,52.60,0.000
80,256,441.530,234.827,206.702,350400512,52.72,0.000
81,256,383.285,185.858,197.427,270794752,52.93,0.000
82,256,369.348,167.105,202.244,237768704,53.18,0.000
83,256,445.471,233.542,211.928,337805312,53.30,0.000
84,256,517.646,290.809,226.836,447983616,53.30,0.000
85,256,486.240,273.074,213.166,418312192,53.33,0.000
86,256,434.298,230.826,203.471,346800128,53.44,0.000
87,256,462.580,244.800,217.780,370573312,53.52,0.000
88,256,439.482,230.087,209.395,338907136,53.64,0.000
89,256,485.576,266.829,218.746,408985600,53.68,0.000
90,256,456.280,244.677,211.604,368381952,53.76,0.000
91,256,401.565,199.990,201.575,296132608,53.91,0.000
92,256,367.128,169.762,197.366,237035520,54.13,0.000
93,256,563.176,333.201,229.975,494469120,54.06,0.000
94,256,441.596,219.265,222.330,338825216,54.16,0.000
95,256,499.198,279.594,219.603,426250240,54.17,0.000
96,256,406.564,202.863,203.701,291885056,54.32,0.000
97,256,576.863,340.072,236.791,534642688,54.22,0.000
98,256,504.005,284.627,219.378,416149504,54.25,0.000
99,256,420.981,212.828,208.153,314994688,54.37,0.000
100,256,622.845,347.459,275.387,529547264,54.28,0.000
101,256,706.891,433.351,273.540,675872768,54.04,0.000
102,256,622.845,376.114,246.731,575553536,53.90,0.000
103,256,598.122,351.238,246.884,555638784,53.80,0.000
104,256,609.000,364.501,244.499,561156096,53.68,0.000
105,256,363.856,168.739,195.117,226836480,53.88,0.000
106,256,650.734,187.816,462.918,257867776,54.05,0.000
107,256,430.356,217.860,212.496,323624960,54.15,0.000
108,256,566.571,319.546,247.025,484040704,54.11,0.000
109,256,431.221,223.984,207.236,315686912,54.22,0.000
110,256,470.917,239.407,231.510,370700288,54.28,0.000
111,256,443.788,237.177,206.611,357613568,54.35,0.000
112,256,581.144,337.158,243.986,520241152,54.28,0.000
113,256,466.119,252.113,214.005,389570560,54.33,0.000
114,256,523.775,302.423,221.351,460169216,54.31,0.000
115,256,529.297,298.841,230.457,460107776,54.29,0.000
116,256,382.752,185.512,197.240,252133376,54.44,0.000
117,256,408.273,195.654,212.620,273063936,54.58,0.000
118,256,557.049,327.782,229.267,498999296,54.52,0.000
119,256,451.261,238.588,212.672,359682048,54.58,0.000
120,256,481.661,260.000,221.661,385110016,54.62,0.000
121,256,441.220,232.135,209.085,338079744,54.70,0.000
122,256,472.961,254.829,218.132,378580992,54.74,0.000
123,256,532.972,303.292,229.680,458080256,54.72,0.000
124,256,599.689,355.465,244.224,549097472,54.63,0.000
125,256,620.404,363.670,256.734,569384960,54.53,0.000
126,256,407.088,194.863,212.225,270192640,54.66,0.000
127,256,532.948,303.677,229.270,462139392,54.63,0.000
128,256,330.737,142.796,187.941,197926912,54.81,0.000
129,256,414.514,213.180,201.334,315596800,54.89,0.000
130,256,602.301,352.708,249.593,551985152,54.80,0.000
131,256,483.371,265.946,217.425,395055104,54.83,0.000
132,256,535.986,308.435,227.551,475500544,54.80,0.000
133,256,740.220,458.653,281.567,728756224,54.58,0.000
134,256,547.632,320.617,227.015,490545152,54.54,0.000
135,256,500.503,275.201,225.302,404008960,54.56,0.000
136,256,685.400,421.243,264.157,674738176,54.39,0.000
137,256,596.584,349.299,247.286,542457856,54.31,0.000
138,256,476.729,265.908,210.822,394493952,54.34,0.000
139,256,448.637,239.340,209.298,355434496,54.40,0.000
140,256,660.700,404.391,256.309,648069120,54.25,0.000
141,256,508.039,268.140,239.899,404656128,54.28,0.000
142,256,527.317,300.543,226.774,465215488,54.26,0.000
143,256,423.888,220.063,203.825,326397952,54.33,0.000
144,256,406.748,203.307,203.441,286056448,54.43,0.000
145,256,620.530,358.340,262.190,553181184,54.35,0.000
146,256,521.287,291.576,229.711,431177728,54.35,0.000
147,256,522.427,289.655,232.772,436318208,54.35,0.000
148,256,474.480,260.685,213.794,391458816,54.38,0.000
149,256,389.324,186.665,202.659,265084928,54.49,0.000
150,256,412.113,198.222,213.891,286658560,54.59,0.000
151,256,446.410,234.749,211.661,333705216,54.65,0.000
152,256,519.615,300.027,219.588,462553088,54.64,0.000
153,256,396.457,195.937,200.520,281804800,54.74,0.000
154,256,568.717,323.332,245.385,499122176,54.69,0.000
155,256,393.632,191.087,202.545,267411456,54.80,0.000
156,256,414.121,212.127,201.994,317153280,54.87,0.000
157,256,645.196,389.860,255.336,601792512,54.77,0.000
158,256,476.087,259.545,216.542,390848512,54.79,0.000
159,256,351.022,160.594,190.428,217542656,54.93,0.000
160,256,510.667,290.916,219.751,442810368,54.92,0.000
161,256,540.248,308.300,231.949,470941696,54.89,0.000
162,256,487.903,268.906,218.997,418279424,54.90,0.000
163,256,384.836,187.009,197.827,257114112,55.00,0.000
164,256,401.060,196.684,204.376,285331456,55.09,0.000
165,256,344.496,147.269,197.227,194424832,55.24,0.000
166,256,511.109,286.824,224.285,435683328,55.23,0.000
167,256,611.302,371.917,239.385,576376832,55.14,0.000
168,256,367.971,165.443,202.528,228331520,55.26,0.000
169,256,391.021,192.028,198.993,265965568,55.36,0.000
170,256,497.362,265.448,231.913,397930496,55.37,0.000
171,256,448.860,238.845,210.015,361803776,55.41,0.000
172,256,446.027,232.424,213.603,334594048,55.46,0.000
173,256,407.111,198.958,208.153,285306880,55.54,0.000
174,256,600.706,359.227,241.480,555606016,55.47,0.000
175,256,437.822,225.706,212.116,335151104,55.52,0.000
176,256,426.739,223.348,203.391,325881856,55.58,0.000
177,256,404.847,195.467,209.380,281714688,55.66,0.000
178,256,274.909,99.835,175.074,134455296,55.82,0.000
179,256,256.002,86.349,169.653,114118656,55.99,0.000
180,256,514.092,290.158,223.933,432652288,55.99,0.000
181,256,545.232,310.418,234.815,471846912,55.96,0.000
182,256,394.517,191.924,202.592,261582848,56.05,0.000
183,256,300.180,112.290,187.889,145133568,56.20,0.000
184,256,509.783,280.809,228.974,419663872,56.20,0.000
185,256,593.813,331.643,262.171,518012928,56.14,0.000
186,256,563.657,329.065,234.592,515051520,56.09,0.000
187,256,383.681,179.088,204.593,248721408,56.18,0.000
188,256,379.847,179.443,200.404,254877696,56.27,0.000
189,256,327.040,133.683,193.357,183635968,56.40,0.000
190,256,280.363,97.995,182.368,126373888,56.55,0.000
191,256,313.079,127.938,185.141,167620608,56.68,0.000
192,256,443.829,218.554,225.275,323420160,56.72,0.000
193,256,464.094,251.664,212.430,384151552,56.73,0.000
194,256,416.896,211.809,205.087,312061952,56.79,0.000
195,256,532.902,296.510,236.392,450555904,56.76,0.000
196,256,461.638,249.006,212.631,362696704,56.79,0.000
197,256,365.412,168.899,196.514,237776896,56.88,0.000
198,256,360.485,154.793,205.692,214679552,56.98,0.000
199,256,372.933,176.553,196.380,244101120,57.06,0.000
200,256,637.759,372.645,265.114,575844352,56.98,0.000
201,256,372.015,176.605,195.409,258142208,57.06,0.000
202,256,572.157,331.027,241.130,513515520,57.01,0.000
203,256,502.433,281.251,221.182,409473024,57.01,0.000
204,256,440.102,228.710,211.391,335990784,57.05,0.000
205,256,464.629,242.615,222.015,361156608,57.07,0.000
206,256,375.269,170.186,205.082,231927808,57.16,0.000
207,256,408.495,192.712,215.784,281714688,57.22,0.000
208,256,440.513,226.810,213.704,329998336,57.25,0.000
209,256,525.024,295.949,229.075,433590272,57.24,0.000
210,256,390.161,186.759,203.402,271659008,57.31,0.000
211,256,248.593,77.517,171.076,98430976,57.46,0.000
212,256,340.520,146.462,194.058,206729216,57.56,0.000
213,256,475.887,257.251,218.636,384204800,57.57,0.000
214,256,637.496,378.820,258.675,595869696,57.47,0.000
215,256,715.855,373.567,342.288,585646080,57.39,0.000
216,256,435.535,222.664,212.871,324317184,57.42,0.000
217,256,369.985,174.939,195.046,243486720,57.50,0.000
218,256,431.500,215.282,216.218,314880000,57.54,0.000
219,256,335.521,139.752,195.769,187121664,57.64,0.000
220,256,565.602,318.312,247.289,481124352,57.61,0.000
221,256,670.392,409.215,261.177,627585024,57.50,0.000
222,256,389.511,181.498,208.013,258600960,57.57,0.000
223,256,422.119,208.797,213.322,288329728,57.62,0.000
224,256,464.011,244.324,219.688,356724736,57.64,0.000
225,256,408.501,203.713,204.789,291024896,57.69,0.000
226,256,501.116,269.888,231.228,392384512,57.70,0.000
227,256,379.383,178.803,200.580,264335360,57.76,0.000
228,256,594.554,341.313,253.241,521719808,57.71,0.000
229,256,405.112,194.711,210.401,273117184,57.77,0.000
230,256,795.788,287.133,508.655,428969984,57.75,0.000
231,256,435.308,220.257,215.051,316477440,57.79,0.000
232,256,402.501,191.026,211.475,269467648,57.85,0.000
233,256,541.956,307.998,233.958,489955328,57.81,0.000
234,256,491.254,269.459,221.795,405905408,57.81,0.000
235,256,317.079,132.593,184.486,184381440,57.91,0.000
236,256,526.913,288.320,238.594,434651136,57.89,0.000
237,256,433.772,222.044,211.728,322207744,57.92,0.000
238,256,575.993,335.578,240.415,512741376,57.88,0.000
239,256,630.507,357.415,273.092,564256768,57.81,0.000
240,256,429.339,205.708,223.630,292679680,57.86,0.000
241,256,429.567,212.508,217.059,310595584,57.89,0.000
242,256,405.017,190.965,214.052,282345472,57.94,0.000
243,256,383.937,174.909,209.028,240771072,58.01,0.000
244,256,600.175,356.530,243.646,550113280,57.94,0.000
245,256,515.168,273.639,241.529,409616384,57.94,0.000
246,256,334.605,139.326,195.279,193679360,58.03,0.000
247,256,450.692,233.130,217.562,340074496,58.05,0.000
248,256,534.000,291.162,242.838,442019840,58.03,0.000
249,256,614.640,348.721,265.919,530919424,57.98,0.000
250,256,639.538,377.788,261.749,581263360,57.90,0.000
251,256,487.835,257.791,230.044,374865920,57.91,0.000
252,256,392.567,187.035,205.532,266579968,57.97,0.000
253,256,440.539,223.082,217.457,332210176,57.99,0.000
254,256,407.854,202.504,205.351,307290112,58.03,0.000
255,256,526.741,291.054,235.687,441446400,58.02,0.000
256,256,585.292,332.315,252.977,513654784,57.97,0.000
# summary tokens=256 s/tok=0.481 tok/s=2.077 read_MiB=93586.7 io_s=65.62 compute_s/tok=0.225 io_s/tok=0.256 cache_hit_pct=58.0 n_prompt=42 load_s=24.787 prefill_s=9.248 prefill_tps=4.54 stall_s/tok=0.000
