step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,529.336,1069.710,299.508,808386560,1.70,229.828
2,256,560.813,1116.318,329.961,823279616,2.81,230.852
3,256,357.421,536.930,232.184,388624384,7.89,125.237
4,256,525.191,924.060,309.121,670969856,9.66,216.070
5,256,376.578,618.910,241.867,435462144,13.06,134.711
6,256,372.676,555.145,256.411,389406720,16.33,116.265
7,256,421.241,717.551,267.253,522174464,18.23,153.987
8,256,387.969,662.854,243.443,473145344,20.23,144.526
9,256,358.643,562.846,230.044,394645504,22.51,128.599
10,256,295.083,370.522,207.451,267153408,25.23,87.631
11,256,351.785,540.273,229.983,392122368,26.97,121.802
12,256,287.911,282.491,199.037,190087168,29.63,88.874
13,256,290.066,308.074,200.326,212336640,31.90,89.739
14,256,305.708,368.929,207.942,257970176,33.77,97.766
15,256,314.769,387.142,213.882,275251200,35.40,100.887
16,256,293.273,307.478,206.569,207953920,37.16,86.704
17,256,375.618,568.014,250.250,402399232,37.99,125.368
18,256,384.283,342.079,298.021,245690368,39.39,86.263
19,256,381.955,537.067,269.376,374775808,40.17,112.580
20,256,343.182,523.248,220.526,359780352,40.96,122.656
21,256,379.815,632.074,239.029,453722112,41.36,140.786
22,256,316.596,418.711,216.893,288927744,42.30,99.703
23,256,300.131,318.308,207.668,218136576,43.42,92.463
24,256,321.124,455.446,213.741,310603776,44.17,107.383
25,256,376.035,618.326,240.447,436133888,44.46,135.588
26,256,318.711,450.370,212.242,321314816,45.09,106.469
27,256,278.260,300.094,196.908,206716928,46.05,81.352
28,256,253.423,162.375,195.341,116367360,47.21,58.082
29,256,430.816,779.934,266.850,587661312,46.93,163.966
30,256,247.815,221.822,189.452,156057600,47.90,58.363
31,256,357.602,543.244,233.376,373350400,48.22,124.225
32,256,309.894,385.361,212.893,263188480,48.85,97.001
33,256,329.975,491.162,219.258,346644480,49.20,110.717
34,256,473.489,935.188,278.165,670920704,48.72,195.324
35,256,380.015,631.600,240.312,460283904,48.80,139.703
36,256,380.687,674.080,239.130,469278720,48.83,141.557
37,256,314.390,396.420,215.904,270921728,49.33,98.486
38,256,445.560,815.499,275.139,601751552,49.07,170.422
39,256,460.506,893.488,276.523,653529088,48.68,183.983
40,256,392.069,702.758,243.239,494891008,48.67,148.830
41,256,439.765,828.214,268.744,588898304,48.47,171.022
42,256,320.295,449.589,215.683,321568768,48.84,104.612
43,256,332.122,471.469,222.879,348119040,49.12,109.242
44,256,416.194,754.563,257.644,552411136,48.97,158.549
45,256,434.935,824.940,266.566,585859072,48.78,168.369
46,256,286.562,329.212,202.524,226828288,49.28,84.039
47,256,397.715,682.931,255.239,469581824,49.31,142.476
48,256,426.518,778.518,263.158,578699264,49.14,163.361
49,256,396.237,659.323,247.327,471072768,49.17,148.910
50,256,411.432,722.622,255.267,519942144,49.10,156.165
51,256,343.971,496.864,225.298,343887872,49.35,118.673
52,256,339.936,466.595,225.028,309284864,49.66,114.908
53,256,331.376,452.866,220.560,315740160,49.95,110.816
54,256,353.575,530.955,230.844,375525376,50.11,122.731
55,256,381.889,605.417,245.177,439242752,50.18,136.712
56,256,301.094,325.830,209.208,225337344,50.59,91.885
57,256,338.141,465.432,225.594,315703296,50.84,112.547
58,256,295.837,317.938,205.787,211095552,51.25,90.050
59,256,294.058,336.712,200.418,219664384,51.64,93.640
60,256,500.098,952.494,302.489,683720704,51.28,197.609
61,256,421.437,749.988,259.993,534462464,51.17,161.444
62,256,416.682,738.012,260.924,545435648,51.05,155.758
63,256,424.925,769.030,257.892,550240256,50.92,167.032
64,256,270.094,273.203,194.095,193667072,51.32,75.999
65,256,312.074,349.288,220.361,232562688,51.65,91.713
66,256,430.473,773.700,267.515,559820800,51.51,162.958
67,256,372.064,609.884,233.654,416956416,51.58,138.410
68,256,369.439,568.946,236.513,401047552,51.67,132.926
69,256,346.649,552.106,227.385,399413248,51.75,119.264
70,256,362.095,586.080,232.079,414060544,51.82,130.016
71,256,308.943,361.979,209.756,246337536,52.10,99.187
72,256,389.015,672.089,243.289,465080320,52.09,145.726
73,256,279.809,315.420,200.632,216641536,52.39,79.177
74,256,390.382,654.713,250.397,467992576,52.37,139.985
75,256,372.602,610.947,240.608,431988736,52.40,131.993
76,256,492.749,977.516,287.059,699211776,52.09,205.690
77,256,345.909,526.372,223.564,382976000,52.19,122.345
78,256,300.145,351.549,206.081,239140864,52.45,94.064
79,256,320.743,443.384,218.402,309202944,52.63,102.340
80,256,330.347,491.160,219.839,350400512,52.75,110.508
81,256,306.312,384.121,212.048,270794752,52.96,94.264
82,256,300.086,347.166,217.434,237768704,53.21,82.652
83,256,333.349,477.538,226.026,329863168,53.33,107.323
84,256,382.575,617.094,246.056,447983616,53.33,136.519
85,256,369.175,575.994,239.549,418312192,53.36,129.627
86,256,341.053,483.063,225.659,346800128,53.47,115.394
87,256,363.638,552.033,231.205,370573312,53.55,132.433
88,256,337.541,484.557,225.150,338907136,53.67,112.391
89,256,360.406,591.570,231.427,408985600,53.71,128.979
90,256,357.469,533.259,238.042,368381952,53.79,119.427
91,256,311.091,427.623,212.950,296132608,53.94,98.141
92,256,296.750,349.042,206.024,237035520,54.15,90.726
93,256,394.828,694.577,250.867,498810880,54.08,143.962
94,256,336.261,476.892,226.919,338825216,54.18,109.342
95,256,376.687,595.613,242.256,434196480,54.19,134.431
96,256,327.334,406.070,223.031,291885056,54.34,104.304
97,256,411.387,742.783,254.240,534642688,54.24,157.147
98,256,370.651,612.866,233.249,412545024,54.27,137.401
99,256,353.351,461.938,233.144,314994688,54.39,120.207
100,256,407.089,715.112,256.466,529547264,54.29,150.623
101,256,476.499,906.600,288.638,675872768,54.06,187.861
102,256,432.049,784.664,268.847,575553536,53.92,163.202
103,256,416.513,735.621,261.210,555638784,53.81,155.303
104,256,429.016,777.407,263.006,561156096,53.70,166.010
105,256,296.680,316.119,210.017,226836480,53.90,86.663
106,256,324.336,349.823,229.571,257867776,54.07,94.765
107,256,328.999,451.155,224.794,323624960,54.17,104.205
108,256,405.320,686.438,251.546,484040704,54.13,153.774
109,256,328.280,462.699,217.087,315686912,54.24,111.193
110,256,363.192,538.456,232.818,370700288,54.30,130.374
111,256,399.195,519.887,275.946,357613568,54.37,123.249
112,256,419.135,720.381,261.313,520241152,54.30,157.821
113,256,361.920,548.136,235.169,389570560,54.35,126.751
114,256,386.964,649.640,244.616,460169216,54.32,142.348
115,256,391.455,656.431,245.970,463712256,54.30,145.484
116,256,308.779,349.203,211.588,252133376,54.46,97.191
117,256,307.528,380.892,209.207,273063936,54.59,98.321
118,256,400.248,677.740,251.823,498999296,54.53,148.425
119,256,345.682,516.587,231.609,359682048,54.59,114.073
120,256,359.737,538.745,235.492,385110016,54.63,124.245
121,256,330.485,468.802,221.181,338079744,54.71,109.304
122,256,362.673,534.406,238.083,378580992,54.75,124.590
123,256,387.912,665.934,245.393,458080256,54.73,142.519
124,256,427.365,742.850,269.900,549097472,54.64,157.465
125,256,431.162,761.073,265.253,569384960,54.54,165.909
126,256,318.782,389.543,214.538,270192640,54.67,104.245
127,256,387.031,659.267,244.276,462139392,54.64,142.755
128,256,269.524,279.049,197.606,197926912,54.82,71.918
