step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,3669.316,0.000,3669.316,0,-1.00,0.000
2,256,897.291,0.000,897.291,0,-1.00,0.000
3,256,484.136,0.000,484.136,0,-1.00,0.000
4,256,2122.324,0.000,2122.324,0,-1.00,0.000
5,256,511.478,0.000,511.478,0,-1.00,0.000
6,256,3039.000,0.000,3039.000,0,-1.00,0.000
7,256,476.080,0.000,476.080,0,-1.00,0.000
8,256,3854.458,0.000,3854.458,0,-1.00,0.000
9,256,5379.161,0.000,5379.161,0,-1.00,0.000
10,256,428.014,0.000,428.014,0,-1.00,0.000
11,256,2510.513,0.000,2510.513,0,-1.00,0.000
12,256,6079.243,0.000,6079.243,0,-1.00,0.000
13,256,318.217,0.000,318.217,0,-1.00,0.000
14,256,5436.418,0.000,5436.418,0,-1.00,0.000
15,256,4259.226,0.000,4259.226,0,-1.00,0.000
16,256,223.928,0.000,223.928,0,-1.00,0.000
17,256,287.178,0.000,287.178,0,-1.00,0.000
18,256,4386.716,0.000,4386.716,0,-1.00,0.000
19,256,6823.284,0.000,6823.284,0,-1.00,0.000
20,256,297.795,0.000,297.795,0,-1.00,0.000
21,256,432.288,0.000,432.288,0,-1.00,0.000
22,256,298.697,0.000,298.697,0,-1.00,0.000
23,256,3760.111,0.000,3760.111,0,-1.00,0.000
24,256,260.428,0.000,260.428,0,-1.00,0.000
25,256,3570.094,0.000,3570.094,0,-1.00,0.000
26,256,308.124,0.000,308.124,0,-1.00,0.000
27,256,2334.448,0.000,2334.448,0,-1.00,0.000
28,256,3571.245,0.000,3571.245,0,-1.00,0.000
29,256,964.375,0.000,964.375,0,-1.00,0.000
30,256,4914.254,0.000,4914.254,0,-1.00,0.000
31,256,242.234,0.000,242.234,0,-1.00,0.000
32,256,5616.195,0.000,5616.195,0,-1.00,0.000
33,256,466.504,0.000,466.504,0,-1.00,0.000
34,256,991.633,0.000,991.633,0,-1.00,0.000
35,256,3723.235,0.000,3723.235,0,-1.00,0.000
36,256,5918.396,0.000,5918.396,0,-1.00,0.000
37,256,2556.195,0.000,2556.195,0,-1.00,0.000
38,256,5115.137,0.000,5115.137,0,-1.00,0.000
39,256,3177.743,0.000,3177.743,0,-1.00,0.000
40,256,6188.591,0.000,6188.591,0,-1.00,0.000
41,256,666.327,0.000,666.327,0,-1.00,0.000
42,256,511.379,0.000,511.379,0,-1.00,0.000
43,256,600.595,0.000,600.595,0,-1.00,0.000
44,256,2486.739,0.000,2486.739,0,-1.00,0.000
45,256,378.452,0.000,378.452,0,-1.00,0.000
46,256,1600.091,0.000,1600.091,0,-1.00,0.000
47,256,1099.242,0.000,1099.242,0,-1.00,0.000
48,256,2891.270,0.000,2891.270,0,-1.00,0.000
49,256,385.065,0.000,385.065,0,-1.00,0.000
50,256,677.493,0.000,677.493,0,-1.00,0.000
51,256,432.974,0.000,432.974,0,-1.00,0.000
