step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,623.887,442.059,181.827,947564544,-1.00,0.000
2,256,611.529,442.931,168.597,947560448,-1.00,0.000
3,256,615.209,446.827,168.382,947539968,-1.00,0.000
4,256,628.541,460.636,167.905,947625984,-1.00,0.000
5,256,613.055,452.615,160.440,947515392,-1.00,0.000
6,256,603.859,444.141,159.718,947597312,-1.00,0.000
7,256,625.667,447.754,177.912,947552256,-1.00,0.000
8,256,612.031,448.013,164.019,947531776,-1.00,0.000
9,256,609.268,448.728,160.540,947683328,-1.00,0.000
10,256,618.731,449.359,169.372,947499008,-1.00,0.000
11,256,619.155,452.617,166.538,947646464,-1.00,0.000
12,256,624.027,451.023,173.004,947650560,-1.00,0.000
13,256,619.636,457.588,162.048,947539968,-1.00,0.000
14,256,612.969,452.098,160.871,947589120,-1.00,0.000
15,256,599.567,442.030,157.537,947613696,-1.00,0.000
16,256,612.071,451.664,160.407,947539968,-1.00,0.000
17,256,622.570,448.454,174.116,947605504,-1.00,0.000
18,256,630.642,451.939,178.703,947585024,-1.00,0.000
19,256,612.766,449.737,163.029,947470336,-1.00,0.000
20,256,606.208,444.484,161.724,947499008,-1.00,0.000
21,256,611.371,445.594,165.776,947617792,-1.00,0.000
22,256,627.417,448.925,178.491,947568640,-1.00,0.000
23,256,615.490,450.278,165.212,947630080,-1.00,0.000
24,256,639.669,444.988,194.681,947580928,-1.00,0.000
25,256,613.429,448.612,164.817,947519488,-1.00,0.000
26,256,608.523,452.848,155.675,947535872,-1.00,0.000
27,256,620.577,450.269,170.308,947544064,-1.00,0.000
28,256,630.688,447.062,183.627,947564544,-1.00,0.000
29,256,616.929,454.275,162.654,947568640,-1.00,0.000
30,256,607.777,443.344,164.433,947585024,-1.00,0.000
31,256,600.878,443.478,157.400,947572736,-1.00,0.000
32,256,614.706,445.180,169.526,947515392,-1.00,0.000
33,256,631.915,452.703,179.212,947597312,-1.00,0.000
34,256,637.044,450.893,186.151,947572736,-1.00,0.000
35,256,622.712,454.935,167.777,947621888,-1.00,0.000
36,256,636.872,456.638,180.235,947544064,-1.00,0.000
37,256,609.949,451.544,158.405,947572736,-1.00,0.000
38,256,602.387,442.229,160.158,947564544,-1.00,0.000
39,256,618.473,456.536,161.937,947568640,-1.00,0.000
40,256,624.653,459.389,165.265,947564544,-1.00,0.000
41,256,620.430,453.734,166.695,947597312,-1.00,0.000
42,256,614.110,450.688,163.421,947630080,-1.00,0.000
43,256,626.292,451.627,174.665,947544064,-1.00,0.000
44,256,614.342,447.968,166.374,947576832,-1.00,0.000
45,256,610.377,449.676,160.702,947527680,-1.00,0.000
46,256,622.823,453.461,169.362,947531776,-1.00,0.000
47,256,617.188,454.168,163.020,947572736,-1.00,0.000
48,256,605.954,444.794,161.160,947560448,-1.00,0.000
49,256,617.943,447.740,170.202,947576832,-1.00,0.000
50,256,619.342,456.440,162.902,947568640,-1.00,0.000
51,256,617.733,456.652,161.081,947552256,-1.00,0.000
52,256,622.924,454.892,168.032,947548160,-1.00,0.000
53,256,612.011,450.542,161.469,947638272,-1.00,0.000
54,256,621.996,451.619,170.377,947519488,-1.00,0.000
55,256,609.572,444.649,164.922,947527680,-1.00,0.000
56,256,608.868,445.752,163.115,947535872,-1.00,0.000
57,256,617.659,456.465,161.194,947531776,-1.00,0.000
58,256,609.013,447.413,161.600,947634176,-1.00,0.000
59,256,606.727,449.932,156.795,947625984,-1.00,0.000
60,256,621.402,453.697,167.704,947548160,-1.00,0.000
61,256,620.664,455.258,165.406,947499008,-1.00,0.000
62,256,621.359,444.512,176.847,947564544,-1.00,0.000
63,256,642.438,448.180,194.258,947458048,-1.00,0.000
64,256,615.868,448.205,167.663,947556352,-1.00,0.000
65,256,608.474,442.593,165.880,947548160,-1.00,0.000
66,256,612.047,447.795,164.252,947572736,-1.00,0.000
67,256,609.648,448.393,161.255,947642368,-1.00,0.000
68,256,633.389,445.863,187.527,947601408,-1.00,0.000
