step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,557.415,1503.252,213.181,947564544,-1.00,344.234
2,256,545.147,1516.419,171.061,947560448,-1.00,374.086
3,256,576.249,1611.748,179.422,947539968,-1.00,396.826
4,256,595.942,1652.625,190.005,947625984,-1.00,405.937
5,256,571.410,1560.630,187.344,947515392,-1.00,384.066
6,256,538.271,1494.274,167.321,947597312,-1.00,370.951
7,256,540.076,1496.989,169.346,947552256,-1.00,370.731
8,256,551.326,1533.019,169.432,947531776,-1.00,381.894
9,256,556.274,1519.362,195.530,947683328,-1.00,360.744
10,256,545.623,1521.211,169.936,947499008,-1.00,375.686
11,256,552.461,1501.860,207.883,947646464,-1.00,344.578
12,256,548.033,1507.906,183.508,947650560,-1.00,364.526
13,256,546.874,1528.926,168.707,947539968,-1.00,378.167
14,256,541.768,1510.661,169.662,947589120,-1.00,372.107
15,256,538.665,1501.545,165.996,947613696,-1.00,372.669
16,256,545.320,1527.196,167.207,947539968,-1.00,378.113
17,256,536.861,1493.543,166.456,947605504,-1.00,370.405
18,256,540.969,1503.135,167.269,947585024,-1.00,373.700
19,256,533.919,1487.006,168.048,947470336,-1.00,365.871
20,256,539.319,1513.894,164.091,947499008,-1.00,375.228
21,256,578.992,1542.392,199.845,947617792,-1.00,379.147
22,256,559.825,1537.722,177.360,947568640,-1.00,382.466
23,256,542.992,1516.808,168.096,947630080,-1.00,374.896
24,256,537.046,1494.469,167.571,947580928,-1.00,369.475
25,256,565.814,1518.711,198.161,947519488,-1.00,367.653
26,256,606.440,1526.848,243.908,947535872,-1.00,362.532
27,256,537.899,1506.427,165.229,947544064,-1.00,372.671
28,256,539.687,1478.538,175.406,947564544,-1.00,364.282
29,256,559.826,1508.703,201.780,947568640,-1.00,358.047
30,256,533.713,1491.534,165.754,947585024,-1.00,367.959
31,256,535.430,1488.232,168.790,947572736,-1.00,366.640
32,256,537.652,1505.599,168.406,947515392,-1.00,369.246
33,256,542.902,1517.649,167.898,947597312,-1.00,375.004
34,256,540.006,1498.154,171.185,947572736,-1.00,368.821
35,256,548.053,1515.349,172.784,947621888,-1.00,375.268
36,256,567.165,1535.157,189.437,947544064,-1.00,377.728
37,256,546.937,1531.901,167.839,947572736,-1.00,379.097
38,256,556.719,1469.805,202.643,947564544,-1.00,354.077
39,256,547.514,1534.060,169.941,947568640,-1.00,377.572
40,256,556.146,1551.283,173.365,947564544,-1.00,382.782
41,256,543.268,1520.803,170.641,947597312,-1.00,372.627
42,256,557.148,1537.992,179.374,947630080,-1.00,377.774
43,256,552.781,1504.713,189.041,947544064,-1.00,363.740
44,256,537.635,1488.148,169.139,947576832,-1.00,368.496
45,256,546.933,1520.793,170.364,947527680,-1.00,376.569
46,256,550.590,1528.860,177.614,947531776,-1.00,372.976
47,256,559.426,1571.156,171.483,947572736,-1.00,387.943
48,256,551.714,1525.950,184.677,947560448,-1.00,367.038
49,256,544.457,1513.026,171.007,947576832,-1.00,373.450
50,256,546.312,1517.170,170.181,947568640,-1.00,376.131
51,256,554.265,1548.920,170.631,947552256,-1.00,383.634
52,256,566.309,1529.149,229.581,947548160,-1.00,336.728
53,256,543.244,1515.764,169.577,947638272,-1.00,373.667
54,256,546.510,1525.382,170.177,947519488,-1.00,376.333
55,256,537.097,1484.451,171.755,947527680,-1.00,365.342
56,256,539.733,1497.578,168.529,947535872,-1.00,371.204
57,256,549.633,1525.899,173.387,947531776,-1.00,376.246
58,256,552.761,1528.288,177.591,947634176,-1.00,375.170
59,256,542.434,1507.195,169.670,947625984,-1.00,372.765
60,256,564.294,1494.372,203.933,947548160,-1.00,360.362
61,256,559.393,1507.377,198.150,947499008,-1.00,361.242
62,256,541.340,1499.991,170.800,947564544,-1.00,370.539
63,256,541.842,1511.485,166.452,947458048,-1.00,375.390
64,256,536.304,1497.195,167.254,947556352,-1.00,369.051
65,256,549.627,1532.739,172.837,947548160,-1.00,376.790
66,256,538.853,1489.183,172.638,947572736,-1.00,366.214
67,256,544.666,1505.552,172.783,947642368,-1.00,371.883
68,256,546.564,1500.877,174.810,947601408,-1.00,371.754
69,256,527.497,1462.148,166.165,947630080,-1.00,361.332
70,256,539.853,1497.739,171.660,947601408,-1.00,368.193
71,256,558.129,1491.142,197.507,947642368,-1.00,360.621
72,256,564.329,1499.925,204.236,947560448,-1.00,360.093
73,256,543.721,1512.734,171.915,947576832,-1.00,371.806
74,256,555.859,1485.512,192.931,947617792,-1.00,362.928
75,256,538.301,1481.216,172.343,947589120,-1.00,365.958
