step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,664.200,431.883,232.317,945930240,1.53,0.000
2,256,457.955,275.582,182.373,592687104,6.18,0.000
3,256,505.529,308.232,197.296,660738048,9.36,0.000
4,256,333.898,180.959,152.938,362508288,14.35,0.000
5,256,331.753,180.391,151.362,359608320,18.58,0.000
6,256,351.899,192.571,159.328,397922304,21.95,0.000
7,256,247.150,114.330,132.820,204730368,26.02,0.000
8,256,324.728,173.975,150.753,349003776,28.73,0.000
9,256,395.279,225.455,169.824,457629696,30.52,0.000
10,256,350.166,191.570,158.596,387956736,32.47,0.000
11,256,359.929,192.518,167.411,381579264,34.25,0.000
12,256,254.108,118.673,135.435,216612864,36.60,0.000
13,256,403.118,233.306,169.812,487071232,37.56,0.000
14,256,474.776,288.097,186.678,626884608,37.84,0.000
15,256,553.707,346.647,207.059,754176000,37.57,0.000
16,256,470.642,276.983,193.659,601264128,37.92,0.000
17,256,357.178,195.977,161.201,392822784,39.01,0.000
18,256,371.043,211.190,159.853,432991744,39.87,0.000
19,256,591.517,378.782,212.736,834514944,39.30,0.000
20,256,500.970,306.932,194.038,663343104,39.34,0.000
21,256,472.697,286.090,186.607,610947072,39.52,0.000
22,256,460.688,275.768,184.920,599002624,39.74,0.000
23,256,457.136,276.344,180.792,580804608,39.99,0.000
24,256,378.073,213.471,164.602,438964224,40.63,0.000
25,256,457.996,272.710,185.287,583814656,40.85,0.000
26,256,493.290,301.031,192.259,645783552,40.87,0.000
27,256,378.487,214.802,163.685,446558208,41.41,0.000
28,256,477.908,291.226,186.682,634650112,41.45,0.000
29,256,378.945,214.807,164.138,446091264,41.96,0.000
30,256,549.555,343.984,205.571,752726016,41.70,0.000
31,256,361.515,202.636,158.879,413749248,42.24,0.000
32,256,513.648,320.850,192.798,690880512,42.12,0.000
33,256,409.087,237.047,172.040,495881728,42.45,0.000
34,256,659.993,417.654,242.339,916070400,41.84,0.000
35,256,543.247,338.655,204.593,737599488,41.64,0.000
36,256,444.333,262.244,182.089,549040128,41.84,0.000
37,256,344.677,182.529,162.147,360824320,42.42,0.000
38,256,264.138,122.813,141.325,221945856,43.24,0.000
39,256,319.637,166.450,153.188,323788800,43.83,0.000
40,256,254.339,115.998,138.340,206352384,44.63,0.000
41,256,401.201,205.146,196.055,409227264,45.01,0.000
42,256,468.897,255.581,213.316,541617664,45.14,0.000
43,256,529.422,324.661,204.760,711106560,44.95,0.000
44,256,285.769,140.106,145.663,256376832,45.57,0.000
45,256,416.629,241.540,175.089,509853696,45.73,0.000
46,256,315.521,162.297,153.224,311095296,46.22,0.000
47,256,394.816,220.953,173.862,455540736,46.46,0.000
48,256,479.835,288.950,190.885,624623104,46.41,0.000
49,256,405.658,225.522,180.136,471773184,46.60,0.000
50,256,406.697,232.866,173.831,485044224,46.77,0.000
51,256,446.902,262.450,184.452,550895616,46.83,0.000
52,256,385.531,217.858,167.673,457973248,47.03,0.000
53,256,495.312,301.006,194.306,654127104,46.94,0.000
54,256,371.980,207.385,164.595,427081728,47.17,0.000
55,256,451.448,265.523,185.925,563933184,47.21,0.000
56,256,332.109,178.464,153.646,351498240,47.54,0.000
57,256,555.760,349.145,206.615,760552960,47.28,0.000
58,256,344.417,186.678,157.740,372363264,47.57,0.000
59,256,338.504,179.667,158.837,360652800,47.87,0.000
60,256,381.164,215.395,165.770,438558720,48.06,0.000
61,256,439.891,254.782,185.109,539824128,48.10,0.000
62,256,453.653,269.858,183.795,577670656,48.10,0.000
63,256,511.169,310.825,200.344,669548544,47.98,0.000
64,256,386.400,215.282,171.119,442441728,48.15,0.000
65,256,483.263,293.053,190.211,635289088,48.07,0.000
66,256,688.630,451.256,237.375,993976320,47.56,0.000
67,256,439.493,236.207,203.285,483827712,47.68,0.000
68,256,308.747,157.554,151.193,307851264,47.99,0.000
69,256,391.937,223.190,168.747,465162240,48.13,0.000
70,256,578.455,365.280,213.175,805821952,47.86,0.000
