step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,483.425,806.741,326.205,670187520,4.51,157.220
2,256,262.978,532.371,156.971,442269696,10.25,106.007
3,256,293.071,633.676,168.391,524869632,14.20,124.680
4,256,213.714,361.991,145.021,289763328,19.33,68.692
5,256,289.012,353.346,225.657,283385856,23.71,63.355
6,256,223.648,364.735,148.498,289763328,27.39,75.150
7,256,165.933,223.104,121.116,173371392,31.28,44.817
8,256,194.590,326.965,132.732,267042816,34.12,61.858
9,256,218.349,416.741,136.074,335671296,36.26,82.275
10,256,485.034,433.707,410.747,328138752,38.18,74.288
11,256,201.346,353.259,133.464,272375808,40.16,67.883
12,256,163.454,228.026,119.044,172560384,42.41,44.410
13,256,257.785,485.968,163.831,391372288,43.51,93.954
14,256,367.143,295.972,312.550,231972864,45.16,54.593
15,256,460.615,620.838,341.100,498266112,45.57,119.515
16,256,182.302,283.278,126.568,224956416,47.03,55.734
17,256,152.287,178.030,115.040,141606912,48.66,37.247
18,256,170.901,248.416,122.272,192847872,49.98,48.629
19,256,430.901,478.030,342.691,364363776,50.63,88.210
20,256,179.868,261.995,128.266,207802368,51.74,51.602
21,256,171.557,248.470,124.309,198180864,52.79,47.248
22,256,145.269,149.785,114.655,116797440,54.04,30.614
23,256,136.308,125.448,109.210,95121408,55.25,27.098
24,256,191.744,326.742,128.360,251682816,55.94,63.384
25,256,155.520,174.065,120.062,131751936,56.93,35.458
26,256,240.692,138.366,211.516,105148416,57.92,29.177
27,256,151.739,181.477,117.714,137318400,58.77,34.025
28,256,154.050,173.057,116.288,132157440,59.60,37.762
29,256,149.885,158.160,113.986,122535936,60.40,35.899
30,256,122.907,76.717,105.277,55123968,61.33,17.630
31,256,140.491,131.895,111.955,102653952,62.09,28.536
32,256,143.773,149.953,113.620,113553408,62.78,30.153
33,256,124.673,77.778,105.816,50196480,63.59,18.856
34,256,262.403,573.094,153.376,462557184,63.46,109.027
35,256,277.287,596.717,160.156,474034176,63.31,117.132
36,256,261.058,558.504,155.573,446152704,63.22,105.485
37,256,397.641,320.957,334.287,236261376,63.57,63.354
38,256,157.133,179.749,121.155,142012416,64.09,35.978
39,256,395.934,316.365,338.011,233422848,64.41,57.923
40,256,550.634,181.638,513.802,134651904,64.90,36.832
41,256,209.994,376.889,140.163,309817344,65.05,69.831
42,256,466.733,572.589,352.962,464584704,64.91,113.771
43,256,290.209,597.013,180.980,487305216,64.74,109.229
44,256,197.498,239.248,149.753,184848384,65.10,47.745
45,256,393.275,298.446,334.699,212496384,65.40,58.577
46,256,154.234,187.540,117.103,139984896,65.81,37.132
47,256,144.327,147.532,114.031,112914432,66.25,30.296
48,256,162.042,215.897,119.119,167866368,66.58,42.923
49,256,185.003,298.277,126.682,237305856,66.79,58.322
50,256,660.195,372.094,599.538,270925824,66.95,60.656
51,256,787.991,367.150,723.567,259104768,67.10,64.424
52,256,172.489,247.428,124.386,191569920,67.37,48.103
53,256,387.161,284.032,334.153,211107840,67.59,53.008
54,256,154.004,118.273,128.384,88510464,67.99,25.620
55,256,132.762,98.616,110.484,72744960,68.39,22.279
56,256,141.576,137.047,111.797,103292928,68.74,29.778
57,256,228.583,434.935,143.293,345759744,68.74,85.290
58,256,147.234,161.043,113.790,117841920,69.05,33.444
59,256,124.799,69.098,107.877,52457472,69.45,16.922
60,256,159.779,192.119,117.521,148795392,69.70,42.259
61,256,434.047,479.750,343.235,377057280,69.65,90.812
62,256,210.466,318.658,148.777,252493824,69.75,61.689
63,256,152.660,158.807,119.601,123174912,70.02,33.059
64,256,147.289,150.704,117.012,116219904,70.29,30.277
65,256,174.817,254.376,125.319,202469376,70.45,49.499
66,256,371.025,899.354,194.391,741888000,69.94,176.634
67,256,212.447,375.935,139.306,297762816,69.98,73.141
68,256,388.977,296.987,332.617,214179840,70.12,56.360
69,256,416.079,340.703,355.325,268259328,70.20,60.754
70,256,203.924,350.544,136.797,281358336,70.25,67.126
71,256,158.215,175.222,121.693,129724416,70.48,36.521
72,256,171.687,245.039,123.849,189370368,70.64,47.838
73,256,200.783,338.552,136.627,268431360,70.70,64.155
74,256,180.980,271.744,127.494,213946368,70.83,53.486
75,256,195.596,332.538,131.836,260898816,70.89,63.760
76,256,246.923,510.637,152.554,405405696,70.80,94.369
77,256,187.569,284.428,130.449,227856384,70.90,57.120
78,256,154.369,184.777,117.958,144273408,71.09,36.411
79,256,410.051,359.519,341.428,263737344,71.15,68.623
80,256,632.308,611.697,517.178,488288256,70.99,115.130
81,256,173.819,187.999,136.205,141201408,71.17,37.614
82,256,381.686,837.076,221.366,697368576,70.79,160.320
83,256,225.219,445.639,140.196,346570752,70.76,85.024
84,256,258.940,544.877,156.853,441458688,70.65,102.087
85,256,375.630,301.170,319.731,226639872,70.74,55.898
86,256,214.379,396.564,142.861,317239296,70.75,71.518
87,256,260.515,541.276,156.925,441569280,70.64,103.590
88,256,246.264,491.463,152.903,406388736,70.57,93.361
89,256,620.134,470.339,532.413,353931264,70.54,87.721
90,256,195.673,302.068,139.510,238288896,70.63,56.164
91,256,163.162,206.244,121.568,164732928,70.78,41.593
92,256,175.825,216.308,133.617,167632896,70.92,42.208
93,256,356.551,164.962,322.706,112508928,71.11,33.845
94,256,149.945,133.009,120.297,98770944,71.30,29.648
95,256,159.513,138.030,125.360,99004416,71.49,34.154
96,256,263.728,464.851,174.352,376246272,71.44,89.376
97,256,248.923,442.395,169.255,350220288,71.41,79.667
98,256,226.626,378.496,156.619,295096320,71.43,70.007
99,256,221.746,336.614,160.427,266575872,71.48,61.320
100,256,166.675,145.207,130.492,114536448,71.65,36.183
101,256,213.624,313.403,152.744,244666368,71.71,60.880
102,256,215.406,304.906,155.152,244666368,71.77,60.254
103,256,192.870,246.592,140.438,191803392,71.87,52.432
104,256,216.547,341.527,150.664,271159296,71.90,65.883
105,256,204.749,295.123,144.901,230522880,71.96,59.848
106,256,201.143,246.055,147.188,193019904,72.06,53.955
107,256,396.797,188.150,356.402,130535424,72.20,40.395
108,256,132.844,85.390,113.811,58601472,72.40,19.034
109,256,140.055,109.918,115.265,75005952,72.58,24.790
110,256,660.955,672.414,539.313,538546176,72.40,121.641
