step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,1250.017,0.000,1250.017,0,-1.00,0.000
2,256,964.237,0.000,964.237,0,-1.00,0.000
3,256,1011.622,0.000,1011.622,0,-1.00,0.000
4,256,532.845,0.000,532.845,0,-1.00,0.000
5,256,499.460,0.000,499.460,0,-1.00,0.000
6,256,474.326,0.000,474.326,0,-1.00,0.000
7,256,324.436,0.000,324.436,0,-1.00,0.000
8,256,428.344,0.000,428.344,0,-1.00,0.000
9,256,531.010,0.000,531.010,0,-1.00,0.000
10,256,679.001,0.000,679.001,0,-1.00,0.000
11,256,445.505,0.000,445.505,0,-1.00,0.000
12,256,318.455,0.000,318.455,0,-1.00,0.000
13,256,566.347,0.000,566.347,0,-1.00,0.000
14,256,559.722,0.000,559.722,0,-1.00,0.000
15,256,898.553,0.000,898.553,0,-1.00,0.000
16,256,360.738,0.000,360.738,0,-1.00,0.000
17,256,255.164,0.000,255.164,0,-1.00,0.000
18,256,497.484,0.000,497.484,0,-1.00,0.000
19,256,554.041,0.000,554.041,0,-1.00,0.000
20,256,688.520,0.000,688.520,0,-1.00,0.000
21,256,297.278,0.000,297.278,0,-1.00,0.000
22,256,219.540,0.000,219.540,0,-1.00,0.000
23,256,191.715,0.000,191.715,0,-1.00,0.000
24,256,332.090,0.000,332.090,0,-1.00,0.000
25,256,192.895,0.000,192.895,0,-1.00,0.000
26,256,568.100,0.000,568.100,0,-1.00,0.000
27,256,373.501,0.000,373.501,0,-1.00,0.000
28,256,215.598,0.000,215.598,0,-1.00,0.000
29,256,341.921,0.000,341.921,0,-1.00,0.000
30,256,159.947,0.000,159.947,0,-1.00,0.000
31,256,183.387,0.000,183.387,0,-1.00,0.000
32,256,192.843,0.000,192.843,0,-1.00,0.000
33,256,132.809,0.000,132.809,0,-1.00,0.000
34,256,560.151,0.000,560.151,0,-1.00,0.000
35,256,696.478,0.000,696.478,0,-1.00,0.000
36,256,699.749,0.000,699.749,0,-1.00,0.000
37,256,468.178,0.000,468.178,0,-1.00,0.000
38,256,223.366,0.000,223.366,0,-1.00,0.000
39,256,292.338,0.000,292.338,0,-1.00,0.000
40,256,279.651,0.000,279.651,0,-1.00,0.000
41,256,530.365,0.000,530.365,0,-1.00,0.000
42,256,338.328,0.000,338.328,0,-1.00,0.000
43,256,600.325,0.000,600.325,0,-1.00,0.000
44,256,247.915,0.000,247.915,0,-1.00,0.000
45,256,348.609,0.000,348.609,0,-1.00,0.000
46,256,360.352,0.000,360.352,0,-1.00,0.000
47,256,201.961,0.000,201.961,0,-1.00,0.000
48,256,418.174,0.000,418.174,0,-1.00,0.000
49,256,255.605,0.000,255.605,0,-1.00,0.000
50,256,207.455,0.000,207.455,0,-1.00,0.000
51,256,365.228,0.000,365.228,0,-1.00,0.000
52,256,185.142,0.000,185.142,0,-1.00,0.000
53,256,164.615,0.000,164.615,0,-1.00,0.000
54,256,162.004,0.000,162.004,0,-1.00,0.000
55,256,144.115,0.000,144.115,0,-1.00,0.000
56,256,171.172,0.000,171.172,0,-1.00,0.000
57,256,474.735,0.000,474.735,0,-1.00,0.000
58,256,252.117,0.000,252.117,0,-1.00,0.000
59,256,141.448,0.000,141.448,0,-1.00,0.000
60,256,245.922,0.000,245.922,0,-1.00,0.000
61,256,482.506,0.000,482.506,0,-1.00,0.000
