step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,563.097,462.868,100.228,1101791232,-1.00,0.000
2,256,573.781,457.669,116.112,1101791232,-1.00,0.000
3,256,551.254,456.526,94.728,1101791232,-1.00,0.000
4,256,555.987,460.371,95.615,1101791232,-1.00,0.000
5,256,552.559,457.535,95.024,1101791232,-1.00,0.000
6,256,573.867,462.431,111.436,1101791232,-1.00,0.000
7,256,556.811,458.314,98.497,1101791232,-1.00,0.000
8,256,558.097,459.721,98.376,1101791232,-1.00,0.000
9,256,557.847,460.380,97.467,1101791232,-1.00,0.000
10,256,562.993,462.110,100.883,1101791232,-1.00,0.000
11,256,553.183,458.207,94.976,1101791232,-1.00,0.000
12,256,597.542,470.169,127.372,1101791232,-1.00,0.000
13,256,602.629,462.596,140.033,1101790720,-1.00,0.000
14,256,561.024,460.825,100.199,1101791232,-1.00,0.000
15,256,565.679,459.338,106.341,1101791232,-1.00,0.000
16,256,573.606,461.513,112.093,1101791232,-1.00,0.000
17,256,563.599,459.641,103.958,1101791232,-1.00,0.000
18,256,554.140,457.767,96.373,1101790720,-1.00,0.000
19,256,560.772,462.185,98.587,1101791232,-1.00,0.000
20,256,557.865,461.440,96.425,1101791232,-1.00,0.000
21,256,575.236,464.777,110.459,1101791232,-1.00,0.000
22,256,564.028,460.526,103.502,1101790720,-1.00,0.000
23,256,568.097,456.271,111.826,1101791232,-1.00,0.000
24,256,555.438,459.533,95.905,1101791232,-1.00,0.000
25,256,552.532,456.958,95.574,1101790720,-1.00,0.000
26,256,567.144,466.060,101.084,1101791232,-1.00,0.000
27,256,600.504,492.310,108.195,1101791232,-1.00,0.000
28,256,554.896,458.950,95.946,1101790720,-1.00,0.000
29,256,554.613,458.586,96.027,1101790720,-1.00,0.000
30,256,571.611,460.843,110.768,1101791232,-1.00,0.000
31,256,553.268,457.442,95.826,1101791232,-1.00,0.000
32,256,566.106,458.789,107.317,1101791232,-1.00,0.000
33,256,553.884,456.831,97.053,1101790720,-1.00,0.000
34,256,554.989,458.187,96.802,1101791232,-1.00,0.000
35,256,554.475,456.477,97.997,1101791232,-1.00,0.000
36,256,563.019,458.588,104.431,1101791232,-1.00,0.000
37,256,553.991,457.530,96.461,1101790720,-1.00,0.000
38,256,569.361,458.095,111.266,1101791232,-1.00,0.000
39,256,554.562,457.867,96.696,1101791232,-1.00,0.000
40,256,564.439,461.497,102.942,1101791232,-1.00,0.000
41,256,557.083,460.205,96.878,1101791232,-1.00,0.000
42,256,554.213,456.817,97.396,1101790720,-1.00,0.000
43,256,560.628,459.231,101.397,1101791232,-1.00,0.000
44,256,561.685,464.820,96.865,1101791232,-1.00,0.000
45,256,572.472,460.149,112.322,1101790720,-1.00,0.000
46,256,553.963,457.033,96.930,1101791232,-1.00,0.000
47,256,560.044,459.894,100.150,1101791232,-1.00,0.000
48,256,557.361,457.677,99.684,1101790720,-1.00,0.000
49,256,556.054,456.716,99.338,1101791232,-1.00,0.000
50,256,555.965,459.990,95.975,1101791232,-1.00,0.000
51,256,554.822,458.865,95.957,1101791232,-1.00,0.000
52,256,556.337,460.477,95.860,1101790720,-1.00,0.000
53,256,570.009,461.984,108.025,1101791232,-1.00,0.000
54,256,557.708,460.316,97.392,1101791232,-1.00,0.000
55,256,562.148,463.297,98.851,1101791232,-1.00,0.000
56,256,552.361,456.571,95.791,1101791232,-1.00,0.000
57,256,554.789,458.987,95.802,1101790720,-1.00,0.000
58,256,556.776,456.842,99.934,1101791232,-1.00,0.000
59,256,571.664,468.515,103.148,1101790720,-1.00,0.000
60,256,568.929,462.208,106.721,1101791232,-1.00,0.000
61,256,558.117,459.592,98.525,1101791232,-1.00,0.000
62,256,580.502,461.391,119.111,1101790720,-1.00,0.000
63,256,575.464,460.463,115.001,1101791232,-1.00,0.000
64,256,556.040,457.852,98.189,1101791232,-1.00,0.000
65,256,557.174,457.950,99.225,1101790720,-1.00,0.000
66,256,566.556,458.617,107.939,1101791232,-1.00,0.000
67,256,556.236,456.421,99.815,1101791232,-1.00,0.000
68,256,560.319,457.699,102.619,1101791232,-1.00,0.000
69,256,555.145,457.918,97.227,1101791232,-1.00,0.000
70,256,562.393,459.084,103.310,1101790720,-1.00,0.000
71,256,557.744,458.982,98.763,1101791232,-1.00,0.000
72,256,555.687,459.063,96.624,1101791232,-1.00,0.000
73,256,569.184,459.436,109.747,1101790720,-1.00,0.000
74,256,553.428,456.611,96.816,1101791232,-1.00,0.000
75,256,560.203,458.948,101.255,1101791232,-1.00,0.000
76,256,555.834,457.959,97.875,1101791232,-1.00,0.000
77,256,560.218,456.031,104.187,1101790720,-1.00,0.000
78,256,557.314,460.726,96.589,1101791232,-1.00,0.000
79,256,555.294,458.512,96.782,1101791232,-1.00,0.000
80,256,566.307,456.985,109.322,1101791232,-1.00,0.000
81,256,569.105,457.582,111.523,1101790720,-1.00,0.000
82,256,569.456,466.633,102.822,1101791232,-1.00,0.000
83,256,565.280,462.094,103.186,1101791232,-1.00,0.000
84,256,554.552,456.692,97.860,1101790720,-1.00,0.000
85,256,556.877,460.142,96.735,1101791232,-1.00,0.000
86,256,554.264,456.972,97.291,1101791232,-1.00,0.000
87,256,559.905,460.743,99.162,1101791232,-1.00,0.000
88,256,579.433,459.676,119.757,1101791232,-1.00,0.000
89,256,554.740,457.253,97.487,1101791232,-1.00,0.000
90,256,566.328,458.606,107.721,1101790720,-1.00,0.000
91,256,555.192,458.184,97.008,1101791232,-1.00,0.000
92,256,557.435,460.855,96.581,1101791232,-1.00,0.000
93,256,555.582,458.055,97.526,1101791232,-1.00,0.000
94,256,561.383,460.553,100.830,1101791232,-1.00,0.000
95,256,556.105,458.258,97.848,1101791232,-1.00,0.000
96,256,578.750,457.884,120.866,1101790720,-1.00,0.000
97,256,553.825,455.568,98.257,1101791232,-1.00,0.000
98,256,580.297,460.044,120.253,1101791232,-1.00,0.000
99,256,555.793,457.790,98.004,1101791232,-1.00,0.000
100,256,556.648,458.642,98.006,1101790720,-1.00,0.000
101,256,566.667,461.867,104.800,1101791232,-1.00,0.000
102,256,557.254,456.303,100.952,1101790720,-1.00,0.000
103,256,581.596,459.653,121.943,1101790720,-1.00,0.000
104,256,554.596,457.182,97.414,1101791232,-1.00,0.000
105,256,555.372,456.918,98.453,1101791232,-1.00,0.000
106,256,556.347,457.857,98.490,1101791232,-1.00,0.000
107,256,564.914,457.850,107.064,1101791232,-1.00,0.000
108,256,554.761,456.856,97.905,1101790720,-1.00,0.000
109,256,571.597,461.021,110.576,1101790720,-1.00,0.000
110,256,556.212,455.312,100.901,1101791232,-1.00,0.000
111,256,556.132,458.314,97.818,1101791232,-1.00,0.000
