step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms
1,256,499.556,1624.083,105.669,1101791232,-1.00,393.887
2,256,691.742,1632.824,317.343,1101791232,-1.00,374.399
3,256,670.985,1622.872,290.249,1101791232,-1.00,380.736
4,256,1024.548,1655.460,655.174,1101791232,-1.00,369.374
5,256,683.942,1628.756,302.658,1101791232,-1.00,381.284
6,256,846.999,1620.918,476.609,1101791232,-1.00,370.390
7,256,495.776,1604.979,107.432,1101791232,-1.00,388.345
8,256,701.142,1639.190,318.837,1101791232,-1.00,382.305
9,256,1195.410,1653.265,838.131,1101791232,-1.00,357.279
10,256,846.062,1627.822,472.456,1101791232,-1.00,373.606
11,256,495.790,1611.608,106.325,1101791232,-1.00,389.465
12,256,677.273,1623.332,296.113,1101791232,-1.00,381.160
13,256,677.686,1628.247,298.080,1101790720,-1.00,379.606
14,256,674.929,1619.460,293.063,1101791232,-1.00,381.866
15,256,956.637,1646.575,589.526,1101791232,-1.00,367.111
16,256,838.426,1621.281,463.174,1101791232,-1.00,375.252
17,256,581.461,1631.465,196.525,1101791232,-1.00,384.935
18,256,864.753,1642.420,487.433,1101790720,-1.00,377.320
19,256,672.936,1612.581,297.702,1101791232,-1.00,375.234
20,256,856.511,1637.382,480.741,1101791232,-1.00,375.770
21,256,1539.909,1652.845,1202.168,1101791232,-1.00,337.741
22,256,682.579,1613.909,300.771,1101790720,-1.00,381.808
23,256,847.164,1616.718,476.845,1101791232,-1.00,370.319
24,256,881.751,1632.395,506.255,1101791232,-1.00,375.496
25,256,854.925,1639.342,477.339,1101790720,-1.00,377.585
26,256,1021.888,1629.990,655.063,1101791232,-1.00,366.824
27,256,1542.370,1653.931,1201.543,1101791232,-1.00,340.827
28,256,798.260,1618.232,438.077,1101790720,-1.00,360.183
29,256,694.261,1619.105,318.164,1101790720,-1.00,376.097
30,256,1071.978,1634.586,709.398,1101791232,-1.00,362.579
31,256,871.496,1636.639,492.887,1101791232,-1.00,378.609
32,256,672.895,1608.838,297.363,1101791232,-1.00,375.532
33,256,848.664,1616.291,476.151,1101790720,-1.00,372.513
34,256,675.342,1616.695,293.476,1101791232,-1.00,381.866
35,256,847.911,1627.007,476.150,1101791232,-1.00,371.761
36,256,849.667,1627.934,477.496,1101791232,-1.00,372.172
