step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,13662.757,588.881,13348.392,379662336,6.79,188.436,125.929
2,256,4975.488,694.885,4690.083,404750336,11.90,106.610,178.795
3,256,2941.736,272.366,2841.975,180019200,18.20,44.557,55.204
4,256,453.687,502.510,318.552,318717952,22.24,40.611,94.524
5,256,596.574,436.062,265.166,240656384,26.31,259.521,71.887
6,256,438.475,324.563,207.272,224133120,29.91,164.950,66.252
7,256,256.683,272.562,153.880,187957248,33.29,49.194,53.610
8,256,253.309,228.961,165.937,161144832,36.40,41.324,46.047
9,256,217.614,185.944,136.880,132128768,39.29,42.065,38.669
10,256,244.666,287.685,131.850,198623232,41.50,57.646,55.171
11,256,253.178,244.633,157.172,174075904,43.60,47.200,48.807
12,256,207.645,144.502,134.476,107028480,45.87,40.091,33.079
13,256,188.252,106.701,131.045,87416832,48.00,31.663,25.544
14,256,185.187,132.673,124.061,96092160,49.91,33.550,27.575
15,256,199.199,142.786,131.971,110592000,51.59,33.968,33.260
16,256,155.833,43.196,125.044,40456192,53.43,18.266,12.522
17,256,168.562,93.557,122.376,69287936,54.98,26.137,20.049
18,256,158.988,79.546,123.237,60100608,56.49,17.899,17.853
19,256,156.908,50.308,128.006,39698432,57.94,16.793,12.109
20,256,157.266,52.779,126.529,43343872,59.27,16.667,14.069
21,256,221.260,196.620,133.398,148873216,60.14,66.282,21.580
22,256,177.928,91.720,126.883,78712832,61.19,37.515,13.531
23,256,166.268,55.336,133.017,44056576,62.29,21.298,11.953
24,256,150.378,51.119,122.178,39702528,63.34,16.179,12.021
25,256,149.917,26.692,131.408,23846912,64.37,10.700,7.808
26,256,156.697,46.940,131.300,34648064,65.31,15.626,9.771
27,256,211.397,189.221,133.257,132976640,65.90,47.512,30.628
28,256,151.663,48.444,125.760,39010304,66.73,20.399,5.504
29,256,294.031,502.120,130.683,344428544,66.64,121.373,41.975
30,256,174.728,65.753,140.948,49160192,67.39,26.170,7.610
31,256,148.533,44.853,119.477,37507072,68.11,24.193,4.863
32,256,169.115,94.040,128.120,67284992,68.74,31.440,9.555
33,256,230.095,251.167,132.117,168996864,69.07,77.479,20.498
34,256,234.292,275.011,128.744,205987840,69.30,80.805,24.744
35,256,244.244,205.915,153.617,143802368,69.66,71.758,18.869
36,256,290.579,428.013,141.423,294600704,69.64,113.018,36.138
37,256,223.128,217.245,130.979,160432128,69.94,72.331,19.818
38,256,240.649,223.144,138.898,169701376,70.21,81.008,20.743
39,256,292.414,215.661,192.715,153219072,70.50,79.920,19.779
40,256,232.124,266.747,128.259,187867136,70.71,80.169,23.696
41,256,219.451,231.500,126.857,161148928,70.97,73.191,19.404
42,256,233.620,228.452,136.799,159039488,71.22,76.949,19.871
43,256,192.680,140.765,128.650,100425728,71.58,51.136,12.894
44,256,207.689,115.864,139.495,84549632,71.96,56.753,11.441
45,256,160.674,61.218,125.352,51265536,72.39,28.177,7.145
46,256,162.853,80.023,124.419,60719104,72.78,30.195,8.239
47,256,131.402,19.285,119.211,16633856,73.25,9.173,3.018
48,256,170.813,72.639,128.633,56348672,73.62,34.570,7.610
49,256,196.506,76.351,152.343,62824448,73.96,35.654,8.508
50,256,177.488,127.237,118.673,99586048,74.23,46.799,12.016
51,256,195.058,91.054,142.606,65798144,74.55,43.176,9.276
52,256,187.462,112.788,127.324,94625792,74.81,48.036,12.102
53,256,187.660,131.092,128.390,96120832,75.05,47.229,12.041
54,256,206.882,196.081,125.671,146628608,75.21,63.546,17.664
55,256,217.699,222.702,128.692,162639872,75.34,69.836,19.171
56,256,203.176,106.836,140.917,81575936,75.59,51.214,11.044
57,256,190.072,138.244,125.455,106156032,75.79,51.050,13.567
58,256,215.930,138.227,139.869,106303488,75.99,62.612,13.449
59,256,174.944,114.954,126.024,65060864,76.25,40.178,8.742
60,256,316.561,393.656,165.711,275746816,76.16,113.855,36.995
61,256,241.611,264.853,135.343,202985472,76.20,80.952,25.316
62,256,260.910,361.886,124.873,268693504,76.14,104.893,31.144
63,256,291.882,406.562,141.233,291110912,76.04,115.816,34.833
64,256,196.782,135.882,126.523,111984640,76.21,56.759,13.501
65,256,209.425,153.967,137.670,117706752,76.37,56.995,14.760
66,256,273.420,324.306,144.698,248438784,76.33,97.725,30.996
67,256,219.398,180.119,136.560,137371648,76.46,63.096,19.742
