step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,489.404,1121.622,135.826,808386560,1.70,263.053,90.526
2,256,487.030,1139.906,131.147,823279616,2.81,261.484,94.400
3,256,305.947,531.047,127.678,388624384,7.89,135.729,42.541
4,256,416.419,932.485,128.067,670969856,9.66,214.834,73.519
5,256,326.489,610.874,129.755,435462144,13.06,147.111,49.622
6,256,311.115,555.082,130.663,389406720,16.33,136.365,44.087
7,256,368.744,724.599,131.394,522174464,18.23,178.916,58.435
8,256,346.940,651.085,135.836,473145344,20.23,156.832,54.272
9,256,315.857,557.270,130.855,394645504,22.51,141.633,43.370
10,256,269.934,377.338,140.348,267153408,25.23,99.747,29.839
11,256,306.315,549.297,129.167,392122368,26.97,132.741,44.407
12,256,238.710,263.931,129.637,190087168,29.63,86.436,22.637
13,256,240.764,299.960,125.880,212336640,31.90,91.500,23.383
14,256,265.038,347.336,136.306,257970176,33.77,98.087,30.644
15,256,257.061,372.732,128.829,275251200,35.40,97.566,30.667
16,256,257.817,293.368,144.393,207953920,37.16,89.707,23.717
17,256,308.492,565.858,127.254,402399232,37.99,134.455,46.783
18,256,253.939,363.681,126.287,245690368,39.39,100.584,27.067
19,256,297.837,528.478,128.217,374775808,40.17,127.402,42.218
20,256,296.031,506.481,129.138,359780352,40.96,124.794,42.099
21,256,348.218,631.854,137.538,453722112,41.36,158.485,52.195
22,256,265.400,405.737,126.842,288927744,42.30,106.776,31.782
23,256,260.354,302.522,138.779,218136576,43.42,95.918,25.658
24,256,269.503,441.993,122.757,310603776,44.17,112.719,34.027
25,256,335.442,613.131,137.562,436133888,44.46,147.635,50.245
26,256,282.953,450.893,128.493,321314816,45.09,117.712,36.748
27,256,249.436,293.837,135.932,206716928,46.05,88.629,24.875
28,256,196.596,151.163,128.310,116367360,47.21,54.254,14.032
29,256,406.593,806.789,143.299,587661312,46.93,196.847,66.448
30,256,205.597,222.136,124.590,156057600,47.90,63.096,17.911
31,256,299.755,530.150,129.306,373350400,48.22,126.765,43.685
32,256,257.024,363.419,128.169,263188480,48.85,97.892,30.962
33,256,301.834,495.847,135.722,346644480,49.20,127.192,38.920
34,256,424.483,922.816,133.558,670920704,48.72,213.413,77.513
35,256,335.787,629.376,128.985,460283904,48.80,155.805,50.996
36,256,349.918,668.053,135.527,469278720,48.83,160.107,54.283
37,256,268.238,387.599,131.775,270921728,49.33,105.597,30.867
38,256,402.640,837.561,135.776,601751552,49.07,197.983,68.881
39,256,426.705,920.918,135.539,653529088,48.68,217.122,74.045
40,256,353.540,702.230,132.091,494891008,48.67,165.214,56.236
41,256,400.299,822.456,135.948,588898304,48.47,197.263,67.088
42,256,309.790,456.645,144.090,321568768,48.84,128.102,37.598
43,256,284.962,466.433,128.624,348119040,49.12,116.739,39.599
44,256,399.507,782.100,146.850,552411136,48.97,189.928,62.728
45,256,394.640,846.474,133.157,585859072,48.78,194.634,66.849
46,256,247.649,314.254,132.332,226828288,49.28,90.427,24.890
47,256,361.165,692.122,137.838,469581824,49.31,169.330,53.997
48,256,419.163,797.387,157.806,578699264,49.14,192.711,68.646
49,256,348.927,665.837,135.577,471072768,49.17,159.780,53.570
50,256,361.675,727.253,131.366,519942144,49.10,170.809,59.500
51,256,299.422,481.527,134.699,343887872,49.35,124.333,40.390
52,256,277.705,455.320,127.426,309284864,49.66,114.676,35.603
53,256,291.746,443.713,139.750,315740160,49.95,113.926,38.070
54,256,310.473,509.942,137.811,375525376,50.11,128.250,44.412
55,256,337.660,598.498,142.671,439242752,50.18,142.599,52.390
56,256,239.888,304.776,128.561,225337344,50.59,85.086,26.241
57,256,298.393,454.431,141.955,315703296,50.84,118.866,37.572
58,256,251.862,306.176,135.383,211095552,51.25,91.113,25.366
59,256,288.067,337.227,159.973,219664384,51.64,105.074,23.021
60,256,398.982,1045.502,84.231,683720704,51.28,268.096,46.655
61,256,316.670,775.983,80.377,534462464,51.17,197.992,38.301
62,256,358.663,770.335,117.643,545435648,51.05,191.859,49.161
63,256,374.546,770.196,132.754,550240256,50.92,178.273,63.519
64,256,241.080,266.616,132.414,193667072,51.32,86.460,22.206
65,256,264.318,335.754,138.405,232562688,51.65,98.702,27.211
