step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,481.673,1105.596,132.359,808386560,1.70,257.944,91.371
2,256,485.239,1131.972,130.563,823279616,2.81,259.179,95.496
3,256,309.662,526.845,129.260,388624384,7.89,136.623,43.779
4,256,413.139,934.477,127.048,670969856,9.66,210.965,75.125
5,256,329.456,609.796,130.704,435462144,13.06,147.568,51.184
6,256,302.701,543.131,126.546,389406720,16.33,131.671,44.484
7,256,363.716,735.040,126.850,522174464,18.23,178.008,58.858
8,256,346.348,669.210,131.301,473145344,20.23,159.985,55.062
9,256,321.651,564.167,131.527,394645504,22.51,145.031,45.092
10,256,263.035,375.318,131.453,267153408,25.23,101.086,30.497
11,256,316.077,549.427,133.473,392122368,26.97,137.393,45.211
12,256,233.763,265.310,125.634,190087168,29.63,84.777,23.352
13,256,276.834,310.587,155.476,212336640,31.90,96.085,25.272
14,256,255.942,350.002,127.566,257970176,33.77,97.875,30.501
15,256,261.550,366.653,132.819,275251200,35.40,96.350,32.380
16,256,265.677,303.572,147.695,207953920,37.16,93.277,24.706
17,256,306.948,578.158,123.877,402399232,37.99,136.840,46.231
18,256,246.075,360.793,123.409,245690368,39.39,94.192,28.473
19,256,301.157,511.934,130.659,374775808,40.17,127.058,43.440
20,256,299.389,514.516,128.095,359780352,40.96,129.753,41.542
21,256,324.813,623.339,124.911,453722112,41.36,148.469,51.434
22,256,263.812,411.301,124.495,288927744,42.30,105.655,33.662
23,256,249.753,301.806,131.834,218136576,43.42,92.236,25.683
24,256,265.609,445.257,121.868,310603776,44.17,108.691,35.049
25,256,328.867,607.075,135.142,436133888,44.46,142.684,51.041
26,256,271.942,442.810,121.072,321314816,45.09,114.893,35.977
27,256,228.183,284.692,124.776,206716928,46.05,78.819,24.589
28,256,245.790,162.353,160.418,116367360,47.21,70.415,14.958
29,256,379.849,796.118,126.792,587661312,46.93,184.964,68.093
30,256,228.735,228.890,137.916,156057600,47.90,71.932,18.887
31,256,302.667,532.328,130.012,373350400,48.22,129.663,42.993
32,256,254.065,364.918,125.621,263188480,48.85,98.256,30.188
33,256,300.466,486.807,135.127,346644480,49.20,126.090,39.248
34,256,422.350,946.689,130.592,670920704,48.72,212.689,79.069
35,256,334.250,645.554,125.297,460283904,48.80,157.748,51.205
36,256,342.030,664.810,130.872,469278720,48.83,157.964,53.194
37,256,264.607,383.635,129.152,270921728,49.33,103.855,31.600
38,256,385.399,838.915,126.676,601751552,49.07,190.563,68.161
39,256,421.050,904.351,132.747,653529088,48.68,213.279,75.025
40,256,362.568,716.952,134.645,494891008,48.67,170.692,57.231
41,256,390.543,817.865,134.478,588898304,48.47,188.848,67.217
42,256,287.662,447.627,131.509,321568768,48.84,118.895,37.258
43,256,302.098,465.984,138.986,348119040,49.12,121.726,41.385
44,256,362.517,759.655,126.726,552411136,48.97,171.869,63.922
45,256,394.004,834.570,132.458,585859072,48.78,195.148,66.398
46,256,232.197,312.054,121.361,226828288,49.28,85.184,25.651
47,256,357.179,686.131,137.124,469581824,49.31,164.831,55.224
48,256,380.584,806.486,127.544,578699264,49.14,187.330,65.710
49,256,354.721,665.785,137.536,471072768,49.17,162.382,54.803
50,256,375.819,732.673,145.138,519942144,49.10,169.903,60.779
51,256,292.400,481.585,129.303,343887872,49.35,122.705,40.391
52,256,285.786,462.134,133.061,309284864,49.66,116.578,36.147
53,256,288.088,449.205,132.117,315740160,49.95,118.540,37.431
54,256,290.868,517.073,123.787,375525376,50.11,124.137,42.943
55,256,334.681,611.893,134.804,439242752,50.18,147.958,51.919
56,256,260.620,305.101,148.264,225337344,50.59,86.552,25.805
57,256,281.230,458.627,126.879,315703296,50.84,116.577,37.774
58,256,236.882,297.533,125.619,211095552,51.25,86.967,24.296
59,256,260.310,321.590,136.074,219664384,51.64,98.063,26.173
60,256,433.748,957.912,131.224,683720704,51.28,224.493,78.031
61,256,363.837,742.650,128.923,534462464,51.17,173.880,61.034
62,256,368.887,750.062,129.035,545435648,51.05,177.918,61.934
63,256,377.933,767.062,134.926,550240256,50.92,178.950,64.057
64,256,222.716,261.539,123.101,193667072,51.32,76.665,22.950
65,256,236.591,332.088,118.849,232562688,51.65,91.918,25.824
66,256,376.948,767.152,134.403,559820800,51.51,178.234,64.310
67,256,314.027,592.012,124.085,416956416,51.58,143.559,46.383
68,256,318.811,555.021,131.379,401047552,51.67,141.332,46.100
69,256,316.401,562.393,130.794,399413248,51.75,140.036,45.571
70,256,316.475,582.124,131.065,414060544,51.82,137.529,47.881
71,256,248.688,334.018,128.005,246337536,52.10,91.537,29.145
72,256,329.031,656.624,123.584,465080320,52.09,152.759,52.688
73,256,244.151,309.562,133.920,216641536,52.39,84.048,26.183
74,256,339.276,656.941,128.683,467992576,52.37,157.243,53.350
75,256,327.470,608.202,130.326,431988736,52.40,147.480,49.664
76,256,448.906,985.464,135.242,699211776,52.09,234.138,79.527
77,256,301.109,526.166,125.773,382976000,52.19,131.837,43.499
78,256,260.617,332.937,136.137,239140864,52.45,96.353,28.128
79,256,272.699,425.457,128.686,309202944,52.63,108.510,35.504
80,256,297.810,484.329,135.449,350400512,52.75,120.638,41.723
81,256,267.381,377.041,136.548,270794752,52.96,99.358,31.474
82,256,262.380,348.714,133.258,237768704,53.21,101.046,28.076
83,256,289.893,469.975,135.596,329863168,53.33,116.037,38.260
84,256,346.321,640.260,134.428,447983616,53.33,158.764,53.129
85,256,314.971,574.817,128.061,418312192,53.36,139.248,47.662
86,256,296.690,493.424,131.770,346800128,53.47,124.692,40.227
87,256,297.581,528.707,126.087,370573312,53.55,129.048,42.446
88,256,299.910,488.973,136.644,338907136,53.67,123.333,39.932
89,256,323.133,568.578,136.612,408985600,53.71,138.677,47.844
90,256,296.415,518.737,128.493,368381952,53.79,126.424,41.498
91,256,275.634,422.861,134.670,296132608,53.94,105.174,35.790
92,256,259.073,340.820,132.614,237035520,54.15,98.443,28.017
93,256,357.421,709.014,132.889,498810880,54.08,166.190,58.342
94,256,294.887,492.626,134.416,338825216,54.18,119.817,40.653
95,256,318.976,588.529,127.368,434196480,54.19,141.697,49.911
96,256,267.184,395.433,127.285,291885056,54.34,105.945,33.953
97,256,367.530,751.084,129.196,534642688,54.24,176.336,61.998
98,256,325.257,599.410,132.861,412545024,54.27,143.167,49.230
99,256,283.697,442.802,132.111,314994688,54.39,114.199,37.387
100,256,366.457,733.671,133.556,529547264,54.29,171.925,60.976
101,256,431.943,950.141,134.848,675872768,54.06,218.920,78.174
102,256,390.416,804.475,133.598,575553536,53.92,189.468,67.349
103,256,362.130,747.821,128.380,555638784,53.81,171.247,62.503
104,256,374.231,778.570,131.208,561156096,53.70,178.160,64.863
105,256,243.099,317.365,126.657,226836480,53.90,89.461,26.981
106,256,275.808,356.994,140.456,257867776,54.07,104.671,30.681
107,256,276.422,433.745,129.919,323624960,54.17,108.514,37.989
108,256,353.135,682.879,134.209,484040704,54.13,162.567,56.359
109,256,286.180,459.272,134.828,315686912,54.24,115.355,35.997
110,256,302.979,509.314,129.614,370700288,54.30,130.115,43.250
111,256,297.294,512.921,128.086,357613568,54.37,127.207,42.001
112,256,360.509,712.461,132.684,520241152,54.30,167.520,60.306
113,256,312.351,537.195,133.676,389570560,54.35,133.157,45.518
114,256,345.182,656.318,133.501,460169216,54.32,157.279,54.402
115,256,346.192,644.282,132.660,463712256,54.30,159.953,53.580
116,256,270.768,344.769,135.145,252133376,54.46,104.927,30.696
117,256,295.385,365.121,152.867,273063936,54.59,111.668,30.850
118,256,376.796,693.558,154.644,498999296,54.53,163.409,58.742
119,256,313.757,510.631,154.674,359682048,54.59,115.486,43.597
120,256,322.872,536.043,140.558,385110016,54.63,136.670,45.645
121,256,282.791,461.044,127.133,338079744,54.71,116.840,38.817
122,256,313.420,531.031,133.837,378580992,54.75,134.744,44.838
123,256,349.759,643.261,142.152,458080256,54.73,153.529,54.078
