step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,649.548,1177.141,267.310,878653440,2.06,212.786,169.452
2,256,652.572,1172.165,236.259,879890432,3.14,253.821,162.492
3,256,330.739,540.878,138.222,401027072,8.20,133.235,59.282
4,256,421.651,931.813,128.445,670969856,9.93,216.223,76.984
5,256,342.653,616.585,139.299,435462144,13.31,151.479,51.875
6,256,311.182,545.306,134.022,389406720,16.57,130.416,46.743
7,256,362.453,733.472,129.100,522174464,18.45,173.325,60.028
8,256,355.399,680.273,134.687,473145344,20.44,165.532,55.180
9,256,323.201,563.882,133.508,394645504,22.71,142.392,47.300
10,256,260.084,385.637,126.813,267153408,25.41,102.365,30.907
11,256,309.623,555.492,130.076,392122368,27.14,133.233,46.315
12,256,245.887,277.240,131.057,190087168,29.79,91.244,23.586
13,256,255.253,299.599,135.353,212336640,32.06,94.454,25.446
14,256,264.407,360.182,132.478,257970176,33.92,100.841,31.088
15,256,273.837,379.243,135.991,275251200,35.54,106.101,31.745
16,256,253.728,299.569,139.780,207953920,37.30,89.521,24.426
17,256,334.016,577.377,141.891,402399232,38.12,143.349,48.776
18,256,250.032,362.340,126.323,245690368,39.52,94.448,29.261
19,256,299.021,518.685,126.620,374775808,40.29,129.548,42.853
20,256,308.127,530.589,132.665,359780352,41.08,131.857,43.605
21,256,334.591,629.987,129.783,453722112,41.48,150.853,53.956
22,256,279.121,420.929,133.447,288927744,42.41,111.647,34.027
23,256,258.911,304.446,143.673,218136576,43.53,88.697,26.541
24,256,286.776,453.023,133.663,310603776,44.27,116.162,36.950
25,256,337.771,611.184,136.716,436133888,44.56,149.528,51.527
26,256,286.212,444.652,129.634,321314816,45.18,118.949,37.630
27,256,231.614,278.993,128.243,206716928,46.14,78.669,24.702
28,256,194.894,150.137,126.722,116367360,47.30,53.521,14.652
29,256,406.259,815.220,146.039,587661312,47.02,190.666,69.553
30,256,224.458,231.808,133.450,156057600,47.99,73.075,17.933
31,256,305.922,542.988,128.247,373350400,48.30,132.872,44.803
32,256,268.153,378.229,129.245,263188480,48.93,105.921,32.986
33,256,306.545,500.194,135.953,346644480,49.28,130.630,39.962
34,256,423.398,930.752,132.411,670920704,48.80,212.689,78.297
35,256,353.746,644.713,139.422,460283904,48.88,157.252,57.073
36,256,422.844,677.111,209.940,469278720,48.90,156.495,56.409
37,256,261.785,395.709,126.114,270921728,49.41,103.701,31.971
38,256,402.069,834.426,134.916,601751552,49.14,196.606,70.547
39,256,425.215,925.316,132.637,653529088,48.75,216.156,76.422
40,256,358.628,712.238,134.076,494891008,48.74,166.839,57.713
41,256,396.899,825.335,132.635,588898304,48.54,195.968,68.296
42,256,323.885,449.062,163.604,321568768,48.90,119.174,41.107
43,256,292.665,473.863,131.878,348119040,49.18,118.519,42.269
44,256,375.569,770.181,132.495,552411136,49.03,177.456,65.619
