step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,597.185,793.544,373.430,608280576,5.18,132.885,90.870
2,256,259.929,497.314,137.533,382623744,11.41,75.944,46.452
3,256,312.097,598.862,146.935,466034688,15.77,105.818,59.344
4,256,219.191,332.282,139.261,244666368,21.12,48.780,31.150
5,256,211.018,344.551,119.480,266575872,25.48,57.328,34.210
6,256,205.065,337.306,128.250,252665856,29.28,45.317,31.498
7,256,166.862,221.214,103.838,162299904,33.11,42.609,20.414
8,256,249.140,318.089,172.844,226873344,36.07,49.668,26.628
9,256,519.679,389.800,406.568,277708800,38.39,71.984,41.127
10,256,361.518,467.043,222.953,315850752,40.24,88.240,50.325
11,256,253.478,377.107,156.591,266231808,42.15,66.892,29.995
12,256,176.933,235.321,105.457,172560384,44.30,52.661,18.814
13,256,283.020,500.534,168.479,382561792,45.34,68.458,46.083
14,256,201.397,295.654,120.996,223567872,46.94,53.150,27.251
15,256,321.473,617.460,185.733,447025152,47.48,78.227,57.514
16,256,202.914,279.922,129.823,203857920,48.94,49.023,24.068
17,256,163.618,181.997,103.097,141606912,50.49,44.208,16.314
18,256,184.387,231.083,114.059,171343872,51.81,51.004,19.324
19,256,219.415,330.379,135.056,247160832,52.78,51.993,32.365
20,256,146.620,151.481,100.261,112103424,54.12,34.700,11.659
21,256,194.799,189.450,140.183,136101888,55.28,37.104,17.512
22,256,141.958,119.923,102.606,83816448,56.54,28.442,10.910
23,256,134.160,104.675,96.030,78311424,57.72,27.626,10.504
24,256,140.273,142.503,92.928,107003904,58.74,34.411,12.934
25,256,127.199,92.569,93.458,67817472,59.82,26.746,6.995
26,256,148.278,133.075,106.583,99409920,60.74,30.542,11.153
27,256,148.655,133.017,104.128,96337920,61.62,34.686,9.841
28,256,141.515,139.256,97.992,101842944,62.44,32.333,11.189
29,256,156.453,139.980,102.210,101842944,63.22,42.540,11.704
30,256,111.927,58.364,89.632,43241472,64.09,17.090,5.205
31,256,129.921,111.657,93.050,85032960,64.83,27.107,9.764
32,256,132.907,106.575,95.066,79933440,65.53,29.133,8.708
33,256,111.573,57.304,91.398,38313984,66.29,15.576,4.599
34,256,229.799,434.436,117.083,338337792,66.37,75.797,36.920
35,256,246.275,491.469,105.267,391028736,66.33,99.014,41.994
36,256,240.806,480.866,109.581,377524224,66.31,89.005,42.220
37,256,193.682,218.906,127.565,169254912,66.73,47.812,18.304
38,256,146.132,137.294,97.407,104103936,67.25,36.361,12.365
39,256,176.773,229.785,111.935,169893888,67.62,44.762,20.076
40,256,143.509,130.469,103.880,97148928,68.12,28.729,10.899
41,256,198.363,308.255,105.096,240377856,68.33,66.691,26.576
42,256,171.961,174.359,117.571,130129920,68.73,39.531,14.860
43,256,110.532,51.253,91.288,34836480,69.29,15.512,3.733
44,256,164.755,203.297,101.968,156155904,69.61,46.546,16.241
45,256,222.071,267.723,146.842,203685888,69.84,51.497,23.732
46,256,132.483,72.336,105.798,55529472,70.31,19.813,6.871
47,256,132.388,115.419,94.690,86482944,70.71,28.158,9.540
48,256,158.168,179.422,98.993,136101888,71.01,43.574,15.602
49,256,183.144,163.594,129.646,126652416,71.32,39.639,13.860
50,256,131.079,110.349,93.953,84049920,71.68,27.818,9.308
51,256,184.030,284.747,102.027,215052288,71.82,57.903,24.100
52,256,123.812,100.749,90.794,79294464,72.18,24.460,8.558
53,256,121.492,92.259,90.872,68456448,72.53,22.665,7.955
54,256,124.244,91.980,93.830,70889472,72.88,22.441,7.972
55,256,110.698,60.520,88.717,43241472,73.25,17.135,4.846
56,256,131.198,113.905,91.901,86888448,73.55,29.995,9.302
57,256,245.232,422.373,130.160,330805248,73.49,80.391,34.681
58,256,144.013,151.355,98.679,115175424,73.73,33.130,12.204
59,256,108.123,44.433,91.371,34430976,74.08,12.817,3.935
60,256,174.102,186.839,110.210,134246400,74.28,49.566,14.326
61,256,215.480,364.848,112.746,288546816,74.28,70.313,32.422
