step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,409.594,743.804,202.637,670187520,4.51,130.223,76.734
2,256,237.900,498.311,89.560,442269696,10.25,103.464,44.876
3,256,279.345,597.852,95.244,524869632,14.20,123.123,60.977
4,256,191.594,350.744,90.454,289763328,19.33,70.343,30.797
5,256,191.593,338.970,90.976,283385856,23.71,68.343,32.274
6,256,228.425,361.374,118.269,289763328,27.39,76.609,33.547
7,256,189.868,223.009,130.074,173371392,31.28,38.203,21.591
8,256,192.424,321.523,101.904,267042816,34.12,59.389,31.131
9,256,248.342,422.007,137.925,335671296,36.26,79.979,30.438
10,256,215.605,405.212,96.315,328138752,38.18,85.539,33.751
11,256,223.088,341.496,123.168,272375808,40.16,71.323,28.596
12,256,172.551,231.137,100.585,172560384,42.41,55.861,16.106
13,256,244.270,464.530,114.593,391372288,43.51,88.206,41.470
14,256,197.750,300.733,102.569,231972864,45.16,70.386,24.796
15,256,271.507,580.810,111.057,498266112,45.57,108.610,51.840
16,256,183.671,281.208,97.739,224956416,47.03,64.205,21.728
17,256,175.865,184.019,108.280,141606912,48.66,50.078,17.507
18,256,182.427,246.542,103.595,192847872,49.98,58.678,20.154
19,256,238.780,458.451,115.140,364363776,50.63,83.182,40.457
20,256,179.935,263.784,96.261,207802368,51.74,61.511,22.163
21,256,174.184,247.157,96.790,198180864,52.79,56.338,21.055
22,256,145.903,156.129,91.370,116797440,54.04,42.680,11.853
23,256,181.211,134.893,133.892,95121408,55.25,36.481,10.838
24,256,201.185,333.464,105.964,251682816,55.94,69.800,25.421
25,256,154.358,174.577,98.929,131751936,56.93,41.195,14.235
26,256,143.499,137.290,95.409,105148416,57.92,36.425,11.665
27,256,153.520,179.454,96.003,137318400,58.77,42.738,14.780
28,256,148.622,172.977,92.759,132157440,59.60,41.507,14.356
29,256,148.861,157.366,92.092,122535936,60.40,42.625,14.145
30,256,125.264,78.303,95.002,55123968,61.33,24.515,5.747
31,256,143.405,136.876,97.422,102653952,62.09,34.339,11.644
32,256,135.782,147.889,88.148,113553408,62.78,34.510,13.125
33,256,112.083,68.841,87.586,50196480,63.59,19.185,5.312
34,256,258.735,542.868,110.924,462557184,63.46,96.001,51.809
35,256,271.500,546.833,120.202,474034176,63.31,98.578,52.720
36,256,257.466,542.467,115.287,446152704,63.22,94.360,47.819
37,256,188.893,310.667,94.530,236261376,63.57,69.539,24.824
38,256,157.788,184.010,96.406,142012416,64.09,46.095,15.287
39,256,191.175,301.803,103.167,233422848,64.41,63.301,24.707
40,256,154.051,170.150,93.629,134651904,64.90,45.244,15.178
41,256,216.912,383.998,104.240,309817344,65.05,78.994,33.678
42,256,267.667,542.262,119.627,464584704,64.91,96.890,51.151
43,256,265.836,575.412,108.243,487305216,64.74,104.270,53.323
44,256,176.282,239.533,102.143,184848384,65.10,54.035,20.104
45,256,184.150,279.014,96.886,212496384,65.40,63.634,23.630
46,256,154.207,187.333,95.389,139984896,65.81,43.503,15.315
47,256,150.034,149.439,97.670,112914432,66.25,40.592,11.772
48,256,163.349,218.504,95.867,167866368,66.58,49.389,18.093
49,256,198.801,298.554,109.410,237305856,66.79,63.105,26.286
50,256,198.776,338.325,99.381,270925824,66.95,70.588,28.807
51,256,193.483,320.910,98.553,259104768,67.10,67.069,27.861
52,256,181.931,238.370,112.374,191569920,67.37,49.174,20.383
53,256,182.910,268.174,109.769,211107840,67.59,50.598,22.543
54,256,131.798,114.107,93.252,88510464,67.99,29.710,8.836
55,256,122.535,101.504,88.165,72744960,68.39,26.309,8.061
56,256,146.704,135.468,97.136,103292928,68.74,38.050,11.517
57,256,221.241,419.203,102.763,345759744,68.74,80.694,37.784
58,256,143.212,158.038,91.918,117841920,69.05,38.621,12.674
59,256,117.017,69.864,91.449,52457472,69.45,19.223,6.345
60,256,174.257,196.049,102.609,148795392,69.70,54.500,17.148
61,256,239.724,451.956,110.386,377057280,69.65,87.276,42.061
62,256,197.667,310.860,102.615,252493824,69.75,67.095,27.957
63,256,150.716,165.544,93.209,123174912,70.02,44.207,13.299
64,256,157.809,151.617,103.607,116219904,70.29,41.374,12.829
65,256,182.871,253.308,101.375,202469376,70.45,60.043,21.453
66,256,350.092,842.236,113.727,741888000,69.94,152.052,84.313
67,256,220.016,377.089,107.257,297762816,69.98,80.683,32.076
68,256,185.385,275.185,99.028,214179840,70.12,62.751,23.606
69,256,199.375,333.667,102.423,268259328,70.20,67.250,29.702
70,256,215.583,348.204,114.774,281358336,70.25,70.392,30.417
71,256,150.234,167.667,91.761,129724416,70.48,44.706,13.767
72,256,173.775,241.201,102.105,189370368,70.64,49.766,21.905
73,256,202.721,335.945,103.997,268431360,70.70,69.100,29.624
74,256,180.373,264.988,94.896,213946368,70.83,62.033,23.444
75,256,205.192,339.070,106.700,260898816,70.89,70.014,28.478
76,256,245.960,495.743,114.692,405405696,70.80,86.553,44.714
77,256,184.398,283.089,96.281,227856384,70.90,62.765,25.353
78,256,154.499,186.654,93.828,144273408,71.09,44.586,16.086
79,256,195.371,320.982,98.414,263737344,71.15,67.934,29.023
80,256,275.636,570.288,121.957,488288256,70.99,100.972,52.707
81,256,152.682,185.769,96.610,141201408,71.17,41.146,14.927
82,256,340.153,791.750,123.224,697368576,70.79,138.225,78.704
83,256,237.387,425.473,116.316,346570752,70.76,83.179,37.893
84,256,339.549,551.164,195.074,441458688,70.65,97.404,47.071
85,256,195.168,279.491,109.236,226639872,70.74,56.313,29.619
86,256,209.373,388.733,97.889,317239296,70.75,73.396,38.087
87,256,254.372,519.883,99.686,441569280,70.64,100.097,54.589
88,256,236.305,464.855,97.580,406388736,70.57,88.999,49.727
89,256,223.351,422.261,97.550,353931264,70.54,82.204,43.596
90,256,183.922,287.439,100.077,238288896,70.63,54.763,29.083
91,256,167.532,213.791,101.210,164732928,70.78,45.684,20.638
92,256,162.895,206.829,99.364,167632896,70.92,41.882,21.649
93,256,144.059,149.511,96.232,112508928,71.11,32.884,14.943
94,256,139.310,130.044,96.588,98770944,71.30,29.317,13.405
95,256,137.733,133.887,95.051,99004416,71.49,29.177,13.504
96,256,229.289,437.054,98.628,376246272,71.44,83.332,47.330
97,256,218.639,413.748,96.816,350220288,71.41,77.683,44.141
98,256,199.193,354.970,97.779,295096320,71.43,64.108,37.306
99,256,197.821,326.462,97.485,266575872,71.48,65.413,34.924
100,256,148.595,147.619,100.980,114536448,71.65,32.531,15.085
101,256,183.750,294.738,96.226,244666368,71.71,55.999,31.525
102,256,187.664,294.429,98.585,244666368,71.77,57.478,31.601
103,256,171.224,237.782,99.063,191803392,71.87,47.763,24.398
104,256,195.261,329.509,98.423,271159296,71.90,63.681,33.157
105,256,180.983,284.811,97.441,230522880,71.96,55.954,27.588
106,256,167.432,237.935,96.417,193019904,72.06,46.842,24.172
107,256,154.816,169.262,98.868,130535424,72.20,38.350,17.598
108,256,122.154,81.553,95.626,58601472,72.40,18.287,8.241
109,256,131.651,111.903,95.106,75005952,72.58,26.381,10.164
110,256,277.344,611.650,96.907,538546176,72.40,115.114,65.322
111,256,210.797,379.664,100.300,313356288,72.39,72.529,37.968
112,256,270.883,581.517,99.626,512114688,72.24,109.075,62.182
113,256,165.204,230.418,96.831,179920896,72.33,45.379,22.993
114,256,184.873,298.674,96.757,238522368,72.38,59.062,29.054
115,256,228.103,432.356,98.364,371085312,72.34,84.360,45.379
116,256,219.028,415.435,98.549,347148288,72.31,78.518,41.960
117,256,165.355,213.634,98.047,171110400,72.41,45.585,21.724
118,256,198.151,343.844,99.190,282636288,72.42,64.083,34.878
119,256,220.999,406.945,99.152,347959296,72.39,79.501,42.347
120,256,192.132,322.597,97.224,266637312,72.42,62.142,32.767
121,256,224.632,431.607,99.109,365580288,72.38,81.794,43.729
122,256,183.923,287.993,98.133,234405888,72.43,57.114,28.676
123,256,206.224,359.295,97.483,302628864,72.44,72.090,36.650
124,256,208.417,372.556,98.754,308600832,72.44,71.994,37.668
125,256,209.335,356.523,105.222,299212800,72.44,67.328,36.784
126,256,162.485,199.229,100.052,155516928,72.54,42.724,19.709
127,256,179.188,261.944,99.680,214351872,72.61,52.761,26.747
128,256,140.342,120.483,102.634,84627456,72.75,26.570,11.137
129,256,167.336,211.150,100.139,161660928,72.85,46.734,20.463
130,256,178.728,249.564,101.202,198758400,72.91,52.510,25.017
131,256,181.304,224.312,113.793,176443392,73.00,44.850,22.661
132,256,159.513,147.182,117.170,110419968,73.12,28.336,14.007
133,256,271.606,465.105,138.497,380534784,73.07,87.294,45.816
134,256,193.658,273.259,112.813,214757376,73.12,54.097,26.748
135,256,224.420,355.223,121.161,284835840,73.13,67.653,35.606
136,256,248.687,431.037,125.895,350625792,73.10,78.963,43.828
137,256,191.882,270.649,108.442,213540864,73.15,57.483,25.956
138,256,262.478,488.527,119.969,411021312,73.09,91.552,50.957
139,256,244.660,421.026,126.156,347381760,73.06,75.852,42.652
140,256,206.168,294.659,115.839,240783360,73.09,60.954,29.375
141,256,222.822,369.965,117.518,296140800,73.09,69.382,35.922
142,256,181.894,208.231,111.691,163110912,73.17,49.895,20.309
143,256,170.656,167.563,115.171,120508416,73.28,40.363,15.122
144,256,189.403,307.251,98.370,245305344,73.31,60.312,30.722
145,256,150.254,171.531,96.542,135462912,73.40,36.498,17.213
146,256,124.317,79.859,97.479,59006976,73.54,18.252,8.587
147,256,194.770,260.814,113.354,206352384,73.60,55.307,26.110
148,256,184.849,236.245,110.903,186875904,73.66,50.599,23.347
149,256,246.909,362.086,144.499,286052352,73.66,66.600,35.810
150,256,208.431,291.135,117.805,227450880,73.70,63.420,27.206
151,256,170.760,182.854,110.852,144273408,73.78,40.736,19.172
152,256,186.717,232.131,111.886,178704384,73.85,52.282,22.549
153,256,191.233,219.707,118.249,165371904,73.92,51.062,21.922
154,256,233.149,441.835,99.537,381517824,73.87,85.691,47.921
155,256,157.395,181.029,100.480,142417920,73.95,38.702,18.213
156,256,141.607,139.384,98.385,106131456,74.05,29.252,13.969
157,256,241.925,489.524,101.331,425459712,73.98,88.701,51.893
158,256,172.288,243.962,97.071,191397888,74.03,51.261,23.956
159,256,160.168,205.053,97.672,158994432,74.10,41.825,20.671
160,256,124.216,78.054,98.452,57151488,74.23,17.772,7.993
161,256,120.385,62.505,99.417,40169472,74.36,14.940,6.028
162,256,133.778,110.815,97.067,75005952,74.47,26.237,10.474
163,256,196.994,329.662,98.364,269647872,74.48,65.932,32.697
164,256,250.804,510.543,100.736,445747200,74.39,94.185,55.883
165,256,195.768,329.028,98.951,266403840,74.40,64.099,32.718
