step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,370.861,864.208,128.620,670187520,4.51,174.663,67.578
2,256,266.945,556.793,106.187,442269696,10.25,115.835,44.923
3,256,308.437,671.515,116.484,524869632,14.20,144.584,47.369
4,256,208.668,373.476,103.311,289763328,19.33,76.062,29.295
5,256,229.007,372.596,116.350,283385856,23.71,84.478,28.179
6,256,230.196,379.607,118.423,289763328,27.39,83.041,28.732
7,256,169.897,227.221,99.677,173371392,31.28,51.253,18.968
8,256,204.663,337.358,104.543,267042816,34.12,73.303,26.817
9,256,225.720,420.606,99.465,335671296,36.26,92.419,33.835
10,256,241.325,422.327,119.934,328138752,38.18,88.847,32.544
11,256,209.609,358.094,104.296,272375808,40.16,78.555,26.758
12,256,165.123,226.992,95.045,172560384,42.41,53.346,16.731
13,256,261.785,512.864,122.600,391372288,43.51,97.993,41.191
14,256,217.776,299.235,124.214,231972864,45.16,67.687,25.875
15,256,292.766,632.819,127.380,498266112,45.57,110.202,55.184
16,256,181.221,284.720,96.324,224956416,47.03,61.337,23.559
17,256,154.562,179.988,92.432,141606912,48.66,46.552,15.578
18,256,175.386,247.460,95.856,192847872,49.98,59.202,20.328
19,256,240.725,471.433,107.299,364363776,50.63,91.818,41.608
20,256,178.511,265.402,98.237,207802368,51.74,57.810,22.464
21,256,180.331,253.307,106.213,198180864,52.79,53.624,20.493
22,256,148.494,151.483,94.456,116797440,54.04,41.085,12.953
23,256,134.067,127.434,91.448,95121408,55.25,31.790,10.830
24,256,204.510,332.879,102.231,251682816,55.94,74.810,27.469
25,256,149.978,168.945,94.326,131751936,56.93,41.186,14.465
26,256,139.838,141.609,91.686,105148416,57.92,37.336,10.815
27,256,147.459,177.299,93.273,137318400,58.77,38.948,15.238
28,256,167.747,174.741,107.180,132157440,59.60,45.448,15.119
29,256,150.799,159.861,95.834,122535936,60.40,41.045,13.920
30,256,113.934,75.246,87.196,55123968,61.33,20.107,6.632
31,256,139.223,132.401,94.512,102653952,62.09,33.124,11.587
32,256,153.200,152.452,103.907,113553408,62.78,36.593,12.700
33,256,187.292,72.233,165.785,50196480,63.59,15.083,6.424
34,256,355.078,614.884,225.376,462557184,63.46,75.285,54.417
35,256,354.193,653.386,198.843,474034176,63.31,99.562,55.788
36,256,267.036,578.550,115.648,446152704,63.22,104.889,46.499
37,256,191.617,305.291,100.119,236261376,63.57,66.196,25.302
38,256,163.944,187.065,103.547,142012416,64.09,43.785,16.613
39,256,591.301,349.938,487.918,233422848,64.41,74.162,29.220
40,256,225.823,184.874,161.672,134651904,64.90,45.634,18.517
41,256,279.433,426.259,153.810,309817344,65.05,91.538,34.085
42,256,285.711,591.838,147.915,464584704,64.91,84.884,52.912
43,256,296.190,620.936,144.514,487305216,64.74,98.058,53.618
44,256,184.625,251.759,108.053,184848384,65.10,56.987,19.585
45,256,214.291,274.420,134.832,212496384,65.40,57.128,22.332
46,256,157.861,189.865,98.067,139984896,65.81,43.786,16.009
47,256,138.052,146.235,91.546,112914432,66.25,34.658,11.848
48,256,168.270,217.863,99.318,167866368,66.58,49.637,19.315
49,256,201.736,301.255,106.091,237305856,66.79,68.150,27.495
50,256,211.006,353.696,107.767,270925824,66.95,71.654,31.585
51,256,233.261,356.503,134.222,259104768,67.10,71.099,27.940
52,256,168.965,246.638,100.672,191569920,67.37,50.674,17.619
53,256,190.110,275.760,114.586,211107840,67.59,52.652,22.872
54,256,134.908,116.859,94.548,88510464,67.99,30.660,9.700
55,256,132.854,100.827,96.637,72744960,68.39,28.689,7.528
56,256,145.318,137.270,96.125,103292928,68.74,37.682,11.511
57,256,233.418,444.977,126.715,345759744,68.74,68.104,38.599
58,256,143.787,160.943,95.702,117841920,69.05,35.182,12.903
59,256,116.949,68.744,91.716,52457472,69.45,19.824,5.410
60,256,157.372,187.805,91.773,148795392,69.70,49.475,16.125
61,256,240.618,476.331,106.526,377057280,69.65,91.863,42.229
62,256,201.725,322.014,101.914,252493824,69.75,71.936,27.875
63,256,155.383,161.162,97.225,123174912,70.02,42.704,15.454
64,256,145.694,149.550,93.093,116219904,70.29,39.545,13.056
65,256,180.127,257.753,100.594,202469376,70.45,57.742,21.791
66,256,371.780,918.094,116.404,741888000,69.94,171.575,83.801
67,256,215.781,378.012,114.325,297762816,69.98,69.656,31.800
68,256,182.929,273.597,97.797,214179840,70.12,61.022,24.110
69,256,219.344,377.518,109.529,268259328,70.20,79.889,29.927
70,256,204.921,355.785,104.012,281358336,70.25,68.867,32.041
71,256,150.294,170.760,92.976,129724416,70.48,43.479,13.839
72,256,174.026,247.292,108.273,189370368,70.64,46.117,19.636
73,256,206.834,339.188,102.646,268431360,70.70,74.769,29.419
74,256,355.281,280.310,275.254,213946368,70.83,55.510,24.518
75,256,202.002,336.246,104.620,260898816,70.89,68.505,28.878
76,256,252.522,514.413,106.913,405405696,70.80,100.959,44.650
77,256,187.874,288.952,97.083,227856384,70.90,66.691,24.101
78,256,156.182,183.112,95.418,144273408,71.09,43.992,16.773
79,256,205.986,339.138,102.727,263737344,71.15,74.037,29.222
80,256,285.015,616.849,101.992,488288256,70.99,128.925,54.098
81,256,156.373,185.145,96.243,141201408,71.17,44.985,15.145
