step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
1,256,495.530,1030.579,149.811,815661056,9.33,162.728,182.991
2,256,372.504,729.012,131.666,572305408,14.57,101.717,139.120
3,256,425.485,886.911,152.164,691597312,18.31,111.405,161.916
4,256,331.713,576.614,149.841,434753536,23.17,59.720,122.152
5,256,343.403,571.668,153.005,440336384,27.31,61.027,129.371
6,256,327.813,549.979,150.192,426348544,30.80,60.487,117.134
7,256,272.426,378.264,139.113,293629952,34.49,36.049,97.264
8,256,347.553,544.953,184.094,417288192,37.30,48.045,115.414
9,256,381.764,681.255,178.976,515092480,39.36,72.160,130.628
10,256,374.484,647.565,164.494,499077120,41.17,68.819,141.171
11,256,318.505,547.357,139.391,416960512,43.04,58.597,120.518
12,256,284.576,388.598,141.856,301707264,45.17,37.976,104.743
13,256,369.974,716.932,148.984,558427136,46.20,80.189,140.802
14,256,312.577,502.878,144.124,391028736,47.75,47.704,120.749
15,256,451.943,879.560,215.481,687464448,48.33,79.201,157.262
16,256,300.213,459.882,135.779,368574464,49.69,46.833,117.601
17,256,280.157,323.555,148.880,258232320,51.22,30.315,100.962
18,256,296.158,420.534,167.069,329433088,52.51,31.796,97.293
19,256,427.005,737.486,259.720,553000960,53.38,39.368,127.917
20,256,346.403,444.386,201.246,346165248,54.47,35.804,109.353
21,256,288.196,427.360,142.748,342282240,55.47,34.913,110.535
22,256,261.587,295.880,142.183,236900352,56.63,25.133,94.271
23,256,225.875,237.582,149.104,188542976,57.81,16.048,60.723
24,256,315.265,534.650,138.869,417771520,58.44,54.302,122.094
25,256,285.635,332.351,158.919,259854336,59.36,23.859,102.856
26,256,271.249,285.186,155.267,222740480,60.30,19.322,96.659
27,256,253.047,336.773,131.167,263237632,61.10,29.306,92.574
28,256,254.073,304.769,136.947,243933184,61.87,26.261,90.866
29,256,259.931,304.328,141.402,241827840,62.63,27.645,90.883
30,256,243.380,204.441,161.851,163749888,63.52,7.466,74.063
31,256,250.365,247.412,144.841,195031040,64.23,22.607,82.916
32,256,253.072,280.981,144.702,229445632,64.88,22.133,86.236
33,256,193.671,147.563,131.801,124719104,65.64,12.420,49.451
34,256,409.864,836.545,177.967,645128192,65.57,79.283,152.614
