# route_trace v1
# model=/data/local/tmp/shardllm/google_gemma-4-26B-A4B-it-Q4_K_M.gguf arch=gemma4 n_layer=30 n_expert=128 n_expert_used=6
# layer=0 expert_bytes=4336640 dense_bytes=44191236
# layer=1 expert_bytes=4336640 dense_bytes=44191236
# layer=2 expert_bytes=4336640 dense_bytes=44191236
# layer=3 expert_bytes=4336640 dense_bytes=38987268
# layer=4 expert_bytes=4336640 dense_bytes=38987268
# layer=5 expert_bytes=4336640 dense_bytes=52393476
# layer=6 expert_bytes=4336640 dense_bytes=38987268
# layer=7 expert_bytes=3593216 dense_bytes=38987268
# layer=8 expert_bytes=3593216 dense_bytes=44191236
# layer=9 expert_bytes=4336640 dense_bytes=38987268
# layer=10 expert_bytes=3593216 dense_bytes=38987268
# layer=11 expert_bytes=3593216 dense_bytes=52393476
# layer=12 expert_bytes=4336640 dense_bytes=38987268
# layer=13 expert_bytes=3593216 dense_bytes=38987268
# layer=14 expert_bytes=3593216 dense_bytes=44191236
# layer=15 expert_bytes=4336640 dense_bytes=38987268
# layer=16 expert_bytes=3593216 dense_bytes=38987268
# layer=17 expert_bytes=3593216 dense_bytes=52393476
# layer=18 expert_bytes=4336640 dense_bytes=38987268
# layer=19 expert_bytes=3593216 dense_bytes=38987268
# layer=20 expert_bytes=3593216 dense_bytes=44191236
# layer=21 expert_bytes=4336640 dense_bytes=38987268
# layer=22 expert_bytes=3593216 dense_bytes=38987268
# layer=23 expert_bytes=3593216 dense_bytes=52393476
# layer=24 expert_bytes=4336640 dense_bytes=38987268
# layer=25 expert_bytes=3593216 dense_bytes=38987268
# layer=26 expert_bytes=3593216 dense_bytes=44191236
# layer=27 expert_bytes=4336640 dense_bytes=44191236
# layer=28 expert_bytes=3593216 dense_bytes=44191236
# layer=29 expert_bytes=3593216 dense_bytes=52393476
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,0,0,0,79,0.425021,0,4336640
0,0,0,0,1,102,0.358799,0,4336640
0,0,0,0,2,114,0.0653988,0,4336640
0,0,0,0,3,19,0.0509981,0,4336640
0,0,0,0,4,54,0.0507713,0,4336640
0,0,0,0,5,46,0.0490119,0,4336640
0,0,1,0,0,102,0.754407,0,0
0,0,1,0,1,54,0.0692587,0,0
0,0,1,0,2,1,0.0494327,0,4336640
0,0,1,0,3,6,0.0448069,0,4336640
0,0,1,0,4,81,0.0419056,0,4336640
0,0,1,0,5,83,0.0401889,0,4336640
0,0,2,0,0,102,0.313602,0,0
0,0,2,0,1,60,0.29683,0,4336640
0,0,2,0,2,49,0.165882,0,4336640
0,0,2,0,3,19,0.0814555,0,0
0,0,2,0,4,22,0.0735573,0,4336640
0,0,2,0,5,105,0.0686735,0,4336640
0,0,3,0,0,102,0.466891,0,0
0,0,3,0,1,6,0.198467,0,0
0,0,3,0,2,92,0.107149,0,4336640
0,0,3,0,3,114,0.086779,0,0
0,0,3,0,4,84,0.083734,0,4336640
0,0,3,0,5,103,0.0569798,0,4336640
0,0,4,0,0,102,0.362087,0,0
0,0,4,0,1,54,0.196576,0,0
0,0,4,0,2,99,0.144314,0,4336640
0,0,4,0,3,50,0.123592,0,4336640
0,0,4,0,4,69,0.0892783,0,4336640
0,0,4,0,5,58,0.0841531,0,4336640
0,0,5,0,0,68,0.242424,0,4336640
0,0,5,0,1,126,0.176774,0,4336640
0,0,5,0,2,33,0.167121,0,4336640
0,0,5,0,3,39,0.157579,0,4336640
0,0,5,0,4,1,0.128719,0,0
0,0,5,0,5,102,0.127383,0,0
0,0,6,0,0,2,0.358384,0,4336640
0,0,6,0,1,68,0.205388,0,0
0,0,6,0,2,33,0.177851,0,0
0,0,6,0,3,113,0.124174,0,4336640
0,0,6,0,4,7,0.0738722,0,4336640
0,0,6,0,5,126,0.0603309,0,0
0,0,7,0,0,104,0.29865,0,4336640
0,0,7,0,1,102,0.168682,0,0
0,0,7,0,2,121,0.150507,0,4336640
0,0,7,0,3,124,0.139312,0,4336640
0,0,7,0,4,31,0.135355,0,4336640
0,0,7,0,5,47,0.107494,0,4336640
0,0,8,0,0,32,0.221788,0,4336640
0,0,8,0,1,86,0.203416,0,4336640
0,0,8,0,2,102,0.196019,0,0
0,0,8,0,3,107,0.13975,0,4336640
0,0,8,0,4,46,0.121778,0,0
