# route_trace v1
# model=/data/local/tmp/shardllm/gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2
# layer=0 expert_bytes=13219200 dense_bytes=23280128
# layer=1 expert_bytes=13219200 dense_bytes=23280128
# layer=2 expert_bytes=13219200 dense_bytes=23280128
# layer=3 expert_bytes=13219200 dense_bytes=23280128
# layer=4 expert_bytes=13219200 dense_bytes=22727168
# layer=5 expert_bytes=13219200 dense_bytes=22727168
# layer=6 expert_bytes=13219200 dense_bytes=23280128
# layer=7 expert_bytes=13219200 dense_bytes=22727168
# layer=8 expert_bytes=13219200 dense_bytes=22727168
# layer=9 expert_bytes=13219200 dense_bytes=23280128
# layer=10 expert_bytes=13219200 dense_bytes=22727168
# layer=11 expert_bytes=13219200 dense_bytes=22727168
# layer=12 expert_bytes=13219200 dense_bytes=23280128
# layer=13 expert_bytes=13219200 dense_bytes=22727168
# layer=14 expert_bytes=13219200 dense_bytes=22727168
# layer=15 expert_bytes=13219200 dense_bytes=23280128
# layer=16 expert_bytes=13219200 dense_bytes=22727168
# layer=17 expert_bytes=13219200 dense_bytes=22727168
# layer=18 expert_bytes=13219200 dense_bytes=23280128
# layer=19 expert_bytes=13219200 dense_bytes=22727168
# layer=20 expert_bytes=13219200 dense_bytes=22727168
# layer=21 expert_bytes=13219200 dense_bytes=23280128
# layer=22 expert_bytes=13219200 dense_bytes=22727168
# layer=23 expert_bytes=13219200 dense_bytes=22727168
# layer=24 expert_bytes=13219200 dense_bytes=23280128
# layer=25 expert_bytes=13219200 dense_bytes=22727168
# layer=26 expert_bytes=13219200 dense_bytes=22727168
# layer=27 expert_bytes=13219200 dense_bytes=23280128
# layer=28 expert_bytes=13219200 dense_bytes=22727168
# layer=29 expert_bytes=13219200 dense_bytes=22727168
# layer=30 expert_bytes=13219200 dense_bytes=23280128
# layer=31 expert_bytes=13219200 dense_bytes=23280128
# layer=32 expert_bytes=13219200 dense_bytes=23280128
# layer=33 expert_bytes=13219200 dense_bytes=23280128
# layer=34 expert_bytes=13219200 dense_bytes=23280128
# layer=35 expert_bytes=13219200 dense_bytes=23280128
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,0,0,0,83,0.529533,0,13219200
0,0,0,0,1,30,0.470467,0,13219200
0,0,1,0,0,46,0.576134,0,13219200
0,0,1,0,1,28,0.423866,0,13219200
0,0,2,0,0,8,0.700279,0,13219200
0,0,2,0,1,83,0.299721,0,0
0,0,3,0,0,82,0.708303,0,13219200
0,0,3,0,1,31,0.291697,0,13219200
0,0,4,0,0,102,0.657031,0,13219200
0,0,4,0,1,89,0.342969,0,13219200
0,0,5,0,0,28,0.575052,0,0
0,0,5,0,1,108,0.424948,0,13219200
0,0,6,0,0,61,0.642573,0,13219200
0,0,6,0,1,108,0.357427,0,0
0,0,7,0,0,39,0.90423,0,13219200
0,0,7,0,1,1,0.0957696,0,13219200
0,0,8,0,0,52,0.802456,0,13219200
0,0,8,0,1,110,0.197544,0,13219200
0,0,9,0,0,6,0.589163,0,13219200
0,0,9,0,1,0,0.410837,0,13219200
0,0,10,0,0,119,0.557858,0,13219200
0,0,10,0,1,88,0.442142,0,13219200
0,0,11,0,0,34,0.831427,0,13219200
0,0,11,0,1,124,0.168573,0,13219200
0,0,12,0,0,106,0.743094,0,13219200
0,0,12,0,1,55,0.256906,0,13219200
0,0,13,0,0,19,0.60261,0,13219200
0,0,13,0,1,89,0.39739,0,0
0,0,14,0,0,28,0.676536,0,0
0,0,14,0,1,24,0.323464,0,13219200
0,0,15,0,0,112,0.843279,0,13219200
0,0,15,0,1,117,0.156721,0,13219200
0,0,16,0,0,23,0.693369,0,13219200
0,0,16,0,1,115,0.306631,0,13219200
0,0,17,0,0,28,0.696483,0,0
0,0,17,0,1,47,0.303517,0,13219200
0,0,18,0,0,121,0.792922,0,13219200
0,0,18,0,1,0,0.207078,0,0
0,0,19,0,0,9,0.684087,0,13219200
0,0,19,0,1,38,0.315913,0,13219200
0,0,20,0,0,17,0.843354,0,13219200
0,0,20,0,1,62,0.156646,0,13219200
0,0,21,0,0,42,0.619574,0,13219200
0,0,21,0,1,99,0.380426,0,13219200
0,0,22,0,0,66,0.591559,0,13219200
0,0,22,0,1,77,0.408441,0,13219200
0,0,23,0,0,59,0.690536,0,13219200
0,0,23,0,1,79,0.309464,0,13219200
0,0,24,0,0,113,0.679317,0,13219200
