# route_trace v1
# model=/data/local/tmp/shardllm/Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6
# layer=0 expert_bytes=3059712 dense_bytes=11953152
# layer=1 expert_bytes=3059712 dense_bytes=11953152
# layer=2 expert_bytes=3059712 dense_bytes=11953152
# layer=3 expert_bytes=3059712 dense_bytes=11953152
# layer=4 expert_bytes=3059712 dense_bytes=11953152
# layer=5 expert_bytes=3059712 dense_bytes=11953152
# layer=6 expert_bytes=2654208 dense_bytes=11682816
# layer=7 expert_bytes=2654208 dense_bytes=11682816
# layer=8 expert_bytes=3059712 dense_bytes=11953152
# layer=9 expert_bytes=2654208 dense_bytes=11682816
# layer=10 expert_bytes=2654208 dense_bytes=11682816
# layer=11 expert_bytes=3059712 dense_bytes=11953152
# layer=12 expert_bytes=2654208 dense_bytes=11682816
# layer=13 expert_bytes=2654208 dense_bytes=11682816
# layer=14 expert_bytes=3059712 dense_bytes=11953152
# layer=15 expert_bytes=2654208 dense_bytes=11682816
# layer=16 expert_bytes=2654208 dense_bytes=11682816
# layer=17 expert_bytes=3059712 dense_bytes=11953152
# layer=18 expert_bytes=2654208 dense_bytes=11682816
# layer=19 expert_bytes=2654208 dense_bytes=11682816
# layer=20 expert_bytes=3059712 dense_bytes=11953152
# layer=21 expert_bytes=2654208 dense_bytes=11682816
# layer=22 expert_bytes=2654208 dense_bytes=11682816
# layer=23 expert_bytes=3059712 dense_bytes=11953152
# layer=24 expert_bytes=2654208 dense_bytes=11682816
# layer=25 expert_bytes=2654208 dense_bytes=11682816
# layer=26 expert_bytes=3059712 dense_bytes=11953152
# layer=27 expert_bytes=2654208 dense_bytes=11682816
# layer=28 expert_bytes=2654208 dense_bytes=11682816
# layer=29 expert_bytes=3059712 dense_bytes=11953152
# layer=30 expert_bytes=2654208 dense_bytes=11682816
# layer=31 expert_bytes=2654208 dense_bytes=11682816
# layer=32 expert_bytes=3059712 dense_bytes=11953152
# layer=33 expert_bytes=2654208 dense_bytes=11682816
# layer=34 expert_bytes=2654208 dense_bytes=11682816
# layer=35 expert_bytes=3059712 dense_bytes=11953152
# layer=36 expert_bytes=2654208 dense_bytes=11682816
# layer=37 expert_bytes=2654208 dense_bytes=11682816
# layer=38 expert_bytes=3059712 dense_bytes=11953152
# layer=39 expert_bytes=2654208 dense_bytes=11682816
# layer=40 expert_bytes=2654208 dense_bytes=11682816
# layer=41 expert_bytes=3059712 dense_bytes=11953152
# layer=42 expert_bytes=3059712 dense_bytes=11953152
# layer=43 expert_bytes=3059712 dense_bytes=11953152
# layer=44 expert_bytes=3059712 dense_bytes=11953152
# layer=45 expert_bytes=3059712 dense_bytes=11953152
# layer=46 expert_bytes=3059712 dense_bytes=11953152
# layer=47 expert_bytes=3059712 dense_bytes=11953152
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,0,0,0,49,0.221297,0,3059712
0,0,0,0,1,19,0.191844,0,3059712
0,0,0,0,2,58,0.190793,0,3059712
0,0,0,0,3,29,0.147117,0,3059712
0,0,0,0,4,16,0.136741,0,3059712
0,0,0,0,5,70,0.112209,0,3059712
0,0,1,0,0,66,0.224008,0,3059712
0,0,1,0,1,105,0.220732,0,3059712
0,0,1,0,2,125,0.157497,0,3059712
0,0,1,0,3,24,0.135013,0,3059712
0,0,1,0,4,86,0.134942,0,3059712
0,0,1,0,5,122,0.127808,0,3059712
0,0,2,0,0,114,0.366341,0,3059712
0,0,2,0,1,16,0.234965,0,0
0,0,2,0,2,98,0.159417,0,3059712
0,0,2,0,3,84,0.10022,0,3059712
0,0,2,0,4,1,0.0835035,0,3059712
0,0,2,0,5,53,0.0555534,0,3059712
0,0,3,0,0,75,0.20708,0,3059712
0,0,3,0,1,21,0.202296,0,3059712
0,0,3,0,2,32,0.190073,0,3059712
0,0,3,0,3,50,0.162056,0,3059712
0,0,3,0,4,78,0.120436,0,3059712
0,0,3,0,5,60,0.118058,0,3059712
0,0,4,0,0,116,0.281051,0,3059712
0,0,4,0,1,77,0.216612,0,3059712
0,0,4,0,2,12,0.184968,0,3059712
0,0,4,0,3,29,0.119067,0,0
0,0,4,0,4,3,0.11822,0,3059712
0,0,4,0,5,67,0.0800824,0,3059712
0,0,5,0,0,2,0.348485,0,3059712
0,0,5,0,1,13,0.175968,0,3059712
0,0,5,0,2,61,0.175566,0,3059712
0,0,5,0,3,80,0.147499,0,3059712
0,0,5,0,4,50,0.101825,0,0
0,0,5,0,5,120,0.0506561,0,3059712
0,0,6,0,0,106,0.340429,0,3059712
0,0,6,0,1,27,0.276379,0,3059712
0,0,6,0,2,50,0.127833,0,0
0,0,6,0,3,110,0.0986083,0,3059712
0,0,6,0,4,78,0.0817938,0,0
0,0,6,0,5,114,0.0749574,0,0
0,0,7,0,0,67,0.228572,0,0
0,0,7,0,1,77,0.209136,0,0
0,0,7,0,2,23,0.195516,0,3059712
0,0,7,0,3,112,0.163053,0,3059712
0,0,7,0,4,68,0.111938,0,3059712
0,0,7,0,5,28,0.0917866,0,3059712
0,0,8,0,0,68,0.381739,0,0
0,0,8,0,1,69,0.24827,0,3059712
0,0,8,0,2,81,0.107028,0,3059712
0,0,8,0,3,21,0.0941592,0,0
0,0,8,0,4,70,0.0848971,0,0
0,0,8,0,5,86,0.0839065,0,0
0,0,9,0,0,72,0.214816,0,3059712
0,0,9,0,1,37,0.192853,0,3059712
0,0,9,0,2,33,0.162014,0,3059712
0,0,9,0,3,101,0.153775,0,3059712
0,0,9,0,4,79,0.151415,0,3059712
0,0,9,0,5,70,0.125126,0,0
0,0,10,0,0,116,0.28974,0,0
0,0,10,0,1,29,0.199095,0,0
0,0,10,0,2,3,0.170215,0,0
0,0,10,0,3,41,0.168165,0,3059712
