# bmoe_metrics v1
# model=google_gemma-4-26B-A4B-it-Q4_K_M.gguf arch=gemma4 n_layer=30 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,666.820,364.864,541.670,252379136,6.64,89.292,35.858,75244,2087.762,-1.000,0,293.92,4000.0,6147.4,6006.1,141.1,373.3,868.3,219.2,9250.1
2,256,401.172,366.524,269.936,274657280,11.71,94.232,37.004,144,1385.497,-1.000,0,0.56,4000.0,6113.8,5973.4,140.1,404.2,876.0,161.9,9265.8
3,256,187.826,200.635,114.668,143130624,17.46,53.395,19.763,103,656.587,-1.000,0,0.40,4000.0,6089.4,5951.0,138.1,424.8,912.7,205.3,9291.8
4,256,386.711,304.328,272.917,229818368,21.39,82.762,31.032,131,1343.182,1.000,0,0.51,4000.0,6003.2,5872.2,130.8,505.6,1028.7,267.6,9216.0
5,256,213.677,231.324,119.114,179236864,25.27,72.593,21.970,102,744.267,1.000,0,0.40,4000.0,5999.9,5871.9,127.8,505.0,1029.1,279.0,9216.5
6,256,236.175,256.778,127.908,186515456,28.56,86.696,21.572,96,893.122,1.000,0,0.38,4000.0,5984.3,5857.0,127.0,521.1,1042.7,291.8,9200.3
7,256,467.887,196.424,391.034,135192576,31.88,59.931,16.921,80,1542.001,1.000,0,0.31,4000.0,5977.4,5854.4,122.8,522.8,1058.9,264.9,9185.1
8,256,174.636,135.113,115.859,105406464,35.01,45.639,13.138,68,610.923,1.000,0,0.27,4000.0,5975.3,5855.4,119.7,522.5,1049.7,268.8,9182.3
9,256,225.748,147.636,158.900,110526464,37.77,53.131,13.717,78,812.531,1.000,0,0.30,4000.0,5972.2,5856.2,115.8,522.6,1061.8,224.0,9176.3
10,256,235.514,245.776,130.719,179900416,39.73,84.370,20.425,83,876.306,1.000,0,0.32,4000.0,5967.6,5854.5,112.8,522.4,1075.2,253.7,9167.6
11,256,195.509,182.754,117.283,145268736,41.75,61.624,16.602,72,707.334,1.000,0,0.28,4000.0,5967.6,5856.5,110.8,522.0,1078.7,269.2,9160.8
12,256,195.070,144.184,124.543,103415808,43.86,57.805,12.722,66,703.678,1.000,0,0.26,4000.0,5967.7,5856.7,110.8,521.6,1084.3,284.5,9153.8
13,256,198.925,91.777,138.666,79470592,45.91,51.026,9.233,51,683.586,1.000,0,0.20,4000.0,5968.2,5857.1,110.8,521.6,1073.0,273.2,9153.6
14,256,206.834,147.412,134.762,109740032,47.59,58.928,13.144,48,741.401,1.000,0,0.19,4000.0,5965.0,5854.9,109.8,521.6,1074.8,278.9,9152.1
15,256,165.354,121.335,113.170,96083968,49.22,41.326,10.858,58,565.339,1.000,0,0.23,4000.0,5965.9,5855.8,109.8,521.4,1072.5,275.4,9152.8
16,256,170.988,45.456,138.877,41951232,51.03,26.780,5.331,42,584.856,1.000,0,0.16,4000.0,5967.5,5857.5,109.8,521.3,1070.4,273.3,9152.8
17,256,177.495,88.815,131.684,77979648,52.49,36.229,9.582,51,504.562,1.000,0,0.20,4000.0,5966.7,5856.7,109.8,520.9,1038.9,241.8,9153.3
18,256,175.526,84.010,130.681,65064960,53.93,36.387,8.458,49,635.820,1.000,0,0.19,4000.0,5966.9,5856.8,109.8,520.6,1040.5,242.7,9153.6
19,256,206.552,67.233,163.033,47648768,55.33,37.439,6.081,49,727.520,1.000,0,0.19,4000.0,5967.9,5857.9,109.8,520.5,1039.9,242.1,9153.6
20,256,428.526,52.213,391.621,39727104,56.69,31.164,5.741,37,1348.304,1.000,0,0.14,4000.0,5968.3,5858.2,109.8,520.4,1038.3,239.9,9154.1
21,256,188.276,157.887,114.167,131510272,57.52,57.794,16.315,74,648.032,1.000,0,0.29,4000.0,5968.8,5858.6,109.9,519.9,1022.9,223.9,9159.4
22,256,194.704,102.757,132.122,88150016,58.50,51.830,10.752,47,673.165,1.000,0,0.18,4000.0,5968.3,5858.1,109.9,519.8,1022.4,223.3,9160.7
23,256,128.272,21.658,114.017,20975616,59.71,11.030,3.225,55,414.141,1.000,0,0.21,4000.0,5967.3,5857.1,109.9,519.5,1021.4,222.4,9160.9
24,256,178.508,44.326,143.596,38973440,60.76,29.799,5.113,57,614.492,1.000,0,0.22,4000.0,5968.0,5857.8,109.9,519.3,1016.3,217.3,9162.4
25,256,157.285,21.773,141.569,15884288,61.85,12.215,3.500,57,506.688,1.000,0,0.22,4000.0,5967.4,5857.3,109.9,519.1,1015.7,216.7,9162.7
26,256,176.958,48.491,144.528,41111552,62.77,27.254,5.176,53,609.037,1.000,0,0.21,4000.0,5969.8,5859.6,109.9,518.9,1011.0,212.0,9162.9
27,256,200.477,139.968,137.726,109142016,63.39,49.597,13.153,74,693.480,1.000,0,0.29,4000.0,5967.1,5859.4,107.4,518.8,1076.3,278.9,9167.3
28,256,175.976,145.540,112.470,114855936,63.94,50.650,12.856,82,599.363,1.000,0,0.32,4000.0,5966.8,5859.1,107.4,518.3,1070.5,275.0,9162.1
29,256,204.902,67.841,158.062,54865920,64.69,38.991,7.849,60,703.263,1.000,0,0.23,4000.0,5962.4,5859.3,102.8,518.1,1088.6,234.7,9153.6
30,256,184.679,149.096,118.285,122781696,65.15,52.230,14.164,55,626.018,1.000,0,0.21,4000.0,5962.9,5859.9,102.8,518.3,1093.7,244.7,9146.3
31,256,222.118,292.650,118.909,204378112,65.30,79.915,23.293,75,803.064,1.000,0,0.29,4000.0,5963.6,5861.5,101.8,518.6,1102.9,269.8,9146.3
32,256,300.252,132.336,242.468,93999104,65.83,45.344,12.440,58,936.026,1.000,0,0.23,4000.0,5961.0,5859.7,101.1,519.1,1093.9,270.4,9142.8
33,256,221.668,193.898,136.616,144429056,66.16,67.883,17.168,72,797.427,1.000,0,0.28,4000.0,5961.3,5860.1,101.0,519.0,1095.1,275.7,9141.7
34,256,242.508,284.452,130.791,209575936,66.27,87.288,24.429,76,929.907,1.000,0,0.30,4000.0,5961.3,5860.1,101.0,518.8,1091.5,265.3,9142.7
35,256,233.432,106.468,169.429,78098432,66.80,50.256,13.747,63,799.553,1.000,0,0.25,4000.0,5962.2,5860.9,101.0,518.5,1071.7,227.5,9160.8
36,256,210.572,105.008,152.279,77934592,67.29,48.270,10.023,56,709.944,1.000,0,0.22,4000.0,5961.0,5859.7,101.0,518.1,1060.7,215.2,9162.0
37,256,143.559,59.300,113.389,49164288,67.86,24.127,6.043,63,460.448,1.000,0,0.25,4000.0,5962.7,5861.5,101.0,517.8,1052.3,204.6,9164.0
38,256,183.965,81.983,138.007,65052672,68.35,37.459,8.498,53,627.063,1.000,0,0.21,4000.0,5964.4,5863.1,101.0,517.6,1044.8,197.1,9164.3
39,256,264.919,377.482,134.855,291500032,68.13,97.387,32.677,88,967.570,1.000,0,0.34,4000.0,5962.4,5861.1,101.0,517.4,1045.0,189.4,9166.3
40,256,165.533,46.919,133.437,40472576,68.67,26.006,6.090,51,572.101,1.000,0,0.20,4000.0,5959.4,5859.7,99.5,518.3,1088.8,240.1,9160.8
41,256,152.938,84.342,115.255,67178496,69.11,29.793,7.890,63,509.270,1.000,0,0.25,4000.0,5962.2,5862.5,99.5,518.1,1092.6,241.1,9157.6
42,256,153.723,61.002,117.786,54140928,69.56,28.209,7.728,52,502.593,1.000,0,0.20,4000.0,5960.4,5861.2,99.0,518.1,1099.5,255.3,9151.8
43,256,133.553,40.884,117.370,25325568,70.08,12.617,3.566,58,403.766,1.000,0,0.23,4000.0,5955.3,5859.2,95.9,518.5,1103.9,265.8,9146.8
44,256,160.851,132.062,110.857,89542656,70.41,40.330,9.664,51,525.130,1.000,0,0.20,4000.0,5958.5,5862.3,95.9,518.3,1089.7,254.7,9142.1
45,256,183.653,86.036,146.944,60080128,70.81,28.877,7.832,64,640.451,1.000,0,0.25,4000.0,5951.6,5858.5,92.8,520.1,1105.3,214.0,9135.1
46,256,177.018,148.984,115.443,110497792,71.06,48.115,13.460,73,596.451,1.000,0,0.29,4000.0,5946.8,5858.5,88.0,521.8,1111.1,230.1,9127.1
