# bmoe_metrics v1
# model=google_gemma-4-26B-A4B-it-Q4_K_M.gguf arch=gemma4 n_layer=30 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,1710.813,693.028,1502.905,492924928,5.44,130.131,77.777,74147,4925.131,-1.000,0,289.64,4000.0,5920.9,5914.6,6.0,469.3,1026.5,194.3,9296.4
2,256,1334.986,702.691,1145.716,512897024,9.50,113.006,76.263,816,4147.001,-1.000,0,3.19,4000.0,5850.7,5844.3,6.0,539.2,1062.8,183.5,9281.1
3,256,299.091,323.143,174.342,239239168,15.47,95.337,29.411,152,994.141,-1.000,0,0.59,4000.0,5864.3,5857.9,6.0,527.0,1075.0,211.4,9276.3
4,256,539.126,530.410,379.011,398061568,19.02,110.383,49.733,181,1786.954,1.000,0,0.71,4000.0,5863.5,5857.1,6.0,526.7,1088.5,252.0,9249.5
5,256,247.231,376.364,118.415,269467648,23.09,97.068,31.748,153,892.251,1.000,0,0.60,4000.0,5863.0,5856.6,6.0,526.7,1105.0,273.2,9239.8
6,256,408.461,324.316,295.701,246480896,26.76,84.181,28.579,118,1324.972,1.000,0,0.46,4000.0,5863.3,5856.8,6.1,526.7,1114.6,287.8,9225.5
7,256,259.093,302.793,154.761,199507968,30.27,80.161,24.171,123,914.659,1.000,0,0.48,4000.0,5864.9,5858.2,6.3,526.2,1121.6,243.8,9213.5
8,256,203.561,219.054,118.199,165486592,33.55,65.213,20.148,88,705.736,1.000,0,0.34,4000.0,5864.0,5857.3,6.3,526.2,1133.0,269.3,9200.1
9,256,619.255,212.959,540.818,145915904,36.54,61.759,16.678,89,1974.118,1.000,0,0.35,4000.0,5841.5,5835.2,5.9,550.0,1148.1,245.4,9155.9
10,256,534.967,265.791,443.046,195022848,38.93,68.843,23.077,94,1693.395,1.000,0,0.37,4000.0,5816.6,5810.3,5.9,575.3,1152.0,247.7,9119.7
11,256,211.071,248.175,116.051,189968384,41.09,72.688,22.332,106,762.972,1.000,0,0.41,4000.0,5800.5,5794.2,5.9,590.8,1151.5,244.4,9103.0
12,256,480.823,175.295,404.000,122916864,43.40,61.221,15.602,72,1537.361,1.000,0,0.28,4000.0,5776.0,5769.7,5.9,613.1,1165.9,210.7,9067.5
13,256,170.849,118.712,117.252,99704832,45.59,32.394,21.203,2002,545.461,1.000,0,7.82,4000.0,5829.9,5823.6,5.9,559.4,1164.5,209.3,9119.9
14,256,166.305,119.518,113.886,94605312,47.61,39.382,13.037,55,569.457,1.000,0,0.21,4000.0,5829.2,5822.9,5.9,560.3,1161.2,208.4,9124.1
15,256,276.754,155.672,208.812,122138624,49.34,53.177,14.765,72,877.500,1.000,0,0.28,4000.0,5819.0,5812.7,5.9,570.1,1147.6,171.6,9133.3
16,256,718.104,37.442,693.059,40456192,51.27,17.385,7.661,927,1924.334,1.000,0,3.62,4000.0,5809.7,5803.4,5.9,581.5,1096.6,154.1,9106.4
17,256,423.030,79.959,380.262,65683456,52.94,27.717,15.050,61,1330.489,1.000,0,0.24,4000.0,5837.3,5831.0,5.9,554.8,1106.5,195.2,9113.7
18,256,150.154,83.695,115.542,63705088,54.50,25.573,9.039,51,496.049,1.000,0,0.20,4000.0,5833.7,5827.4,5.9,558.6,1104.7,192.6,9108.6
19,256,149.472,71.219,114.412,59191296,55.95,27.555,7.505,60,501.842,1.000,0,0.23,4000.0,5829.5,5823.2,5.9,562.1,1106.4,202.8,9099.3
20,256,147.016,55.071,113.847,54890496,57.32,24.057,9.112,45,486.750,1.000,0,0.18,4000.0,5833.5,5827.2,5.9,558.8,1105.1,201.5,9100.8
21,256,240.739,242.335,143.686,187858944,58.11,75.511,21.542,94,854.957,1.000,0,0.37,4000.0,5818.2,5811.8,6.1,574.2,1111.0,159.5,9079.6
22,256,164.369,99.491,114.307,86659072,59.20,39.417,10.645,55,563.834,1.000,0,0.21,4000.0,5805.9,5799.4,6.1,585.3,1112.5,160.9,9066.2
23,256,147.897,55.204,115.324,47661056,60.35,23.522,9.051,74,464.882,1.000,0,0.29,4000.0,5812.6,5806.1,6.1,578.6,1112.1,159.3,9071.4
24,256,152.805,70.634,114.181,63524864,61.38,24.683,13.941,70,502.768,1.000,0,0.27,4000.0,5844.4,5837.8,6.2,545.3,1122.4,179.6,9097.9
25,256,162.885,52.151,130.666,41857024,62.41,25.893,6.327,69,529.655,1.000,0,0.27,4000.0,5842.5,5835.9,6.2,547.8,1124.9,192.5,9088.6
26,256,179.187,140.538,115.171,116219904,63.15,50.210,13.806,83,629.418,1.000,0,0.32,4000.0,5846.4,5839.9,6.2,545.8,1134.2,201.9,9077.7
27,256,180.791,183.119,114.190,140939264,63.79,49.269,17.333,91,640.966,1.000,0,0.36,4000.0,5844.1,5837.6,6.2,545.8,1143.0,221.2,9064.4
28,256,143.969,55.569,114.224,50552832,64.64,23.638,6.106,61,474.336,1.000,0,0.24,4000.0,5847.0,5840.4,6.2,545.6,1153.8,235.4,9053.9
29,256,638.226,601.123,458.242,460636160,64.27,123.210,56.773,170,2143.028,1.000,0,0.66,4000.0,5847.8,5841.2,6.2,545.4,1160.7,274.3,9027.9
30,256,157.766,81.604,117.681,69390336,65.02,31.484,8.601,58,535.407,1.000,0,0.23,4000.0,5847.3,5840.7,6.2,545.4,1159.4,274.1,9024.9
31,256,153.295,73.264,113.715,64208896,65.73,31.263,8.317,69,513.310,1.000,0,0.27,4000.0,5844.5,5837.9,6.2,545.3,1147.2,257.5,9024.2
32,256,453.099,127.640,406.444,75231232,66.40,37.695,8.960,68,1434.431,1.000,0,0.27,4000.0,5845.6,5839.0,6.2,545.8,1191.7,275.5,9003.2
33,256,238.097,259.673,141.768,205111296,66.69,70.694,25.635,110,851.976,1.000,0,0.43,4000.0,5847.3,5840.8,6.2,545.7,1193.7,238.8,8997.7
34,256,804.756,406.744,660.800,303570944,66.74,104.360,39.596,1181,2200.905,1.000,0,4.61,4000.0,5819.9,5813.3,6.2,570.7,1120.0,169.4,9086.9
35,256,231.342,270.227,126.053,192233472,67.05,81.284,24.005,99,819.395,1.000,0,0.39,4000.0,5825.2,5818.4,6.4,566.8,1141.2,200.4,9084.6
36,256,267.698,468.294,120.218,343633920,66.97,104.586,42.894,1856,987.892,1.000,0,7.25,4000.0,5838.1,5831.3,6.4,554.7,1142.0,212.0,9092.3
37,256,464.937,245.975,370.947,186384384,67.26,68.983,25.007,106,1496.885,1.000,0,0.41,4000.0,5831.6,5824.8,6.5,562.1,1129.1,215.3,9111.6
38,256,225.073,293.782,117.529,231784448,67.44,76.756,30.788,116,808.657,1.000,0,0.45,4000.0,5839.3,5832.4,6.5,551.1,1139.5,246.8,9112.4
39,256,221.634,294.762,121.155,223973376,67.64,73.011,27.468,108,802.867,1.000,0,0.42,4000.0,5842.4,5835.4,6.6,549.4,1144.6,275.3,9106.0
40,256,228.133,276.463,123.276,201646080,67.88,81.125,23.732,109,830.072,1.000,0,0.43,4000.0,5845.7,5838.7,6.6,548.0,1136.5,279.6,9099.5
41,256,207.066,229.709,120.992,171945984,68.17,65.544,20.529,99,731.622,1.000,0,0.39,4000.0,5845.6,5838.4,6.7,547.7,1134.6,277.6,9095.2
42,256,209.615,212.397,121.740,172068864,68.45,66.260,21.615,90,773.613,1.000,0,0.35,4000.0,5845.1,5837.9,6.7,547.0,1113.1,252.2,9101.6
43,256,209.656,256.883,119.947,184225792,68.70,67.580,22.129,86,718.474,1.000,0,0.34,4000.0,5850.4,5843.3,6.7,543.9,1111.6,246.4,9100.9
44,256,194.543,201.916,115.339,155340800,68.99,60.072,19.131,76,678.081,1.000,0,0.30,4000.0,5849.5,5842.4,6.7,543.3,1112.1,246.9,9098.6
45,256,195.472,158.371,129.038,118407168,69.33,52.379,14.056,77,622.614,1.000,0,0.30,4000.0,5848.9,5841.7,6.7,543.2,1108.8,243.5,9095.1
46,256,161.109,116.060,116.946,83058688,69.74,32.988,11.175,66,544.454,1.000,0,0.26,4000.0,5848.9,5841.8,6.7,543.0,1115.2,249.9,9092.1
47,256,128.628,21.473,115.227,20238336,70.25,10.310,3.091,60,425.729,1.000,0,0.23,4000.0,5850.6,5843.4,6.7,542.8,1112.5,247.2,9090.9
48,256,216.458,164.468,144.578,118435840,70.56,57.979,13.902,62,679.327,1.000,0,0.24,4000.0,5851.0,5843.7,6.9,542.5,1102.8,237.5,9089.4
49,256,220.043,205.623,133.374,156700672,70.78,67.209,19.461,71,801.294,1.000,0,0.28,4000.0,5851.2,5843.9,6.9,542.3,1107.5,242.2,9088.0
50,256,236.575,247.448,142.578,184885248,70.95,70.280,23.716,74,814.184,1.000,0,0.29,4000.0,5851.5,5844.3,6.9,542.7,1162.6,284.4,9080.7
51,256,210.981,220.581,119.600,176283648,71.13,69.914,21.467,74,765.196,1.000,0,0.29,4000.0,5850.0,5842.8,6.9,542.5,1154.0,277.7,9078.2
52,256,182.397,130.633,117.464,117710848,71.40,50.655,14.278,85,620.060,1.000,0,0.33,4000.0,5849.9,5842.6,6.9,542.5,1143.7,268.2,9076.4
53,256,183.707,142.660,117.625,117108736,71.67,52.163,13.920,79,593.064,1.000,0,0.31,4000.0,5852.2,5844.9,6.9,542.2,1151.9,276.2,9073.4
54,256,246.696,332.795,131.403,246190080,71.71,87.276,28.016,80,911.018,1.000,0,0.31,4000.0,5850.8,5843.5,6.9,541.9,1141.0,264.8,9069.4
55,256,543.142,418.193,398.198,314990592,71.63,106.599,38.345,87,1826.485,1.000,0,0.34,4000.0,5852.3,5844.9,7.0,542.0,1125.6,234.5,9072.4
56,256,442.947,189.863,375.549,136450048,71.85,50.334,17.064,73,1412.845,1.000,0,0.29,4000.0,5852.7,5845.3,7.0,541.8,1135.4,233.7,9082.6
57,256,185.169,155.648,120.186,122793984,72.08,49.299,15.684,83,650.837,1.000,0,0.32,4000.0,5850.1,5842.8,7.0,541.5,1167.6,281.3,9073.9
58,256,441.319,140.143,382.108,110649344,72.34,46.252,12.959,70,1394.190,1.000,0,0.27,4000.0,5852.1,5844.5,7.2,541.3,1158.5,278.3,9064.9
59,256,170.115,135.666,116.117,96845824,72.60,41.093,12.905,71,572.635,1.000,0,0.28,4000.0,5850.9,5843.4,7.2,541.0,1156.2,276.1,9062.1
60,256,318.988,591.513,133.305,434511872,72.32,137.995,47.688,105,835.319,1.000,0,0.41,4000.0,5852.1,5844.4,7.3,540.7,1138.8,258.6,9062.4
61,256,264.605,350.845,140.250,259342336,72.33,97.406,26.949,97,680.077,1.000,0,0.38,4000.0,5854.7,5847.0,7.3,540.5,1133.8,253.0,9068.7
62,256,271.564,389.624,133.797,307691520,72.26,104.692,33.075,127,659.706,1.000,0,0.50,4000.0,5855.2,5847.5,7.3,540.0,1120.4,239.5,9069.2
63,256,321.691,433.543,173.811,319287296,72.18,113.346,34.533,108,784.402,1.000,0,0.42,4000.0,5854.8,5847.1,7.3,539.5,1135.5,189.0,9082.5
64,256,972.192,120.530,914.366,100425728,72.42,43.782,14.043,66,2539.412,1.000,0,0.26,4000.0,5841.8,5834.6,6.8,550.4,1042.2,134.7,9059.1
