# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,986.089,3700.477,348.335,1825931264,0.23,409.755,227.999,31,3634.915,-1.000,0,0.12,2000.0,4411.8,3987.8,423.6,83.8,2856.4,362.4,9060.5
2,256,565.550,1912.423,173.907,1005584384,2.72,265.030,126.612,99,1661.211,-1.000,0,0.39,2000.0,4412.5,3988.5,423.6,83.7,2842.3,348.1,9061.5
3,256,775.197,3292.769,207.202,1640681472,3.28,364.770,203.225,47,1705.241,0.988,0,0.18,2000.0,4412.8,3988.8,423.6,83.3,2829.0,327.2,9062.7
4,256,700.325,2718.115,208.429,1376026624,4.45,319.526,172.370,57,1990.527,0.988,0,0.22,2000.0,4409.0,3989.3,419.3,83.2,2860.4,371.6,9071.8
5,256,781.275,3326.941,177.790,1561255936,5.07,404.782,198.703,51,2661.093,0.988,0,0.20,2000.0,4405.0,3989.6,415.1,83.0,2831.2,375.7,9081.8
6,256,766.020,3452.027,168.192,1706819584,5.31,392.073,205.755,63,2691.453,0.988,0,0.25,2000.0,4405.5,3990.0,415.1,82.7,2836.2,380.4,9081.8
7,256,672.883,2377.228,217.381,1217314816,6.60,303.667,151.835,61,1562.982,0.988,0,0.24,2000.0,4406.0,3990.6,415.1,82.7,2818.3,362.4,9082.1
8,256,686.476,2492.635,205.912,1256943616,7.70,323.605,156.959,38,1497.577,0.988,0,0.15,2000.0,4406.3,3990.9,415.1,82.4,2813.6,351.9,9083.2
9,256,804.109,2326.944,368.355,1190772736,8.85,284.570,151.184,18,2173.476,0.988,0,0.07,2000.0,4406.3,3990.8,415.1,82.3,2807.9,323.9,9086.7
10,256,607.211,2174.084,183.618,1098203136,10.09,285.690,137.903,21,1737.756,0.988,0,0.08,2000.0,4406.4,3991.0,415.1,82.0,2798.2,310.9,9087.4
11,256,770.720,3459.586,164.559,1693618176,10.13,399.687,206.474,13,2936.298,0.988,0,0.05,2000.0,4406.8,3991.3,415.1,82.0,2805.7,315.8,9088.5
12,256,608.159,2147.682,195.806,1111326720,11.22,272.945,139.409,18,1903.198,0.988,0,0.07,2000.0,4407.0,3991.5,415.1,81.9,2834.7,401.1,9108.7
13,256,611.485,2354.166,172.482,1151135744,12.17,301.557,137.446,10,2194.020,0.988,0,0.04,2000.0,4406.9,3991.5,415.1,81.9,2807.5,366.9,9110.6
14,256,694.073,2987.000,166.428,1455431680,12.54,347.087,180.558,20,2550.381,0.988,0,0.08,2000.0,4407.0,3991.6,415.1,81.9,2814.6,374.0,9110.8
15,256,745.901,3367.553,165.152,1627414528,12.60,385.820,194.930,37,2850.940,0.988,0,0.14,2000.0,4407.7,3992.2,415.1,81.8,2797.4,351.2,9131.3
16,256,527.939,1621.613,183.712,899772416,13.82,231.314,112.913,14,1386.048,0.988,0,0.05,2000.0,4407.4,3991.9,415.1,81.8,2783.1,330.0,9132.3
17,256,589.786,2070.032,202.941,1098186752,14.67,247.554,139.291,0,1327.953,0.988,0,0.00,2000.0,4407.4,3991.9,415.1,81.8,2776.0,320.8,9133.6
18,256,748.459,2321.302,323.437,1217359872,15.28,272.298,152.724,21,1856.792,0.988,0,0.08,2000.0,4407.6,3992.1,415.1,81.8,2785.5,330.4,9133.9
19,256,567.311,1693.006,199.944,912961536,16.31,246.608,120.760,24,1369.716,0.988,0,0.09,2000.0,4407.9,3992.5,415.1,81.5,2785.3,382.3,9133.1
20,256,583.046,1934.789,192.759,1032044544,17.11,262.040,128.246,34,1406.029,0.988,0,0.13,2000.0,4408.0,3992.5,415.1,81.4,2776.9,373.8,9133.5
21,256,1281.559,2726.239,699.440,1323114496,17.46,418.981,163.139,0,3838.096,0.988,0,0.00,2000.0,4408.0,3992.6,415.1,81.4,2765.4,362.0,9133.9
22,256,653.816,2740.723,167.882,1336307712,17.78,317.107,168.827,35,2355.236,0.988,0,0.14,2000.0,4408.2,3992.8,415.1,81.0,2791.1,386.4,9134.6
23,256,699.736,2888.619,188.257,1429041152,17.96,333.627,177.851,108,1954.249,0.988,0,0.42,2000.0,4408.9,3993.4,415.1,80.8,2782.3,377.4,9134.9
24,256,689.923,2878.282,198.933,1429028864,18.13,312.734,178.256,18,1536.065,0.988,0,0.07,2000.0,4408.9,3993.4,415.1,80.8,2773.5,368.4,9135.4
25,256,676.817,2632.340,199.430,1336385536,18.41,311.950,165.437,4,1481.000,0.988,0,0.02,2000.0,4409.1,3993.6,415.1,80.8,2779.4,374.2,9135.4
26,256,758.164,3194.969,205.890,1574514688,18.39,356.994,195.280,14,2078.113,0.988,0,0.05,2000.0,4409.2,3993.8,415.1,80.8,2775.6,370.4,9135.4
27,256,783.851,3415.140,207.862,1680343040,18.24,364.157,211.831,12,1716.785,0.988,0,0.05,2000.0,4409.3,3993.8,415.1,80.5,2767.0,361.7,9135.9
28,256,626.117,2332.403,203.127,1177640960,18.68,276.408,146.582,3,1399.703,0.988,0,0.01,2000.0,4409.6,3994.1,415.1,80.5,2766.7,360.8,9135.9
29,256,697.652,2785.479,204.682,1415749632,18.84,315.949,177.022,15,1545.774,0.988,0,0.06,2000.0,4409.3,3993.8,415.1,80.3,2772.2,365.9,9136.1
30,256,979.825,3649.249,362.893,1759760384,18.60,395.061,221.871,0,2863.299,0.988,0,0.00,2000.0,4409.6,3994.1,415.1,80.3,2774.9,367.0,9136.4
31,256,655.700,2492.404,192.723,1230536704,18.95,302.579,160.397,0,1758.917,0.988,0,0.00,2000.0,4409.7,3994.2,415.1,80.3,2784.7,372.5,9137.6
32,256,706.927,2822.597,191.719,1442201600,19.06,338.138,177.071,24,1829.262,0.988,0,0.09,2000.0,4409.7,3994.2,415.1,80.3,2770.6,358.3,9137.8
33,256,805.391,3549.380,215.958,1746563072,18.84,369.847,219.585,45,1792.875,0.988,0,0.18,2000.0,4410.1,3994.6,415.1,80.0,2771.5,358.7,9138.1
34,256,617.577,2448.357,162.649,1217294336,19.18,302.987,151.942,28,2160.652,0.988,0,0.11,2000.0,4410.4,3994.9,415.1,79.9,2773.5,360.6,9138.1
35,256,547.685,1771.989,183.978,952729600,19.78,245.813,117.894,15,1333.457,0.988,0,0.06,2000.0,4410.4,3995.0,415.1,79.9,2766.3,353.4,9138.3
36,256,664.328,2570.676,188.350,1309884416,19.99,311.830,164.148,4,1726.350,0.988,0,0.02,2000.0,4410.4,3995.0,415.1,79.9,2768.7,354.1,9138.8
37,256,722.249,2897.472,214.904,1495117824,20.02,320.768,186.577,31,1605.692,0.988,0,0.12,2000.0,4410.8,3995.3,415.1,79.8,2757.7,340.0,9139.1
38,256,620.232,2262.229,200.296,1177612288,20.35,272.136,147.801,11,1424.358,0.988,0,0.04,2000.0,4410.8,3995.4,415.1,79.8,2754.5,336.2,9139.3
39,256,720.946,2975.925,198.037,1495121920,20.37,337.178,185.732,6,1555.574,0.988,0,0.02,2000.0,4411.0,3995.6,415.1,79.8,2760.8,342.4,9139.3
40,256,692.945,2762.836,196.317,1415696384,20.47,320.241,176.387,0,1539.086,0.988,0,0.00,2000.0,4410.9,3995.4,415.1,79.8,2749.5,331.1,9139.6
