# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,544.631,1767.373,149.038,886521856,0.27,277.789,117.803,43,1143.258,-1.000,0,0.17,2000.0,4323.4,3966.3,356.8,91.8,2933.2,398.4,9090.7
2,256,468.889,1208.508,152.880,674807808,1.36,225.661,90.348,85,898.270,-1.000,0,0.33,2000.0,4323.8,3966.7,356.8,91.5,2930.7,395.7,9091.4
3,256,516.890,1427.111,149.075,780627968,1.97,260.760,107.055,27,1016.627,0.984,0,0.11,2000.0,4324.0,3966.9,356.8,91.4,2928.9,386.9,9092.4
4,256,459.509,1135.707,143.634,648323072,3.02,229.116,86.759,53,912.076,0.984,0,0.21,2000.0,4324.4,3967.3,356.8,91.3,2920.8,378.6,9092.7
5,256,463.444,977.896,158.358,595410944,4.19,224.381,80.705,54,956.955,0.984,0,0.21,2000.0,4324.7,3967.6,356.8,90.9,2918.3,376.0,9092.9
6,256,450.485,1104.782,148.521,621867008,5.19,217.861,84.102,18,936.167,0.984,0,0.07,2000.0,4324.7,3967.6,356.8,90.9,2910.1,367.8,9092.9
7,256,443.082,1008.716,145.037,595390464,6.21,217.378,80.666,18,890.694,0.984,0,0.07,2000.0,4325.2,3968.1,356.8,90.8,2915.9,373.4,9092.9
8,256,398.750,873.676,148.887,502743040,7.48,182.260,67.603,23,870.698,0.984,0,0.09,2000.0,4325.4,3968.3,356.8,90.8,2900.0,357.5,9093.2
9,256,510.091,1319.312,162.326,714465280,8.00,251.173,96.592,15,1062.197,0.984,0,0.06,2000.0,4318.2,3968.3,349.6,90.7,2907.7,382.3,9096.7
10,256,487.671,1196.523,154.631,674803712,8.61,242.338,90.702,24,939.870,0.984,0,0.09,2000.0,4318.3,3968.5,349.6,90.7,2912.7,389.9,9097.4
11,256,462.717,1035.158,146.438,621830144,9.35,234.081,82.199,8,924.316,0.984,0,0.03,2000.0,4318.5,3968.6,349.6,90.7,2905.2,363.3,9099.7
12,256,469.088,1093.656,147.014,621858816,10.04,238.486,83.588,11,978.131,0.984,0,0.04,2000.0,4318.8,3969.0,349.6,90.7,2914.9,365.2,9100.8
13,256,411.182,814.304,141.659,516005888,11.00,202.106,67.417,12,771.132,0.984,0,0.05,2000.0,4319.0,3969.1,349.6,90.7,2911.0,361.3,9101.0
14,256,357.630,600.852,142.296,370495488,12.30,163.243,52.090,19,832.237,0.984,0,0.07,2000.0,4319.2,3969.4,349.6,90.5,2882.2,332.4,9101.0
15,256,394.572,705.338,164.398,436666368,13.36,169.458,60.717,23,883.153,0.984,0,0.09,2000.0,4319.3,3969.4,349.6,90.4,2883.5,333.7,9101.3
16,256,511.579,1388.231,153.175,754225152,13.54,256.569,101.835,21,1043.450,0.984,0,0.08,2000.0,4319.4,3969.6,349.6,90.3,2884.7,334.8,9101.3
17,256,519.437,1485.478,158.599,793882624,13.62,255.845,104.992,6,1033.368,0.984,0,0.02,2000.0,4319.5,3969.6,349.6,90.3,2876.4,326.4,9101.5
18,256,378.282,778.353,152.980,449830912,14.54,164.940,60.362,15,860.037,0.984,0,0.06,2000.0,4319.7,3969.9,349.6,90.2,2889.5,339.4,9101.5
19,256,375.009,681.475,146.863,423424000,15.48,171.089,57.057,0,759.484,0.984,0,0.00,2000.0,4319.6,3969.7,349.6,90.2,2872.3,322.3,9101.5
20,256,525.481,1525.113,150.520,793812992,15.51,269.397,105.564,50,1031.945,0.984,0,0.20,2000.0,4319.8,3970.0,349.6,89.9,2885.4,333.2,9102.0
21,256,443.562,979.533,142.668,582127616,16.02,221.634,79.260,31,902.229,0.984,0,0.12,2000.0,4320.1,3970.3,349.6,89.9,2880.3,327.9,9102.2
22,256,502.505,1218.177,164.670,674816000,16.30,247.169,90.666,26,1031.574,0.984,0,0.10,2000.0,4320.1,3970.2,349.6,89.8,2880.6,328.1,9102.7
23,256,463.629,1186.973,148.837,661569536,16.60,227.766,87.026,29,923.565,0.984,0,0.11,2000.0,4320.4,3970.6,349.6,89.7,2888.2,335.6,9103.0
24,256,457.056,1093.979,144.277,621932544,16.98,229.199,83.580,37,841.333,0.984,0,0.14,2000.0,4320.6,3970.8,349.6,89.4,2879.4,326.6,9103.0
25,256,384.061,792.676,149.709,463089664,17.67,172.125,62.227,26,801.323,0.984,0,0.10,2000.0,4320.9,3971.0,349.6,89.3,2881.8,328.9,9103.0
26,256,389.174,682.983,141.612,436637696,18.39,188.004,59.558,32,784.289,0.984,0,0.12,2000.0,4321.2,3971.3,349.6,89.3,2891.8,338.9,9103.0
27,256,276.166,364.136,142.304,238190592,19.49,101.045,32.816,30,665.160,0.984,0,0.12,2000.0,4321.4,3971.6,349.6,89.3,2882.1,329.1,9103.2
28,256,449.315,948.518,150.750,582201344,19.86,215.574,82.991,22,873.303,0.984,0,0.09,2000.0,4321.7,3971.9,349.6,89.0,2870.2,317.1,9103.2
29,256,482.317,1198.673,163.223,688041984,20.01,228.823,90.270,7,950.049,0.984,0,0.03,2000.0,4321.8,3971.9,349.6,88.9,2879.2,323.5,9103.5
30,256,457.140,1065.899,163.891,595378176,20.33,211.752,81.498,3,999.703,0.984,0,0.01,2000.0,4321.8,3972.0,349.6,88.9,2879.4,323.7,9103.5
31,256,291.406,354.282,146.261,251379712,21.29,110.964,34.181,12,617.337,0.984,0,0.05,2000.0,4321.9,3972.1,349.6,88.8,2873.2,317.5,9103.7
32,256,400.511,888.645,146.852,516055040,21.73,183.315,70.344,25,795.644,0.984,0,0.10,2000.0,4322.1,3972.2,349.6,88.8,2876.5,320.7,9104.0
33,256,521.521,1594.042,145.348,846774272,21.54,264.710,111.462,18,1097.262,0.984,0,0.07,2000.0,4322.2,3972.3,349.6,88.7,2873.6,317.7,9104.3
34,256,471.642,1111.882,150.330,648290304,21.72,233.242,88.070,18,912.814,0.984,0,0.07,2000.0,4322.4,3972.6,349.6,88.7,2881.3,325.2,9104.3
35,256,440.648,935.362,143.679,582172672,22.01,216.646,80.322,0,942.269,0.984,0,0.00,2000.0,4322.3,3972.5,349.6,88.7,2868.1,312.0,9104.3
36,256,462.159,1101.754,151.724,635092992,22.19,223.931,86.505,37,900.080,0.984,0,0.14,2000.0,4322.7,3972.8,349.6,88.7,2875.6,319.3,9105.1
37,256,448.488,979.186,176.880,555728896,22.51,196.368,75.239,0,1037.488,0.984,0,0.00,2000.0,4322.7,3972.8,349.6,88.7,2888.9,372.4,9104.8
38,256,465.698,1259.223,145.702,688054272,22.59,229.076,90.919,54,913.875,0.984,0,0.21,2000.0,4323.0,3973.1,349.6,88.4,2892.8,376.2,9105.1
39,256,537.552,1532.902,160.356,820318208,22.46,266.335,110.861,76,1104.660,0.984,0,0.30,2000.0,4323.4,3973.5,349.6,87.9,2891.3,373.0,9105.8
