# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,1454.461,1302.305,1146.514,952676352,-1.00,306.332,1.616,28,4315.437,-1.000,0,0.11,0.0,3925.4,3551.8,373.2,80.0,3221.4,229.3,9284.4
2,256,669.787,1250.767,330.805,952676352,-1.00,337.939,1.043,56,1450.425,-1.000,0,0.22,0.0,3925.8,3552.2,373.2,79.8,3218.6,226.1,9284.7
3,256,492.820,1233.721,158.378,952655872,-1.00,332.546,1.895,27,693.661,0.992,0,0.11,0.0,3926.0,3552.4,373.2,79.7,3218.3,221.4,9284.9
4,256,511.623,1244.804,189.766,952672256,-1.00,321.021,0.836,17,750.355,0.992,0,0.07,0.0,3926.0,3552.4,373.2,79.6,3217.5,220.5,9284.9
5,256,497.506,1249.759,212.244,952647680,-1.00,284.410,0.852,31,807.518,0.992,0,0.12,0.0,3926.3,3552.6,373.2,79.6,3216.6,219.5,9285.2
6,256,491.641,1246.395,214.384,952672256,-1.00,276.398,0.859,8,817.088,0.992,0,0.03,0.0,3926.4,3552.8,373.2,79.6,3213.0,215.8,9285.7
7,256,488.581,1240.555,187.387,952659968,-1.00,299.273,1.922,11,841.083,0.992,0,0.04,0.0,3926.3,3552.6,373.2,79.6,3211.2,213.8,9285.7
8,256,495.480,1251.284,174.305,952635392,-1.00,320.257,0.918,9,783.036,0.992,0,0.04,0.0,3926.3,3552.6,373.2,79.6,3207.8,208.9,9285.9
9,256,508.233,1246.618,177.827,952639488,-1.00,329.443,0.963,0,888.493,0.992,0,0.00,0.0,3921.4,3552.6,368.4,79.7,3242.7,327.3,9285.4
10,256,514.966,1253.123,189.558,952692736,-1.00,323.366,2.042,16,825.524,0.992,0,0.06,0.0,3921.3,3552.5,368.4,79.6,3238.8,323.1,9285.4
