# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,904.142,2220.094,393.981,1905315840,-1.00,509.109,1.051,21,2085.453,-1.000,0,0.08,0.0,4147.4,3560.0,587.0,78.5,3258.8,295.7,9167.4
2,256,755.726,2231.209,237.955,1905356800,-1.00,516.916,0.855,75,1051.461,-1.000,0,0.29,0.0,4147.4,3560.0,587.0,78.0,3254.3,291.0,9167.9
3,256,765.668,2263.861,264.967,1905336320,-1.00,498.863,1.839,45,1190.819,0.992,0,0.18,0.0,4147.7,3560.3,587.0,77.8,3250.7,278.0,9169.8
4,256,742.780,2237.954,262.894,1905311744,-1.00,479.046,0.840,34,1105.189,0.992,0,0.13,0.0,4147.9,3560.5,587.0,77.7,3249.8,276.5,9170.0
5,256,936.962,2337.525,406.542,1905295360,-1.00,529.368,1.052,19,1992.238,0.992,0,0.07,0.0,4148.2,3560.8,587.0,77.6,3247.4,267.6,9171.1
6,256,743.484,2239.969,264.191,1905324032,-1.00,478.431,0.862,58,1095.763,0.992,0,0.23,0.0,4148.3,3560.9,587.0,77.6,3242.4,258.3,9171.6
7,256,753.561,2257.316,290.012,1905360896,-1.00,461.614,1.935,49,1185.232,0.992,0,0.19,0.0,4148.4,3561.0,587.0,77.2,3237.3,234.1,9176.2
8,256,1650.665,2348.381,1187.533,1905315840,-1.00,461.943,1.189,31,4621.744,0.992,0,0.12,0.0,4143.5,3561.2,581.9,77.1,3260.2,332.9,9177.8
9,256,2005.333,2323.020,1576.705,1905274880,-1.00,427.176,1.452,12,6526.561,0.992,0,0.05,0.0,4143.3,3561.0,581.9,77.1,3251.0,322.1,9178.0
10,256,2437.210,2361.181,2018.688,1905315840,-1.00,416.190,2.332,15,7654.097,0.992,0,0.06,0.0,4143.5,3561.2,581.9,77.0,3244.4,302.5,9179.0
