# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,313.929,561.884,131.502,436531200,4.89,123.968,58.459,23987,1183.521,-1.000,0,93.70,4000.0,5399.7,4941.3,458.1,262.7,1552.1,249.5,8199.5
2,256,201.606,383.754,80.274,293879808,10.49,83.803,37.529,2,733.502,0.824,0,0.01,4000.0,5397.4,4939.0,458.1,264.9,1556.1,277.1,8191.5
3,256,243.365,490.339,95.886,360308736,14.41,103.288,44.191,1,878.111,0.824,0,0.00,4000.0,5399.1,4940.7,458.1,265.0,1546.8,263.7,8186.7
4,256,158.441,251.863,79.714,188325888,19.39,56.832,21.894,1,552.057,0.824,0,0.00,4000.0,5396.9,4938.5,458.1,265.0,1530.8,247.6,8186.5
5,256,172.308,291.788,78.800,226406400,23.33,65.273,28.234,1,620.400,0.824,0,0.00,4000.0,5397.9,4939.5,458.1,265.0,1526.9,243.8,8186.5
6,256,166.245,273.160,80.492,210468864,26.83,59.841,25.913,1,586.521,0.824,0,0.00,4000.0,5398.7,4940.4,458.1,265.0,1524.1,241.0,8186.5
7,256,339.344,229.177,267.832,161894400,30.26,50.144,21.368,1,1097.452,0.824,0,0.00,4000.0,5397.6,4939.2,458.1,265.0,1517.7,229.7,8190.5
8,256,352.570,236.685,277.570,169254912,33.24,53.914,21.087,1,1181.916,0.824,0,0.00,4000.0,5398.4,4940.0,458.1,265.0,1511.0,208.1,8192.3
9,256,187.506,346.540,79.070,259043328,35.25,77.341,31.096,1,678.809,0.824,0,0.00,4000.0,5399.5,4941.1,458.1,265.0,1505.3,202.4,8192.8
10,256,185.636,336.567,79.075,259276800,37.02,72.827,33.734,1,675.362,0.824,0,0.00,4000.0,5399.1,4940.7,458.1,265.0,1503.2,200.3,8193.1
11,256,196.039,297.652,92.731,222990336,38.85,74.662,28.646,0,652.512,0.824,0,0.00,4000.0,5388.9,4930.5,458.1,273.9,1560.7,266.4,8180.3
12,256,331.133,210.560,262.033,158822400,40.88,48.784,20.317,1,1074.539,0.824,0,0.00,4000.0,5374.3,4916.6,457.4,287.2,1564.4,274.9,8162.8
13,256,226.051,423.346,89.756,340131328,41.75,92.468,43.827,1,864.515,0.824,0,0.00,4000.0,5375.5,4917.9,457.4,287.2,1560.7,271.1,8160.3
14,256,162.341,254.270,80.067,193425408,43.31,57.514,24.760,1,569.345,0.824,0,0.00,4000.0,5375.0,4917.3,457.4,287.2,1560.4,267.2,8158.3
15,256,249.829,554.500,80.477,425521152,43.51,116.417,52.936,1,946.217,0.824,0,0.00,4000.0,5350.3,4892.7,457.4,312.1,1580.3,287.1,8132.8
16,256,152.633,220.824,81.393,172904448,44.98,50.040,21.200,1,533.098,0.824,0,0.00,4000.0,5350.6,4892.9,457.4,312.1,1577.2,282.5,8133.1
17,256,135.482,147.631,83.822,116391936,46.58,37.979,13.681,1,386.224,0.824,0,0.00,4000.0,5351.5,4893.9,457.4,312.1,1547.7,253.0,8133.1
18,256,162.511,226.952,85.893,169082880,47.82,55.889,20.729,2,374.500,0.824,0,0.01,4000.0,5350.6,4893.0,457.4,312.1,1540.8,244.5,8133.6
19,256,195.480,300.226,95.850,226467840,48.71,73.703,25.928,0,438.923,0.824,0,0.00,4000.0,5351.5,4893.9,457.4,312.1,1529.7,233.3,8133.6
20,256,136.101,149.189,85.982,107814912,50.04,38.185,11.934,1,324.726,0.824,0,0.00,4000.0,5349.6,4892.0,457.4,312.1,1532.6,236.3,8133.6
21,256,142.241,149.503,87.393,113958912,51.26,41.643,13.205,1,332.638,0.824,0,0.00,4000.0,5350.4,4892.8,457.4,312.1,1528.3,230.8,8133.8
22,256,143.336,127.049,92.517,95293440,52.47,40.318,10.500,1,346.505,0.824,0,0.00,4000.0,5351.6,4894.0,457.4,312.1,1527.6,229.7,8134.1
23,256,133.991,116.101,90.364,81383424,53.66,32.358,11.269,0,333.401,0.824,0,0.00,4000.0,5349.4,4891.7,457.4,312.1,1530.8,232.2,8134.1
24,256,113.317,105.452,77.464,75239424,54.79,26.002,9.851,1,369.965,0.824,0,0.00,4000.0,5350.2,4892.6,457.4,312.1,1526.6,228.1,8134.3
25,256,111.278,85.720,79.683,64745472,55.91,23.061,8.534,1,348.771,0.824,0,0.00,4000.0,5350.3,4892.7,457.4,312.1,1521.4,222.4,8134.3
26,256,122.449,95.579,87.646,70717440,56.93,25.678,9.126,0,328.727,0.824,0,0.00,4000.0,5351.0,4893.4,457.4,312.1,1500.8,201.3,8134.3
27,256,140.640,142.945,88.531,102076416,57.78,39.749,12.360,0,333.821,0.824,0,0.00,4000.0,5349.9,4892.3,457.4,312.1,1503.8,203.2,8134.3
28,256,331.132,177.638,272.406,128274432,58.52,42.400,16.326,2,1042.055,0.824,0,0.01,4000.0,5289.8,4833.3,456.2,373.0,1649.0,341.9,8068.9
29,256,132.554,121.359,88.902,93032448,59.33,29.985,13.668,1,444.044,0.824,0,0.00,4000.0,5288.2,4831.7,456.2,373.2,1647.8,340.4,8067.1
30,256,96.771,50.299,77.691,31764480,60.28,14.368,4.712,0,289.391,0.824,0,0.00,4000.0,5288.6,4832.1,456.2,374.0,1645.4,338.0,8065.6
31,256,291.335,106.207,258.171,69672960,61.07,22.377,10.786,2,896.704,0.824,0,0.01,4000.0,5282.1,4825.6,456.2,378.4,1637.6,329.7,8058.1
32,256,306.733,94.699,273.781,68050944,61.82,23.825,9.127,1,967.794,0.824,0,0.00,4000.0,5281.3,4824.8,456.2,379.9,1645.3,318.6,8055.9
33,256,131.849,54.314,112.048,30314496,62.66,14.733,5.068,4,440.285,0.824,0,0.02,4000.0,5281.1,4824.6,456.2,379.9,1637.3,310.5,8056.1
34,256,200.806,379.253,82.989,291213312,62.71,81.384,36.432,0,744.394,0.824,0,0.00,4000.0,5281.4,4824.9,456.2,379.9,1633.1,306.4,8056.1
35,256,405.747,421.091,274.441,306167808,62.72,94.066,37.240,1,1373.210,0.824,0,0.00,4000.0,5282.7,4826.1,456.2,379.9,1618.1,282.6,8058.6
36,256,223.937,452.233,86.138,336138240,62.64,96.967,40.832,2,828.948,0.824,0,0.01,4000.0,5282.4,4825.8,456.2,379.9,1613.5,277.9,8058.7
37,256,146.526,202.902,79.591,156561408,63.04,46.443,20.492,2,520.693,0.824,0,0.01,4000.0,5281.2,4824.7,456.2,379.9,1613.4,277.8,8058.7
38,256,124.409,123.201,82.869,93032448,63.60,29.484,12.056,1,420.394,0.824,0,0.00,4000.0,5280.6,4824.1,456.2,379.9,1609.8,274.2,8058.7
39,256,153.137,230.272,78.565,174415872,63.92,52.442,22.129,1,536.125,0.824,0,0.00,4000.0,5279.9,4823.4,456.2,379.9,1606.6,271.0,8058.7
40,256,118.428,107.077,80.640,81149952,64.46,26.979,10.808,1,393.394,0.824,0,0.00,4000.0,5280.8,4824.3,456.2,379.9,1602.3,265.4,8060.5
41,256,175.765,297.093,81.448,230117376,64.62,66.622,27.695,0,637.720,0.824,0,0.00,4000.0,5280.6,4824.1,456.2,379.9,1595.9,258.9,8060.5
42,256,140.470,146.715,87.423,112508928,65.05,37.616,15.431,2,401.921,0.824,0,0.01,4000.0,5281.0,4824.4,456.2,379.9,1578.3,241.3,8060.5
43,256,100.582,40.322,84.109,26431488,65.67,13.297,3.176,0,256.547,0.824,0,0.00,4000.0,5282.6,4826.1,456.2,379.9,1572.2,235.2,8060.5
44,256,136.979,167.518,82.628,120913920,66.04,38.940,15.412,1,468.691,0.824,0,0.00,4000.0,5280.7,4824.2,456.2,379.7,1574.8,237.8,8060.5
45,256,135.134,164.171,78.254,123985920,66.40,40.682,16.199,1,454.006,0.824,0,0.00,4000.0,5281.8,4825.3,456.2,379.7,1567.1,230.1,8060.8
46,256,120.307,98.742,83.201,75411456,66.85,27.390,9.717,0,300.824,0.824,0,0.00,4000.0,5280.7,4824.1,456.2,379.7,1558.3,221.3,8060.8
47,256,166.567,104.738,125.619,74194944,67.28,31.365,9.583,0,432.680,0.824,0,0.00,4000.0,5280.5,4823.9,456.2,379.7,1560.8,223.8,8060.9
48,256,326.462,192.030,267.432,142245888,67.55,41.087,17.944,1,1014.112,0.824,0,0.00,4000.0,5281.9,4825.4,456.2,379.7,1574.3,234.6,8061.4
49,256,134.194,161.284,82.320,119697408,67.86,36.833,15.042,2,463.500,0.824,0,0.01,4000.0,5282.1,4825.6,456.2,379.7,1576.4,236.7,8061.9
50,256,115.582,92.735,81.755,67645440,68.27,23.784,10.043,1,371.724,0.824,0,0.00,4000.0,5281.6,4825.1,456.2,379.7,1571.7,231.4,8062.2
51,256,150.153,229.205,78.632,172388352,68.45,51.129,20.391,0,521.465,0.824,0,0.00,4000.0,5282.6,4826.1,456.2,379.7,1576.7,236.5,8062.2
52,256,115.935,88.177,84.098,66600960,68.83,22.478,9.359,1,379.685,0.824,0,0.00,4000.0,5280.7,4824.2,456.2,379.7,1575.2,234.9,8062.4
53,256,113.049,86.236,81.614,63123456,69.22,22.417,9.018,0,361.553,0.824,0,0.00,4000.0,5282.7,4826.2,456.2,379.7,1569.5,229.3,8062.4
54,256,112.648,95.403,79.117,67817472,69.58,24.361,9.170,2,357.368,0.824,0,0.01,4000.0,5281.8,4825.3,456.2,379.7,1566.0,225.7,8062.4
55,256,99.747,50.962,79.844,38313984,69.99,13.301,6.603,2,309.974,0.824,0,0.01,4000.0,5281.1,4824.6,456.2,379.7,1575.9,227.2,8064.9
56,256,218.514,128.257,176.371,88338432,70.28,31.163,10.981,1,413.488,0.824,0,0.00,4000.0,5281.5,4825.0,456.2,379.7,1572.0,219.4,8068.9
57,256,206.764,408.382,83.649,304779264,70.17,85.989,37.126,0,727.469,0.824,0,0.00,4000.0,5280.3,4823.7,456.2,379.7,1587.9,235.2,8068.9
58,256,121.102,119.864,78.428,87932928,70.46,30.465,12.209,1,400.131,0.824,0,0.00,4000.0,5280.8,4824.3,456.2,379.7,1583.5,229.5,8068.9
59,256,115.996,67.412,90.379,46718976,70.81,18.946,6.671,1,392.278,0.824,0,0.00,4000.0,5280.7,4824.2,456.2,379.7,1584.0,227.6,8068.9
60,256,138.258,172.391,80.980,136273920,71.00,40.424,16.854,2,474.361,0.824,0,0.01,4000.0,5281.0,4824.5,456.2,379.7,1578.7,216.2,8069.7
61,256,180.968,318.629,80.241,247566336,70.99,70.555,30.173,1,655.925,0.824,0,0.00,4000.0,5280.4,4823.9,456.2,379.7,1575.9,213.5,8069.7
62,256,153.506,212.032,84.737,165199872,71.11,48.497,20.271,1,538.307,0.824,0,0.00,4000.0,5282.0,4825.5,456.2,379.6,1569.2,206.7,8070.0
63,256,118.583,108.665,80.323,80744448,71.38,26.893,11.368,0,386.581,0.824,0,0.00,4000.0,5281.8,4825.3,456.2,379.6,1571.7,209.3,8070.0
64,256,115.638,100.712,80.638,72978432,71.65,25.359,9.641,2,371.949,0.824,0,0.01,4000.0,5282.4,4825.9,456.2,379.6,1568.3,205.9,8070.0
65,256,143.737,187.325,81.649,144273408,71.80,44.503,17.585,2,491.303,0.824,0,0.01,4000.0,5283.0,4826.5,456.2,379.6,1566.1,203.6,8070.0
66,256,193.838,355.701,81.327,280952832,71.72,77.874,34.637,0,678.219,0.824,0,0.00,4000.0,5280.5,4824.0,456.2,379.6,1565.1,202.7,8070.0
67,256,165.222,205.275,96.469,152272896,71.86,50.725,18.028,32,399.880,0.824,0,0.12,4000.0,5280.1,4824.6,455.2,379.6,1624.9,268.1,8067.2
68,256,148.711,210.859,80.457,161894400,71.97,49.185,19.069,0,523.101,0.824,0,0.00,4000.0,5281.3,4825.8,455.2,379.6,1622.6,265.8,8063.5
69,256,328.240,258.316,247.831,193658880,72.03,54.936,25.473,0,1062.610,0.824,0,0.00,4000.0,5281.6,4826.1,455.2,380.0,1613.4,256.5,8053.5
70,256,137.576,163.141,80.477,127868928,72.19,40.415,16.684,0,468.615,0.824,0,0.00,4000.0,5279.3,4823.8,455.2,380.0,1616.2,259.3,8052.5
71,256,110.157,79.434,80.544,58195968,72.45,20.538,9.074,35,350.104,0.824,0,0.14,4000.0,5281.0,4825.5,455.2,379.9,1609.0,251.0,8053.5
72,256,162.499,230.643,86.734,168271872,72.54,54.134,21.630,0,520.687,0.824,0,0.00,4000.0,5279.3,4823.8,455.2,379.9,1610.0,252.0,8051.7
73,256,189.315,280.762,99.075,220495872,72.55,64.687,25.554,0,456.690,0.824,0,0.00,4000.0,5278.9,4823.4,455.2,380.5,1611.7,253.7,8047.7
74,256,122.053,94.544,84.232,69672960,72.79,27.959,9.863,1,300.293,0.824,0,0.00,4000.0,5277.1,4821.6,455.2,382.1,1613.1,255.1,8045.0
75,256,146.706,198.165,82.491,145317888,72.90,45.874,18.341,30,501.348,0.824,0,0.12,4000.0,5278.8,4823.2,455.2,382.9,1612.0,254.0,8042.0
76,256,434.805,515.551,274.242,390389760,72.67,110.250,50.314,2,1509.192,0.824,0,0.01,4000.0,5276.7,4821.2,455.2,382.9,1614.0,256.0,8037.7
77,256,196.380,351.459,84.013,262926336,72.62,78.206,34.161,1,708.497,0.824,0,0.00,4000.0,5277.2,4821.7,455.2,382.9,1611.9,242.4,8037.0
78,256,113.857,86.770,81.548,64745472,72.84,22.704,9.605,0,361.402,0.824,0,0.00,4000.0,5277.7,4822.2,455.2,382.9,1596.6,221.4,8044.2
79,256,96.115,41.100,79.597,25620480,73.12,11.474,5.045,36,290.810,0.824,0,0.14,4000.0,5276.8,4821.3,455.2,382.7,1596.7,219.8,8043.0
80,256,121.273,119.897,80.139,86888448,73.30,29.498,11.636,1,397.115,0.824,0,0.00,4000.0,5278.8,4823.3,455.2,382.7,1598.6,221.6,8041.2
81,256,301.044,111.299,262.774,72339456,73.50,27.537,10.733,0,915.267,0.824,0,0.00,4000.0,5276.5,4821.0,455.2,382.7,1612.8,235.8,8037.2
82,256,152.546,194.772,86.225,153894912,73.59,44.553,21.767,2,506.706,0.824,0,0.01,4000.0,5277.1,4821.5,455.2,382.7,1613.9,236.9,8035.8
83,256,171.446,239.702,92.145,173371392,73.65,58.162,21.139,37,441.146,0.824,0,0.14,4000.0,5276.5,4821.0,455.2,382.5,1606.9,229.8,8034.3
84,256,174.792,261.165,94.093,196325376,73.68,58.243,22.457,1,407.163,0.824,0,0.00,4000.0,5278.4,4822.9,455.2,382.5,1608.2,231.2,8033.8
85,256,130.986,111.855,87.749,80338944,73.86,32.388,10.849,1,316.232,0.824,0,0.00,4000.0,5276.9,4821.4,455.2,382.5,1602.7,225.7,8034.3
86,256,125.384,98.792,88.002,71933952,74.05,28.629,8.752,0,315.501,0.824,0,0.00,4000.0,5277.7,4822.2,455.2,382.5,1604.7,225.6,8038.1
87,256,182.001,257.483,95.403,193019904,74.08,63.109,23.490,33,418.042,0.824,0,0.13,4000.0,5276.9,4821.4,455.2,382.5,1601.2,222.1,8038.1
88,256,174.189,249.047,94.004,189542400,74.11,57.575,22.610,1,409.192,0.824,0,0.00,4000.0,5277.3,4821.8,455.2,382.5,1594.4,215.3,8038.1
89,256,184.733,274.968,95.054,202469376,74.13,66.066,23.614,2,414.797,0.824,0,0.01,4000.0,5277.1,4821.6,455.2,382.5,1598.9,218.7,8038.6
90,256,176.347,233.349,96.762,175398912,74.18,58.402,21.184,2,415.123,0.824,0,0.01,4000.0,5279.6,4824.0,455.2,382.5,1587.3,207.2,8038.6
91,256,113.454,70.090,85.666,52051968,74.38,21.116,6.671,35,305.969,0.824,0,0.14,4000.0,5277.8,4822.3,455.2,382.5,1588.1,207.9,8038.6
92,256,110.461,76.481,84.479,52862976,74.57,18.977,7.005,1,349.992,0.824,0,0.00,4000.0,5278.9,4823.4,455.2,382.5,1582.3,202.1,8038.6
93,256,356.444,761.225,124.575,588165120,74.12,157.618,74.250,0,1333.217,0.824,0,0.00,4000.0,5273.0,4822.6,450.1,382.6,1675.3,307.5,8034.9
94,256,402.968,417.011,280.157,308428800,74.01,84.767,38.044,0,1298.521,0.824,0,0.00,4000.0,5272.3,4821.9,450.1,382.6,1639.7,238.5,8034.5
95,256,137.944,167.527,80.623,133201920,74.11,39.045,18.276,35,470.585,0.824,0,0.14,4000.0,5271.9,4821.5,450.1,382.5,1639.6,238.0,8033.5
96,256,589.210,413.783,471.465,299556864,74.02,78.643,39.103,2,1874.785,0.824,0,0.01,4000.0,5271.8,4821.5,450.1,382.5,1650.5,248.9,8025.0
97,256,191.584,344.030,83.978,262520832,73.96,74.064,33.542,1,695.752,0.824,0,0.00,4000.0,5272.8,4822.4,450.1,382.5,1648.4,246.7,8022.5
98,256,160.976,242.829,82.766,188325888,74.00,53.589,24.621,1,562.064,0.824,0,0.00,4000.0,5273.3,4822.9,450.1,382.5,1647.8,246.2,8020.2
99,256,139.562,166.944,83.674,128274432,74.10,39.465,16.423,52,456.764,0.824,0,0.20,4000.0,5274.1,4823.7,450.1,382.2,1635.6,233.9,8018.2
