# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=4000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,430.292,857.720,164.520,670187520,4.51,177.470,88.302,32210,1640.520,-1.000,0,125.82,4000.0,5484.9,4908.3,576.3,298.5,1723.4,268.3,8293.2
2,256,637.985,618.978,475.146,435720192,10.29,108.727,54.113,4,1974.216,0.824,0,0.02,4000.0,5471.3,4894.8,576.3,310.2,1691.5,251.9,8275.7
3,256,305.888,689.687,132.370,521392128,14.26,114.475,59.042,22,716.355,0.824,0,0.09,4000.0,5471.3,4894.7,576.3,311.2,1685.7,241.0,8273.2
4,256,204.737,372.481,97.219,282808320,19.42,78.128,29.389,1,458.501,0.824,0,0.00,4000.0,5470.6,4894.0,576.3,311.2,1684.8,240.0,8273.4
5,256,211.029,375.048,99.102,283791360,23.79,81.226,30.701,1,474.167,0.824,0,0.00,4000.0,5470.5,4894.0,576.3,311.2,1679.9,235.1,8273.7
6,256,233.397,389.186,125.720,284430336,27.50,77.019,30.658,1,572.553,0.824,0,0.00,4000.0,5471.0,4895.3,575.4,311.8,1739.2,280.2,8276.9
7,256,386.723,235.688,312.545,170704896,31.40,51.023,23.155,23,1161.986,0.824,0,0.09,4000.0,5430.7,4865.2,565.3,341.9,1732.9,257.3,8265.7
8,256,377.235,373.772,269.274,278925312,34.16,74.111,33.850,1,1247.988,0.824,0,0.00,4000.0,5401.2,4835.7,565.3,370.5,1758.9,279.5,8236.4
9,256,215.208,427.184,90.484,329932800,36.33,85.167,39.557,1,785.017,0.824,0,0.00,4000.0,5402.2,4836.7,565.3,370.5,1747.4,268.0,8236.4
10,256,214.756,430.611,88.562,325472256,38.26,86.795,39.399,1,784.788,0.824,0,0.00,4000.0,5401.0,4835.5,565.3,370.5,1740.6,257.3,8238.4
11,256,192.199,357.081,89.268,272781312,40.24,70.203,32.727,22,696.001,0.824,0,0.09,4000.0,5402.1,4836.6,565.3,370.4,1733.0,249.7,8238.7
12,256,153.281,235.808,86.251,174821376,42.47,45.717,21.313,1,529.267,0.824,0,0.00,4000.0,5402.0,4836.4,565.3,370.4,1726.7,243.4,8238.7
13,256,236.336,495.736,89.146,391372288,43.57,98.798,48.391,1,884.040,0.824,0,0.00,4000.0,5400.5,4834.9,565.3,370.4,1727.5,244.2,8238.7
14,256,195.136,311.491,98.647,234639360,45.20,70.599,25.890,1,449.332,0.824,0,0.00,4000.0,5402.8,4837.3,565.3,370.4,1706.2,219.4,8239.4
15,256,290.057,660.397,114.055,499077120,45.60,119.787,56.215,24,639.129,0.824,0,0.09,4000.0,5401.7,4836.2,565.3,370.4,1702.2,214.9,8239.4
16,256,187.191,288.212,107.156,216551424,47.10,57.066,22.969,1,480.988,0.824,0,0.00,4000.0,5389.8,4824.2,565.3,382.6,1768.0,286.6,8221.3
17,256,150.092,182.545,93.693,142012416,48.73,39.554,16.845,1,499.690,0.824,0,0.00,4000.0,5388.7,4823.1,565.3,382.6,1749.9,269.1,8218.8
18,256,168.611,263.346,90.299,195514368,50.04,53.820,24.491,2,599.061,0.824,0,0.01,4000.0,5389.6,4824.0,565.3,383.1,1738.7,257.8,8218.8
19,256,588.362,499.733,451.335,370913280,50.66,90.925,46.102,21,1918.084,0.824,0,0.08,4000.0,5382.0,4816.4,565.3,388.6,1739.6,258.7,8208.3
20,256,558.300,297.956,474.897,207396864,51.77,57.190,26.213,1,1549.971,0.824,0,0.00,4000.0,5380.4,4814.9,565.3,390.6,1730.5,247.8,8202.5
21,256,173.750,268.814,92.062,203513856,52.80,55.100,26.589,1,613.807,0.824,0,0.00,4000.0,5381.9,4816.4,565.3,390.8,1731.2,248.6,8200.8
