# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=4 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=1500 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,897.674,4068.201,198.133,1905315840,0.00,467.552,231.989,9153,3419.679,-1.000,0,35.75,1500.0,3662.3,3296.5,365.7,271.2,2226.6,358.8,7526.6
2,256,879.223,4120.672,171.845,1905352704,0.00,476.139,231.240,193,2802.070,-1.000,0,0.75,1500.0,3663.4,3297.6,365.7,270.5,2209.2,343.1,7527.9
3,256,900.392,4082.927,214.078,1905328128,0.00,453.001,233.313,135,1816.814,0.879,0,0.53,1500.0,3664.2,3298.4,365.7,269.8,2202.6,333.4,7529.6
4,256,888.539,4150.940,201.841,1905311744,0.00,455.148,231.550,127,2434.593,0.879,0,0.50,1500.0,3665.0,3299.2,365.7,269.5,2208.1,332.8,7531.1
5,256,914.676,4236.207,197.667,1905307648,0.00,490.066,226.943,125,1773.257,0.879,0,0.49,1500.0,3665.5,3299.7,365.7,269.1,2206.0,326.1,7532.8
6,256,873.316,4025.293,204.277,1905319936,0.00,443.696,225.343,117,1831.601,0.879,0,0.46,1500.0,3666.3,3300.5,365.7,268.5,2194.8,313.6,7534.1
7,256,1045.358,4132.114,368.435,1905364992,0.00,442.021,234.902,115,3033.536,0.879,0,0.45,1500.0,3643.4,3277.6,365.7,291.5,2248.2,363.7,7504.4
8,256,885.962,4156.658,188.515,1905299456,0.00,466.551,230.896,77,2876.163,0.879,0,0.30,1500.0,3642.6,3276.8,365.7,292.3,2217.9,317.5,7505.2
9,256,1218.702,4094.181,544.120,1905274880,0.00,438.697,235.885,84,4219.688,0.879,0,0.33,1500.0,3643.0,3277.2,365.7,292.0,2204.8,304.2,7510.2
10,256,889.750,4095.018,196.324,1905315840,0.00,465.869,227.557,77,1833.119,0.867,0,0.30,1500.0,3643.4,3277.5,365.7,291.7,2202.0,300.9,7511.2
11,256,879.931,4111.417,169.952,1905352704,0.00,484.035,225.944,86,3237.500,0.867,0,0.34,1500.0,3615.5,3249.7,365.7,319.7,2225.4,332.1,7482.7
12,256,862.428,4103.170,157.665,1905254400,0.00,487.711,217.052,74,3213.896,0.867,0,0.29,1500.0,3560.2,3194.3,365.7,375.2,2245.5,374.2,7427.2
13,256,1027.305,4154.234,332.943,1905336320,0.00,476.837,217.525,57,3672.525,0.867,0,0.22,1500.0,3491.3,3129.5,361.7,440.0,2259.8,408.7,7361.8
14,256,1034.789,4197.495,312.146,1905299456,0.00,494.424,228.219,58,3352.872,0.773,0,0.23,1500.0,3445.5,3083.6,361.7,485.6,2236.9,375.5,7325.8
15,256,856.140,4071.306,166.324,1905295360,0.00,458.197,231.619,75,3174.350,0.773,0,0.29,1500.0,3445.7,3083.9,361.7,485.5,2232.7,371.3,7326.0
16,256,880.769,4123.169,206.906,1905369088,0.00,445.634,228.229,52,1781.628,0.773,0,0.20,1500.0,3445.9,3084.1,361.7,485.5,2235.0,337.4,7329.0
17,256,876.730,4094.391,195.184,1905340416,0.00,454.893,226.653,28,1776.799,0.762,0,0.11,1500.0,3446.1,3084.3,361.7,485.3,2229.0,327.1,7330.0
18,256,885.418,4062.653,213.180,1905430528,0.00,445.875,226.363,40,1794.325,0.762,0,0.16,1500.0,3427.3,3065.6,361.6,504.0,2241.7,326.3,7321.8
19,256,901.866,4099.222,225.178,1905418240,0.00,449.982,226.706,49,1872.206,0.762,0,0.19,1500.0,3395.7,3034.0,361.6,535.2,2253.0,342.4,7292.3
20,256,864.769,4062.585,162.091,1905262592,0.00,470.755,231.924,69,3201.826,0.762,0,0.27,1500.0,3396.1,3034.4,361.6,535.1,2251.9,322.5,7293.5
21,256,882.812,4113.819,185.645,1905389568,0.00,464.793,232.374,177,2007.859,0.766,0,0.69,1500.0,3397.2,3035.5,361.6,534.8,2263.0,332.7,7294.0
22,256,886.699,4138.102,199.948,1905405952,0.00,461.865,224.887,45,1774.450,0.766,0,0.18,1500.0,3397.5,3035.8,361.6,534.6,2257.3,327.0,7294.6
23,256,886.296,4099.476,212.312,1905307648,0.00,444.684,229.300,9,1870.629,0.766,0,0.04,1500.0,3366.5,3004.8,361.6,565.1,2301.4,370.9,7266.8
24,256,1048.967,4137.864,370.413,1905319936,0.00,445.968,232.587,35,2345.185,0.766,0,0.14,1500.0,3363.0,3001.3,361.6,568.7,2293.6,358.6,7263.8
25,256,897.921,4218.529,185.806,1905274880,0.00,471.067,241.049,70,3084.174,0.766,0,0.27,1500.0,3363.5,3001.8,361.6,568.5,2277.5,341.3,7265.1
26,256,869.876,4131.573,168.736,1905364992,0.00,466.747,234.392,24,3234.819,0.766,0,0.09,1500.0,3363.4,3001.7,361.6,568.5,2284.0,347.8,7265.3
27,256,1057.722,4092.198,371.645,1905295360,0.00,455.716,230.361,16,3006.687,0.766,0,0.06,1500.0,3363.5,3001.8,361.6,568.5,2261.2,304.7,7272.8
28,256,896.806,4174.106,188.008,1905274880,0.00,478.639,230.159,21,1988.014,0.766,0,0.08,1500.0,3352.3,2990.6,361.6,579.6,2298.1,364.2,7262.8
29,256,1190.598,4094.666,495.932,1905324032,0.00,461.838,232.827,19,3493.456,0.766,0,0.07,1500.0,3352.3,2990.6,361.6,579.5,2298.0,364.0,7242.1
30,256,1208.504,4086.077,519.414,1905217536,0.00,446.874,242.216,43,3253.004,0.766,0,0.17,1500.0,3352.5,2990.8,361.6,579.3,2294.6,360.6,7243.6
