budget_mib,policy,hit_pct_cum,hit_pct_decode,read_mib
250,belady,12.910,17.860,69993.0
250,lru,0.000,0.000,80368.4
250,lfu,5.898,8.160,75628.3
250,random,0.204,0.282,80204.5
250,layer,13.773,19.054,69299.6
250,layerlfu,13.773,19.054,69299.6
500,belady,21.239,29.384,63298.8
500,lru,0.000,0.000,80368.4
500,lfu,10.290,14.236,72098.4
500,random,2.447,3.385,78401.8
500,layer,13.773,19.054,69299.6
500,layerlfu,13.773,19.054,69299.6
750,belady,26.902,37.218,58747.7
750,lru,0.000,0.000,80368.4
750,lfu,13.506,18.685,69514.0
750,random,5.584,7.726,75880.4
750,layer,13.773,19.054,69299.6
750,layerlfu,13.773,19.054,69299.6
1000,belady,31.435,43.490,55104.4
1000,lru,12.769,17.665,70106.5
1000,lfu,16.816,23.264,66853.9
1000,random,8.141,11.263,73825.5
1000,layer,13.773,19.054,69299.6
1000,layerlfu,13.773,19.054,69299.6
1500,belady,38.431,53.168,49481.7
1500,lru,13.004,17.990,69917.4
1500,lfu,21.396,29.601,63172.7
1500,random,13.851,19.162,69236.6
1500,layer,18.745,25.933,65303.3
1500,layerlfu,19.796,27.387,64458.6
2000,belady,43.294,59.896,45573.6
2000,lru,22.322,30.881,62428.9
2000,lfu,25.286,34.983,60046.2
2000,random,19.153,26.497,64975.5
2000,layer,24.925,34.484,60336.2
2000,layerlfu,24.753,34.245,60474.9
2500,belady,46.604,64.475,42913.6
2500,lru,30.133,41.688,56150.7
2500,lfu,28.706,39.714,57298.0
2500,random,22.933,31.727,61937.3
2500,layer,29.773,41.189,56440.7
2500,layerlfu,29.067,40.213,57008.0
3000,belady,49.004,67.795,40984.7
3000,lru,32.408,44.835,54322.8
3000,lfu,31.498,43.576,55053.9
3000,random,26.792,37.066,58836.0
3000,layer,33.208,45.942,53679.8
3000,layerlfu,32.173,44.510,54511.9
4000,belady,52.769,73.003,37959.1
4000,lru,37.380,51.714,50326.4
4000,lfu,35.984,49.783,51448.4
4000,random,30.431,42.101,55911.2
4000,layer,37.694,52.148,50074.3
4000,layerlfu,36.753,50.846,50830.7
6000,belady,58.573,81.033,33294.6
6000,lru,42.996,59.484,45813.2
6000,lfu,43.137,59.679,45699.7
6000,random,37.694,52.148,50074.3
6000,layer,44.518,61.589,44590.3
6000,layerlfu,44.706,61.849,44439.0
8000,belady,61.459,85.026,30974.9
8000,lru,47.624,65.885,42094.1
8000,lfu,47.765,66.081,41980.7
8000,random,42.384,58.637,46304.8
8000,layer,48.925,67.687,41047.8
8000,layerlfu,48.941,67.708,41035.2
