# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,535.401,1096.265,144.873,860037120,0.38,306.817,83.710,9598,1023.245,-1.000,0,37.49,2000.0,3683.5,3439.5,243.6,600.9,1906.3,297.3,7031.1
2,256,397.946,734.289,117.694,595402752,1.78,221.355,58.897,111,724.113,-1.000,0,0.43,2000.0,3682.6,3438.6,243.6,602.2,1943.6,334.4,7030.4
3,256,533.850,1042.272,161.718,833544192,2.17,286.729,85.404,101,1099.861,0.754,0,0.39,2000.0,3683.0,3439.0,243.6,601.9,1918.9,241.6,7060.7
4,256,387.128,726.205,111.637,582160384,3.46,213.591,61.900,95,659.445,0.754,0,0.37,2000.0,3683.6,3439.7,243.6,601.6,1916.9,239.5,7062.0
5,256,422.113,779.385,116.540,635113472,4.47,240.221,65.352,118,764.163,0.754,0,0.46,2000.0,3684.1,3440.2,243.6,601.4,1923.4,245.7,7063.0
6,256,432.776,837.342,115.960,661553152,5.33,247.304,69.511,76,714.623,0.754,0,0.30,2000.0,3684.8,3440.8,243.6,600.9,1917.4,237.9,7063.2
7,256,421.061,769.860,123.825,621871104,6.26,230.368,66.868,77,716.784,0.754,0,0.30,2000.0,3685.2,3441.3,243.6,600.6,1931.9,252.2,7064.7
8,256,375.579,680.915,114.400,542420992,7.39,205.048,56.132,69,660.950,0.754,0,0.27,2000.0,3685.7,3441.8,243.6,600.3,1931.3,251.4,7067.0
9,256,464.357,911.048,122.802,714481664,7.92,266.138,75.417,59,824.102,0.754,0,0.23,2000.0,3685.9,3442.0,243.6,600.1,1923.6,235.7,7069.0
10,256,456.873,882.609,134.405,701243392,8.45,248.124,74.344,86,777.002,0.754,0,0.34,2000.0,3686.4,3442.4,243.6,599.8,1933.7,245.7,7069.0
11,256,412.238,757.684,116.640,608616448,9.23,231.473,64.125,58,786.514,0.754,0,0.23,2000.0,3686.9,3442.9,243.6,599.7,1927.1,238.9,7070.8
12,256,423.478,812.003,116.650,648335360,9.85,238.055,68.773,61,716.967,0.754,0,0.24,2000.0,3687.1,3443.1,243.6,599.3,1918.1,229.9,7071.5
13,256,385.866,664.000,129.914,555683840,10.70,197.538,58.415,46,705.314,0.754,0,0.18,2000.0,3687.4,3443.5,243.6,599.1,1927.1,238.6,7072.8
14,256,304.590,451.222,117.803,344031232,12.08,149.658,37.129,48,542.912,0.754,0,0.19,2000.0,3687.6,3443.7,243.6,599.1,1919.5,230.9,7072.8
15,256,314.552,495.178,114.266,396967936,13.25,158.648,41.638,46,614.128,0.754,0,0.18,2000.0,3688.0,3444.0,243.6,598.7,1919.9,231.3,7073.0
16,256,476.169,974.130,126.493,780644352,13.37,267.867,81.809,41,866.775,0.754,0,0.16,2000.0,3688.2,3444.2,243.6,598.7,1917.8,229.2,7073.3
17,256,515.044,1063.720,125.388,820359168,13.38,302.569,87.087,38,905.478,0.754,0,0.15,2000.0,3688.4,3444.4,243.6,598.6,1911.4,222.7,7074.2
18,256,340.853,574.224,125.533,449830912,14.31,166.756,48.564,50,699.757,0.754,0,0.20,2000.0,3688.7,3444.8,243.6,598.3,1923.0,233.6,7075.2
19,256,343.310,597.085,111.006,476352512,15.13,181.933,50.372,33,604.426,0.754,0,0.13,2000.0,3688.9,3444.9,243.6,598.2,1903.6,206.5,7076.4
20,256,494.050,1035.399,119.217,793837568,15.16,291.638,83.195,101,867.157,0.754,0,0.39,2000.0,3689.4,3445.5,243.6,597.7,1916.0,212.3,7080.3
21,256,399.837,725.157,121.577,582131712,15.69,215.015,63.246,98,914.608,0.754,0,0.38,2000.0,3671.2,3427.3,243.6,615.2,1964.2,263.7,7061.3
22,256,452.099,901.131,126.085,701255680,15.92,254.379,71.635,22,873.754,0.754,0,0.09,2000.0,3670.2,3426.2,243.6,616.2,1974.5,258.1,7055.5
23,256,415.161,785.719,119.232,621875200,16.31,231.073,64.857,56,735.171,0.754,0,0.22,2000.0,3665.4,3421.4,243.6,621.4,1963.4,246.0,7045.0
24,256,409.116,718.986,123.386,582246400,16.78,223.648,62.082,115,713.448,0.754,0,0.45,2000.0,3662.3,3418.4,243.6,624.7,1974.6,257.0,7034.8
25,256,354.199,625.057,115.313,489512960,17.42,187.864,51.022,68,615.130,0.754,0,0.27,2000.0,3661.6,3417.6,243.6,625.6,1958.1,240.4,7029.2
26,256,484.455,646.319,236.038,502804480,18.01,188.883,59.534,87,845.317,0.754,0,0.34,2000.0,3661.7,3417.7,243.6,625.7,1960.4,241.9,7024.2
27,256,196.261,222.658,109.341,172015616,19.25,68.956,17.963,45,411.255,0.754,0,0.18,2000.0,3661.8,3417.8,243.6,625.7,1956.8,238.3,7024.2
28,256,407.244,751.023,118.537,608673792,19.57,222.244,66.463,46,717.841,0.754,0,0.18,2000.0,3662.2,3418.2,243.6,625.4,1955.0,236.4,7024.5
29,256,466.520,925.691,126.571,740995072,19.62,261.515,78.434,55,848.027,0.754,0,0.21,2000.0,3662.4,3418.5,243.6,625.3,1950.7,213.5,7030.7
30,256,433.398,823.795,120.924,648302592,19.85,244.499,67.975,8,721.153,0.754,0,0.03,2000.0,3662.6,3418.6,243.6,625.3,1945.3,206.1,7032.5
31,256,222.190,252.223,110.927,198471680,20.92,89.301,21.961,10,459.061,0.754,0,0.04,2000.0,3662.7,3418.7,243.6,625.3,1957.8,218.6,7033.0
32,256,362.003,628.590,119.193,502812672,21.38,189.432,53.377,60,650.348,0.754,0,0.23,2000.0,3662.9,3419.0,243.6,624.9,1945.8,205.4,7033.2
33,256,1100.559,1188.920,709.003,926162944,21.06,277.391,114.165,221,2876.146,0.754,0,0.86,2000.0,3620.7,3385.4,234.9,658.3,1889.1,120.6,7015.0
34,256,2440.765,794.755,2181.249,648298496,21.24,133.555,125.961,21177,5160.089,0.754,0,82.72,2000.0,3547.0,3361.3,185.3,682.7,1973.7,258.0,7537.2
35,256,637.811,832.059,355.264,635084800,21.45,202.219,80.328,297,1821.320,0.734,0,1.16,2000.0,3522.6,3344.0,178.2,700.0,1941.9,261.3,7516.1
36,256,573.196,715.760,318.157,555712512,21.78,187.634,67.405,425,1757.147,0.734,0,1.66,2000.0,3504.6,3326.0,178.2,718.2,1929.7,267.3,7523.1
37,256,367.672,673.283,111.766,529256448,22.15,200.824,55.081,307,1104.540,0.734,0,1.20,2000.0,3504.9,3326.3,178.2,718.0,1925.3,282.1,7507.2
38,256,464.455,900.044,132.879,714502144,22.20,256.149,75.427,604,789.660,0.734,0,2.36,2000.0,3507.5,3328.9,178.2,716.0,1902.5,233.4,7512.0
39,256,550.629,946.968,192.471,754212864,22.17,272.155,86.003,602,1674.997,0.723,0,2.35,2000.0,3480.6,3315.7,164.6,728.7,1922.2,179.0,7492.8
40,256,765.273,817.445,484.728,621862912,22.37,208.536,72.009,548,2396.858,0.723,0,2.14,2000.0,3467.7,3317.1,150.2,727.8,1944.2,203.7,7459.1
41,256,580.488,834.111,264.750,648306688,22.51,243.564,72.173,612,1929.951,0.723,0,2.39,2000.0,3450.8,3318.6,131.8,726.2,1960.7,280.2,7430.9
42,256,448.571,902.933,111.225,727736320,22.53,258.210,79.137,484,1596.580,0.723,0,1.89,2000.0,3452.4,3320.2,131.8,724.7,1930.9,280.2,7398.7
