# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=1 prefetch=1 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,1131.187,3169.388,548.722,1627467776,0.60,237.909,344.555,13454,2790.759,-1.000,0,52.55,2000.0,3630.8,3406.5,223.9,651.3,1911.7,396.6,6642.2
2,256,369.337,853.222,109.438,595402752,1.99,199.376,60.523,272,619.245,-1.000,0,1.06,2000.0,3622.8,3398.5,223.9,659.2,1945.4,429.3,6631.0
3,256,458.241,1329.137,108.547,833544192,2.37,263.239,86.456,459,771.278,0.758,0,1.79,2000.0,3615.0,3390.6,223.9,667.7,1959.3,443.1,6619.7
4,256,363.078,894.646,110.602,582160384,3.65,194.500,57.975,362,600.149,0.758,0,1.41,2000.0,3614.6,3390.3,223.9,668.0,1942.9,426.5,6618.0
5,256,389.666,921.127,111.728,635113472,4.66,212.684,65.254,397,677.387,0.758,0,1.55,2000.0,3616.2,3391.8,223.9,666.7,1955.6,439.1,6619.3
6,256,390.279,1047.452,105.940,661553152,5.51,216.337,68.002,223,651.586,0.758,0,0.87,2000.0,3617.2,3392.9,223.9,665.7,1978.5,461.9,6620.5
7,256,394.055,932.667,119.073,621871104,6.43,211.055,63.927,264,716.708,0.758,0,1.03,2000.0,3618.5,3394.2,223.9,664.5,1954.8,437.1,6623.0
8,256,352.239,800.839,109.128,542420992,7.56,184.956,58.156,222,607.815,0.758,0,0.87,2000.0,3619.6,3395.3,223.9,663.8,1937.7,419.8,6624.3
9,256,446.370,1182.923,127.542,714481664,8.08,243.479,75.349,215,749.271,0.758,0,0.84,2000.0,3620.2,3395.8,223.9,662.9,1952.1,434.2,6624.8
10,256,423.202,1110.593,116.681,701243392,8.61,236.220,70.301,219,718.539,0.758,0,0.86,2000.0,3621.3,3397.0,223.9,662.2,1934.8,415.9,6626.1
11,256,377.432,886.849,108.142,608616448,9.39,207.265,62.025,176,661.240,0.758,0,0.69,2000.0,3622.0,3397.7,223.9,661.5,1946.9,427.9,6626.8
12,256,389.132,964.335,111.991,648335360,10.00,206.395,70.747,255,681.986,0.758,0,1.00,2000.0,3623.3,3399.0,223.9,660.5,1945.8,426.3,6628.3
13,256,353.824,775.712,108.581,555683840,10.85,187.736,57.507,90,684.182,0.758,0,0.35,2000.0,3623.7,3399.4,223.9,660.0,1960.4,440.8,6628.8
14,256,276.175,451.403,107.370,344031232,12.23,130.624,38.180,157,556.060,0.758,0,0.61,2000.0,3624.6,3400.3,223.9,659.5,1961.3,441.7,6629.3
15,256,301.709,559.426,119.775,396967936,13.39,140.234,41.700,142,570.080,0.758,0,0.55,2000.0,3625.1,3400.8,223.9,658.8,1929.7,409.0,6632.1
16,256,437.651,1267.704,107.798,780644352,13.51,246.968,82.884,123,753.650,0.758,0,0.48,2000.0,3625.6,3401.3,223.9,658.4,1950.6,425.9,6632.9
17,256,460.605,1393.510,117.350,820359168,13.52,254.074,89.181,253,858.018,0.758,0,0.99,2000.0,3626.7,3402.4,223.9,657.3,1933.8,409.0,6634.4
18,256,308.430,656.962,109.583,449830912,14.44,149.577,49.270,126,561.216,0.758,0,0.49,2000.0,3627.2,3402.9,223.9,656.8,1931.1,406.2,6634.9
19,256,327.980,683.114,113.202,476352512,15.26,165.090,49.688,109,565.251,0.758,0,0.43,2000.0,3627.6,3403.3,223.9,656.5,1957.5,432.5,6635.1
20,256,442.998,1331.388,112.607,793837568,15.29,246.635,83.757,282,728.534,0.758,0,1.10,2000.0,3628.9,3404.6,223.9,655.5,1954.0,425.9,6637.6
21,256,363.342,824.219,108.018,582131712,15.81,192.166,63.158,237,619.443,0.758,0,0.93,2000.0,3629.9,3405.5,223.9,654.4,1949.4,421.1,6638.4
22,256,417.882,1103.865,118.467,701255680,16.03,226.782,72.633,171,771.636,0.758,0,0.67,2000.0,3630.3,3406.0,223.9,653.7,1949.7,403.3,6653.3
23,256,396.828,974.825,119.333,621875200,16.43,212.017,65.478,258,662.269,0.758,0,1.01,2000.0,3631.7,3407.3,223.9,652.8,1933.5,379.4,6658.0
24,256,388.966,792.365,117.916,582246400,16.89,208.266,62.783,305,732.579,0.758,0,1.19,2000.0,3633.1,3408.8,223.9,651.4,1921.2,362.1,6659.5
25,256,327.312,745.261,111.323,489512960,17.53,164.239,51.751,160,575.764,0.758,0,0.62,2000.0,3634.0,3409.7,223.9,651.0,1924.9,365.8,6662.1
26,256,340.829,733.770,112.507,502804480,18.12,173.187,55.135,153,608.601,0.758,0,0.60,2000.0,3634.7,3410.4,223.9,650.3,1921.7,361.4,6662.6
27,256,183.510,233.073,105.553,172015616,19.36,60.092,17.865,60,427.953,0.758,0,0.23,2000.0,3634.9,3410.5,223.9,650.2,1922.8,362.5,6663.3
28,256,371.656,900.781,107.384,608673792,19.68,196.862,67.410,87,648.220,0.758,0,0.34,2000.0,3635.4,3411.1,223.9,649.8,1920.2,359.8,6663.6
29,256,435.340,1195.354,117.754,740995072,19.72,239.362,78.224,170,897.684,0.758,0,0.66,2000.0,3636.2,3411.8,223.9,649.2,1901.2,340.7,6664.6
30,256,391.747,1037.697,109.966,648302592,19.95,211.477,70.305,18,655.551,0.758,0,0.07,2000.0,3636.3,3412.0,223.9,649.2,1915.6,355.2,6664.6
31,256,199.992,215.579,102.927,198471680,21.02,75.194,21.870,10,382.600,0.758,0,0.04,2000.0,3636.5,3412.2,223.9,648.9,1911.6,342.8,6665.1
32,256,342.311,754.028,117.535,502812672,21.48,170.601,54.175,92,649.405,0.758,0,0.36,2000.0,3636.7,3412.4,223.9,648.7,1901.0,332.1,6667.1
33,256,486.895,1599.018,113.509,926162944,21.15,277.224,96.162,197,819.107,0.758,0,0.77,2000.0,3637.6,3413.3,223.9,647.9,1913.4,344.2,6668.1
34,256,387.860,962.087,108.468,648298496,21.34,210.114,69.279,171,648.697,0.758,0,0.67,2000.0,3638.4,3414.1,223.9,647.2,1908.4,338.7,6669.1
35,256,384.603,957.956,108.352,635084800,21.54,207.495,68.756,49,651.892,0.758,0,0.19,2000.0,3638.6,3414.3,223.9,647.0,1908.6,338.9,6670.1
36,256,346.618,852.195,110.683,555712512,21.87,176.217,59.718,151,617.810,0.758,0,0.59,2000.0,3639.4,3415.1,223.9,646.4,1906.1,335.3,6670.3
37,256,337.667,791.029,108.360,529256448,22.24,173.158,56.149,53,590.136,0.758,0,0.21,2000.0,3639.5,3415.2,223.9,646.3,1905.5,334.7,6670.8
38,256,416.497,1107.795,111.877,714502144,22.28,229.832,74.788,67,710.296,0.758,0,0.26,2000.0,3640.1,3415.7,223.9,646.2,1905.7,329.2,6671.6
39,256,435.713,1161.604,116.054,754212864,22.26,237.760,81.899,156,734.800,0.758,0,0.61,2000.0,3640.8,3416.4,223.9,645.4,1904.4,327.8,6672.4
40,256,633.503,955.896,383.031,621862912,22.45,186.595,63.877,46,1289.163,0.758,0,0.18,2000.0,3624.3,3408.5,215.4,652.8,1835.8,143.0,6756.2
41,256,456.106,979.733,181.295,648306688,22.60,217.416,57.395,138,1352.325,0.758,0,0.54,2000.0,3620.7,3409.0,211.3,652.7,1853.7,240.9,6745.1
42,256,479.478,1089.642,157.470,727736320,22.61,249.464,72.544,212,1310.904,0.758,0,0.83,2000.0,3610.8,3399.1,211.3,662.7,1833.1,316.2,6724.1
43,256,378.278,923.538,101.523,608641024,22.81,216.400,60.356,141,1163.559,0.758,0,0.55,2000.0,3592.3,3380.6,211.3,681.0,1846.5,370.2,6699.3
44,256,391.108,994.019,108.615,661561344,22.93,211.478,71.014,265,1252.380,0.758,0,1.04,2000.0,3578.5,3366.8,211.3,695.2,1863.6,427.9,6675.4
45,256,5905.928,788.485,5653.512,568913920,23.18,136.727,115.689,85958,9882.367,0.758,0,335.77,2000.0,2899.8,2888.8,10.6,1173.4,1533.3,102.5,6885.0
46,256,5043.093,1383.557,4467.265,595361792,23.38,209.932,365.895,67368,9618.555,0.719,0,263.16,2000.0,2585.6,2578.8,6.4,1483.4,1583.6,140.2,6458.9
47,256,3755.482,875.786,3327.610,489558016,23.73,212.727,215.146,65206,6557.147,0.719,0,254.71,2000.0,2873.7,2866.8,6.4,1195.2,1594.8,120.8,6653.1
48,256,580.628,676.165,327.599,476327936,24.10,117.570,135.460,618,1739.911,0.719,0,2.41,2000.0,3269.4,3262.5,6.4,799.5,1621.1,120.5,7010.6
49,256,1237.363,973.605,917.480,621838336,24.24,228.134,91.748,660,3517.230,0.715,0,2.58,2000.0,3292.0,3285.1,6.4,776.9,1655.0,116.0,6956.4
50,256,607.578,1164.532,291.631,701284352,24.27,235.493,80.454,813,1891.933,0.715,0,3.18,2000.0,3295.4,3288.6,6.4,774.1,1687.9,167.0,6913.5
51,256,563.607,1250.475,218.170,740958208,24.24,255.334,90.103,861,1697.104,0.715,0,3.36,2000.0,3297.9,3291.1,6.4,771.5,1695.3,126.4,6905.6
52,256,450.016,1103.783,115.249,727740416,24.23,251.372,83.396,523,1523.965,0.715,0,2.04,2000.0,3299.7,3292.9,6.4,769.9,1723.5,161.0,6875.5
53,256,545.112,866.516,298.617,568934400,24.44,182.153,64.342,372,1657.726,0.719,0,1.45,2000.0,3300.9,3294.1,6.4,768.7,1739.2,190.1,6846.3
54,256,997.490,1341.132,659.360,807079936,24.32,243.501,94.629,589,3067.349,0.719,0,2.30,2000.0,3300.9,3294.6,5.8,768.1,1782.9,280.7,6777.4
55,256,690.095,1542.020,298.342,899710976,24.09,281.526,110.227,906,2136.138,0.719,0,3.54,2000.0,3302.9,3297.0,5.6,766.1,1804.8,317.2,6741.0
56,256,720.552,884.884,443.036,582139904,24.27,208.562,68.954,451,2223.419,0.723,0,1.76,2000.0,3302.6,3296.6,5.6,766.4,1837.0,339.5,6707.9
57,256,1079.153,1398.139,710.181,833552384,24.13,260.652,108.320,698,3184.945,0.723,0,2.73,2000.0,3300.3,3294.4,5.6,768.7,1844.6,295.8,6689.7
58,256,2442.392,1310.711,2110.315,793833472,24.04,237.962,94.115,790,6530.495,0.723,0,3.09,2000.0,3300.2,3294.2,5.6,769.2,1875.5,274.9,6685.1
59,256,434.768,1089.971,125.132,714469376,24.05,225.101,84.535,608,1423.215,0.723,0,2.38,2000.0,3302.2,3296.2,5.6,767.2,1889.6,335.0,6666.8
60,256,804.298,1324.099,465.587,820301824,23.93,242.464,96.247,512,2280.271,0.715,0,2.00,2000.0,3299.4,3293.4,5.6,770.0,1895.2,362.0,6647.7
61,256,384.966,847.865,127.574,582152192,24.10,195.125,62.267,506,765.412,0.715,0,1.98,2000.0,3300.0,3294.0,5.6,769.4,1897.2,366.7,6641.7
62,256,448.371,1119.986,131.122,727646208,24.10,231.964,85.286,684,1249.020,0.715,0,2.67,2000.0,3299.8,3293.8,5.6,769.9,1910.2,382.7,6634.6
63,256,340.929,617.390,115.589,476352512,24.39,172.785,52.555,316,852.356,0.719,0,1.23,2000.0,3300.6,3294.6,5.6,769.1,1882.1,359.4,6626.7
64,256,1210.252,839.025,965.099,582168576,24.56,178.535,66.618,356,2653.548,0.719,0,1.39,2000.0,3298.5,3292.5,5.6,771.1,1855.8,147.1,7016.9
65,256,3573.631,1787.111,2968.303,886493184,24.36,452.085,153.243,45623,6013.284,0.719,0,178.21,2000.0,3020.8,3015.2,5.2,1048.8,1632.7,137.0,7187.8
66,256,455.648,1115.451,121.769,714477568,24.37,224.515,109.364,5339,1399.838,0.719,0,20.86,2000.0,3253.5,3248.0,5.2,815.8,1636.4,162.3,7407.9
67,256,420.031,1052.739,105.448,688050176,24.40,240.260,74.323,748,1313.417,0.723,0,2.92,2000.0,3294.7,3289.1,5.2,774.8,1666.6,222.4,7427.4
68,256,444.046,1207.314,107.633,740982784,24.38,259.839,76.574,852,1380.421,0.723,0,3.33,2000.0,3295.9,3290.4,5.2,773.5,1682.3,272.9,7417.8
69,256,410.294,1030.241,100.407,661590016,24.45,244.397,65.489,393,1319.174,0.723,0,1.54,2000.0,3296.8,3291.2,5.2,773.0,1702.1,317.0,7393.3
70,256,469.007,1332.520,105.701,833523712,24.32,278.750,84.556,783,1475.155,0.723,0,3.06,2000.0,3299.4,3293.8,5.2,770.3,1721.1,368.1,7376.7
71,256,471.215,1344.678,106.219,833556480,24.20,281.108,83.888,766,1461.681,0.723,0,2.99,2000.0,3301.4,3295.8,5.2,768.5,1750.4,395.3,7351.3
72,256,418.076,1108.648,106.315,688099328,24.23,244.149,67.612,621,1346.333,0.723,0,2.43,2000.0,3302.4,3296.9,5.2,767.3,1765.1,423.0,7324.6
73,256,481.663,1278.201,119.405,780615680,24.17,278.810,83.448,706,1102.415,0.723,0,2.76,2000.0,3305.2,3299.6,5.2,764.7,1734.2,410.1,7321.9
74,256,302.784,530.481,122.447,370507776,24.55,135.995,44.342,346,599.914,0.734,0,1.35,2000.0,3306.8,3301.2,5.2,763.5,1738.9,413.4,7323.6
75,256,413.953,866.743,135.555,621907968,24.65,205.813,72.584,340,892.776,0.734,0,1.33,2000.0,3308.0,3302.4,5.2,762.1,1751.0,423.0,7327.4
76,256,491.916,1290.433,148.072,820314112,24.54,251.365,92.479,355,1066.445,0.734,0,1.39,2000.0,3309.4,3303.8,5.2,760.8,1695.6,360.5,7386.1
77,256,557.695,1124.088,233.684,727683072,24.53,243.709,80.302,372,1215.932,0.734,0,1.45,2000.0,3309.8,3304.3,5.2,760.5,1737.4,326.0,7427.3
78,256,1714.573,1075.167,1422.411,714485760,24.54,206.983,85.178,253,4469.525,0.730,0,0.99,2000.0,3304.6,3299.1,5.2,765.6,1766.8,107.2,7871.1
79,256,4607.216,983.123,4040.545,608665600,24.65,404.019,162.652,38666,10591.434,0.730,0,151.04,2000.0,2680.4,2674.9,5.2,1390.0,1640.0,109.8,7247.2
80,256,1337.033,1431.032,642.269,846757888,24.52,486.373,208.391,3845,3320.836,0.730,0,15.02,2000.0,3194.1,3188.5,5.2,876.2,1617.8,108.8,7733.7
81,256,368.234,494.455,201.187,370442240,24.87,113.760,53.287,325,1162.979,0.723,0,1.27,2000.0,3293.2,3287.7,5.2,777.0,1758.3,219.4,7815.8
82,256,317.760,535.363,118.495,396988416,25.18,159.234,40.030,332,982.815,0.723,0,1.30,2000.0,3293.4,3287.9,5.2,777.0,1746.1,163.2,7802.7
83,256,421.698,869.137,133.663,595382272,25.29,228.145,59.890,572,1353.839,0.723,0,2.23,2000.0,3295.3,3289.7,5.2,774.8,1753.3,134.1,7776.4
84,256,366.405,462.284,175.987,370475008,25.62,153.235,37.183,284,1146.075,0.723,0,1.11,2000.0,3296.1,3290.6,5.2,774.3,1756.1,122.8,7754.6
85,256,445.388,1043.232,136.481,648290304,25.68,243.908,64.999,640,1437.693,0.723,0,2.50,2000.0,3298.4,3292.8,5.2,772.3,1769.1,132.4,7730.4
86,256,354.066,587.664,117.509,463081472,25.91,190.535,46.022,368,1126.141,0.723,0,1.44,2000.0,3299.6,3294.0,5.2,771.0,1793.7,125.7,7706.4
87,256,301.074,462.583,121.542,344031232,26.25,145.845,33.687,286,958.627,0.723,0,1.12,2000.0,3299.1,3293.6,5.2,771.0,1812.2,118.2,7681.9
88,256,309.106,465.136,104.264,383713280,26.55,166.139,38.703,192,996.269,0.719,0,0.75,2000.0,3299.7,3294.2,5.2,770.8,1825.5,118.3,7659.6
89,256,385.805,894.345,113.934,542486528,26.70,214.902,56.969,581,1183.861,0.719,0,2.27,2000.0,3300.6,3295.0,5.2,770.0,1845.9,127.3,7632.8
