budget_mib,policy,hit_pct_cum,hit_pct_decode,read_mib
250,belady,25.644,27.496,80295.5
250,lru,0.000,0.000,107715.0
250,lfu,15.954,17.106,90880.1
250,random,1.445,1.549,106172.9
250,layer,35.761,38.344,69543.9
250,layerlfu,35.761,38.344,69543.9
500,belady,42.218,45.266,62632.1
500,lru,0.000,0.000,107715.0
500,lfu,24.842,26.636,81355.1
500,random,9.126,9.785,97963.3
500,layer,35.761,38.344,69543.9
500,layerlfu,35.761,38.344,69543.9
750,belady,51.642,55.371,52454.1
750,lru,0.000,0.000,107715.0
750,lfu,31.845,34.144,73847.8
750,random,17.619,18.891,88898.9
750,layer,35.761,38.344,69543.9
750,layerlfu,35.761,38.344,69543.9
1000,belady,58.450,62.671,45071.7
1000,lru,35.141,37.679,70208.5
1000,lfu,37.482,40.188,67757.7
1000,random,24.948,26.750,81047.3
1000,layer,39.485,42.337,65657.0
1000,layerlfu,42.053,45.090,62926.1
1500,belady,67.809,72.705,34933.2
1500,lru,43.872,47.040,60863.3
1500,lfu,46.893,50.279,57533.9
1500,random,36.672,39.320,68429.6
1500,layer,47.106,50.507,57585.4
1500,layerlfu,51.523,55.244,52798.9
2000,belady,74.010,79.354,28169.2
2000,lru,52.740,56.548,51252.3
2000,lfu,54.673,58.621,49100.7
2000,random,45.760,49.064,58657.9
2000,layer,55.399,59.399,48638.3
2000,layerlfu,59.065,63.330,44607.4
2500,belady,78.483,84.150,23315.3
2500,lru,60.722,65.107,42586.7
2500,lfu,61.064,65.473,42146.4
2500,random,53.089,56.923,50759.1
2500,layer,61.041,65.449,42541.9
2500,layerlfu,64.241,68.880,39020.5
3000,belady,81.913,87.828,19584.8
3000,lru,65.858,70.614,37007.0
3000,lfu,66.465,71.265,36280.8
3000,random,59.341,63.626,44004.7
3000,layer,66.339,71.129,36767.8
3000,layerlfu,69.190,74.186,33627.3
4000,belady,86.472,92.716,14637.9
4000,lru,74.880,80.287,27213.7
4000,lfu,75.353,80.794,26664.2
4000,random,69.048,74.034,33507.7
4000,layer,74.346,79.715,28107.1
4000,layerlfu,76.241,81.746,25966.8
6000,belady,90.115,96.623,10695.1
6000,lru,85.928,92.133,15247.9
6000,lfu,85.825,92.022,15360.2
6000,random,80.797,86.632,20787.7
6000,layer,84.210,90.291,17328.9
6000,layerlfu,84.914,91.045,16528.2
8000,belady,90.556,97.095,10213.7
8000,lru,89.503,95.966,11360.3
8000,lfu,89.506,95.969,11357.8
8000,random,86.829,93.099,14259.0
8000,layer,88.648,95.049,12387.2
8000,layerlfu,88.790,95.201,12224.1
