# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon cache_policy=layer-lfu
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,9238.761,159.950,7208.945,48574464,9.33,0.000,2029.815,396903,12649.461,-1.000,0,1550.40,3000.0,1184.5,1180.2,3.9,2911.8,3188.9,979.9,8119.0
2,256,992.308,493.110,867.127,336482304,13.87,26.287,98.894,108464,2660.831,0.824,0,423.69,3000.0,1928.0,1923.5,4.2,2186.0,3198.7,914.0,8814.3
3,256,355.392,537.399,198.946,410443776,16.94,43.611,112.835,22211,1048.304,0.824,0,86.76,3000.0,2404.8,2400.2,4.2,1724.0,3177.1,873.6,9270.2
4,256,402.187,375.268,287.878,286863360,20.69,34.177,80.132,16543,1180.893,0.824,0,64.62,3000.0,2741.9,2737.4,4.2,1398.5,3123.9,816.8,9596.3
5,256,239.285,451.854,104.114,325643776,23.53,44.884,90.288,10666,692.766,0.824,0,41.66,3000.0,3078.3,3073.8,4.2,1062.2,3109.7,798.7,9936.4
6,256,282.980,314.176,183.858,230928384,26.78,43.323,55.799,7075,885.666,0.824,0,27.64,3000.0,3272.4,3267.9,4.2,867.7,3109.4,797.8,10131.2
7,256,204.313,337.236,96.020,250638336,29.46,51.897,56.395,2140,693.556,0.824,0,8.36,3000.0,3418.4,3413.8,4.2,722.0,3114.1,801.9,10277.2
8,256,180.680,319.462,78.873,253710336,31.80,55.674,46.133,1,612.311,0.824,0,0.00,3000.0,3503.4,3498.9,4.2,636.9,3111.2,797.8,10362.3
9,256,177.084,299.351,80.221,236900352,33.99,53.793,43.070,650,581.050,0.824,0,2.54,3000.0,3584.3,3579.8,4.2,556.1,3109.1,795.1,10442.9
10,256,143.114,188.641,77.638,148156416,36.52,40.925,24.551,649,460.409,0.824,0,2.54,3000.0,3617.1,3612.6,4.2,523.3,3107.3,792.9,10475.9
11,256,146.084,217.855,77.629,174182400,38.65,41.760,26.694,97,488.492,0.824,0,0.38,3000.0,3645.6,3641.1,4.2,494.9,3103.2,788.1,10505.7
12,256,130.039,160.353,77.131,123580416,40.85,34.843,18.066,1,433.734,0.824,0,0.00,3000.0,3655.6,3651.0,4.2,484.7,3099.5,784.0,10516.1
13,256,140.036,184.458,75.932,147750912,42.72,42.308,21.796,1,476.968,0.824,0,0.00,3000.0,3673.5,3668.9,4.2,466.9,3124.4,808.1,10536.3
14,256,232.215,485.230,84.474,392011776,43.17,96.358,51.383,2594,850.069,0.824,0,10.13,3000.0,3701.1,3696.5,4.2,439.3,3121.7,804.8,10564.6
15,256,165.426,227.750,89.240,173604864,44.65,51.762,24.425,96,594.678,0.824,0,0.38,3000.0,3708.8,3704.2,4.2,431.7,3106.6,783.5,10579.9
16,256,143.186,203.047,76.204,162299904,46.08,46.751,20.232,1,486.132,0.824,0,0.00,3000.0,3711.5,3706.9,4.2,429.1,3125.7,799.0,10584.9
17,256,175.674,249.825,98.600,174587904,47.35,52.482,24.592,0,571.049,0.824,0,0.00,3000.0,3711.2,3706.7,4.2,429.1,3141.8,802.2,10586.9
18,256,154.003,238.742,77.001,193019904,48.45,51.807,25.196,2,533.154,0.824,0,0.01,3000.0,3711.4,3706.8,4.2,429.1,3133.3,793.7,10586.9
19,256,189.208,345.998,78.241,286691328,49.06,74.364,36.602,97,673.565,0.824,0,0.38,3000.0,3719.4,3714.8,4.2,421.2,3129.6,785.3,10594.8
20,256,136.479,165.852,80.079,133201920,50.26,38.661,17.739,649,454.467,0.824,0,2.54,3000.0,3721.9,3717.4,4.2,418.7,3123.0,771.7,10598.6
21,256,146.513,182.529,82.542,145084416,51.34,42.811,21.160,6,471.244,0.824,0,0.02,3000.0,3729.6,3725.0,4.2,411.0,3117.0,762.5,10606.5
22,256,325.104,193.156,266.118,126418944,52.42,37.291,21.695,1,970.201,0.824,0,0.00,3000.0,3732.0,3727.4,4.2,408.4,3121.1,751.5,10609.3
23,256,165.545,265.749,79.817,220262400,53.09,56.507,29.220,97,562.520,0.824,0,0.38,3000.0,3732.4,3727.8,4.2,408.0,3113.1,741.3,10609.8
24,256,379.816,378.827,267.298,266170368,53.56,78.133,34.384,5,1255.190,0.824,0,0.02,3000.0,3732.5,3728.0,4.2,408.0,3111.5,724.4,10610.5
25,256,204.298,393.638,79.563,337698816,53.74,80.905,43.830,1,741.859,0.824,0,0.00,3000.0,3732.4,3727.8,4.2,408.0,3101.0,713.6,10610.5
26,256,367.333,353.247,260.555,280952832,54.10,69.122,37.656,1,1211.360,0.824,0,0.00,3000.0,3732.5,3727.9,4.2,408.0,3109.1,720.8,10615.2
27,256,172.062,219.585,101.631,170876928,54.81,47.925,22.507,99,624.246,0.824,0,0.39,3000.0,3732.8,3728.2,4.2,407.6,3107.6,719.3,10615.4
28,256,194.135,369.196,78.915,317177856,55.02,75.733,39.487,2,704.669,0.824,0,0.01,3000.0,3732.9,3728.3,4.2,407.6,3101.5,713.1,10615.4
29,256,155.476,237.387,79.394,196091904,55.59,50.337,25.745,2,532.520,0.824,0,0.01,3000.0,3732.9,3728.3,4.2,407.6,3095.4,707.0,10615.4
30,256,219.072,280.544,127.508,220090368,56.05,63.069,28.495,2,784.322,0.824,0,0.01,3000.0,3733.0,3728.5,4.2,407.6,3098.5,706.4,10619.9
31,256,164.624,164.434,105.551,127868928,56.76,40.241,18.832,97,583.893,0.824,0,0.38,3000.0,3733.3,3728.7,4.2,407.3,3091.6,698.9,10620.1
32,256,144.032,195.609,78.861,156966912,57.36,43.772,21.399,2,472.360,0.824,0,0.01,3000.0,3733.3,3728.7,4.2,407.3,3085.2,692.3,10620.1
33,256,147.775,205.081,81.163,161660928,57.92,45.006,21.606,1,508.626,0.824,0,0.00,3000.0,3733.3,3728.7,4.2,407.3,3079.2,686.3,10620.4
34,256,242.745,157.963,194.077,115347456,58.58,32.105,16.563,0,662.905,0.824,0,0.00,3000.0,3733.2,3728.6,4.2,407.3,3061.6,641.7,10621.8
35,256,131.021,123.551,96.113,88104960,59.28,23.498,11.411,97,418.872,0.824,0,0.38,3000.0,3734.0,3729.4,4.2,406.8,3039.3,616.3,10622.8
36,256,378.491,254.013,298.829,186875904,59.70,54.419,25.242,0,1228.862,0.824,0,0.00,3000.0,3733.8,3729.2,4.2,406.8,3021.5,588.7,10622.8
37,256,148.879,220.174,77.840,181137408,60.10,46.118,24.922,1,500.017,0.824,0,0.00,3000.0,3733.8,3729.2,4.2,406.8,3021.4,588.5,10622.8
38,256,634.846,536.474,465.136,459423744,59.78,109.899,59.810,0,2149.630,0.824,0,0.00,3000.0,3733.9,3729.3,4.2,406.8,3017.7,583.5,10626.0
39,256,148.977,214.839,79.019,177659904,60.18,46.255,23.703,98,496.771,0.824,0,0.38,3000.0,3734.1,3729.6,4.2,406.4,3010.7,576.4,10626.5
40,256,134.573,162.599,80.924,123985920,60.69,36.845,16.804,1,451.910,0.824,0,0.00,3000.0,3734.3,3729.8,4.2,406.4,3004.6,570.3,10626.5
41,256,187.200,347.985,78.965,294457344,60.77,70.853,37.382,0,659.430,0.824,0,0.00,3000.0,3734.3,3729.7,4.2,406.4,3001.4,564.1,10626.5
42,256,161.908,259.207,80.122,209018880,61.05,53.026,28.759,0,561.053,0.824,0,0.00,3000.0,3734.2,3729.6,4.2,406.4,3017.7,578.2,10642.2
43,256,149.570,203.427,82.474,161894400,61.43,45.483,21.612,96,512.377,0.824,0,0.38,3000.0,3734.5,3729.9,4.2,406.0,3016.2,576.6,10642.4
44,256,131.155,155.450,80.418,118652928,61.88,34.672,16.065,1,435.244,0.824,0,0.00,3000.0,3734.5,3729.9,4.2,406.0,3010.6,571.0,10642.4
45,256,199.374,393.555,78.105,320544768,61.87,79.085,42.185,2,708.354,0.824,0,0.01,3000.0,3734.5,3730.0,4.2,406.0,3003.5,563.8,10642.4
46,256,157.868,248.418,78.559,207974400,62.11,51.432,27.876,1,525.287,0.824,0,0.00,3000.0,3734.6,3730.0,4.2,406.0,2995.8,556.1,10642.7
47,256,149.518,215.325,79.726,175398912,62.42,45.778,24.014,96,511.238,0.824,0,0.38,3000.0,3734.8,3730.2,4.2,405.6,2989.4,549.6,10643.2
48,256,124.186,142.392,78.041,102887424,62.86,32.138,14.006,0,412.273,0.824,0,0.00,3000.0,3735.1,3730.5,4.2,405.6,2982.8,543.0,10643.4
49,256,129.637,134.992,83.904,100626432,63.29,32.036,13.696,1,440.493,0.824,0,0.00,3000.0,3734.8,3730.2,4.2,405.6,2977.5,532.3,10643.7
50,256,166.091,277.574,77.305,224612352,63.45,58.701,30.084,1,585.872,0.824,0,0.00,3000.0,3735.0,3730.5,4.2,405.5,2966.9,521.5,10643.7
51,256,132.864,145.798,81.548,116391936,63.83,35.366,15.951,97,437.229,0.824,0,0.38,3000.0,3735.3,3730.8,4.2,405.1,2958.3,512.9,10643.9
52,256,139.827,186.682,79.262,144039936,64.14,41.272,19.294,1,459.261,0.824,0,0.00,3000.0,3735.2,3730.6,4.2,405.1,2947.9,502.5,10644.0
