# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon cache_policy=layer-lfu
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,11230.484,207.756,9052.634,48574464,9.33,0.000,2177.851,396582,14823.590,-1.000,0,1549.15,3000.0,1033.5,1029.0,4.2,3063.2,3116.6,930.5,7543.6
2,256,617.679,511.817,494.344,336482304,13.87,29.456,93.880,133121,1960.458,0.824,0,520.00,3000.0,1873.2,1868.4,4.5,2241.3,3082.0,1007.9,8343.1
3,256,506.924,598.255,340.517,410443776,16.94,52.117,114.290,24251,1416.528,0.824,0,94.73,3000.0,2357.9,2353.1,4.5,1771.2,3060.2,1028.9,8799.8
4,256,221.131,394.004,101.162,286863360,20.69,44.347,75.621,16543,670.147,0.824,0,64.62,3000.0,2694.7,2689.9,4.5,1445.8,3045.1,1008.0,9126.4
5,256,229.705,444.524,97.217,325643776,23.53,42.076,90.412,10667,682.524,0.824,0,41.67,3000.0,3031.1,3026.3,4.5,1109.5,3041.8,1002.8,9463.2
6,256,190.944,312.390,96.233,230928384,26.78,35.682,59.029,9859,572.592,0.824,0,38.51,3000.0,3236.5,3231.7,4.5,904.2,3036.3,993.4,9668.9
7,256,187.945,335.490,80.955,250638336,29.46,49.763,57.226,2140,580.391,0.824,0,8.36,3000.0,3385.0,3380.2,4.5,755.4,3037.3,993.8,9819.8
8,256,188.114,343.118,78.779,253710336,31.80,59.905,49.430,1,619.141,0.824,0,0.00,3000.0,3481.9,3477.1,4.5,658.7,3036.5,991.9,9916.8
9,256,381.934,331.450,274.666,236900352,33.99,60.563,46.705,650,1232.273,0.824,0,2.54,3000.0,3573.1,3568.3,4.5,567.4,3028.2,965.1,10011.5
10,256,153.587,196.006,85.594,148156416,36.52,42.496,25.497,649,498.904,0.824,0,2.54,3000.0,3606.1,3601.3,4.5,534.4,3023.1,956.0,10045.1
11,256,161.619,232.037,88.864,174182400,38.65,44.564,28.191,97,544.353,0.824,0,0.38,3000.0,3634.6,3629.8,4.5,505.9,3020.2,942.4,10073.6
12,256,138.107,163.868,83.338,123580416,40.85,36.526,18.243,1,443.534,0.824,0,0.00,3000.0,3644.7,3639.9,4.5,495.8,3014.9,935.4,10086.3
13,256,356.017,202.531,283.656,147750912,42.72,47.575,24.785,1,1182.639,0.824,0,0.00,3000.0,3662.3,3657.5,4.5,478.0,3006.8,921.0,10107.5
14,256,247.753,500.500,93.666,392011776,43.17,101.015,53.072,4322,892.196,0.824,0,16.88,3000.0,3697.2,3692.5,4.5,443.7,3002.4,915.4,10142.6
15,256,147.729,233.545,69.458,173604864,44.65,56.984,21.288,96,504.941,0.824,0,0.38,3000.0,3705.0,3700.2,4.5,435.6,2993.3,900.0,10150.5
16,256,173.595,219.008,105.175,162299904,46.08,55.012,13.409,1,581.947,0.824,0,0.00,3000.0,3707.5,3702.7,4.5,433.0,2984.1,880.6,10153.3
17,256,128.585,225.685,52.935,174587904,47.35,61.298,14.352,0,454.489,0.824,0,0.00,3000.0,3707.5,3702.7,4.5,433.0,2979.1,864.8,10155.4
18,256,154.572,278.285,66.592,193019904,48.45,71.397,16.583,2,519.210,0.824,0,0.01,3000.0,3707.6,3702.8,4.5,433.0,2976.2,855.9,10155.6
19,256,212.615,466.161,70.362,286691328,49.06,118.558,23.694,97,723.463,0.824,0,0.38,3000.0,3715.5,3710.8,4.5,425.1,2978.0,843.5,10164.0
20,256,112.295,170.176,54.357,133201920,50.26,46.047,11.890,649,377.915,0.824,0,2.54,3000.0,3718.2,3713.4,4.5,422.6,2972.2,830.7,10174.8
21,256,120.216,183.332,55.459,145084416,51.34,50.441,14.316,6,401.642,0.824,0,0.02,3000.0,3725.7,3720.9,4.5,414.9,2967.0,823.3,10182.3
22,256,205.853,214.095,135.408,126418944,52.42,55.406,15.039,1,627.069,0.824,0,0.00,3000.0,3728.3,3723.6,4.5,412.4,2940.0,776.2,10185.0
23,256,326.921,312.981,238.323,220262400,53.09,60.866,27.732,97,1048.765,0.824,0,0.38,3000.0,3728.6,3723.8,4.5,412.0,2842.7,661.7,10186.0
24,256,189.706,327.763,85.841,266170368,53.56,68.335,35.530,4,675.541,0.824,0,0.02,3000.0,3728.6,3723.9,4.5,412.0,2837.2,655.4,10186.2
25,256,564.036,432.312,437.299,337698816,53.74,79.878,46.859,1,1628.849,0.824,0,0.00,3000.0,3728.6,3723.9,4.5,412.0,2813.5,563.9,10190.0
26,256,405.667,376.068,287.424,280952832,54.10,80.753,37.490,1,1400.557,0.824,0,0.00,3000.0,3728.8,3724.0,4.5,412.0,2781.1,518.4,10190.2
27,256,350.981,227.619,276.465,170876928,54.81,51.545,22.972,99,1152.066,0.824,0,0.39,3000.0,3729.1,3724.3,4.5,411.6,2772.9,510.0,10191.0
28,256,207.576,379.226,87.763,317177856,55.02,76.551,43.262,2,753.645,0.824,0,0.01,3000.0,3729.0,3724.2,4.5,411.6,2775.9,512.9,10191.0
29,256,160.731,239.482,83.719,196091904,55.59,49.930,27.082,2,545.587,0.824,0,0.01,3000.0,3731.5,3726.7,4.5,409.2,2767.0,503.9,10193.3
30,256,171.836,271.959,85.157,220090368,56.05,56.882,29.798,2,589.572,0.824,0,0.01,3000.0,3731.4,3726.6,4.5,409.2,2759.3,495.9,10194.1
31,256,150.216,166.994,92.242,127868928,56.76,39.808,18.166,97,491.916,0.824,0,0.38,3000.0,3731.8,3727.0,4.5,408.8,2753.6,490.1,10194.3
32,256,153.022,200.471,85.040,156966912,57.36,46.769,21.212,2,517.222,0.824,0,0.01,3000.0,3731.8,3727.0,4.5,408.8,2746.4,482.9,10194.3
33,256,156.077,211.365,85.084,161660928,57.92,49.052,21.941,1,519.332,0.824,0,0.00,3000.0,3733.4,3728.6,4.5,407.1,2736.0,472.0,10196.0
34,256,135.922,152.893,85.029,115347456,58.58,34.290,16.603,0,423.630,0.824,0,0.00,3000.0,3733.4,3728.6,4.5,407.1,2736.3,470.9,10197.0
35,256,127.976,121.541,88.493,88104960,59.28,27.360,12.124,97,375.947,0.824,0,0.38,3000.0,3734.0,3729.2,4.5,406.7,2729.5,464.1,10197.3
36,256,157.863,226.689,84.126,186875904,59.70,48.640,25.098,0,522.549,0.824,0,0.00,3000.0,3734.0,3729.2,4.5,406.7,2720.0,452.4,10197.3
37,256,160.492,231.513,84.900,181137408,60.10,50.535,25.057,1,540.719,0.824,0,0.00,3000.0,3734.0,3729.2,4.5,406.7,2721.5,452.9,10197.5
38,256,253.162,533.428,85.013,459423744,59.78,106.134,62.014,0,936.003,0.824,0,0.00,3000.0,3733.9,3729.1,4.5,406.7,2722.0,453.3,10197.5
39,256,158.126,222.082,86.090,177659904,60.18,47.279,24.758,98,528.154,0.824,0,0.38,3000.0,3734.5,3729.7,4.5,406.3,2720.7,452.0,10198.0
40,256,138.872,164.690,85.473,123985920,60.69,36.711,16.689,1,452.770,0.824,0,0.00,3000.0,3734.3,3729.5,4.5,406.3,2722.2,452.3,10198.5
