# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon cache_policy=lru
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,479.787,656.746,277.253,515481600,3.68,137.980,64.553,2721,1645.612,-1.000,0,10.63,3000.0,4868.1,4113.2,754.5,92.5,2812.8,366.9,9056.4
2,256,404.047,490.877,257.147,368246784,8.39,102.050,44.850,3,1365.789,0.918,0,0.01,3000.0,4845.5,4091.4,753.7,114.2,2818.2,388.3,9032.4
3,256,235.184,510.247,76.929,396128256,12.03,109.184,49.071,2,846.878,0.918,0,0.01,3000.0,4829.5,4075.3,753.7,130.0,2813.6,398.2,9016.6
4,256,193.472,375.643,77.286,288546816,16.10,79.904,36.282,1,678.757,0.918,0,0.00,3000.0,4816.3,4062.2,753.7,143.0,2809.5,407.1,9003.6
5,256,214.305,442.644,76.365,332660224,19.17,95.987,41.953,1,766.230,0.879,0,0.00,3000.0,4802.8,4048.6,753.7,157.3,2805.3,415.9,8989.1
6,256,176.334,312.848,76.416,238522368,22.64,70.365,29.553,1,605.449,0.879,0,0.00,3000.0,4789.6,4035.4,753.7,169.5,2804.9,417.6,8977.4
7,256,172.765,308.811,75.970,240611328,25.64,65.972,30.822,2,597.459,0.844,0,0.01,3000.0,4778.8,4024.7,753.7,181.2,2801.0,413.6,8965.6
8,256,176.577,317.297,76.888,247566336,28.24,70.525,29.164,1,610.851,0.844,0,0.00,3000.0,4766.1,4012.0,753.7,193.3,2798.3,407.6,8953.6
9,256,173.723,303.198,77.712,236900352,30.63,67.015,28.996,2,604.881,0.844,0,0.01,3000.0,4757.9,4003.7,753.7,202.0,2801.5,417.8,8943.1
10,256,135.218,169.088,77.995,129724416,33.45,40.476,16.747,1,427.350,0.824,0,0.00,3000.0,4758.7,4004.7,753.6,202.0,2813.2,442.8,8943.6
11,256,153.910,252.640,73.925,200208384,35.57,55.953,24.032,2,518.033,0.824,0,0.01,3000.0,4758.6,4004.6,753.6,202.0,2800.2,433.2,8943.6
12,256,114.953,119.991,74.877,88338432,38.11,28.626,11.450,1,347.188,0.824,0,0.00,3000.0,4757.9,4003.9,753.6,202.0,2785.5,420.0,8943.6
13,256,134.813,167.212,78.588,126652416,40.22,39.279,16.946,1,419.448,0.824,0,0.00,3000.0,4757.2,4003.1,753.6,202.0,2784.7,425.5,8948.4
14,256,660.676,659.686,460.976,478556160,40.30,140.936,58.764,2,1951.266,0.824,0,0.01,3000.0,4757.4,4004.3,752.6,202.0,2770.9,376.7,8997.0
15,256,171.604,295.932,76.783,223395840,41.65,66.238,28.584,1,582.930,0.824,0,0.00,3000.0,4753.6,4005.0,748.2,202.0,2751.9,406.5,9000.8
16,256,175.418,302.565,77.701,235683840,42.85,67.632,30.085,1,610.033,0.824,0,0.00,3000.0,4731.6,3983.1,748.1,223.5,2769.4,445.8,9008.4
17,256,180.864,328.865,76.244,256548864,43.86,72.602,32.017,0,634.942,0.824,0,0.00,3000.0,4730.2,3981.6,748.1,223.5,2756.7,430.3,9009.1
18,256,159.395,252.407,76.703,196091904,45.08,57.405,25.287,2,535.647,0.824,0,0.01,3000.0,4729.8,3981.3,748.1,223.3,2734.1,406.6,9009.1
19,256,192.571,369.551,76.433,292429824,45.78,80.484,35.654,2,677.205,0.824,0,0.01,3000.0,4729.2,3980.7,748.1,223.3,2734.8,405.9,9009.1
20,256,140.268,194.924,75.775,146534400,47.04,45.982,18.510,1,448.111,0.824,0,0.00,3000.0,4730.6,3982.0,748.1,223.3,2731.2,398.7,9009.4
21,256,145.684,218.410,72.908,165371904,48.14,50.761,22.015,2,483.206,0.824,0,0.01,3000.0,4730.1,3981.6,748.1,223.3,2739.1,406.6,9009.4
22,256,137.210,193.910,73.856,152850432,49.23,44.101,19.253,1,441.704,0.824,0,0.00,3000.0,4730.3,3981.8,748.1,223.3,2739.3,406.8,9010.1
23,256,131.497,154.799,77.989,116391936,50.38,37.795,15.714,2,419.257,0.824,0,0.01,3000.0,4731.7,3983.2,748.1,223.3,2729.6,397.1,9010.1
24,256,177.111,294.222,86.895,234639360,51.03,61.183,29.033,2,601.924,0.824,0,0.01,3000.0,4729.3,3980.7,748.1,223.3,2736.0,397.0,9011.9
25,256,203.222,410.959,76.685,333410304,51.29,85.305,41.233,1,733.761,0.824,0,0.00,3000.0,4730.6,3982.1,748.1,223.3,2731.0,391.8,9011.9
26,256,376.510,415.253,247.541,320311296,51.58,89.044,39.926,0,1214.490,0.824,0,0.00,3000.0,4730.0,3981.5,748.1,223.3,2716.3,375.4,9012.1
27,256,133.846,153.898,79.338,117030912,52.53,41.914,12.595,3,273.508,0.824,0,0.01,3000.0,4732.0,3983.4,748.1,223.3,2719.1,378.2,9012.1
28,256,233.195,424.076,106.025,321761280,52.76,91.261,35.909,1,499.120,0.824,0,0.00,3000.0,4731.1,3982.5,748.1,223.3,2720.4,379.4,9012.1
29,256,161.168,217.463,87.780,164560896,53.48,54.825,18.564,2,340.535,0.824,0,0.01,3000.0,4732.0,3983.5,748.1,223.3,2708.7,367.7,9012.1
30,256,227.816,357.962,115.704,279736320,53.81,81.504,30.608,2,487.900,0.824,0,0.01,3000.0,4732.4,3983.9,748.1,223.2,2700.6,359.6,9013.9
31,256,168.303,249.295,87.343,190758912,54.40,58.419,22.540,2,361.095,0.824,0,0.01,3000.0,4731.5,3983.0,748.1,223.2,2697.9,353.8,9015.4
32,256,167.913,253.304,85.094,187920384,54.96,60.640,22.179,1,355.651,0.824,0,0.00,3000.0,4731.6,3983.1,748.1,223.2,2700.6,347.9,9015.7
33,256,167.492,186.749,100.203,138301440,55.64,51.809,15.479,1,345.144,0.824,0,0.00,3000.0,4731.8,3983.3,748.1,223.2,2698.2,344.5,9015.7
34,256,145.386,190.208,81.589,146300928,56.27,46.467,17.330,0,293.967,0.824,0,0.00,3000.0,4730.0,3981.5,748.1,223.2,2697.5,340.1,9016.0
35,256,128.723,138.855,80.726,100626432,56.99,37.082,10.915,2,267.724,0.824,0,0.01,3000.0,4730.7,3982.2,748.1,223.2,2697.9,340.6,9016.0
36,256,136.683,138.863,84.762,104742912,57.65,40.550,11.370,0,296.775,0.824,0,0.00,3000.0,4729.8,3981.3,748.1,223.2,2690.0,308.1,9016.2
37,256,162.786,214.985,90.541,157777920,58.17,55.471,16.774,1,379.377,0.824,0,0.00,3000.0,4692.9,3945.2,747.4,261.3,2775.4,365.8,8980.7
38,256,328.888,792.093,105.024,635179008,57.41,154.478,69.386,0,659.603,0.824,0,0.00,3000.0,4672.2,3924.6,747.2,279.6,2784.8,389.0,8962.2
39,256,102.523,70.420,76.925,50601984,58.17,19.183,6.415,3,236.303,0.824,0,0.01,3000.0,4675.1,3927.5,747.2,279.6,2779.2,383.4,8962.2
40,256,134.302,102.198,91.827,72978432,58.84,34.151,8.324,1,299.969,0.824,0,0.00,3000.0,4674.6,3926.9,747.2,279.6,2761.6,365.8,8962.2
41,256,238.058,421.205,116.064,329527296,58.87,85.474,36.520,0,557.981,0.824,0,0.00,3000.0,4672.7,3925.0,747.2,279.6,2769.5,367.1,8964.2
42,256,224.465,424.140,92.217,329932800,58.90,95.102,37.147,0,444.716,0.824,0,0.00,3000.0,4674.6,3927.0,747.2,279.6,2761.0,358.6,8964.5
43,256,221.378,429.144,87.556,323788800,58.95,98.172,35.650,1,431.519,0.824,0,0.00,3000.0,4672.5,3924.9,747.2,279.6,2751.0,342.3,8965.5
44,256,176.864,255.153,92.122,190992384,59.29,64.111,20.631,1,364.730,0.824,0,0.00,3000.0,4672.7,3925.0,747.2,279.6,2764.6,349.7,8966.5
45,256,259.554,482.753,116.109,371380224,59.21,102.102,41.342,2,558.804,0.824,0,0.01,3000.0,4675.0,3927.3,747.2,279.6,2766.8,351.9,8966.5
46,256,192.868,310.569,92.629,245071872,59.42,73.412,26.827,1,406.746,0.824,0,0.00,3000.0,4673.8,3926.2,747.2,279.6,2756.2,335.7,8967.3
47,256,174.445,273.491,86.791,212729856,59.68,62.744,24.910,1,363.889,0.824,0,0.00,3000.0,4673.2,3925.6,747.2,279.6,2751.0,330.5,8967.5
48,256,137.151,172.013,82.659,128507904,60.11,39.813,14.679,0,407.640,0.824,0,0.00,3000.0,4673.0,3925.4,747.2,279.6,2750.8,306.9,8970.3
49,256,121.791,130.345,77.736,96743424,60.60,31.203,12.851,1,368.637,0.824,0,0.00,3000.0,4674.2,3926.6,747.2,279.6,2760.6,316.6,8970.5
50,256,156.127,240.415,78.588,192847872,60.87,52.001,25.538,1,507.246,0.824,0,0.00,3000.0,4674.2,3926.6,747.2,279.6,2764.3,319.8,8970.5
51,256,124.035,137.186,76.843,106770432,61.31,33.238,13.954,2,390.381,0.824,0,0.01,3000.0,4672.6,3924.9,747.2,279.6,2761.2,316.7,8970.5
52,256,114.237,101.384,79.075,70483968,61.81,25.986,9.177,1,326.526,0.824,0,0.00,3000.0,4674.4,3926.7,747.2,279.6,2748.9,304.1,8971.0
53,256,171.223,309.760,73.082,236089344,61.96,68.613,29.528,0,582.598,0.824,0,0.00,3000.0,4674.7,3927.1,747.2,279.6,2753.8,308.1,8971.5
54,256,175.737,318.789,76.478,244899840,62.10,69.015,30.243,1,620.279,0.824,0,0.00,3000.0,4673.6,3926.0,747.2,279.6,2750.9,305.0,8971.8
55,256,224.640,483.641,76.505,378974208,61.97,100.952,47.183,1,814.645,0.824,0,0.00,3000.0,4670.4,3922.8,747.2,283.1,2806.7,370.5,8966.0
56,256,187.293,352.494,76.961,275619840,62.05,76.403,33.928,0,669.228,0.824,0,0.00,3000.0,4668.2,3921.4,746.4,283.1,2798.4,381.0,8963.8
57,256,335.447,226.742,267.008,166588416,62.32,47.704,20.735,1,1059.168,0.824,0,0.00,3000.0,4668.2,3921.4,746.4,283.1,2809.3,421.6,8961.0
58,256,135.639,146.267,83.205,110886912,62.68,36.343,16.091,0,406.718,0.824,0,0.00,3000.0,4669.6,3922.8,746.4,283.1,2770.4,382.8,8961.0
59,256,167.959,280.271,80.458,213774336,62.85,61.326,26.175,1,579.599,0.824,0,0.00,3000.0,4670.1,3923.3,746.4,283.1,2777.2,389.6,8961.1
60,256,169.208,291.564,77.353,230117376,62.99,63.114,28.742,1,568.710,0.824,0,0.00,3000.0,4670.4,3923.7,746.4,283.1,2776.7,389.1,8961.3
61,256,135.485,161.132,78.137,129085440,63.30,37.071,20.277,1,427.603,0.824,0,0.00,3000.0,4668.9,3922.2,746.4,283.1,2770.8,383.2,8961.3
62,256,146.992,214.202,77.000,166588416,63.53,47.498,22.495,1,463.187,0.824,0,0.00,3000.0,4670.2,3923.4,746.4,283.1,2769.6,378.2,8962.1
63,256,126.803,150.164,74.600,115175424,63.85,34.970,17.233,2,391.758,0.824,0,0.01,3000.0,4670.2,3923.4,746.4,283.1,2756.7,365.3,8962.3
64,256,138.653,187.479,77.054,143867904,64.10,43.380,18.220,0,452.105,0.824,0,0.00,3000.0,4668.7,3921.9,746.4,283.1,2760.8,369.4,8962.6
65,256,453.333,534.024,287.830,426270720,63.90,111.670,53.833,1,1505.321,0.824,0,0.00,3000.0,4669.4,3922.6,746.4,283.0,2762.4,370.2,8963.6
66,256,110.975,97.714,76.269,67411968,64.27,24.643,10.063,0,305.471,0.824,0,0.00,3000.0,4670.1,3923.3,746.4,283.0,2759.3,367.2,8963.6
67,256,133.676,164.993,75.379,124796928,64.54,40.277,18.020,2,421.122,0.824,0,0.01,3000.0,4668.5,3921.7,746.4,283.0,2760.9,367.9,8963.8
