# bmoe_metrics v1
# model=Qwen3-30B-A3B-Q4_K_M.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=6 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon cache_policy=lru
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,696.379,606.944,506.473,515481600,3.68,125.346,64.560,1278,2361.273,-1.000,0,4.99,3000.0,5075.6,4137.8,937.4,67.4,3075.2,384.7,9627.3
2,256,226.091,448.296,85.898,368246784,8.39,95.239,44.954,3,865.475,0.953,0,0.01,3000.0,5060.2,4122.3,937.4,83.0,3072.1,368.0,9614.0
3,256,234.835,468.606,87.441,396128256,12.03,96.993,50.401,3,912.180,0.953,0,0.01,3000.0,5043.9,4106.0,937.4,99.0,3067.8,363.6,9597.7
4,256,196.300,351.155,85.307,288546816,16.10,75.059,35.935,1,738.624,0.953,0,0.00,3000.0,5030.3,4092.5,937.4,112.5,3066.4,362.3,9584.5
5,256,210.621,404.640,85.547,332660224,19.17,84.554,40.519,1,800.448,0.910,0,0.00,3000.0,5016.7,4078.9,937.4,127.0,3059.0,352.6,9570.0
6,256,349.543,296.827,256.972,238522368,22.64,64.085,28.486,1,1134.494,0.910,0,0.00,3000.0,5007.1,4069.2,937.4,135.4,3099.3,401.5,9557.2
7,256,182.281,303.156,87.904,240611328,25.64,65.038,29.340,3,679.775,0.887,0,0.01,3000.0,5002.7,4064.9,937.4,140.6,3093.5,395.6,9552.0
8,256,178.467,300.288,84.523,247566336,28.24,64.169,29.775,1,660.560,0.887,0,0.00,3000.0,4993.0,4055.9,936.7,149.1,3080.6,388.4,9543.0
9,256,187.131,282.442,96.186,236900352,30.63,61.122,29.824,2,703.835,0.887,0,0.01,3000.0,4985.0,4047.9,936.7,157.5,3089.4,403.0,9535.0
10,256,139.399,160.674,83.256,129724416,33.45,39.598,16.545,1,489.699,0.863,0,0.00,3000.0,4977.1,4040.1,936.6,166.4,3084.6,403.4,9526.0
11,256,368.667,270.159,285.133,200208384,35.57,58.064,25.470,2,1298.533,0.863,0,0.01,3000.0,4951.9,4015.8,935.7,190.4,3096.2,428.7,9501.2
12,256,123.627,115.485,84.111,88338432,38.11,28.130,11.386,1,417.407,0.863,0,0.00,3000.0,4946.3,4010.2,935.7,195.5,3092.3,427.1,9495.2
13,256,135.691,153.380,81.905,126652416,40.22,37.087,16.698,1,458.732,0.824,0,0.00,3000.0,4945.0,4008.9,935.7,195.9,3086.5,421.5,9494.7
