# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,640.444,577.944,471.629,388349952,3.31,106.490,62.325,7602,2112.656,-1.000,0,29.70,3000.0,4876.8,4679.1,197.3,487.7,1541.0,432.5,8369.6
2,2048,299.528,561.900,147.154,375877632,6.25,103.867,48.508,1,760.779,-1.000,0,0.00,3000.0,4827.5,4629.8,197.3,537.2,1531.0,417.3,8317.6
3,2048,219.070,320.441,129.245,214806528,10.80,61.248,28.576,2,615.082,0.852,0,0.01,3000.0,4826.0,4628.3,197.3,537.2,1537.6,420.9,8317.8
4,2048,205.401,274.459,122.425,181432320,15.07,55.916,27.060,1,735.835,0.852,0,0.00,3000.0,4826.0,4628.2,197.3,537.2,1564.0,447.2,8317.8
5,2048,172.017,180.407,116.891,115556352,19.49,39.463,15.663,2,585.548,0.852,0,0.01,3000.0,4827.0,4629.3,197.3,537.2,1546.4,429.7,8317.8
6,2048,225.754,316.993,130.855,208220160,22.44,63.683,31.216,1,772.042,0.852,0,0.00,3000.0,4825.8,4628.1,197.3,537.2,1534.8,417.8,8317.8
7,2048,535.713,377.720,427.542,236998656,24.75,69.080,39.091,2,1716.863,0.852,0,0.01,3000.0,4826.4,4628.6,197.3,537.2,1549.4,411.3,8330.2
8,2048,180.794,201.471,119.909,129810432,27.75,42.920,17.965,1,591.417,0.852,0,0.00,3000.0,4827.6,4629.9,197.3,537.2,1537.1,399.0,8330.7
9,2048,198.390,216.808,131.501,136937472,30.38,49.277,17.613,1,518.676,0.852,0,0.00,3000.0,4827.0,4629.3,197.3,537.2,1526.6,388.5,8330.9
10,2048,464.187,144.544,420.987,77488128,33.24,32.922,10.278,1,1402.344,0.852,0,0.00,3000.0,4826.4,4628.7,197.3,537.2,1521.5,383.4,8330.9
11,2048,162.003,165.203,109.552,108429312,35.59,32.683,19.768,1,520.936,0.852,0,0.00,3000.0,4826.2,4628.5,197.3,537.2,1519.4,381.3,8330.9
12,2048,172.559,175.404,119.204,107888640,37.73,38.451,14.904,1,528.133,0.852,0,0.00,3000.0,4827.2,4629.5,197.3,537.2,1521.7,383.5,8330.9
13,2048,229.451,274.053,147.379,171823104,39.23,58.893,23.179,1,764.341,0.852,0,0.00,3000.0,4826.7,4628.9,197.3,537.2,1506.7,345.1,8350.3
14,2048,483.018,239.423,417.420,147849216,40.77,47.397,18.201,1,1459.374,0.852,0,0.00,3000.0,4826.6,4628.9,197.3,537.2,1495.6,318.8,8353.0
15,2048,161.734,129.449,120.599,80510976,42.62,30.323,10.811,2,454.010,0.852,0,0.01,3000.0,4826.4,4628.7,197.3,537.2,1501.8,325.0,8353.0
16,2048,468.270,193.614,410.158,111722496,44.13,42.926,15.185,1,1446.373,0.852,0,0.00,3000.0,4827.1,4629.4,197.3,537.2,1497.2,320.4,8353.0
17,2048,180.550,169.369,132.857,116207616,45.52,33.931,13.762,1,489.912,0.852,0,0.00,3000.0,4818.4,4621.8,196.2,545.1,1552.6,396.6,8339.3
18,2048,156.810,112.343,123.690,67338240,47.09,22.194,10.926,1,476.114,0.852,0,0.00,3000.0,4814.1,4617.6,196.2,548.1,1546.1,390.0,8335.8
19,2048,237.876,354.398,143.635,241643520,47.57,61.948,32.292,1,619.915,0.848,0,0.00,3000.0,4815.1,4618.5,196.2,548.1,1508.8,352.7,8335.8
20,2048,189.857,224.067,125.857,149090304,48.51,44.916,19.084,1,491.075,0.848,0,0.00,3000.0,4814.5,4617.9,196.2,548.1,1508.0,352.9,8336.1
21,2048,192.513,212.987,132.920,138289152,49.45,42.393,17.200,2,518.953,0.848,0,0.01,3000.0,4814.2,4617.6,196.2,548.1,1517.9,362.8,8336.1
22,2048,193.154,201.241,133.434,115126272,50.45,42.832,16.888,1,499.695,0.848,0,0.00,3000.0,4815.1,4618.5,196.2,548.2,1505.8,350.7,8335.6
23,2048,152.203,114.021,116.177,72302592,51.60,27.330,8.696,1,427.912,0.848,0,0.00,3000.0,4813.8,4617.3,196.2,548.2,1512.4,357.1,8336.1
24,2048,190.086,221.714,121.955,145256448,52.33,50.639,17.492,1,488.630,0.848,0,0.00,3000.0,4813.3,4616.7,196.2,549.6,1499.4,344.2,8334.1
25,2048,154.145,115.498,119.092,68038656,53.38,25.433,9.620,1,429.129,0.848,0,0.00,3000.0,4813.9,4617.3,196.2,549.7,1499.0,342.4,8333.3
26,2048,150.675,104.771,114.837,67338240,54.38,27.989,7.848,1,403.891,0.848,0,0.00,3000.0,4811.4,4614.9,196.2,552.0,1504.8,348.3,8329.8
27,2048,178.771,194.167,123.926,123334656,55.09,39.850,14.995,2,479.035,0.848,0,0.01,3000.0,4804.7,4608.1,196.2,559.1,1502.0,339.3,8321.8
28,2048,165.426,126.592,126.811,77488128,55.94,25.699,12.915,1,452.227,0.848,0,0.00,3000.0,4801.0,4604.4,196.2,562.3,1519.8,351.0,8319.0
29,2048,535.588,235.647,465.775,149901312,56.45,46.864,22.950,496,1615.466,0.848,0,1.94,3000.0,4778.1,4583.3,194.4,584.1,1572.8,385.9,8304.3
30,2048,150.389,115.977,115.221,68038656,57.27,20.525,14.644,928,478.979,0.848,0,3.62,3000.0,4793.6,4598.7,194.4,568.0,1562.4,375.8,8323.9
31,2048,531.194,569.564,364.123,387760128,56.77,103.211,63.860,0,1769.202,0.848,0,0.00,3000.0,4803.9,4609.5,193.9,556.7,1544.4,367.3,8332.8
32,2048,399.296,346.248,293.839,224526336,56.94,62.705,42.753,85,1286.021,0.848,0,0.33,3000.0,4800.9,4606.5,193.9,559.2,1541.6,351.3,8330.2
33,2048,512.203,193.770,453.882,104325120,57.55,42.887,15.434,1,1552.265,0.848,0,0.00,3000.0,4801.0,4606.7,193.9,560.4,1508.8,318.4,8327.6
34,2048,191.112,200.425,131.203,130891776,58.03,41.573,18.337,0,522.742,0.848,0,0.00,3000.0,4803.7,4609.4,193.9,556.9,1514.2,323.3,8331.5
35,2048,233.156,328.968,142.431,224415744,58.15,55.059,35.667,2,769.652,0.848,0,0.01,3000.0,4802.8,4608.5,193.9,557.8,1544.6,358.4,8329.8
36,2048,1030.875,206.644,977.865,109400064,58.67,35.743,17.267,2008,3115.081,0.848,0,7.84,3000.0,4733.8,4541.3,192.2,625.2,1531.5,367.5,8328.8
37,2048,469.814,203.401,411.655,123064320,59.13,39.642,18.517,784,1466.512,0.848,0,3.06,3000.0,4710.0,4517.5,192.0,648.8,1501.4,362.5,8347.8
38,2048,473.155,209.592,418.055,135806976,59.53,30.914,24.186,432,1479.421,0.848,0,1.69,3000.0,4698.0,4505.5,192.0,661.2,1521.6,418.1,8325.5
39,2048,165.438,125.922,122.175,72413184,60.12,30.629,12.634,997,572.867,0.848,0,3.89,3000.0,4698.6,4506.2,192.0,660.6,1518.2,414.8,8325.9
40,2048,410.302,182.599,356.924,110481408,60.56,34.565,18.812,433,1287.210,0.848,0,1.69,3000.0,4679.3,4486.8,192.0,679.0,1520.9,417.5,8304.2
41,2048,160.868,158.117,112.506,103354368,61.01,28.943,19.419,2438,526.381,0.848,0,9.52,3000.0,4705.7,4513.3,192.0,653.0,1519.8,416.6,8328.5
42,2048,711.982,194.912,658.926,117338112,61.39,32.521,20.535,1447,2184.918,0.848,0,5.65,3000.0,4717.5,4525.0,192.0,641.1,1495.8,391.0,8333.3
43,2048,186.554,221.370,119.350,150331392,61.66,44.330,22.874,911,552.587,0.848,0,3.56,3000.0,4742.0,4549.5,192.0,617.2,1477.5,372.8,8354.8
44,2048,607.536,211.112,544.278,134725632,61.97,40.649,22.609,2,1868.850,0.848,0,0.01,3000.0,4750.7,4558.3,192.0,609.0,1471.7,356.0,8364.2
45,2048,977.875,145.891,934.119,83914752,62.42,22.975,20.781,2,2833.204,0.848,0,0.01,3000.0,4684.3,4510.2,173.7,655.4,1472.4,146.5,8312.0
46,2048,565.128,179.309,512.603,106106880,62.78,22.216,30.309,1,1676.017,0.848,0,0.00,3000.0,4705.0,4548.8,155.8,617.2,1442.4,199.3,8341.3
47,2048,1088.447,277.351,1005.737,164966400,62.97,44.469,38.241,1,3298.577,0.848,0,0.00,3000.0,4697.2,4541.0,155.8,624.2,1457.0,219.0,8319.1
48,2048,745.245,464.992,612.910,296288256,62.78,75.263,57.072,869,2357.619,0.848,0,3.39,3000.0,4743.3,4587.1,155.8,580.3,1471.1,272.9,8341.9
49,2048,182.866,228.846,113.047,146878464,63.01,46.229,23.591,1,638.861,0.848,0,0.00,3000.0,4741.9,4588.8,152.7,577.5,1474.8,296.3,8338.6
50,2048,440.727,121.419,405.088,65015808,63.45,24.096,11.542,11,1360.190,0.848,0,0.04,3000.0,4722.5,4580.4,141.7,585.7,1488.9,346.0,8311.0
51,2048,159.532,139.923,116.976,76677120,63.85,29.074,13.481,2,517.180,0.848,0,0.01,3000.0,4717.0,4574.9,141.7,591.3,1486.6,342.7,8304.1
52,2048,464.869,247.009,395.287,158650368,64.02,45.561,24.021,1,1443.806,0.848,0,0.00,3000.0,4699.3,4557.5,141.4,609.2,1489.4,342.3,8264.4
53,2048,150.188,132.934,108.370,86396928,64.37,23.999,17.819,2,502.902,0.848,0,0.01,3000.0,4726.8,4585.0,141.4,582.1,1477.8,330.2,8291.2
54,2048,146.911,123.098,108.987,78729216,64.73,23.616,14.308,1,496.618,0.848,0,0.00,3000.0,4741.0,4599.1,141.4,567.1,1459.1,309.5,8305.6
