# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=4 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,1528.696,2347.989,797.576,1892171776,0.04,496.171,234.949,1052,3854.860,-1.000,0,4.11,2000.0,2467.9,2059.3,408.3,388.6,2557.8,252.8,7730.1
2,2048,1201.842,2156.785,504.267,1680330752,0.67,495.316,202.259,527,3616.935,-1.000,0,2.06,2000.0,2470.5,2061.8,408.3,386.6,2568.8,239.4,7737.6
3,2048,781.145,1834.920,197.010,1481895936,1.77,402.298,181.837,312,1541.742,1.000,0,1.22,2000.0,2471.9,2063.3,408.3,385.3,2566.4,236.9,7739.4
4,2048,1308.236,1873.217,691.613,1455435776,2.83,431.016,185.607,299,3483.187,1.000,0,1.17,2000.0,2463.8,2055.2,408.3,393.6,2565.2,216.5,7739.7
5,2048,834.934,2024.912,206.521,1653940224,3.31,434.308,194.104,275,1675.497,1.000,0,1.07,2000.0,2465.1,2056.5,408.3,392.4,2594.6,244.6,7741.7
6,2048,994.502,2046.845,338.840,1614172160,3.84,453.958,201.704,245,2063.706,1.000,0,0.96,2000.0,2466.1,2057.5,408.3,391.6,2645.5,289.4,7746.0
7,2048,761.177,1799.701,193.344,1429004288,4.74,396.589,171.245,195,1802.652,1.000,0,0.76,2000.0,2467.0,2058.4,408.3,390.6,2581.9,225.1,7747.5
8,2048,1199.293,2205.990,484.909,1693646848,4.99,491.182,223.202,265,3958.126,1.000,0,1.04,2000.0,2468.4,2059.8,408.3,389.8,2632.8,275.5,7749.2
9,2048,1040.042,2104.279,387.236,1667039232,5.29,433.315,219.492,192,2540.494,1.000,0,0.75,2000.0,2469.0,2060.4,408.3,388.9,2573.4,247.0,7750.2
10,2048,629.990,1377.354,187.182,1124700160,6.63,307.369,135.438,110,1297.291,1.000,0,0.43,2000.0,2469.7,2061.1,408.3,388.4,2602.9,271.3,7751.2
11,2048,826.780,2023.200,211.836,1640689664,6.89,424.954,189.990,75,1660.368,1.000,0,0.29,2000.0,2468.2,2059.6,408.3,389.6,2537.0,231.2,7750.5
12,2048,743.096,1668.662,191.501,1336356864,7.69,386.715,164.880,206,1488.483,1.000,0,0.80,2000.0,2469.3,2060.7,408.3,389.1,2567.2,258.6,7751.0
13,2048,813.909,1968.845,203.167,1574543360,8.02,423.115,187.627,263,1596.277,1.000,0,1.03,2000.0,2470.7,2062.1,408.3,388.1,2542.9,234.1,7753.3
14,2048,997.120,1519.999,510.795,1204051968,8.96,337.318,149.007,184,2510.327,1.000,0,0.72,2000.0,2471.6,2063.0,408.3,387.3,2593.9,284.1,7754.5
15,2048,758.026,1190.018,352.382,926228480,10.30,271.678,133.966,105,2025.695,1.000,0,0.41,2000.0,2472.3,2063.7,408.3,386.9,2554.1,244.0,7755.9
16,2048,1225.691,1314.753,729.478,1005559808,11.44,375.491,120.721,81,2776.783,1.000,0,0.32,2000.0,2472.5,2063.9,408.3,386.6,2589.7,271.6,7758.7
17,2048,700.360,1591.676,180.257,1270251520,12.09,363.661,156.442,28,1359.920,1.000,0,0.11,2000.0,2472.7,2064.1,408.3,386.4,2578.1,260.0,7759.2
18,2048,1338.286,2260.529,590.546,1799385088,11.90,517.469,230.272,125,3871.941,1.000,0,0.49,2000.0,2473.4,2064.8,408.3,386.1,2544.3,223.4,7763.3
19,2048,859.447,2131.441,200.595,1693638656,11.88,439.453,219.399,90,1679.671,1.000,0,0.35,2000.0,2473.7,2065.1,408.3,385.6,2598.0,277.0,7764.1
20,2048,885.087,2200.020,208.164,1746493440,11.78,459.784,217.140,120,1716.035,1.000,0,0.47,2000.0,2474.4,2065.8,408.3,385.1,2566.1,245.1,7764.7
21,2048,838.213,2025.592,192.551,1627381760,11.85,447.438,198.223,58,1694.119,1.000,0,0.23,2000.0,2474.8,2066.2,408.3,384.8,2588.9,267.7,7764.9
22,2048,923.815,1829.123,338.299,1468698624,12.14,399.400,186.117,95,1998.443,1.000,0,0.37,2000.0,2475.3,2066.7,408.3,384.6,2542.7,221.4,7765.6
23,2048,1031.231,1704.281,471.574,1309888512,12.62,401.137,158.520,133,2228.425,1.000,0,0.52,2000.0,2476.0,2067.4,408.3,384.1,2603.9,271.4,7767.1
24,2048,878.084,1699.344,307.666,1323151360,13.06,396.029,174.389,93,2557.758,1.000,0,0.36,2000.0,2476.4,2067.8,408.3,383.7,2630.1,297.3,7767.4
25,2048,3002.331,1706.363,2233.110,1309917184,13.50,615.586,153.635,78,8843.361,1.000,0,0.30,2000.0,2467.6,2068.0,399.3,383.4,2458.6,283.0,7770.6
26,2048,879.770,1709.376,326.085,1349582848,13.87,387.827,165.858,53,1975.277,1.000,0,0.21,2000.0,2468.1,2068.5,399.3,383.2,2422.4,245.9,7770.8
27,2048,779.101,1884.993,201.406,1508397056,14.03,392.905,184.789,60,1544.083,1.000,0,0.23,2000.0,2468.5,2068.9,399.3,382.8,2443.2,266.7,7771.2
28,2048,1102.536,1625.917,562.936,1243734016,14.49,378.582,161.017,106,2661.468,1.000,0,0.41,2000.0,2468.8,2069.2,399.3,382.6,2444.1,267.5,7772.7
29,2048,916.185,1731.892,346.086,1323147264,14.84,406.942,163.157,119,2020.174,1.000,0,0.46,2000.0,2469.4,2069.8,399.3,382.1,2393.9,217.2,7773.0
30,2048,935.358,1247.015,499.174,939458560,15.61,326.044,110.140,50,2229.599,1.000,0,0.20,2000.0,2469.8,2070.2,399.3,381.8,2427.6,250.6,7773.2
31,2048,1261.788,1877.811,677.736,1455448064,15.78,403.470,180.582,54,3541.362,1.000,0,0.21,2000.0,2470.0,2070.4,399.3,381.8,2435.0,257.8,7774.0
32,2048,1274.766,1951.099,596.397,1521672192,15.87,488.897,189.472,30,2672.995,1.000,0,0.12,2000.0,2470.3,2070.7,399.3,381.6,2404.2,227.1,7774.5
33,2048,1084.305,1770.750,544.931,1349619712,16.14,376.709,162.665,46,2525.582,1.000,0,0.18,2000.0,2470.5,2070.9,399.3,381.6,2434.1,229.0,7778.4
34,2048,1123.469,1907.117,492.452,1455411200,16.29,444.141,186.877,42,2670.476,1.000,0,0.16,2000.0,2470.9,2071.2,399.3,381.3,2445.8,240.6,7778.7
35,2048,822.515,2013.572,197.298,1587736576,16.29,428.674,196.542,24,1581.551,1.000,0,0.09,2000.0,2471.0,2071.4,399.3,381.1,2473.3,268.1,7779.0
36,2048,816.134,1994.014,194.232,1548107776,16.34,424.188,197.714,51,1579.070,1.000,0,0.20,2000.0,2471.4,2071.8,399.3,380.8,2420.2,214.9,7779.5
37,2048,1300.370,1934.629,671.421,1481850880,16.45,437.535,191.414,9,3406.145,1.000,0,0.04,2000.0,2471.6,2072.0,399.3,380.8,2453.4,245.1,7781.0
38,2048,850.935,2113.361,208.373,1693634560,16.35,440.109,202.453,117,1687.568,1.000,0,0.46,2000.0,2472.1,2072.5,399.3,380.3,2473.8,265.4,7781.0
39,2048,736.804,1251.534,302.186,965914624,16.95,312.232,122.386,34,2289.103,1.000,0,0.13,2000.0,2472.4,2072.8,399.3,380.2,2450.2,241.8,7781.2
40,2048,577.727,1187.932,180.123,939470848,17.54,283.075,114.529,40,1172.851,1.000,0,0.16,2000.0,2472.6,2073.0,399.3,380.2,2480.1,271.6,7787.5
41,2048,845.500,1579.160,338.676,1243774976,17.84,350.980,155.844,35,2103.370,1.000,0,0.14,2000.0,2472.6,2073.0,399.3,380.1,2457.7,249.1,7787.5
42,2048,829.912,1450.806,366.155,1111461888,18.25,329.909,133.848,110,2032.156,1.000,0,0.43,2000.0,2473.1,2073.5,399.3,379.6,2491.9,282.9,7788.5
43,2048,885.179,1238.792,481.385,926248960,18.80,285.698,118.095,24,2591.488,1.000,0,0.09,2000.0,2470.7,2071.1,399.3,381.9,2511.0,252.7,7796.5
44,2048,1239.588,1862.700,650.541,1442209792,18.89,406.830,182.216,27,3470.970,1.000,0,0.11,2000.0,2470.7,2071.1,399.3,381.8,2531.7,273.2,7788.2
45,2048,898.504,1740.887,330.400,1376116736,19.04,398.683,169.420,27,2656.568,1.000,0,0.11,2000.0,2462.0,2071.1,390.6,381.7,2328.1,220.0,7790.0
46,2048,731.030,1704.538,180.839,1349586944,19.20,388.907,161.284,87,1396.822,1.000,0,0.34,2000.0,2462.6,2071.7,390.6,381.6,2381.4,271.9,7790.5
47,2048,946.492,1915.057,332.321,1508343808,19.22,428.405,185.765,21,2050.923,1.000,0,0.08,2000.0,2462.4,2071.5,390.6,381.4,2361.4,248.5,7791.3
48,2048,1760.959,1592.683,1177.882,1151119360,19.54,448.449,134.628,57,4885.699,1.000,0,0.22,2000.0,2463.0,2072.2,390.6,381.2,2366.5,251.8,7793.0
49,2048,1250.134,2060.471,587.535,1614258176,19.48,457.738,204.861,34,2863.693,1.000,0,0.13,2000.0,2463.0,2072.1,390.6,381.1,2395.6,267.8,7794.1
50,2048,1039.973,2208.142,335.272,1719996416,19.33,488.966,215.736,210,2220.401,1.000,0,0.82,2000.0,2464.2,2073.3,390.6,380.2,2370.6,242.6,7795.6
51,2048,878.592,1685.209,335.238,1296728064,19.52,390.368,152.987,33,1879.050,1.000,0,0.13,2000.0,2464.3,2073.5,390.6,380.2,2410.4,254.0,7797.8
52,2048,725.809,1699.013,196.526,1362833408,19.65,370.655,158.628,21,1456.845,1.000,0,0.08,2000.0,2464.4,2073.6,390.6,379.9,2431.8,271.8,7798.1
53,2048,704.423,1586.517,207.679,1230532608,19.87,348.390,148.354,12,1425.202,1.000,0,0.05,2000.0,2464.4,2073.5,390.6,379.9,2406.0,243.1,7798.8
54,2048,777.067,1293.841,356.320,952729600,20.30,298.699,122.049,88,2194.876,1.000,0,0.34,2000.0,2464.8,2073.9,390.6,379.7,2439.4,255.4,7800.1
55,2048,1873.792,1978.121,1180.162,1481920512,20.33,501.057,192.573,12,5348.618,1.000,0,0.05,2000.0,2465.0,2074.1,390.6,379.6,2444.2,260.2,7800.3
