# bmoe_metrics v1
# model=gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=4 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=1000 cache_auto=0 cache_ceil_mb=0 force_cache=1 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,1930.070,2339.766,1187.092,1905405952,0.00,434.743,308.235,139,6478.231,-1.000,0,0.54,1000.0,3595.3,3122.3,472.7,87.0,2799.8,280.4,8162.3
2,2048,1967.602,2410.601,1196.084,1905270784,0.00,493.117,278.401,61,6052.294,-1.000,0,0.24,1000.0,3595.9,3123.0,472.7,86.9,2755.7,221.8,8165.1
3,2048,964.881,2350.121,264.495,1905283072,0.00,442.123,258.263,58,2011.584,0.988,0,0.23,1000.0,3596.6,3123.6,472.7,86.6,2776.7,235.5,8167.3
4,2048,1823.091,2399.132,1079.287,1905291264,0.00,461.059,282.745,42,5468.774,0.988,0,0.16,1000.0,3596.9,3123.9,472.7,86.6,2822.7,271.6,8168.9
5,2048,1980.024,2441.442,1246.300,1905348608,0.00,459.118,274.606,16,6500.466,0.988,0,0.06,1000.0,3596.9,3123.9,472.7,86.5,2777.1,217.1,8171.2
6,2048,2069.660,2402.417,1308.181,1905262592,0.00,487.517,273.962,93,6606.357,0.988,0,0.36,1000.0,3597.6,3124.6,472.7,86.0,2914.9,350.4,8173.1
7,2048,3835.072,2404.331,3038.121,1905315840,0.00,528.779,268.172,72,9152.438,0.988,0,0.28,1000.0,3598.2,3125.2,472.7,85.8,2859.2,259.7,8183.8
8,2048,1622.442,2389.734,859.672,1905356800,0.00,508.143,254.628,29,5377.521,0.988,0,0.11,1000.0,3598.3,3125.4,472.7,85.6,2854.7,250.8,8184.8
9,2048,1809.802,2435.836,1024.106,1905205248,0.00,529.305,256.392,72,5284.319,0.988,0,0.28,1000.0,3598.8,3125.9,472.7,85.3,2884.3,279.8,8186.3
10,2048,976.661,2393.225,245.815,1905336320,0.00,473.345,257.501,20,1990.125,0.988,0,0.08,1000.0,3599.2,3126.2,472.7,85.1,2875.2,223.4,8194.8
11,2048,966.043,2390.536,237.524,1905336320,0.00,471.561,256.958,23,2188.534,0.988,0,0.09,1000.0,3595.1,3126.3,468.6,85.1,2883.3,295.2,8193.9
12,2048,1636.275,2424.898,858.501,1905348608,0.00,518.723,259.051,80,5067.701,0.988,0,0.31,1000.0,3595.5,3126.6,468.6,84.8,2824.0,231.7,8194.6
13,2048,1282.158,2318.752,562.516,1905340416,0.00,452.749,266.892,66,3963.469,0.988,0,0.26,1000.0,3596.2,3127.3,468.6,84.3,2857.4,256.9,8196.7
14,2048,1357.083,2352.287,622.646,1905319936,0.00,474.929,259.508,20,3419.185,0.988,0,0.08,1000.0,3591.3,3127.5,463.6,84.3,2871.8,253.0,8204.7
15,2048,2177.655,2446.146,1483.040,1905393664,0.00,399.634,294.981,6,6755.136,0.988,0,0.02,1000.0,3566.9,3127.3,439.3,84.5,2796.0,231.7,8261.7
16,2048,2048.443,2474.763,1267.306,1905311744,0.00,513.884,267.253,8,6371.966,0.988,0,0.03,1000.0,3545.3,3126.2,418.8,85.5,2687.7,223.9,8320.6
17,2048,1473.900,2426.765,705.013,1905389568,0.00,505.460,263.427,9,5279.740,0.988,0,0.04,1000.0,3545.3,3126.3,418.8,85.5,2724.3,248.7,8321.6
18,2048,2866.646,2399.486,2050.447,1905242112,0.00,546.951,269.248,74,9078.964,0.988,0,0.29,1000.0,3543.6,3124.6,418.7,87.9,2693.6,251.0,8332.5
19,2048,1857.908,2371.839,1078.801,1905336320,0.00,479.584,299.523,10,5891.831,0.988,0,0.04,1000.0,3543.5,3124.6,418.7,87.9,2700.4,211.1,8334.6
