# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=4096
# moe_stream=1 cache_mb=3000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=ahwb
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,2048,712.275,404.586,595.678,273666048,6.74,73.845,42.753,6938,2259.647,-1.000,0,27.10,3000.0,3410.0,3086.4,323.2,291.1,1901.8,321.2,7716.6
2,2048,171.778,191.351,108.851,120471552,14.69,42.052,20.876,10,556.417,-1.000,0,0.04,3000.0,3427.0,3103.4,323.2,274.4,1897.6,309.7,7734.0
3,2048,580.033,375.989,471.170,249741312,19.03,67.771,41.092,4,1687.515,1.000,0,0.02,3000.0,3425.6,3102.6,322.6,275.0,1894.8,280.1,7720.1
4,2048,999.778,292.409,921.553,175927296,23.68,42.107,36.117,339,2901.995,1.000,0,1.32,3000.0,3422.8,3100.0,322.5,276.9,1889.5,223.6,7720.1
5,2048,1062.654,441.445,933.928,257679360,26.48,85.766,42.960,413,2705.168,1.000,0,1.61,3000.0,3374.9,3052.6,321.8,324.8,1887.2,161.3,7683.0
6,2048,227.413,254.131,147.281,154275840,30.15,47.162,32.969,154,726.660,1.000,0,0.60,3000.0,3420.1,3104.4,315.3,274.1,1876.2,150.3,7738.6
7,2048,226.441,282.010,139.613,190291968,32.90,60.662,26.166,0,785.347,1.000,0,0.00,3000.0,3418.2,3102.6,315.2,274.5,1887.3,166.1,7725.8
8,2048,226.792,153.820,179.329,92553216,36.30,34.031,13.432,0,704.800,1.000,0,0.00,3000.0,3418.5,3102.9,315.2,274.6,1898.0,234.3,7715.4
9,2048,192.266,166.249,142.207,109400064,39.12,33.454,16.604,0,626.692,1.000,0,0.00,3000.0,3411.4,3096.0,315.0,281.4,1897.1,274.6,7706.2
10,2048,254.057,257.297,176.490,167559168,41.08,52.507,25.060,10,856.147,1.000,0,0.04,3000.0,3416.1,3100.9,314.8,276.5,1890.6,267.0,7706.9
