# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=5280 cache_auto=1 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,448.308,258.963,178.440,126087168,7.99,0.000,10.906,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1552.5,1552.5,18545.5
2,256,488.557,324.642,131.810,265506816,12.42,0.000,32.104,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1596.3,1596.3,18546.8
3,256,258.051,123.153,122.119,92553216,18.49,0.000,12.779,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1618.6,1618.6,18546.0
4,256,271.996,131.601,128.141,90341376,23.66,0.000,12.255,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1640.8,1640.8,18548.0
5,256,393.439,235.724,137.172,151683072,27.38,0.000,20.543,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1680.7,1680.7,18547.3
6,256,332.401,182.340,131.476,135106560,30.79,0.000,18.586,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1708.2,1708.2,18577.1
7,256,289.253,151.977,122.109,128139264,33.84,0.000,15.167,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1717.7,1717.7,18576.9
8,256,249.834,111.571,124.286,103624704,36.76,0.000,13.977,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1696.4,1696.4,18576.3
9,256,194.565,74.716,111.754,70471680,39.67,0.000,8.095,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1693.8,1693.8,18576.2
10,256,171.878,54.910,110.862,50651136,42.42,0.000,6.106,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1697.2,1697.2,18577.0
11,256,202.394,79.744,113.301,73924608,44.71,0.000,9.349,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1695.7,1695.7,18575.3
12,256,237.986,105.430,119.947,100761600,46.57,0.000,12.610,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1695.6,1695.6,18575.4
13,256,214.698,88.677,115.699,84615168,48.38,0.000,10.323,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1696.2,1696.2,18577.0
14,256,227.220,96.482,118.461,90771456,49.99,0.000,12.276,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1696.2,1696.2,18578.7
15,256,281.129,144.531,119.717,141422592,51.12,0.000,16.881,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1694.3,1694.3,18577.3
16,256,254.121,119.345,120.001,116097024,52.33,0.000,14.774,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1693.9,1693.9,18581.3
17,256,260.061,128.781,116.499,126627840,53.38,0.000,14.780,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1694.1,1694.1,18581.8
18,256,296.345,158.568,118.197,158158848,54.15,0.000,19.580,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1693.4,1693.4,18583.3
19,256,235.999,105.336,117.774,101142528,55.22,0.000,12.889,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1691.0,1691.0,18583.6
20,256,169.467,48.950,114.320,45576192,56.52,0.000,6.196,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1692.4,1692.4,18583.6
21,256,176.738,56.492,113.227,52703232,57.69,0.000,7.019,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1693.6,1693.6,18582.6
22,256,213.743,87.787,115.608,83755008,58.63,0.000,10.347,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1692.0,1692.0,18583.7
23,256,204.356,79.997,114.907,77217792,59.53,0.000,9.452,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1690.6,1690.6,18583.6
24,256,238.263,108.855,116.538,103403520,60.24,0.000,12.870,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1689.8,1689.8,18581.7
25,256,209.660,80.862,118.985,75595776,61.04,0.000,9.813,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1690.3,1690.3,18584.9
26,256,203.282,77.192,116.623,72572928,61.81,0.000,9.467,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1690.4,1690.4,18583.0
27,256,302.208,163.978,118.864,161832960,62.15,0.000,19.366,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1687.2,1687.2,18582.8
28,256,236.271,106.701,116.858,102703104,62.71,0.000,12.711,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1688.5,1688.5,18585.3
29,256,215.231,87.905,117.272,84455424,63.34,0.000,10.054,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1685.7,1685.7,18583.3
30,256,233.099,96.259,124.651,92823552,63.90,0.000,12.188,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1671.4,1671.4,18583.4
31,256,369.588,223.524,118.728,223174656,63.89,0.000,27.336,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1671.9,1671.9,18584.9
32,256,265.381,134.315,115.026,129380352,64.26,0.000,16.041,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1672.1,1672.1,18582.1
33,256,170.461,53.318,110.735,48599040,64.93,0.000,6.407,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1673.1,1673.1,18584.2
34,256,224.484,97.727,114.258,95256576,65.40,0.000,12.499,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1670.8,1670.8,18584.4
35,256,304.373,167.654,116.415,163885056,65.58,0.000,20.304,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1671.7,1671.7,18585.6
36,256,271.379,141.978,112.719,137588736,65.85,0.000,16.682,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1671.1,1671.1,18586.4
37,256,214.543,88.439,114.652,84074496,66.30,0.000,11.452,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1672.2,1672.2,18586.0
38,256,202.242,77.375,115.066,71761920,66.76,0.000,9.801,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1671.0,1671.0,18587.3
39,256,236.655,110.302,113.561,103944192,67.09,0.000,12.792,0,0.000,-1.000,0,0.00,5280.8,0.0,0.0,0.0,0.0,1665.4,1665.4,18586.3
