# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=7127 cache_auto=1 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,307.856,139.189,167.310,126087168,7.99,0.000,1.358,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1745.5,1745.5,18554.9
2,256,427.260,282.233,142.813,263454720,12.45,0.000,2.215,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1562.6,1562.6,18302.4
3,256,240.859,107.302,132.522,88449024,18.56,0.000,1.036,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1519.9,1519.9,18215.8
4,256,225.848,92.375,132.600,78028800,23.88,0.000,0.872,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1499.3,1499.3,18143.9
5,256,321.950,158.743,161.883,135266304,27.76,0.000,1.324,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1405.9,1405.9,18014.6
6,256,270.363,130.119,138.869,114585600,31.36,0.000,1.376,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1337.5,1337.5,17903.5
7,256,250.401,118.814,130.510,99409920,34.64,0.000,1.077,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1266.9,1266.9,17809.4
8,256,255.039,117.294,136.841,72843264,37.79,0.000,0.903,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1390.0,1390.0,17737.5
9,256,188.766,51.167,136.881,45846528,40.85,0.000,0.718,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1429.1,1429.1,17693.7
10,256,168.385,49.094,118.709,44494848,43.59,0.000,0.581,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1416.3,1416.3,17667.0
11,256,189.885,74.472,114.648,67768320,45.87,0.000,0.765,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1349.2,1349.2,17601.9
12,256,198.473,79.731,117.905,74465280,47.88,0.000,0.836,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1276.2,1276.2,17530.1
13,256,201.822,84.216,116.770,78999552,49.67,0.000,0.836,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1201.2,1201.2,17455.7
14,256,236.559,91.649,144.046,85155840,51.27,0.000,0.864,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1188.7,1188.7,17361.4
15,256,215.212,103.200,111.016,96927744,52.65,0.000,0.995,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1115.0,1115.0,17282.5
16,256,196.370,78.618,116.911,72843264,54.07,0.000,0.841,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,1038.5,1038.5,17214.0
17,256,210.971,91.222,118.857,84885504,55.31,0.000,0.892,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,959.5,959.5,17151.1
18,256,244.925,116.976,126.945,111071232,56.28,0.000,1.005,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,887.2,887.2,17032.4
19,256,204.264,73.723,129.727,67338240,57.46,0.000,0.814,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,870.1,870.1,16966.3
20,256,160.714,33.265,127.095,29159424,58.77,0.000,0.354,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,869.5,869.5,16938.6
21,256,171.680,54.241,116.939,49139712,59.89,0.000,0.500,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,854.5,854.5,16894.3
22,256,186.196,73.756,111.697,69931008,60.83,0.000,0.744,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,785.7,785.7,16824.3
23,256,192.246,74.424,114.268,67497984,61.71,0.000,3.554,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,728.6,728.6,16772.5
24,256,232.559,89.977,133.339,82722816,62.45,0.000,9.243,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,772.6,772.6,16756.9
25,256,166.035,51.493,109.694,45465600,63.34,0.000,4.848,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,771.0,771.0,16756.9
26,256,178.216,57.175,115.632,50110464,64.16,0.000,5.409,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,798.5,798.5,16756.7
27,256,174.027,52.632,115.791,49569792,64.93,0.000,5.603,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,791.3,791.3,16755.7
28,256,154.296,36.309,114.096,33804288,65.73,0.000,3.891,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,792.4,792.4,16755.6
29,256,175.016,46.242,123.601,43524096,66.45,0.000,5.173,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,792.4,792.4,16755.4
30,256,705.025,572.626,129.093,26136576,67.21,0.000,3.306,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,802.1,802.1,16772.6
31,256,234.443,102.859,122.094,80891904,67.71,0.000,9.490,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,799.4,799.4,16772.6
32,256,182.656,54.944,122.290,44064768,68.33,0.000,5.421,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,769.3,769.3,16771.0
33,256,163.589,43.097,116.611,29970432,68.97,0.000,3.881,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,769.5,769.5,16771.0
34,256,192.967,70.397,115.533,56918016,69.49,0.000,7.037,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,769.7,769.7,16772.6
35,256,223.521,94.248,121.688,61722624,69.96,0.000,7.585,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.2,770.2,16770.0
36,256,230.820,99.822,120.770,82403328,70.34,0.000,10.227,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,769.8,769.8,16771.7
37,256,191.429,66.923,116.939,54214656,70.80,0.000,7.567,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.5,770.5,16773.6
38,256,180.627,59.547,115.027,45465600,71.26,0.000,6.053,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.3,770.3,16773.8
39,256,230.081,94.770,125.151,79699968,71.58,0.000,10.160,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.4,770.4,16772.3
40,256,227.446,100.866,115.755,87638016,71.87,0.000,10.825,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.1,770.1,16774.4
41,256,156.486,36.992,115.344,31481856,72.33,0.000,4.151,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,770.0,770.0,16771.4
42,256,301.035,167.412,117.419,140070912,72.43,0.000,16.205,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,769.1,769.1,16773.1
43,256,217.278,85.130,122.723,75436032,72.72,0.000,9.425,0,0.000,-1.000,0,0.00,7127.7,0.0,0.0,0.0,0.0,766.5,766.5,16773.9
