# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=7420 cache_auto=1 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0.75
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,303.524,138.539,163.686,126087168,7.99,0.000,1.300,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,2102.9,2102.9,18521.9
2,256,254.042,124.301,128.556,104054784,12.70,0.000,1.186,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,2007.5,2007.5,18422.8
3,256,188.165,63.374,124.084,54755328,18.61,0.000,0.708,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1962.8,1962.8,18382.4
4,256,170.611,39.608,130.530,32722944,23.71,0.000,0.472,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1941.6,1941.6,18351.8
5,256,218.225,94.812,122.369,84615168,27.44,0.000,1.045,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1859.7,1859.7,18272.2
6,256,187.443,60.152,126.453,53673984,31.45,0.000,0.838,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1809.3,1809.3,18222.3
7,256,180.733,63.214,116.824,57778176,34.63,0.000,0.696,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1745.8,1745.8,18166.5
8,256,180.592,42.160,138.008,33964032,37.85,0.000,0.423,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1719.4,1719.4,18134.2
9,256,147.330,34.524,112.244,32022528,41.01,0.000,0.562,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1686.5,1686.5,18105.0
10,256,139.761,27.258,112.126,24784896,43.76,0.000,0.377,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1667.8,1667.8,18080.6
11,256,149.596,36.667,112.464,33533952,46.17,0.000,0.465,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1629.5,1629.5,18048.5
12,256,137.821,21.445,116.002,20250624,48.52,0.000,0.374,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1606.8,1606.8,18029.2
13,256,136.436,25.746,110.396,23814144,50.52,0.000,0.294,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1586.3,1586.3,18006.6
14,256,196.437,73.126,122.563,68308992,52.12,0.000,0.748,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1524.6,1524.6,17942.2
15,256,185.469,63.360,121.461,60370944,53.64,0.000,0.648,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1474.5,1474.5,17884.8
16,256,151.212,38.400,112.398,34775040,55.20,0.000,0.413,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1456.1,1456.1,17851.0
17,256,182.709,65.745,116.421,52162560,56.56,0.000,0.543,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1444.1,1444.1,17799.6
18,256,205.819,91.064,113.881,74895360,57.63,0.000,0.875,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1391.8,1391.8,17729.4
19,256,199.847,80.802,118.275,62693376,58.73,0.000,0.770,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1358.0,1358.0,17678.0
20,256,214.833,82.388,132.012,37367808,59.95,0.000,0.433,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1331.1,1331.1,17641.8
21,256,173.179,54.033,118.614,41902080,61.00,0.000,0.532,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1340.5,1340.5,17603.3
22,256,190.853,74.037,116.093,61181952,61.91,0.000,0.723,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1304.7,1304.7,17546.2
23,256,170.044,53.333,116.260,42713088,62.81,0.000,0.451,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1291.1,1291.1,17503.4
24,256,232.553,110.242,121.477,82022400,63.48,0.000,0.833,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1330.2,1330.2,17423.7
25,256,234.023,74.756,158.776,33964032,64.40,0.000,0.491,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1324.9,1324.9,17393.6
26,256,183.698,65.734,117.425,44654592,65.22,0.000,0.539,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1303.2,1303.2,17352.9
27,256,151.143,34.778,115.974,25755648,66.10,0.000,0.390,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1304.4,1304.4,17326.9
28,256,119.014,6.413,112.406,5615616,67.04,0.000,0.195,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1290.4,1290.4,17321.1
29,256,123.755,10.378,113.212,9449472,67.90,0.000,0.165,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1290.2,1290.2,17313.2
30,256,122.020,9.805,112.067,8208384,68.74,0.000,0.147,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1277.7,1277.7,17305.3
31,256,131.153,14.745,116.070,13283328,69.46,0.000,0.338,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1265.1,1265.1,17294.7
32,256,122.642,10.435,112.035,9990144,70.18,0.000,0.173,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1252.7,1252.7,17282.5
33,256,121.788,6.446,115.195,5885952,70.88,0.000,0.147,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1252.7,1252.7,17277.4
34,256,164.205,49.315,114.745,10260480,71.56,0.000,0.145,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1242.2,1242.2,17270.1
35,256,156.165,50.662,105.084,40230912,72.09,0.000,0.419,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1203.4,1203.4,17231.1
36,256,166.919,52.883,113.600,42283008,72.56,0.000,0.436,0,0.000,-1.000,0,0.00,7420.5,0.0,0.0,0.0,0.0,1160.1,1160.1,17190.1
