# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=8 n_ctx=2048
# moe_stream=1 cache_mb=7304 cache_auto=1 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,286.584,144.249,140.959,126087168,7.99,0.000,1.376,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1690.3,1690.3,18554.0
2,256,422.780,284.004,136.554,263454720,12.45,0.000,2.221,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1514.0,1514.0,18300.8
3,256,222.582,101.012,120.333,88449024,18.56,0.000,1.237,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1459.6,1459.6,18219.7
4,256,216.133,91.554,123.612,78028800,23.88,0.000,0.967,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1398.4,1398.4,18144.9
5,256,288.415,151.711,135.216,135266304,27.76,0.000,1.489,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1313.6,1313.6,18015.3
6,256,257.568,125.199,130.983,114585600,31.36,0.000,1.387,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1225.6,1225.6,17903.5
7,256,232.231,104.679,126.513,99409920,34.64,0.000,1.038,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1165.6,1165.6,17803.8
8,256,194.368,76.884,116.763,72843264,37.79,0.000,0.721,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1116.8,1116.8,17732.1
9,256,165.326,52.578,112.109,45846528,40.85,0.000,0.638,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1063.2,1063.2,17689.5
10,256,165.013,51.072,113.378,44494848,43.59,0.000,0.563,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,1023.9,1023.9,17640.3
11,256,190.585,75.236,114.686,67768320,45.87,0.000,0.662,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,961.8,961.8,17583.6
12,256,193.899,75.870,117.242,74465280,47.88,0.000,0.787,0,0.000,-1.000,0,0.00,7304.9,0.0,0.0,0.0,0.0,941.1,941.1,17511.4
