# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=5000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,325.518,140.175,166.958,132243456,7.90,0.000,18.385,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2139.8,2139.8,18822.1
2,256,472.284,279.144,157.180,269611008,12.28,0.000,35.960,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2192.2,2192.2,18821.9
3,256,257.973,105.775,135.203,94605312,18.33,0.000,16.995,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2187.1,2187.1,18822.0
4,256,238.846,101.673,121.047,96497664,23.45,0.000,16.126,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2189.9,2189.9,18822.2
5,256,291.474,155.640,115.811,153735168,27.16,0.000,20.023,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2205.2,2205.2,18834.1
6,256,288.982,148.893,119.669,146608128,30.46,0.000,20.420,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2210.0,2210.0,18835.4
7,256,272.233,133.413,120.090,131702784,33.48,0.000,18.730,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2212.2,2212.2,18835.1
8,256,234.710,106.612,116.552,105406464,36.41,0.000,11.546,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2190.4,2190.4,18835.3
9,256,193.960,75.566,111.079,74035200,39.30,0.000,7.315,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2190.8,2190.8,18834.5
10,256,168.705,52.742,110.423,50651136,42.08,0.000,5.540,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2195.6,2195.6,18837.8
11,256,199.424,78.702,112.836,75706368,44.37,0.000,7.886,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2201.8,2201.8,18837.4
12,256,252.487,112.747,122.817,114044928,46.14,0.000,16.924,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2191.5,2191.5,18835.7
13,256,216.393,91.258,115.050,88449024,47.94,0.000,10.085,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2199.9,2199.9,18835.1
14,256,217.281,94.694,113.118,90771456,49.56,0.000,9.469,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2196.0,2196.0,18836.9
15,256,303.496,159.684,124.691,158269440,50.60,0.000,19.121,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2201.2,2201.2,18835.4
16,256,282.815,142.040,124.024,134184960,51.70,0.000,16.751,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2196.7,2196.7,18837.6
17,256,292.319,143.830,131.783,143204352,52.67,0.000,16.706,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2197.6,2197.6,18840.8
18,256,299.424,164.486,117.169,163774464,53.43,0.000,17.769,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2192.8,2192.8,18839.1
19,256,242.187,115.025,115.621,106758144,54.49,0.000,11.540,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.8,2198.8,18840.3
20,256,163.689,49.516,110.369,45576192,55.81,0.000,3.804,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.9,2198.9,18839.2
21,256,175.746,57.738,112.195,54484992,57.00,0.000,5.813,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2195.3,2195.3,18839.6
22,256,207.736,87.565,112.498,83755008,57.96,0.000,7.672,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2194.8,2194.8,18841.6
23,256,204.071,85.256,112.138,82833408,58.86,0.000,6.677,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2195.8,2195.8,18838.8
24,256,264.762,116.668,135.902,110530560,59.55,0.000,12.193,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2208.8,2208.8,18864.9
25,256,209.970,85.529,113.329,79699968,60.35,0.000,11.113,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.8,2198.8,18864.8
26,256,213.736,83.398,120.904,79970304,61.11,0.000,9.434,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2183.1,2183.1,18856.4
27,256,317.074,183.511,113.584,178950144,61.38,0.000,19.979,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2179.1,2179.1,18858.4
28,256,243.940,113.500,117.265,108859392,61.94,0.000,13.175,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2178.4,2178.4,18856.4
29,256,223.178,99.305,113.721,90611712,62.57,0.000,10.152,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2178.4,2178.4,18859.5
30,256,236.924,113.335,113.239,111292416,63.07,0.000,10.350,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2180.2,2180.2,18864.2
31,256,367.248,231.562,117.469,225226752,63.08,0.000,18.217,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2181.1,2181.1,18864.1
32,256,261.188,132.651,115.931,129380352,63.47,0.000,12.606,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2179.9,2179.9,18864.7
33,256,172.141,57.840,109.663,48599040,64.15,0.000,4.638,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2181.4,2181.4,18865.7
34,256,220.946,97.625,114.551,97308672,64.63,0.000,8.769,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2176.4,2176.4,18865.6
35,256,299.101,169.097,115.243,167989248,64.82,0.000,14.761,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2177.8,2177.8,18865.8
36,256,272.244,146.799,113.779,141422592,65.09,0.000,11.666,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2176.6,2176.6,18865.2
37,256,241.597,117.247,113.920,113504256,65.45,0.000,10.430,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2177.1,2177.1,18865.0
38,256,203.909,84.040,112.731,79429632,65.91,0.000,7.137,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2176.4,2176.4,18867.6
39,256,244.179,115.214,119.109,109830144,66.24,0.000,9.856,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2177.4,2177.4,18866.2
40,256,295.094,163.801,117.720,160051200,66.40,0.000,13.573,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2167.3,2167.3,18864.0
41,256,208.215,91.980,107.838,89100288,66.79,0.000,8.397,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2163.4,2163.4,18863.7
42,256,342.057,210.022,114.433,204546048,66.79,0.000,17.601,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2162.1,2162.1,18864.2
43,256,266.544,137.735,115.668,136777728,67.01,0.000,13.141,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2161.0,2161.0,18867.6
44,256,211.742,90.230,113.758,85856256,67.36,0.000,7.754,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2160.0,2160.0,18870.7
45,256,176.164,59.201,110.694,54484992,67.81,0.000,6.269,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2159.4,2159.4,18911.0
46,256,241.516,119.162,111.893,117497856,68.04,0.000,10.461,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2157.3,2157.3,18909.8
47,256,162.448,47.961,109.762,44924928,68.48,0.000,4.726,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.5,2158.5,18912.8
