# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=5000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,374.871,151.020,202.155,132243456,7.90,0.000,21.697,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2032.6,2032.6,18854.3
2,256,468.641,293.771,140.044,269611008,12.28,0.000,34.826,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2085.2,2085.2,18853.6
3,256,265.825,107.142,145.538,94605312,18.33,0.000,13.146,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2098.2,2098.2,18865.5
4,256,293.631,111.313,165.752,96497664,23.45,0.000,16.565,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2085.9,2085.9,18854.8
5,256,370.036,178.829,165.018,153735168,27.16,0.000,26.189,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2084.3,2084.3,18846.8
6,256,322.081,159.329,140.373,146608128,30.46,0.000,22.379,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2098.3,2098.3,18849.3
7,256,304.790,136.884,147.366,131702784,33.48,0.000,20.540,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2085.4,2085.4,18850.6
8,256,237.372,108.692,114.433,105406464,36.41,0.000,14.247,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2071.6,2071.6,18851.4
9,256,204.627,82.572,113.268,74035200,39.30,0.000,8.787,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2078.3,2078.3,18850.2
10,256,191.116,55.030,128.816,50651136,42.08,0.000,7.270,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2086.2,2086.2,18852.1
11,256,211.739,81.088,121.316,75706368,44.37,0.000,9.335,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2071.7,2071.7,18855.0
12,256,274.237,118.465,140.069,114044928,46.14,0.000,15.703,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2068.1,2068.1,18854.0
13,256,227.664,92.424,122.865,88449024,47.94,0.000,12.375,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2077.2,2077.2,18853.5
14,256,230.306,95.967,122.487,90771456,49.56,0.000,11.852,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2068.4,2068.4,18854.1
15,256,320.758,165.583,136.188,158269440,50.60,0.000,18.987,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2070.2,2070.2,18853.6
16,256,286.670,139.721,130.337,134184960,51.70,0.000,16.612,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2081.8,2081.8,18853.8
17,256,295.799,147.224,130.876,143204352,52.67,0.000,17.698,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2083.5,2083.5,18852.5
18,256,308.879,169.836,121.231,163774464,53.43,0.000,17.812,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2084.3,2084.3,18856.3
19,256,250.310,111.742,124.995,106758144,54.49,0.000,13.573,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2068.6,2068.6,18857.2
20,256,161.882,48.405,108.313,45576192,55.81,0.000,5.165,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2073.0,2073.0,18856.3
21,256,174.466,58.420,110.113,54484992,57.00,0.000,5.933,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2080.0,2080.0,18855.0
