# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=8 n_ctx=2048
# moe_stream=1 cache_mb=5000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,305.966,141.658,143.177,132243456,7.90,0.000,21.131,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1878.0,1878.0,18903.1
2,256,482.559,294.390,146.084,269611008,12.28,0.000,42.085,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1952.8,1952.8,18904.1
3,256,257.761,107.703,137.000,94605312,18.33,0.000,13.058,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1994.3,1994.3,18903.1
4,256,237.851,105.802,119.908,96497664,23.45,0.000,12.141,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2024.2,2024.2,18904.5
5,256,301.301,164.628,119.039,153735168,27.16,0.000,17.634,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2054.4,2054.4,18902.4
6,256,278.669,149.450,115.417,146608128,30.46,0.000,13.801,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2080.8,2080.8,18903.5
7,256,254.997,133.700,108.840,131702784,33.48,0.000,12.457,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2079.5,2079.5,18904.4
8,256,230.304,106.194,111.150,105406464,36.41,0.000,12.960,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2091.7,2091.7,18916.9
9,256,194.901,75.744,110.678,74035200,39.30,0.000,8.479,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2092.8,2092.8,18918.0
10,256,170.346,53.317,110.744,50651136,42.08,0.000,6.285,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2092.8,2092.8,18916.8
11,256,198.163,80.957,109.002,75706368,44.37,0.000,8.204,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2090.7,2090.7,18917.9
12,256,251.029,117.404,121.581,114044928,46.14,0.000,12.044,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2049.1,2049.1,18916.1
13,256,216.309,97.548,109.366,88449024,47.94,0.000,9.395,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2049.5,2049.5,18911.0
14,256,217.009,94.215,112.637,90771456,49.56,0.000,10.156,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2048.9,2048.9,18914.1
15,256,297.684,165.600,115.113,158269440,50.60,0.000,16.972,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2045.6,2045.6,18909.8
16,256,264.167,138.094,112.205,134184960,51.70,0.000,13.869,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2045.5,2045.5,18913.5
17,256,284.836,150.246,119.571,143204352,52.67,0.000,15.019,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2049.9,2049.9,18914.4
18,256,297.135,167.420,114.150,163774464,53.43,0.000,15.565,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2036.8,2036.8,18912.3
19,256,240.438,109.854,119.168,106758144,54.49,0.000,11.415,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2036.2,2036.2,18913.8
20,256,164.056,48.961,110.324,45576192,55.81,0.000,4.770,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2037.4,2037.4,18911.0
21,256,177.111,59.035,112.609,54484992,57.00,0.000,5.468,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2035.8,2035.8,18912.8
22,256,211.314,89.984,111.805,83755008,57.96,0.000,9.525,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2032.8,2032.8,18910.9
23,256,203.698,84.656,109.947,82833408,58.86,0.000,9.095,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2030.2,2030.2,18910.8
24,256,243.446,115.139,116.287,110530560,59.55,0.000,12.020,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2025.5,2025.5,18912.1
