# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=8 n_ctx=2048
# moe_stream=1 cache_mb=5000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=8 o_direct=1 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0.75
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,361.770,177.030,162.913,132243456,7.90,0.000,21.827,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2203.7,2203.7,18920.3
2,256,297.244,132.757,144.705,111992832,12.45,0.000,19.782,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2201.9,2201.9,18919.2
3,256,209.710,66.298,134.299,56807424,18.35,0.000,9.114,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2201.1,2201.1,18922.3
4,256,189.686,51.380,130.939,42983424,23.35,0.000,7.367,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2207.2,2207.2,18924.4
5,256,266.270,116.354,132.152,96927744,26.94,0.000,17.764,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2201.0,2201.0,18925.5
6,256,212.712,67.372,135.908,58048512,30.83,0.000,9.432,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2199.8,2199.8,18925.6
7,256,207.182,77.615,118.961,70361088,33.88,0.000,10.606,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.1,2198.1,18925.7
8,256,192.516,65.568,118.282,60641280,36.76,0.000,8.665,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2200.2,2200.2,18924.6
9,256,175.786,45.646,124.280,42283008,39.83,0.000,5.861,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2206.2,2206.2,18925.6
10,256,183.445,36.721,141.830,32452608,42.58,0.000,4.893,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2167.9,2167.9,18908.3
11,256,160.126,36.966,119.464,31481856,45.05,0.000,3.697,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2110.2,2110.2,18872.3
12,256,142.191,27.883,111.457,26677248,47.42,0.000,2.851,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2123.3,2123.3,18880.7
13,256,145.444,30.694,111.556,27107328,49.46,0.000,3.193,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2125.9,2125.9,18881.1
14,256,195.648,72.970,114.422,68038656,51.15,0.000,8.256,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2133.5,2133.5,18879.4
15,256,202.327,76.788,116.866,74194944,52.55,0.000,8.674,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2132.4,2132.4,18881.7
16,256,176.402,54.939,115.778,51892224,53.97,0.000,5.685,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2133.0,2133.0,18880.4
