# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=5000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon drop_cold_frac=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,285.145,375.599,163.586,132243456,7.90,106.786,14.772,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1745.1,1745.1,19459.8
2,256,387.762,854.130,132.546,269611008,12.28,226.119,29.098,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1856.5,1856.5,19468.3
3,256,217.619,314.423,114.912,94605312,18.33,91.830,10.877,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1886.5,1886.5,19468.1
4,256,216.830,274.371,122.812,96497664,23.45,81.651,12.367,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1928.0,1928.0,19468.5
5,256,273.434,476.902,118.535,153735168,27.16,137.455,17.443,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,1967.1,1967.1,19467.4
6,256,280.768,473.384,132.860,146608128,30.46,129.735,18.173,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2011.0,2011.0,19470.6
7,256,251.891,401.802,118.947,131702784,33.48,118.116,14.829,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2035.9,2035.9,19469.9
8,256,218.246,301.830,116.746,105406464,36.41,88.712,12.789,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2042.8,2042.8,19471.5
9,256,210.393,256.641,120.937,74035200,39.30,79.432,10.024,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2082.2,2082.2,19470.6
10,256,197.283,192.740,119.561,50651136,42.08,69.933,7.789,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2113.3,2113.3,19471.4
11,256,222.269,289.495,119.490,75706368,44.37,92.668,10.111,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2134.4,2134.4,19470.3
12,256,283.950,487.241,121.683,114044928,46.14,148.292,13.975,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2173.1,2173.1,19469.9
13,256,227.519,332.174,117.017,88449024,47.94,98.282,12.220,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2197.2,2197.2,19469.9
14,256,285.389,484.629,118.157,90771456,49.56,154.845,12.387,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2225.8,2225.8,19471.6
15,256,289.569,569.500,116.635,158269440,50.60,153.958,18.976,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2248.9,2248.9,19470.8
16,256,264.126,469.124,118.172,134184960,51.70,129.503,16.451,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2262.6,2262.6,19470.9
17,256,249.971,419.083,114.604,143204352,52.67,118.032,17.335,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2264.0,2264.0,19472.7
18,256,271.658,491.790,119.912,163774464,53.43,131.778,19.968,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2262.7,2262.7,19467.2
19,256,214.983,290.718,116.393,106758144,54.49,84.288,14.302,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2261.9,2261.9,19472.0
20,256,156.415,117.465,110.418,45576192,55.81,38.968,7.029,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2261.0,2261.0,19471.0
21,256,167.206,142.521,112.350,54484992,57.00,46.868,7.988,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2262.1,2262.1,19471.3
22,256,190.374,224.756,110.577,83755008,57.96,67.565,12.233,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2261.5,2261.5,19471.6
23,256,189.741,216.758,115.046,82833408,58.86,62.514,12.181,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2257.4,2257.4,19472.2
24,256,211.875,297.436,112.279,110530560,59.55,85.181,14.414,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2257.7,2257.7,19476.4
25,256,184.283,204.642,111.704,79699968,60.35,61.458,11.121,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2256.8,2256.8,19477.5
26,256,186.133,205.756,114.341,79970304,61.11,60.860,10.932,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2244.3,2244.3,19476.2
27,256,284.185,523.025,121.335,178950144,61.38,140.474,22.377,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2222.2,2222.2,19478.2
28,256,215.625,306.043,114.711,108859392,61.94,86.690,14.225,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2224.2,2224.2,19483.0
29,256,203.358,256.369,114.759,90611712,62.57,71.741,16.858,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2222.3,2222.3,19484.9
30,256,217.335,294.397,118.058,111292416,63.07,84.996,14.281,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2221.6,2221.6,19482.7
31,256,324.145,678.121,117.504,225226752,63.08,179.001,27.641,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2217.6,2217.6,19482.4
32,256,236.353,348.944,120.112,129380352,63.47,98.755,17.486,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2216.5,2216.5,19483.8
33,256,159.481,114.131,113.937,48599040,64.15,38.232,7.312,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2211.3,2211.3,19483.2
34,256,200.364,264.450,111.111,97308672,64.63,76.900,12.353,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2211.1,2211.1,19483.9
35,256,279.466,496.974,117.341,167989248,64.82,140.112,22.014,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2199.0,2199.0,19484.4
36,256,247.595,399.092,115.872,141422592,65.09,114.045,17.678,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2199.5,2199.5,19483.5
37,256,216.991,307.639,111.407,113504256,65.45,90.659,14.924,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.8,2198.8,19484.2
38,256,192.061,216.951,112.500,79429632,65.91,68.508,11.053,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2198.7,2198.7,19483.5
39,256,221.464,304.018,117.133,109830144,66.24,90.024,14.307,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2197.3,2197.3,19482.7
40,256,264.831,466.120,115.846,160051200,66.40,125.182,23.803,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2195.3,2195.3,19482.2
41,256,197.540,245.566,114.280,89100288,66.79,70.114,13.146,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2196.3,2196.3,19482.3
42,256,308.725,623.496,115.677,204546048,66.79,160.718,32.329,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2197.6,2197.6,19484.9
43,256,240.066,390.251,115.468,136777728,67.01,105.925,18.673,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2196.2,2196.2,19483.3
44,256,193.593,220.569,114.613,85856256,67.36,66.334,12.646,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2189.1,2189.1,19484.3
45,256,166.780,138.387,114.216,54484992,67.81,43.492,9.071,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2188.6,2188.6,19484.7
46,256,221.386,319.088,114.057,117497856,68.04,92.004,15.324,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2188.5,2188.5,19483.5
47,256,157.587,106.460,114.614,44924928,68.48,35.213,7.760,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2187.0,2187.0,19476.7
48,256,205.397,255.965,115.392,96387072,68.75,75.914,14.091,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2187.1,2187.1,19477.6
49,256,185.828,194.281,115.128,77058048,69.08,59.412,11.288,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2184.4,2184.4,19481.1
50,256,216.585,308.867,112.394,113774592,69.30,87.932,16.260,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2184.4,2184.4,19481.0
51,256,246.531,395.614,113.807,140611584,69.43,114.192,18.532,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2183.5,2183.5,19481.0
52,256,173.265,164.859,111.788,65986560,69.75,51.739,9.738,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2183.1,2183.1,19480.8
53,256,220.587,307.786,116.328,110911488,69.95,87.998,16.260,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2182.0,2182.0,19485.9
54,256,189.792,206.566,114.734,80080896,70.22,63.330,11.728,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2174.2,2174.2,19481.8
55,256,195.710,227.400,112.470,88449024,70.46,71.066,12.173,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2170.5,2170.5,19499.0
56,256,192.816,220.525,115.215,86667264,70.70,65.442,12.160,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2170.0,2170.0,19500.4
57,256,193.177,233.047,114.395,88178688,70.93,66.649,12.133,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2170.8,2170.8,19499.5
58,256,187.988,214.492,111.629,81862656,71.17,64.883,11.476,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2169.9,2169.9,19499.7
59,256,214.270,291.087,117.096,100601856,71.36,83.041,14.132,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2168.3,2168.3,19498.8
60,256,189.093,206.895,112.856,81592320,71.58,64.415,11.823,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2170.0,2170.0,19499.5
61,256,177.395,164.552,113.490,67227648,71.83,53.782,10.123,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2167.8,2167.8,19499.9
62,256,194.905,244.177,111.335,92393472,72.02,71.050,12.520,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2168.5,2168.5,19499.5
63,256,179.663,181.507,113.548,70090752,72.25,55.297,10.819,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2167.7,2167.7,19499.4
64,256,207.942,276.382,115.743,100331520,72.42,78.167,14.033,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2167.0,2167.0,19500.2
65,256,221.051,308.177,114.675,117067776,72.53,89.845,16.531,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2161.8,2161.8,19498.9
66,256,179.584,170.012,118.021,65015808,72.76,50.624,10.940,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2161.8,2161.8,19495.6
67,256,222.320,330.016,111.479,120631296,72.86,95.217,15.623,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2161.9,2161.9,19498.2
68,256,303.948,606.830,116.409,205946880,72.77,160.300,27.239,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2162.2,2162.2,19500.4
69,256,257.244,431.765,114.865,151031808,72.81,120.998,21.381,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2160.6,2160.6,19498.4
70,256,211.809,276.263,116.255,103514112,72.94,81.427,14.127,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2159.5,2159.5,19494.8
71,256,295.287,564.498,118.541,193585152,72.88,152.067,24.680,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2160.8,2160.8,19496.2
72,256,355.197,783.847,116.189,258760704,72.70,207.253,31.755,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2160.1,2160.1,19495.0
73,256,228.818,347.364,113.992,126357504,72.79,98.205,16.621,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2156.8,2156.8,19496.2
74,256,256.011,422.331,118.737,152383488,72.82,115.114,22.161,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.5,2158.5,19495.2
75,256,235.250,350.867,116.664,128679936,72.90,99.740,18.846,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.2,2158.2,19495.1
76,256,221.810,318.256,113.522,118960128,72.99,92.634,15.653,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.6,2158.6,19494.9
77,256,253.011,436.822,113.413,145526784,73.03,120.899,18.699,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.3,2158.3,19495.8
78,256,198.415,237.425,114.704,86396928,73.18,71.480,12.231,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2157.5,2157.5,19495.9
79,256,241.625,392.230,113.055,140341248,73.23,104.751,23.818,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2158.4,2158.4,19495.7
80,256,260.059,459.129,115.394,158810112,73.24,124.752,19.913,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2155.7,2155.7,19495.5
81,256,223.227,330.214,113.604,119500800,73.32,93.669,15.954,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2155.0,2155.0,19495.1
82,256,158.477,118.635,114.134,48599040,73.53,36.874,7.469,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2155.0,2155.0,19497.8
83,256,220.038,331.265,112.409,115396608,73.62,91.449,16.180,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2154.4,2154.4,19498.3
84,256,195.078,236.557,113.316,89800704,73.75,69.656,12.106,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2153.6,2153.6,19497.8
85,256,239.829,383.836,111.839,137478144,73.79,105.084,22.906,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2153.9,2153.9,19497.3
86,256,183.266,202.659,111.161,74625024,73.94,61.066,11.038,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2152.1,2152.1,19497.4
87,256,175.998,169.984,114.148,62853120,74.10,52.799,9.051,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2151.9,2151.9,19498.5
88,256,167.449,142.166,112.589,57507840,74.27,46.026,8.834,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2152.0,2152.0,19497.8
89,256,322.745,665.765,116.978,222744576,74.17,177.607,28.160,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2150.3,2150.3,19495.6
90,256,201.394,248.990,113.655,93093888,74.28,74.936,12.803,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2147.7,2147.7,19496.7
91,256,234.013,352.775,117.895,127979520,74.33,98.532,17.587,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.9,2145.9,19495.9
92,256,169.115,160.347,112.224,60641280,74.49,47.154,9.737,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.9,2145.9,19494.9
93,256,236.380,367.121,114.169,131272704,74.53,104.853,17.359,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.4,2145.4,19496.0
94,256,222.110,312.471,117.957,114475008,74.60,88.706,15.447,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.8,2145.8,19496.6
95,256,281.207,521.213,116.159,183324672,74.56,141.670,23.378,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.8,2145.8,19496.4
96,256,172.455,156.416,111.568,62582784,74.70,50.836,10.052,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.8,2145.8,19497.1
97,256,257.418,415.425,124.440,145637376,74.72,114.959,18.019,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2148.9,2148.9,19497.9
98,256,232.529,344.132,113.620,124846080,74.77,102.092,16.818,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2148.1,2148.1,19498.8
99,256,218.458,316.650,113.839,114855936,74.83,89.331,15.288,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2152.6,2152.6,19497.2
100,256,248.122,402.957,114.414,141152256,74.86,115.933,17.775,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2151.0,2151.0,19497.0
101,256,210.244,266.203,114.875,104325120,74.93,80.578,14.791,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2151.0,2151.0,19498.1
102,256,177.700,180.107,112.965,69550080,75.05,54.531,10.204,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2151.4,2151.4,19498.9
103,256,201.407,249.168,114.346,91471872,75.14,73.779,13.282,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2149.8,2149.8,19496.9
104,256,164.731,135.407,111.271,57077760,75.28,44.769,8.691,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2150.3,2150.3,19496.8
105,256,181.700,175.564,116.229,68579328,75.40,54.933,10.538,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2142.5,2142.5,19497.7
106,256,182.046,199.883,115.637,72302592,75.52,55.419,10.990,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2144.5,2144.5,19495.7
107,256,217.116,305.869,113.019,115556352,75.56,88.413,15.684,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2144.3,2144.3,19496.6
108,256,155.482,115.971,111.023,46817280,75.71,37.049,7.410,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.0,2145.0,19497.4
109,256,199.685,243.583,115.274,90230784,75.79,70.361,14.049,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.3,2146.3,19499.2
110,256,156.814,115.161,112.839,45576192,75.93,36.623,7.352,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.4,2146.4,19498.7
111,256,200.184,221.511,118.624,87097344,76.01,68.531,13.030,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.0,2146.0,19496.7
112,256,245.227,395.632,121.693,131702784,76.04,105.197,18.337,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.2,2146.2,19498.2
113,256,232.913,355.228,114.860,129110016,76.06,100.424,17.629,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.2,2146.2,19497.8
114,256,177.178,171.634,111.301,66416640,76.17,56.347,9.530,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2146.9,2146.9,19498.6
115,256,255.285,434.266,113.541,155787264,76.16,121.981,19.763,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2144.9,2144.9,19494.3
116,256,204.545,255.165,115.347,94605312,76.23,74.444,14.755,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.6,2145.6,19493.6
117,256,194.316,224.651,111.869,86937600,76.30,70.258,12.189,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.8,2145.8,19492.7
118,256,171.607,165.872,112.206,62963712,76.41,49.825,9.576,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2145.8,2145.8,19497.4
119,256,175.061,179.961,111.972,66686976,76.51,52.778,10.310,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2144.3,2144.3,19498.6
120,256,170.001,149.332,114.304,58859520,76.62,46.789,8.907,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2143.6,2143.6,19496.7
121,256,200.219,251.216,113.835,96006144,76.68,72.658,13.726,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2142.1,2142.1,19496.9
122,256,141.853,76.766,111.598,30400512,76.82,25.149,5.106,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2140.3,2140.3,19497.9
123,256,161.176,125.910,111.165,52432896,76.93,41.805,8.206,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2139.4,2139.4,19497.3
124,256,187.695,213.704,111.103,80781312,77.00,64.740,11.852,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2140.0,2140.0,19497.9
125,256,211.748,303.265,114.152,105676800,77.05,83.472,14.124,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2139.8,2139.8,19499.5
126,256,160.036,131.180,110.041,53514240,77.16,41.625,8.370,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2138.5,2138.5,19498.2
127,256,156.872,109.278,114.884,41631744,77.27,35.163,6.825,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2138.1,2138.1,19497.9
128,256,141.832,79.524,112.389,30670848,77.40,23.736,5.708,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2137.7,2137.7,19498.0
129,256,133.094,51.395,111.092,21221376,77.54,18.065,3.937,0,0.000,-1.000,0,0.00,5000.0,0.0,0.0,0.0,0.0,2136.5,2136.5,19498.3
