# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_K_M.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=7184 cache_auto=1 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon drop_cold_frac=0.75
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,256,271.455,344.627,160.400,126087168,7.99,109.028,2.027,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1785.6,1785.6,19090.0
2,256,243.435,281.002,145.079,104054784,12.70,96.192,2.165,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1746.3,1746.3,18994.4
3,256,169.011,143.600,117.656,54755328,18.61,49.821,1.534,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1721.1,1721.1,18936.4
4,256,153.138,74.313,122.671,32722944,23.71,28.806,1.661,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1699.8,1699.8,18921.1
5,256,210.416,234.426,127.646,84615168,27.44,80.923,1.847,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1680.7,1680.7,18840.2
6,256,177.029,129.509,129.508,53673984,31.45,45.694,1.827,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1666.8,1666.8,18787.4
7,256,191.310,143.986,137.478,57778176,34.63,52.071,1.762,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1608.1,1608.1,18733.5
8,256,142.887,81.848,108.694,33964032,37.85,32.608,1.585,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1587.6,1587.6,18709.9
9,256,143.254,76.507,113.715,32022528,41.01,27.730,1.809,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1664.2,1664.2,18681.2
10,256,136.337,55.443,112.456,24784896,43.76,22.421,1.459,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1656.4,1656.4,18658.4
11,256,138.662,74.105,107.306,33533952,46.17,29.823,1.533,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1616.8,1616.8,18626.2
12,256,130.005,48.200,110.836,20250624,48.52,17.690,1.480,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1596.0,1596.0,18604.2
13,256,134.544,56.612,111.289,23814144,50.52,21.829,1.426,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1581.4,1581.4,18584.6
14,256,177.338,171.420,113.619,68308992,52.12,61.885,1.834,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1512.9,1512.9,18517.5
15,256,171.130,162.709,115.198,60370944,53.64,53.934,1.999,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1451.3,1451.3,18462.7
16,256,147.632,83.472,114.869,34775040,55.20,30.904,1.860,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1423.4,1423.4,18429.7
17,256,165.382,135.189,117.250,52162560,56.56,46.501,1.632,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1372.8,1372.8,18379.7
18,256,193.325,189.699,125.135,74895360,57.63,66.296,1.895,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1317.1,1317.1,18307.0
19,256,186.017,176.348,118.289,62693376,58.73,65.922,1.805,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1278.8,1278.8,18248.2
20,256,158.140,121.048,111.944,37367808,59.95,44.673,1.523,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1274.9,1274.9,18214.5
21,256,196.234,198.638,117.273,41902080,61.00,77.386,1.576,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1240.6,1240.6,18174.7
22,256,188.812,178.304,120.926,61181952,61.91,66.115,1.771,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1244.6,1244.6,18113.5
23,256,167.639,122.874,121.346,42713088,62.81,44.893,1.400,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1274.1,1274.1,18071.5
24,256,221.560,317.517,120.349,82022400,63.48,99.479,1.733,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1271.3,1271.3,17994.0
25,256,158.449,109.710,116.441,33964032,64.40,40.522,1.486,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1278.7,1278.7,17961.4
26,256,182.002,155.384,117.007,44654592,65.22,63.306,1.690,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1278.6,1278.6,17918.3
27,256,191.866,146.434,129.533,25755648,66.10,60.752,1.581,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1279.8,1279.8,17896.4
28,256,119.841,12.404,112.658,5615616,67.04,5.580,1.603,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1279.8,1279.8,17891.9
29,256,120.764,21.614,110.988,9449472,67.90,8.286,1.491,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1268.8,1268.8,17880.9
30,256,167.070,132.749,120.022,8208384,68.74,45.551,1.497,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1263.1,1263.1,17871.8
31,256,132.548,40.449,113.921,13283328,69.46,16.688,1.939,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1246.0,1246.0,17859.8
32,256,126.920,28.537,114.350,9990144,70.18,11.136,1.433,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1239.7,1239.7,17851.2
33,256,122.275,14.039,114.317,5885952,70.88,6.420,1.538,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1233.8,1233.8,17846.2
34,256,126.143,34.801,112.432,10260480,71.56,11.966,1.744,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1224.1,1224.1,17835.7
35,256,161.120,140.513,113.426,40230912,72.09,45.838,1.855,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1181.0,1181.0,17799.0
36,256,203.547,224.137,115.717,42283008,72.56,86.079,1.751,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1144.5,1144.5,17759.0
37,256,178.311,172.009,116.045,54755328,72.95,60.429,1.837,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1088.1,1088.1,17705.2
38,256,147.692,89.319,112.841,26836992,73.42,33.278,1.573,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1065.0,1065.0,17680.8
39,256,153.114,122.291,110.535,38068224,73.83,40.966,1.613,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1028.1,1028.1,17644.8
40,256,170.513,153.828,114.162,50540544,74.17,54.543,1.808,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1011.2,1011.2,17597.2
41,256,210.225,228.746,131.198,25595904,74.59,77.537,1.490,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1069.4,1069.4,17558.1
42,256,119.808,32.001,104.591,13283328,75.04,13.953,1.265,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,1061.1,1061.1,17547.3
43,256,214.355,304.839,109.588,93253632,75.18,102.795,1.971,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,965.8,965.8,17457.1
44,256,142.324,94.017,107.361,33804288,75.54,33.417,1.546,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,931.3,931.3,17424.7
45,256,147.286,103.712,108.880,38608896,75.86,36.707,1.699,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,896.8,896.8,17387.3
46,256,134.270,37.160,115.913,17657856,76.24,16.492,1.866,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,875.7,875.7,17370.2
47,256,178.554,119.190,135.675,41902080,76.52,41.138,1.741,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,878.8,878.8,17332.7
48,256,135.838,22.849,124.702,9719808,76.89,10.022,1.115,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,912.2,912.2,17322.2
49,256,122.585,46.951,104.617,16306176,77.24,16.800,1.168,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,893.4,893.4,17306.7
50,256,118.226,20.040,108.950,7938048,77.63,7.905,1.371,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,885.3,885.3,17299.0
51,256,169.038,131.666,119.539,48328704,77.87,46.439,3.061,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,850.5,850.5,17264.3
52,256,197.400,242.238,116.757,85155840,77.98,70.689,9.955,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,845.0,845.0,17262.2
53,256,120.828,28.711,106.560,13553664,78.30,11.401,2.866,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,849.1,849.1,17275.0
54,256,125.901,33.675,110.444,13553664,78.60,12.649,2.808,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,852.6,852.6,17276.2
55,256,133.947,73.169,106.000,27918336,78.88,23.968,3.979,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,855.3,855.3,17276.3
56,256,147.922,108.867,106.708,41201664,79.10,35.555,5.658,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,855.8,855.8,17275.8
57,256,159.246,147.816,106.909,54214656,79.26,45.387,6.950,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,855.2,855.2,17276.3
58,256,117.220,31.538,104.088,13012992,79.51,10.637,2.494,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,854.3,854.3,17274.9
59,256,121.855,17.395,114.180,5885952,79.81,5.675,2.001,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,854.3,854.3,17275.5
60,256,134.400,52.193,112.471,19980288,80.06,18.395,3.534,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,853.9,853.9,17275.2
61,256,159.194,119.839,112.780,46817280,80.24,39.854,6.560,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,852.5,852.5,17278.0
62,256,159.241,135.429,109.457,39419904,80.42,43.968,5.816,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,851.0,851.0,17276.6
63,256,129.858,57.471,107.619,20250624,80.63,18.761,3.477,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,851.1,851.1,17276.5
64,256,117.515,21.612,108.078,8208384,80.89,7.273,2.164,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,850.8,850.8,17277.9
65,256,134.878,63.560,108.324,26836992,81.08,22.530,4.024,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,847.8,847.8,17277.3
66,256,143.000,72.489,112.322,25595904,81.28,26.052,4.626,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,848.4,848.4,17278.6
67,256,150.358,80.459,117.254,31211520,81.46,28.175,4.928,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.4,843.4,17277.4
68,256,144.749,94.968,108.713,34234368,81.63,31.015,5.021,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,841.8,841.8,17278.3
69,256,176.732,203.360,109.356,68739072,81.71,58.247,9.129,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.7,843.7,17278.8
70,256,133.880,53.168,112.038,21491712,81.90,17.699,4.143,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,842.9,842.9,17278.7
71,256,140.581,72.880,111.011,31641600,82.06,24.182,5.389,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.4,843.4,17279.2
72,256,128.614,36.989,109.445,17117184,82.25,15.346,3.824,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.5,843.5,17280.1
73,256,165.243,130.793,111.949,46706688,82.36,40.273,13.021,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.5,843.5,17279.5
74,256,145.116,91.915,108.963,32993280,82.50,30.940,5.213,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.2,843.2,17280.1
75,256,109.531,4.970,106.295,2052096,82.72,1.841,1.395,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.2,843.2,17279.9
76,256,144.183,87.934,111.829,29970432,82.87,27.082,5.272,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.3,843.3,17280.4
77,256,135.641,52.855,110.672,23814144,83.02,20.484,4.485,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,842.9,842.9,17279.7
78,256,161.055,141.092,112.392,49410048,83.12,41.197,7.466,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,842.8,842.8,17280.5
79,256,136.414,53.357,111.806,23543808,83.27,20.010,4.597,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,843.4,843.4,17281.1
80,256,129.798,50.558,109.009,20951040,83.42,17.066,3.723,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,841.9,841.9,17278.7
81,256,130.916,41.945,109.647,18898944,83.56,17.312,3.957,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,841.7,841.7,17279.6
82,256,122.736,29.637,108.806,13283328,83.71,10.757,3.173,0,0.000,-1.000,0,0.00,7184.9,0.0,0.0,0.0,0.0,837.4,837.4,17279.7
